  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-90.03   	 20.14   	 70.38   	 350.97		 53.16   	 116.99		
-90.33   	 21.97   	 71.78   	 345.88		 53.63   	 147.51		
-91.55   	 23.50   	 73.16   	 335.71		 54.22   	 178.03		
-93.08   	 24.72   	 74.51   	 325.53		 54.93   	 208.54		
-94.30   	 26.25   	 75.81   	 325.53		 55.77   	 239.06		
-94.60   	 28.08   	 77.11   	 325.53		 56.72   	 274.67		
-94.30   	 30.21   	 78.41   	 330.62		 57.82   	 295.01		
-93.69   	 32.35   	 79.74   	 340.79		 59.00   	 330.62		
-93.08   	 34.48   	 81.10   	 350.97		 60.33   	 345.88		
-92.47   	 36.32   	 82.50   	 366.22		 61.71   	 376.40		
-92.47   	 37.84   	 83.97   	 381.48		 63.21   	 391.66		
-92.77   	 39.67   	 85.49   	 391.66		 64.78   	 412.00		
-93.69   	 41.81   	 87.06   	 396.74		 66.43   	 432.35		
-95.21   	 44.25   	 88.65   	 396.74		 68.16   	 442.52		
-97.35   	 47.61   	 90.23   	 391.66		 69.93   	 457.78		
-99.79   	 50.66   	 91.80   	 371.31		 71.76   	 473.04		
-102.23   	 53.71   	 93.29   	 361.14		 73.65   	 478.13		
-104.37   	 56.46   	 94.73   	 340.79		 75.56   	 488.30		
-106.51   	 58.90   	 96.09   	 320.45		 77.52   	 498.47		
-108.64   	 61.34   	 97.37   	 300.10		 79.51   	 498.47		
-110.78   	 64.09   	 98.58   	 284.84		 81.51   	 503.56		
-112.61   	 67.44   	 99.71   	 264.50		 83.52   	 498.47		
-114.44   	 70.50   	100.77   	 254.32		 85.51   	 503.56		
-116.88   	 72.94   	101.79   	 244.15		 87.53   	 503.56		
-119.63   	 74.77   	102.77   	 233.98		 89.54   	 498.47		
-122.99   	 76.29   	103.70   	 239.06		 91.54   	 493.39		
-126.65   	 77.21   	104.66   	 239.06		 93.51   	 493.39		
-129.70   	 78.43   	105.62   	 244.15		 95.48   	 483.21		
-132.14   	 79.35   	106.59   	 249.24		 97.42   	 478.13		
-133.97   	 80.26   	107.59   	 259.41		 99.33   	 473.04		
-135.50   	 80.57   	108.63   	 259.41		101.22   	 467.95		
-135.80   	 80.57   	109.66   	 254.32		103.09   	 452.69		
-135.19   	 80.26   	110.68   	 254.32		104.90   	 442.52		
-133.36   	 79.65   	111.70   	 239.06		106.67   	 432.35		
-130.00   	 79.04   	112.65   	 223.80		108.40   	 422.18		
-124.82   	 77.82   	113.55   	 213.63		110.09   	 406.92		
-117.49   	 76.90   	114.40   	 188.20		111.72   	 386.57		
-107.12   	 75.38   	115.16   	 172.94		113.27   	 376.40		
-94.60   	 73.24   	115.85   	 152.59		114.77   	 356.05		
-80.87   	 70.19   	116.46   	 137.33		116.19   	 340.79		
-67.14   	 65.92   	117.01   	 127.16		117.56   	 325.53		
-54.63   	 60.42   	117.52   	 111.90		118.86   	 310.27		
-43.64   	 54.02   	117.96   	 111.90		120.10   	 289.93		
-33.87   	 47.30   	118.41   	 101.73		121.26   	 279.75		
-25.63   	 40.59   	118.82   	  96.64		122.38   	 259.41		
-19.23   	 33.87   	119.21   	  91.56		123.42   	 249.24		
-14.34   	 27.16   	119.57   	  86.47		124.41   	 228.89		
-10.99   	 21.36   	119.92   	  76.30		125.33   	 213.63		
 -7.93   	 16.17   	120.22   	  66.12		126.18   	 198.37		
 -4.88   	 12.21   	120.49   	  45.78		126.98   	 183.11		
 -2.14   	  8.85   	120.67   	  35.61		127.71   	 167.85		
 -0.92   	  5.19   	120.81   	  10.17		128.38   	 152.59		
 -1.22   	  0.92   	120.85   	 -15.26		128.99   	 137.33		
 -3.36   	 -4.27   	120.79   	 -40.69		129.54   	 122.07		
 -5.80   	 -9.16   	120.63   	 -71.21		130.03   	 106.82		
 -7.63   	-13.12   	120.35   	-106.82		130.46   	  86.47		
 -8.54   	-16.17   	119.92   	-137.33		130.80   	  76.30		
 -9.16   	-18.92   	119.37   	-172.94		131.11   	  55.95		
-10.07   	-21.36   	118.68   	-203.46		131.33   	  40.69		
-11.60   	-24.11   	117.86   	-233.98		131.49   	  20.35		
-13.12   	-26.55   	116.93   	-254.32		131.58   	   5.09		
-14.34   	-28.38   	115.91   	-274.67		131.60   	 -15.26		
