  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-109.86   	  3.97   	 91.17   	-132.25		 92.33   	 -40.69		
-113.22   	  4.88   	 90.64   	-132.25		 92.17   	 -55.95		
-115.97   	  7.02   	 90.11   	-132.25		 91.94   	 -66.12		
-118.10   	  7.32   	 89.58   	-132.25		 91.68   	 -76.30		
-119.93   	  4.27   	 89.05   	-132.25		 91.37   	 -91.56		
-120.24   	 -0.92   	 88.52   	-132.25		 91.01   	 -96.64		
-118.41   	 -7.32   	 88.00   	-127.16		 90.62   	-106.82		
-114.75   	-13.43   	 87.49   	-132.25		 90.19   	-111.90		
-109.56   	-19.23   	 86.96   	-122.07		 89.75   	-122.07		
-103.76   	-22.89   	 86.47   	-127.16		 89.26   	-127.16		
-97.05   	-22.58   	 85.96   	-127.16		 88.75   	-132.25		
-87.59   	-18.92   	 85.45   	-116.99		 88.22   	-137.33		
-75.99   	-14.34   	 84.98   	-122.07		 87.67   	-137.33		
-65.61   	-13.43   	 84.50   	-116.99		 87.12   	-137.33		
-58.29   	-17.70   	 84.03   	-116.99		 86.57   	-142.42		
-53.10   	-24.41   	 83.56   	-116.99		 86.00   	-137.33		
-48.52   	-28.99   	 83.09   	-111.90		 85.45   	-142.42		
-41.20   	-28.38   	 82.64   	-116.99		 84.88   	-137.33		
-31.74   	-22.89   	 82.18   	-116.99		 84.33   	-137.33		
-23.80   	-15.26   	 81.71   	-122.07		 83.78   	-137.33		
-21.67   	 -8.24   	 81.22   	-122.07		 83.23   	-132.25		
-24.72   	 -3.05   	 80.73   	-132.25		 82.71   	-127.16		
-27.16   	  0.61   	 80.20   	-132.25		 82.20   	-132.25		
-22.89   	  4.58   	 79.67   	-142.42		 81.67   	-122.07		
-11.60   	  7.93   	 79.10   	-147.51		 81.18   	-127.16		
 -0.31   	 10.99   	 78.51   	-147.51		 80.67   	-122.07		
  3.97   	 14.04   	 77.92   	-152.59		 80.18   	-122.07		
  0.92   	 17.70   	 77.31   	-157.68		 79.69   	-116.99		
 -2.75   	 20.45   	 76.68   	-157.68		 79.23   	-122.07		
 -0.31   	 21.97   	 76.05   	-152.59		 78.74   	-122.07		
  9.77   	 20.45   	 75.44   	-142.42		 78.25   	-122.07		
 20.45   	 17.09   	 74.87   	-142.42		 77.76   	-122.07		
 23.80   	 14.65   	 74.30   	-127.16		 77.27   	-122.07		
 17.70   	 16.17   	 73.79   	-111.90		 76.79   	-127.16		
  6.10   	 20.45   	 73.35   	-106.82		 76.28   	-127.16		
 -4.88   	 25.02   	 72.92   	 -91.56		 75.77   	-127.16		
-11.90   	 26.25   	 72.55   	 -81.38		 75.26   	-127.16		
-15.87   	 23.50   	 72.23   	 -81.38		 74.75   	-132.25		
-17.09   	 18.92   	 71.90   	 -76.30		 74.22   	-132.25		
-13.73   	 14.65   	 71.60   	 -81.38		 73.69   	-137.33		
 -4.58   	 12.51   	 71.27   	 -86.47		 73.14   	-132.25		
 10.07   	 13.43   	 70.93   	 -91.56		 72.61   	-137.33		
 24.11   	 15.87   	 70.56   	-101.73		 72.06   	-132.25		
 29.60   	 18.31   	 70.15   	-101.73		 71.54   	-127.16		
 24.11   	 18.31   	 69.75   	-106.82		 71.03   	-122.07		
 10.99   	 15.56   	 69.32   	-111.90		 70.54   	-122.07		
 -2.14   	 10.99   	 68.87   	-106.82		 70.05   	-111.90		
 -8.54   	  7.32   	 68.44   	-101.73		 69.60   	-106.82		
 -8.24   	  5.80   	 68.04   	 -96.64		 69.18   	-106.82		
 -5.19   	  3.97   	 67.65   	 -91.56		 68.75   	 -96.64		
 -5.49   	 -0.61   	 67.28   	 -81.38		 68.36   	 -96.64		
-10.07   	 -8.24   	 66.96   	 -81.38		 67.98   	 -96.64		
-14.95   	-14.95   	 66.63   	 -76.30		 67.59   	 -91.56		
-14.95   	-16.17   	 66.33   	 -71.21		 67.22   	 -91.56		
 -7.63   	-10.99   	 66.04   	 -71.21		 66.86   	 -91.56		
  4.27   	 -4.27   	 65.76   	 -66.12		 66.49   	 -86.47		
 14.95   	 -2.44   	 65.49   	 -71.21		 66.14   	 -91.56		
 21.06   	 -8.24   	 65.21   	 -71.21		 65.78   	 -81.38		
 22.58   	-18.31   	 64.92   	 -76.30		 65.45   	 -86.47		
 22.28   	-26.25   	 64.62   	 -71.21		 65.11   	 -81.38		
 23.80   	-28.69   	 64.33   	 -76.30		 64.78   	 -76.30		
 28.69   	-26.55   	 64.03   	 -71.21		 64.48   	 -81.38		
 33.57   	-24.41   	 63.74   	 -76.30		 64.15   	 -76.30		
 37.54   	-25.94   	 63.44   	 -71.21		 63.85   	 -76.30		
 40.28   	-31.13   	 63.15   	 -66.12		 63.54   	 -71.21		
 36.01   	-37.54   	 62.89   	 -66.12		 63.26   	 -76.30		
 23.50   	-41.81   	 62.62   	 -61.04		 62.95   	 -71.21		
  6.41   	-41.50   	 62.38   	 -55.95		 62.67   	 -71.21		
 -9.46   	-37.23   	 62.16   	 -55.95		 62.38   	 -71.21		
-15.87   	-30.82   	 61.93   	 -55.95		 62.10   	 -66.12		
 -9.46   	-25.94   	 61.71   	 -50.86		 61.83   	 -71.21		
  3.97   	-25.02   	 61.51   	 -55.95		 61.55   	 -66.12		
 14.65   	-27.47   	 61.28   	 -50.86		 61.28   	 -66.12		
 16.17   	-30.82   	 61.08   	 -55.95		 61.02   	 -66.12		
 10.68   	-31.43   	 60.85   	 -55.95		 60.75   	 -66.12		
  3.05   	-28.38   	 60.63   	 -55.95		 60.49   	 -61.04		
 -3.97   	-22.28   	 60.41   	 -61.04		 60.24   	 -55.95		
 -9.46   	-15.26   	 60.16   	 -55.95		 60.02   	 -61.04		
-15.56   	-10.68   	 59.94   	 -61.04		 59.78   	 -55.95		
-23.19   	 -9.16   	 59.69   	 -55.95		 59.55   	 -55.95		
-27.77   	-10.07   	 59.47   	 -61.04		 59.33   	 -55.95		
-24.11   	-10.68   	 59.23   	 -55.95		 59.10   	 -55.95		
-10.99   	 -8.54   	 59.00   	 -50.86		 58.88   	 -55.95		
  6.41   	 -2.75   	 58.80   	 -55.95		 58.66   	 -50.86		
 15.87   	  4.58   	 58.58   	 -50.86		 58.45   	 -50.86		
  9.46   	 10.38   	 58.37   	 -45.78		 58.25   	 -50.86		
-12.82   	 11.60   	 58.19   	 -50.86		 58.05   	 -50.86		
-40.28   	  8.85   	 57.99   	 -45.78		 57.84   	 -50.86		
-56.46   	  5.49   	 57.80   	 -45.78		 57.64   	 -50.86		
-50.66   	  5.49   	 57.62   	 -50.86		 57.44   	 -50.86		
-29.60   	  9.46   	 57.42   	 -45.78		 57.23   	 -50.86		
 -8.85   	 14.95   	 57.23   	 -50.86		 57.03   	 -50.86		
 -1.83   	 18.31   	 57.03   	 -45.78		 56.83   	 -50.86		
-10.99   	 16.78   	 56.85   	 -55.95		 56.62   	 -50.86		
-27.16   	 11.60   	 56.62   	 -50.86		 56.42   	 -50.86		
-37.84   	  7.32   	 56.42   	 -50.86		 56.22   	 -50.86		
-40.28   	  7.63   	 56.22   	 -50.86		 56.01   	 -50.86		
-41.20   	 12.51   	 56.01   	 -50.86		 55.81   	 -50.86		
-46.08   	 19.23   	 55.81   	 -45.78		 55.61   	 -45.78		
-52.80   	 25.02   	 55.63   	 -45.78		 55.42   	 -50.86		
-54.02   	 31.74   	 55.44   	 -40.69		 55.22   	 -50.86		
-46.39   	 41.50   	 55.28   	 -40.69		 55.02   	 -45.78		
-34.48   	 53.10   	 55.12   	 -30.52		 54.83   	 -45.78		
-25.02   	 61.34   	 54.99   	 -30.52		 54.65   	 -45.78		
-23.19   	 60.73   	 54.87   	 -25.43		 54.47   	 -40.69		
-27.47   	 50.05   	 54.77   	 -20.35		 54.30   	 -40.69		
-32.04   	 34.79   	 54.69   	 -20.35		 54.14   	 -40.69		
-34.18   	 22.89   	 54.61   	 -15.26		 53.98   	 -40.69		
-33.87   	 20.14   	 54.55   	 -20.35		 53.81   	 -40.69		
-31.13   	 26.25   	 54.47   	 -15.26		 53.65   	 -35.61		
-25.94   	 38.76   	 54.40   	 -20.35		 53.51   	 -40.69		
-20.75   	 55.54   	 54.32   	 -25.43		 53.35   	 -35.61		
-20.14   	 75.68   	 54.22   	 -25.43		 53.20   	 -35.61		
-27.77   	 98.57   	 54.12   	 -35.61		 53.06   	 -35.61		
-43.33   	122.68   	 53.98   	 -35.61		 52.92   	 -35.61		
-60.42   	144.65   	 53.83   	 -45.78		 52.78   	 -35.61		
-68.97   	161.13   	 53.65   	 -45.78		 52.63   	 -40.69		
-64.09   	170.29   	 53.47   	 -55.95		 52.47   	 -35.61		
-47.61   	172.12   	 53.24   	 -55.95		 52.33   	 -40.69		
-25.33   	167.85   	 53.02   	 -55.95		 52.17   	 -40.69		
 -6.10   	156.86   	 52.80   	 -55.95		 52.00   	 -40.69		
  1.83   	139.47   	 52.57   	 -55.95		 51.84   	 -40.69		
 -5.80   	119.63   	 52.35   	 -55.95		 51.68   	 -40.69		
-23.80   	104.06   	 52.13   	 -55.95		 51.52   	 -40.69		
-40.28   	 99.79   	 51.90   	 -50.86		 51.35   	 -40.69		
-41.20   	106.81   	 51.70   	 -45.78		 51.19   	 -40.69		
-19.53   	115.36   	 51.52   	 -45.78		 51.03   	 -40.69		
 15.56   	113.22   	 51.33   	 -40.69		 50.86   	 -40.69		
 43.33   	 96.13   	 51.17   	 -40.69		 50.70   	 -40.69		
 45.17   	 72.94   	 51.01   	 -35.61		 50.54   	 -35.61		
 22.28   	 55.85   	 50.86   	 -40.69		 50.40   	 -35.61		
 -4.88   	 50.66   	 50.70   	 -35.61		 50.25   	 -30.52		
-11.60   	 50.96   	 50.56   	 -35.61		 50.13   	 -35.61		
  6.71   	 45.78   	 50.42   	 -40.69		 49.99   	 -35.61		
 27.77   	 28.99   	 50.25   	 -45.78		 49.85   	 -30.52		
 20.75   	  2.75   	 50.07   	 -40.69		 49.73   	 -30.52		
-24.11   	-26.25   	 49.91   	 -50.86		 49.60   	 -35.61		
-84.23   	-51.57   	 49.70   	 -45.78		 49.46   	 -30.52		
-118.41   	-71.11   	 49.52   	 -45.78		 49.34   	 -30.52		
-109.25   	-83.62   	 49.34   	 -45.78		 49.22   	 -25.43		
-74.16   	-90.94   	 49.16   	 -45.78		 49.11   	 -30.52		
-43.64   	-97.66   	 48.97   	 -35.61		 48.99   	 -30.52		
-35.10   	-106.20   	 48.83   	 -35.61		 48.87   	 -30.52		
-43.33   	-116.58   	 48.69   	 -20.35		 48.75   	 -30.52		
-49.13   	-124.51   	 48.61   	 -15.26		 48.63   	 -25.43		
-42.11   	-124.21   	 48.55   	 -10.17		 48.52   	 -30.52		
-27.47   	-116.58   	 48.50   	  -5.09		 48.40   	 -25.43		
-14.65   	-108.34   	 48.48   	   5.09		 48.30   	 -30.52		
 -4.88   	-104.37   	 48.50   	   0.00		 48.18   	 -25.43		
  2.14   	-104.06   	 48.50   	   5.09		 48.08   	 -30.52		
  2.75   	-104.37   	 48.52   	   5.09		 47.96   	 -25.43		
 -7.32   	-100.40   	 48.55   	   5.09		 47.85   	 -30.52		
-26.25   	-92.16   	 48.57   	   0.00		 47.73   	 -25.43		
-43.03   	-79.35   	 48.57   	   0.00		 47.63   	 -30.52		
-37.23   	-55.24   	 48.57   	  -5.09		 47.51   	 -25.43		
  1.83   	 -7.93   	 48.55   	 -10.17		 47.41   	 -25.43		
 65.00   	 74.77   	 48.50   	 -10.17		 47.30   	 -25.43		
134.58   	205.69   	 48.46   	 -20.35		 47.20   	 -25.43		
195.92   	407.41   	 48.38   	 -20.35		 47.10   	 -25.43		
246.58   	709.23   	 48.30   	 -25.43		 47.00   	 -25.43		
294.49   	1123.66   	 48.20   	 -30.52		 46.90   	 -20.35		
340.88   	1606.75   	 48.08   	 -35.61		 46.82   	 -20.35		
375.67   	2041.63   	 47.93   	 -35.61		 46.73   	 -20.35		
379.94   	2274.78(R)	 47.79   	 -35.61		 46.65   	 -20.35		
