  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
 90.03   	548.10   	 22.99   	   5.09		 82.69   	 -76.30		
195.62   	984.50   	 23.01   	  10.17		 82.38   	 -76.30		
308.23   	1409.91   	 23.05   	  15.26		 82.07   	-152.59		
457.15   	1756.90(R)	 23.11   	  20.35		 81.46   	 -71.21		
446.47   	1607.36   	 23.19   	  20.35		 81.18   	 -71.21		
368.35   	1328.74   	 23.28   	  40.69		 80.89   	 -71.21		
241.39   	1025.70   	 23.44   	  55.95		 80.61   	 -71.21		
102.84   	760.50   	 23.66   	  81.38		 80.33   	 -66.12		
 -9.16   	536.19   	 23.99   	 111.90		 80.06   	 -66.12		
-74.16   	334.47   	 24.44   	 152.59		 79.80   	 -61.04		
-95.83   	153.20   	 25.05   	 198.37		 79.55   	 -61.04		
-92.77   	  7.93   	 25.84   	 254.32		 79.31   	 -61.04		
-81.48   	-86.98   	 26.86   	 315.36		 79.06   	 -55.95		
-69.27   	-131.23   	 28.12   	 376.40		 78.84   	 -55.95		
-56.15   	-137.33   	 29.62   	 452.69		 78.62   	 -55.95		
-42.42   	-123.90   	 31.43   	 534.08		 78.39   	 -50.86		
-30.82   	-106.51   	 33.57   	 610.37		 78.19   	 -50.86		
-25.94   	-95.21   	 36.01   	 696.84		 77.99   	 -50.86		
-28.08   	-94.91   	 38.80   	 783.31		 77.78   	 -45.78		
-33.26   	-102.84   	 41.93   	 849.44		 77.60   	 -45.78		
-37.23   	-111.39   	 45.33   	 915.56		 77.42   	 -45.78		
-36.62   	-113.53   	 48.99   	 966.43		 77.23   	 -40.69		
-32.96   	-109.56   	 52.86   	1017.29		 77.07   	 -35.61		
-28.38   	-104.98   	 56.93   	1073.24		 76.93   	 -35.61		
-24.11   	-101.93   	 61.22   	1134.28		 76.79   	 -25.43		
-21.67   	-99.18   	 65.76   	1220.75		 76.68   	 -20.35		
-20.75   	-94.60   	 70.64   	1312.30		 76.60   	  -5.09		
-21.06   	-89.42   	 75.89   	1403.86		 76.58(D)	   5.09		
-22.28   	-85.75   	 81.51   	1480.16		 76.60   	  25.43		
-23.50   	-84.23   	 87.43   	1515.76		 76.70   	  40.69		
-22.89   	-83.62   	 93.49   	1495.42		 76.87   	  76.30		
-21.36   	-81.79   	 99.47   	1414.03		 77.17   	 101.73		
-20.14   	-78.74   	105.13   	1302.13		 77.58   	 137.33		
-20.75   	-75.38   	110.34   	1185.14		 78.13   	 178.03		
-23.19   	-72.02   	115.08   	1078.33		 78.84   	 223.80		
-24.11   	-68.36   	119.39   	1002.03		 79.74   	 264.50		
-22.58   	-64.39   	123.40   	 935.91		 80.79   	 315.36		
-18.92   	-59.81   	127.14   	 885.04		 82.05   	 366.22		
-15.56   	-55.24   	130.68   	 844.35		 83.52   	 412.00		
-14.95   	-51.27   	134.06   	 793.49		 85.17   	 462.87		
-16.48   	-47.00   	137.23   	 757.88		 87.02   	 503.56		
-17.09   	-42.11   	140.26   	 722.28		 89.03   	 549.34		
-15.26   	-36.32   	143.15   	 691.76		 91.23   	 590.03		
-11.29   	-29.60   	145.92   	 661.24		 93.59   	 625.63		
 -7.32   	-21.97   	148.57   	 630.72		 96.09   	 661.24		
 -5.19   	-12.21   	151.09   	 610.37		 98.74   	 686.67		
 -5.19   	 -2.14   	153.53   	 584.94		101.48   	 712.10		
 -6.10   	  7.32   	155.87   	 564.60		104.33   	 737.54		
 -6.10   	 14.95   	158.13   	 534.08		107.28   	 752.79		
 -4.27   	 21.67   	160.26   	 513.73		110.29   	 762.97		
 -1.83   	 29.30   	162.32   	 488.30		113.35   	 773.14		
  0.92   	 40.59   	164.27   	 478.13		116.44   	 778.23		
  4.27   	 54.32   	166.18   	 462.87		119.55   	 778.23		
  7.63   	 68.66   	168.04   	 442.52		122.66   	 778.23		
 11.60   	 82.09   	169.81   	 417.09		125.78   	 768.05		
 15.56   	 93.99   	171.47   	 376.40		128.85   	 768.05		
 18.01   	105.59   	172.98   	 335.71		131.92   	 752.79		
 20.14   	117.80   	174.32   	 305.19		134.93   	 742.62		
 22.89   	130.00   	175.54   	 279.75		137.90   	 722.28		
 27.16   	140.99   	176.66   	 274.67		140.79   	 712.10		
 32.04   	150.15   	177.76   	 274.67		143.64   	 696.84		
 35.71   	157.78   	178.86   	 274.67		146.43   	 671.41		
 37.54   	165.71   	179.96   	 269.58		149.11   	 651.07		
 37.84   	173.65   	181.04   	 264.50		151.72   	 630.72		
 38.15   	180.97   	182.09   	 254.32		154.24   	 605.29		
 39.37   	186.16   	183.11   	 228.89		156.66   	 584.94		
 41.50   	187.68   	184.03   	 213.63		159.00   	 554.42		
 44.25   	186.77   	184.88   	 193.29		161.22   	 528.99		
 47.61   	184.94   	185.66   	 167.85		163.34   	 503.56		
 50.96   	183.41   	186.33   	 147.51		165.35   	 473.04		
 53.71   	180.97   	186.92   	 122.07		167.24   	 442.52		
 52.80   	175.48   	187.41   	 106.82		169.01   	 417.09		
 47.30   	166.02   	187.83   	  81.38		170.68   	 386.57		
 38.76   	153.50   	188.16   	  66.12		172.23   	 356.05		
 30.21   	139.77   	188.42   	  40.69		173.65   	 330.62		
 24.41   	125.73   	188.59   	  30.52		174.97   	 305.19		
 21.36   	111.39   	188.71   	  15.26		176.19   	 274.67		
 19.23   	 94.91   	188.77(S)	  -5.09		177.29   	 244.15		
 15.87   	 77.21   	188.75   	 -30.52		178.27   	 223.80		
 10.99   	 59.51   	188.63   	 -66.12		179.17   	 188.20		
  5.19   	 43.64   	188.36   	 -96.64		179.92   	 162.77		
 -0.31   	 29.91   	187.97   	-127.16		180.57   	 137.33		
 -4.88   	 17.40   	187.47   	-172.94		181.12   	 111.90		
 -8.85   	  3.97   	186.77   	-203.46		181.57   	  81.38		
-12.51   	 -9.77   	185.96   	-254.32		181.89   	  50.86		
-15.26   	-21.36   	184.94   	-289.93		182.09   	  25.43		
-16.17   	-28.99   	183.78   	-340.79		182.20(S)	  -5.09		
-15.26   	-32.35   	182.42   	-386.57		182.18   	 -30.52		
-14.04   	-32.65   	180.87   	-432.35		182.05   	 -55.95		
-14.04   	-32.96   	179.14   	-488.30		181.83   	 -91.56		
-16.78   	-34.48   	177.19   	-539.16		181.46   	-116.99		
-20.75   	-37.23   	175.03   	-595.11		181.00   	-152.59		
-24.11   	-39.98   	172.65   	-656.15		180.39   	-178.03		
-25.02   	-41.81   	170.03   	-732.45		179.67   	-218.72		
-23.50   	-43.33   	167.10   	-803.66		178.80   	-244.15		
-21.67   	-44.86   	163.89   	-885.04		177.82   	-284.84		
-21.06   	-46.69   	160.35   	-971.51		176.68   	-310.27		
-21.97   	-49.13   	156.46   	-1047.81		175.44   	-345.88		
-23.80   	-50.66   	152.27   	-1129.19		174.06   	-381.48		
-25.63   	-50.96   	147.75   	-1205.49		172.53   	-401.83		
-26.25   	-49.44   	142.93   	-1271.61		170.93   	-432.35		
-25.33   	-45.47   	137.84   	-1332.65		169.20   	-457.78		
-23.80   	-39.06   	132.51   	-1373.34		167.36   	-473.04		
-23.80   	-30.82   	127.02   	-1398.77		165.47   	-488.30		
-25.63   	-20.45   	121.42   	-1419.12		163.52   	-503.56		
-29.91   	 -8.24   	115.75   	-1424.21		161.50   	-508.65		
-34.48   	  7.32   	110.05   	-1424.21		159.47   	-508.65		
-37.54   	 27.16   	104.35   	-1414.03		157.44   	-513.73		
-39.67   	 51.88   	 98.70   	-1393.69		155.38   	-513.73		
-43.64   	 82.09   	 93.12   	-1363.17		153.33   	-508.65		
-49.74   	116.88   	 87.67   	-1327.56		151.29   	-503.56		
-53.41   	155.33   	 82.36   	-1276.70		149.28   	-493.39		
-44.56   	199.89   	 77.25   	-1230.92		147.30   	-483.21		
-10.99   	254.52   	 72.33   	-1174.97		145.37   	-473.04		
 51.88   	317.38   	 67.63   	-1119.02		143.48   	-462.87		
136.11   	374.76   	 63.15   	-1052.90		141.63   	-447.61		
225.22   	401.00   	 58.94   	-991.86		139.84   	-432.35		
302.12   	364.07   	 54.97   	-925.73		138.11   	-417.09		
358.58   	246.28   	 51.27   	-859.61		136.44   	-406.92		
396.12   	 67.75   	 47.83   	-793.49		134.81   	-386.57		
415.34   	-106.51   	 44.66   	-727.36		133.26   	-371.31		
406.49   	-189.51   	 41.75   	-671.41		131.78   	-356.05		
354.61   	-123.90   	 39.06   	-605.29		130.36   	-345.88		
253.30   	 71.72   	 36.64   	-549.34		128.97   	-325.53		
115.97   	297.85   	 34.45   	-488.30		127.67   	-315.36		
-21.67   	429.38   	 32.49   	-422.18		126.41   	-295.01		
-124.21   	397.03   	 30.80   	-366.22		125.23   	-289.93		
-176.09   	233.15   	 29.34   	-289.93		124.07   	-269.58		
-187.07   	 37.84   	 28.18   	-213.63		122.99   	-259.41		
-178.83   	-96.44   	 27.32   	-137.33		121.95   	-249.24		
-168.46   	-139.77   	 26.78   	 -45.78		120.96   	-239.06		
-160.22   	-125.73   	 26.59   	  35.61		120.00   	-228.89		
-151.06   	-107.12   	 26.73   	 106.82		119.08   	-213.63		
-137.02   	-108.64   	 27.16   	 172.94		118.23   	-208.54		
-118.10   	-120.24   	 27.85   	 239.06		117.40   	-193.29		
-97.66   	-122.38   	 28.81   	 295.01		116.62   	-188.20		
-77.82   	-106.51   	 29.99   	 361.14		115.87   	-178.03		
-60.12   	-81.79   	 31.43   	 432.35		115.16   	-172.94		
-46.69   	-61.65   	 33.16   	 498.47		114.47   	-162.77		
-38.76   	-53.41   	 35.16   	 569.68		113.81   	-152.59		
-35.10   	-52.80   	 37.44   	 640.89		113.20   	-152.59		
-34.18   	-52.49   	 40.00   	 701.93		112.59   	-142.42		
-33.87   	-47.30   	 42.81   	 757.88		112.02   	-137.33		
-33.57   	-38.45   	 45.84   	 808.75		111.47   	-132.25		
-32.96   	-28.99   	 49.07   	 849.44		110.95   	-127.16		
-32.65   	-21.36   	 52.47   	 885.04		110.44   	-127.16		
-32.04   	-15.26   	 56.01   	 915.56		109.93   	-122.07		
-30.21   	 -9.46   	 59.67   	 935.91		109.44   	-116.99		
-27.77   	 -2.75   	 63.42   	 956.25		108.97   	-116.99		
-25.63   	  5.49   	 67.24   	 976.60		108.50   	-111.90		
-25.33   	 14.34   	 71.15   	 991.86		108.06   	-106.82		
-25.63   	 24.72   	 75.12   	 996.94		107.63   	-106.82		
-25.02   	 35.71   	 79.10   	1002.03		107.20   	-101.73		
-21.97   	 47.61   	 83.11   	 986.77		106.80   	 -96.64		
-17.09   	 59.51   	 87.06   	 951.17		106.41   	 -86.47		
-13.12   	 71.41   	 90.86   	 910.47		106.06   	 -86.47		
-12.21   	 83.01   	 94.51   	 854.52		105.72   	 -71.21		
-14.34   	 93.69   	 97.92   	 788.40		105.43   	 -61.04		
-17.09   	103.76   	101.08   	 727.36		105.19   	 -45.78		
-18.01   	114.75   	103.99   	 666.32		105.00   	 -35.61		
-16.48   	126.95   	106.65   	 610.37		104.86   	 -15.26		
-13.73   	142.21   	109.09   	 554.42		104.80   	   5.09		
-11.60   	160.52   	111.31   	 503.56		104.82   	  25.43		
 -9.77   	181.27   	113.33   	 462.87		104.92   	  45.78		
 -7.02   	202.94   	115.18   	 427.26		105.11   	  61.04		
 -2.75   	223.69   	116.89   	 381.48		105.35   	  86.47		
  2.14   	244.14   	118.41   	 345.88		105.70   	 101.73		
  6.10   	264.28   	119.80   	 305.19		106.10   	 122.07		
  8.54   	285.34   	121.02   	 264.50		106.59   	 142.42		
 10.38   	306.70   	122.07   	 228.89		107.16   	 157.68		
 12.51   	327.15   	122.99   	 193.29		107.79   	 167.85		
 15.56   	346.37   	123.76   	 157.68		108.46   	 188.20		
 18.31   	364.38   	124.39   	 127.16		109.22   	 193.29		
 19.84   	381.16   	124.90   	  91.56		109.99   	 203.46		
 20.75   	395.81   	125.27   	  50.86		110.80   	 213.63		
 22.28   	407.71   	125.47   	  20.35		111.66   	 213.63		
 26.25   	417.79   	125.55   	 -25.43		112.51   	 213.63		
 32.35   	427.25   	125.45   	 -61.04		113.37   	 213.63		
 38.76   	437.01   	125.21   	-101.73		114.22   	 213.63		
 43.03   	445.86   	124.80   	-147.51		115.08   	 203.46		
 44.56   	450.74   	124.21   	-183.11		115.89   	 198.37		
 43.64   	448.00   	123.48   	-228.89		116.68   	 188.20		
 41.81   	436.40   	122.56   	-264.50		117.44   	 172.94		
 39.98   	417.18   	121.51   	-289.93		118.13   	 157.68		
 38.76   	391.24   	120.35   	-315.36		118.76   	 142.42		
 39.37   	359.19   	119.08   	-325.53		119.33   	 122.07		
 40.89   	322.27   	117.78   	-345.88		119.82   	 106.82		
 41.50   	282.29   	116.40   	-366.22		120.24   	  81.38		
 38.76   	242.00   	114.93   	-396.74		120.57   	  55.95		
 31.43   	202.33   	113.35   	-437.43		120.79   	  30.52		
 20.75   	164.18   	111.60   	-488.30		120.92   	  10.17		
 10.68   	126.65   	109.64   	-544.25		120.96   	 -20.35		
  4.58   	 90.03   	107.47   	-610.37		120.87   	 -45.78		
  2.44   	 56.15   	105.03   	-666.32		120.69   	 -71.21		
  1.83   	 26.55   	102.36   	-722.28		120.41   	 -96.64		
  0.00   	  0.92   	 99.47   	-783.31		120.02   	-116.99		
 -4.58   	-20.75   	 96.34   	-824.00		119.55   	-142.42		
-10.68   	-39.37   	 93.04   	-864.70		118.98   	-157.68		
-16.78   	-55.54   	 89.58   	-895.22		118.35   	-178.03		
-21.36   	-68.66   	 86.00   	-910.47		117.64   	-193.29		
-24.41   	-79.04   	 82.36   	-930.82		116.87   	-208.54		
-26.25   	-87.59   	 78.64   	-930.82		116.03   	-213.63		
-28.38   	-94.91   	 74.91   	-920.65		115.18   	-223.80		
-30.21   	-100.40   	 71.23   	-915.56		114.28   	-233.98		
-31.43   	-103.76   	 67.57   	-890.13		113.35   	-233.98		
-31.43   	-104.68   	 64.01   	-874.87		112.41   	-239.06		
-30.82   	-104.68   	 60.51   	-844.35		111.45   	-239.06		
-30.52   	-105.29   	 57.13   	-813.83		110.50   	-239.06		
-32.04   	-107.73   	 53.88   	-783.31		109.54   	-233.98		
-33.57   	-111.69   	 50.74   	-747.71		108.61   	-233.98		
-34.48   	-115.36   	 47.75   	-712.10		107.67   	-228.89		
-33.57   	-116.27   	 44.90   	-666.32		106.75   	-223.80		
-31.74   	-115.05   	 42.24   	-620.55		105.86   	-223.80		
-30.52   	-112.30   	 39.76   	-579.86		104.96   	-213.63		
-30.21   	-110.47   	 37.44   	-539.16		104.11   	-208.54		
-29.91   	-110.47   	 35.28   	-488.30		103.28   	-203.46		
-29.60   	-112.30   	 33.33   	-452.69		102.46   	-198.37		
-28.99   	-114.44   	 31.52   	-406.92		101.67   	-188.20		
-29.30   	-115.66   	 29.89   	-371.31		100.92   	-183.11		
-29.91   	-115.97   	 28.40   	-335.71		100.18   	-172.94		
-30.82   	-115.36   	 27.06   	-305.19		 99.49   	-172.94		
-31.43   	-115.36   	 25.84   	-274.67		 98.80   	-162.77		
-32.04   	-116.27   	 24.74   	-259.41		 98.15   	-157.68		
-32.96   	-117.80   	 23.70   	-239.06		 97.52   	-147.51		
-34.18   	-120.54   	 22.75   	-223.80		 96.93   	-142.42		
-36.01   	-124.21   	 21.85   	-208.54		 96.36   	-142.42		
-36.62   	-126.95   	 21.02   	-203.46		 95.79   	-132.25		
-34.48   	-127.87   	 20.20   	-183.11		 95.26   	-127.16		
-30.52   	-126.95   	 19.47   	-172.94		 94.75   	-122.07		
-25.94   	-124.82   	 18.78   	-152.59		 94.26   	-116.99		
-23.50   	-123.90   	 18.17   	-142.42		 93.79   	-111.90		
-24.41   	-125.12   	 17.60   	-122.07		 93.35   	-111.90		
-27.77   	-127.56   	 17.11   	-106.82		 92.90   	-101.73		
-29.91   	-130.00   	 16.68   	-101.73		 92.49   	-101.73		
-29.60   	-130.92   	 16.28   	 -86.47		 92.09   	-101.73		
-28.08   	-131.53   	 15.93   	 -76.30		 91.68   	 -91.56		
-27.16   	-131.84   	 15.63   	 -66.12		 91.31   	 -96.64		
-27.47   	-131.84   	 15.36   	 -61.04		 90.93   	 -86.47		
-28.38   	-131.23   	 15.12   	 -61.04		 90.58   	 -91.56		
-27.77   	-130.00   	 14.87   	 -50.86		 90.21   	 -81.38		
-26.25   	-128.78   	 14.67   	 -50.86		 89.89   	 -86.47		
-25.02   	-128.48   	 14.47   	 -50.86		 89.54   	 -81.38		
-25.63   	-128.48   	 14.26   	 -40.69		 89.22   	 -76.30		
-28.08   	-127.87   	 14.10   	 -35.61		 88.91   	 -81.38		
-30.52   	-126.34   	 13.96   	 -35.61		 88.59   	 -76.30		
-30.82   	-125.43   	 13.81   	 -30.52		 88.28   	 -71.21		
-29.91   	-125.43   	 13.69   	 -25.43		 88.00   	 -76.30		
-28.69   	-126.95   	 13.59   	 -25.43		 87.69   	 -71.21		
-28.38   	-128.17   	 13.49   	 -25.43		 87.41   	 -66.12		
-28.69   	-127.56   	 13.39   	 -25.43		 87.14   	 -71.21		
-28.08   	-125.43   	 13.29   	 -15.26		 86.86   	 -66.12		
-26.55   	-122.38   	 13.22   	 -15.26		 86.59   	 -61.04		
-24.41   	-120.24   	 13.16   	  -5.09		 86.35   	 -66.12		
-24.11   	-120.24   	 13.14(D)	   5.09		 86.08   	 -61.04		
-26.55   	-121.77   	 13.16   	   5.09		 85.84   	 -61.04		
-30.21   	-124.51   	 13.18   	  10.17		 85.59   	 -55.95		
-32.35   	-126.65   	 13.22   	  15.26		 85.37   	 -61.04		
-31.43   	-128.17   	 13.29   	  20.35		 85.13   	 -55.95		
-28.38   	-129.09   	 13.37   	  20.35		 84.90   	 -55.95		
-26.55   	-129.70   	 13.45   	  20.35		 84.68   	 -50.86		
-27.77   	-130.31   	 13.53   	  25.43		 84.48   	 -55.95		
-32.04   	-130.31   	 13.63   	  25.43		 84.25   	 -50.86		
-35.71   	-128.48   	 13.73   	  25.43		 84.05   	 -50.86		
-36.01   	-124.82   	 13.84   	  20.35		 83.85   	 -50.86		
-32.96   	-121.15   	 13.92   	  25.43		 83.64   	 -50.86		
-27.47   	-119.32   	 14.02   	  20.35		 83.44   	 -50.86		
-22.89   	-119.93   	 14.10   	  20.35		 83.23   	 -45.78		
-20.75   	-121.77   	 14.18   	  20.35		 83.05   	 -50.86		
-21.36   	-122.07   	 14.26   	  20.35		 82.85   	 -45.78		
-24.41   	-120.24   	 14.34   	  20.35		 82.66   	 -45.78		
-27.77   	-117.49   	 14.43   	  10.17		 82.48   	 -50.86		
-30.82   	-116.88   	 14.47   	  15.26		 82.28   	 -45.78		
-32.35   	-120.24   	 14.53   	  10.17		 82.10   	 -50.86		
-32.35   	-124.51   	 14.57   	   5.09		 81.89   	 -45.78		
-30.21   	-126.04   	 14.59   	   5.09		 81.71   	 -45.78		
-27.16   	-122.68   	 14.61   	   5.09		 81.53   	 -50.86		
-23.19   	-115.66   	 14.63   	   0.00		 81.32   	 -45.78		
-21.06   	-109.86   	 14.63   	   5.09		 81.14   	 -50.86		
-21.97   	-108.34   	 14.65   	   0.00		 80.94   	 -45.78		
-24.72   	-111.08   	 14.65   	   0.00		 80.75   	 -50.86		
-26.86   	-115.66   	 14.65   	   0.00		 80.55   	 -45.78		
-26.55   	-119.32   	 14.65   	   0.00		 80.37   	 -45.78		
-23.50   	-120.54   	 14.65   	   0.00		 80.18   	 -50.86		
-20.45   	-119.63   	 14.65   	  -5.09		 79.98   	 -45.78		
-19.53   	-117.49   	 14.63   	   0.00		 79.80   	 -45.78		
-20.75   	-115.66   	 14.63   	  -5.09		 79.61   	 -50.86		
-22.58   	-114.75   	 14.61   	   0.00		 79.41   	 -45.78		
-22.89   	-115.36   	 14.61   	  -5.09		 79.23   	 -45.78		
-22.58   	-115.97   	 14.59   	   0.00		 79.04   	 -50.86		
-22.28   	-116.27   	 14.59   	   0.00		 78.84   	 -45.78		
-22.58   	-115.36   	 14.59   	   0.00		 78.66   	 -50.86		
-23.50   	-113.22   	 14.59   	   5.09		 78.45   	 -50.86		
-23.80   	-111.39   	 14.61   	   0.00		 78.25   	 -45.78		
-23.80   	-111.08   	 14.61   	   0.00		 78.07   	 -50.86		
-23.50   	-112.30   	 14.61   	   0.00		 77.86   	 -50.86		
-23.50   	-113.83   	 14.61   	   5.09		 77.66   	 -50.86		
-22.89   	-114.44   	 14.63   	   0.00		 77.46   	 -45.78		
-21.36   	-112.61   	 14.63   	   0.00		 77.27   	 -50.86		
-19.23   	-108.64   	 14.63   	   5.09		 77.07   	 -50.86		
-17.40   	-103.45   	 14.65   	   0.00		 76.87   	 -50.86		
-16.48   	-100.10   	 14.65   	   5.09		 76.66   	 -45.78		
-17.09   	-101.01   	 14.67   	   0.00		 76.48   	 -50.86		
-18.31   	-105.90   	 14.67   	   5.09		 76.28   	 -45.78		
-19.53   	-112.30   	 14.69   	   5.09		 76.09   	 -45.78		
-20.14   	-115.66   	 14.71   	   0.00		 75.91   	 -50.86		
-20.75   	-113.22   	 14.71   	   5.09		 75.71   	 -45.78		
-21.06   	-107.12   	 14.73   	   0.00		 75.52   	 -45.78		
-21.67   	-101.01   	 14.73   	   5.09		 75.34   	 -45.78		
-21.97   	-98.57   	 14.75   	   5.09		 75.16   	 -45.78		
-22.28   	-99.49   	 14.77   	   0.00		 74.97   	 -45.78		
-21.67   	-101.93   	 14.77   	   0.00		 74.79   	 -40.69		
-20.45   	-102.84   	 14.77   	   0.00		 74.63   	 -45.78		
-19.23   	-101.93   	 14.77   	   5.09		 74.45   	 -40.69		
-19.23   	-100.71   	 14.79   	   0.00		 74.28   	 -45.78		
-20.75   	-99.18   	 14.79   	   0.00		 74.10   	 -40.69		
-23.19   	-96.44   	 14.79   	   5.09		 73.94   	 -40.69		
-24.72   	-90.03   	 14.81   	   0.00		 73.77   	 -45.78		
-23.50   	-78.13   	 14.81   	   5.09		 73.59   	 -35.61		
-20.45   	-61.34   	 14.83   	   0.00		 73.45   	 -40.69		
-17.40   	-41.81   	 14.83   	   5.09		 73.29   	 -40.69		
-16.78   	-22.58   	 14.85   	   0.00		 73.12   	 -40.69		
-18.01   	 -4.88   	 14.85   	   5.09		 72.96   	 -35.61		
-19.23   	 11.60   	 14.87   	   5.09		 72.82   	 -35.61		
-18.92   	 25.63   	 14.89   	   0.00		 72.68   	 -35.61		
-15.56   	 36.01   	 14.89   	   5.09		 72.53   	 -40.69		
-10.68   	 41.20   	 14.91   	   0.00		 72.37   	 -30.52		
 -6.10   	 42.42   	 14.91   	   5.09		 72.25   	 -35.61		
 -3.36   	 42.11   	 14.93   	   0.00		 72.11   	 -35.61		
 -2.75   	 43.03   	 14.93   	  -5.09		 71.96   	 -30.52		
 -3.97   	 44.25   	 14.91   	   0.00		 71.84   	 -35.61		
 -5.49   	 42.72   	 14.91   	  -5.09		 71.70   	 -30.52		
 -4.88   	 39.37   	 14.89   	  -5.09		 71.58   	 -35.61		
 -0.92   	 38.45   	 14.87   	  -5.09		 71.43   	 -30.52		
  6.71   	 45.47   	 14.85   	  -5.09		 71.31   	 -30.52		
 16.48   	 59.51   	 14.83   	  -5.09		 71.19   	 -30.52		
 25.02   	 71.11   	 14.81   	 -10.17		 71.07   	 -35.61		
 28.69   	 71.11   	 14.77   	  -5.09		 70.93   	 -30.52		
 25.94   	 56.15   	 14.75   	  -5.09		 70.80   	 -30.52		
 16.78   	 31.74   	 14.73   	   0.00		 70.68   	 -30.52		
  3.36   	  6.71   	 14.73   	   0.00		 70.56   	 -30.52		
-10.68   	-16.78   	 14.73   	   5.09		 70.44   	 -30.52		
-21.97   	-42.42   	 14.75   	  10.17		 70.32   	 -30.52		
-28.99   	-72.94   	 14.79   	  15.26		 70.19   	 -25.43		
-31.43   	-105.59   	 14.85   	  20.35		 70.09   	 -30.52		
-30.52   	-132.14   	 14.93   	  20.35		 69.97   	 -30.52		
-29.30   	-146.79   	 15.02   	  30.52		 69.85   	 -25.43		
-29.60   	-150.45   	 15.14   	  30.52		 69.75   	 -25.43		
-30.82   	-149.23   	 15.26   	  35.61		 69.64   	 -25.43		
-31.43   	-147.71   	 15.40   	  45.78		 69.54   	 -25.43		
-30.52   	-147.71   	 15.58   	  50.86		 69.44   	 -25.43		
-27.16   	-147.09   	 15.79   	  50.86		 69.34   	 -20.35		
-23.50   	-145.57   	 15.99   	  55.95		 69.26   	 -20.35		
-21.97   	-144.65   	 16.22   	  55.95		 69.18   	 -25.43		
-23.50   	-145.87   	 16.44   	  66.12		 69.07   	 -20.35		
-27.47   	-149.54   	 16.70   	  61.04		 68.99   	 -20.35		
-31.74   	-152.59   	 16.95   	  66.12		 68.91   	 -20.35		
-33.87   	-152.89   	 17.21   	  61.04		 68.83   	 -20.35		
-32.65   	-149.54   	 17.46   	  66.12		 68.75   	 -25.43		
-28.99   	-143.74   	 17.72   	  61.04		 68.65   	 -20.35		
-25.02   	-137.94   	 17.97   	  66.12		 68.57   	 -25.43		
-23.19   	-134.28   	 18.23   	  66.12		 68.46   	 -20.35		
-24.11   	-132.45   	 18.49   	  76.30		 68.38   	 -25.43		
-27.16   	-132.75   	 18.80   	  86.47		 68.28   	 -25.43		
-30.21   	-133.67   	 19.15   	  96.64		 68.18   	 -25.43		
-32.35   	-134.28   	 19.53   	 101.73		 68.08   	 -25.43		
-32.65   	-134.28   	 19.94   	 111.90		 67.98   	 -25.43		
-31.74   	-132.45   	 20.39   	 116.99		 67.87   	 -25.43		
-30.21   	-128.78   	 20.85   	 116.99		 67.77   	 -25.43		
-28.08   	-123.60   	 21.32   	 116.99		 67.67   	 -25.43		
-26.55   	-118.10   	 21.79   	 111.90		 67.57   	 -20.35		
-25.94   	-113.83   	 22.24   	 106.82		 67.49   	 -25.43		
-26.55   	-111.39   	 22.67   	 101.73		 67.39   	 -20.35		
-27.77   	-110.17   	 23.07   	  91.56		 67.30   	 -20.35		
-28.69   	-109.56   	 23.44   	  86.47		 67.22   	 -25.43		
-28.99   	-108.34   	 23.78   	  76.30		 67.12   	 -20.35		
-28.38   	-106.51   	 24.09   	  66.12		 67.04   	 -15.26		
-28.69   	-104.06   	 24.35   	  50.86		 66.98   	 -20.35		
-29.60   	-101.93   	 24.56   	  45.78		 66.90   	 -20.35		
-30.21   	-100.71   	 24.74   	  30.52		 66.82   	 -20.35		
-28.69   	-100.40   	 24.86   	  15.26		 66.73   	 -15.26		
-25.02   	-101.01   	 24.92   	   5.09		 66.67   	 -20.35		
-21.36   	-101.32   	 24.94   	 -10.17		 66.59   	 -20.35		
-20.45   	-101.01   	 24.90   	 -30.52		 66.51   	 -20.35		
-22.89   	-99.79   	 24.78   	 -35.61		 66.43   	 -20.35		
-25.63   	-96.74   	 24.64   	 -50.86		 66.35   	 -25.43		
-26.55   	-93.38   	 24.44   	 -50.86		 66.25   	 -25.43		
-25.33   	-90.64   	 24.23   	 -61.04		 66.14   	 -25.43		
-23.19   	-89.72   	 23.99   	 -55.95		 66.04   	 -25.43		
-22.58   	-89.72   	 23.76   	 -61.04		 65.94   	 -30.52		
-23.50   	-89.42   	 23.52   	 -66.12		 65.82   	 -30.52		
-24.41   	-88.50   	 23.26   	 -66.12		 65.70   	 -30.52		
-24.41   	-86.67   	 22.99   	 -66.12		 65.57   	 -30.52		
-24.11   	-86.06   	 22.73   	 -66.12		 65.45   	 -30.52		
-23.80   	-86.98   	 22.46   	 -61.04		 65.33   	 -35.61		
-24.41   	-88.20   	 22.22   	 -66.12		 65.19   	 -30.52		
-25.33   	-88.20   	 21.95   	 -55.95		 65.07   	 -30.52		
-28.69   	-86.98   	 21.73   	 -50.86		 64.94   	 -30.52		
-36.32   	-89.72   	 21.53   	 -50.86		 64.82   	 -30.52		
-48.83   	-101.62   	 21.32   	 -40.69		 64.70   	 -35.61		
-62.56   	-119.32   	 21.16   	 -40.69		 64.56   	 -30.52		
