  I     	  II     	  AOp     	  AOp'		
-15.87   	-90.03   	 73.22   	 -55.95		
-22.58   	-100.40   	 73.00   	 -61.04		
-36.01   	-118.41   	 72.76   	 -55.95		
-56.15   	-137.63   	 72.53   	 -61.04		
-76.90   	-144.96   	 72.29   	 -55.95		
-84.84   	-123.90   	 72.06   	 -55.95		
-61.65   	-64.39   	 71.84   	 -61.04		
  7.93   	 27.77   	 71.60   	 -55.95		
134.28   	139.77   	 71.37   	 -55.95		
325.62   	267.33   	 71.15   	 -55.95		
585.63   	426.64   	 70.93   	 -55.95		
896.91   	639.04   	 70.70   	 -50.86		
1192.63   	887.45   	 70.50   	 -55.95		
1362.30   	1085.51   	 70.27   	 -55.95		
1301.88   	1114.81   	 70.05   	 -50.86		
987.24   	903.93   	 69.85   	 -50.86		
515.44   	495.00   	 69.64   	 -55.95		
 64.09   	 42.42   	 69.42   	 -50.86		
-213.62   	-277.71   	 69.22   	 -55.95		
-275.88   	-379.33   	 68.99   	 -50.86		
-192.87   	-301.51   	 68.79   	 -50.86		
-79.04   	-156.56   	 68.59   	 -50.86		
-13.43   	-46.39   	 68.38   	 -55.95		
-10.38   	-11.60   	 68.16   	 -50.86		
-40.59   	-32.65   	 67.95   	 -55.95		
-69.58   	-69.27   	 67.73   	 -50.86		
-82.40   	-93.69   	 67.53   	 -55.95		
-81.48   	-99.49   	 67.30   	 -50.86		
-75.68   	-93.08   	 67.10   	 -50.86		
-72.63   	-85.45   	 66.90   	 -50.86		
-75.38   	-82.40   	 66.69   	 -50.86		
-81.18   	-85.14   	 66.49   	 -50.86		
-85.14   	-89.42   	 66.29   	 -45.78		
-84.84   	-91.55   	 66.10   	 -40.69		
-81.79   	-91.25   	 65.94   	 -35.61		
-79.04   	-90.33   	 65.80   	 -30.52		
-78.13   	-89.11   	 65.68   	 -25.43		
-78.74   	-86.67   	 65.57   	 -15.26		
-79.35   	-83.62   	 65.51   	  -5.09		
-79.65   	-80.87   	 65.49   	   5.09		
-79.35   	-79.96   	 65.51   	  15.26		
-79.35   	-80.57   	 65.57   	  25.43		
-79.65   	-81.18   	 65.68   	  45.78		
-80.26   	-79.65   	 65.86   	  55.95		
-79.96   	-75.99   	 66.08   	  76.30		
-78.74   	-71.41   	 66.39   	  91.56		
-76.60   	-67.44   	 66.75   	 111.90		
-75.38   	-65.31   	 67.20   	 127.16		
-75.99   	-65.31   	 67.71   	 142.42		
-78.13   	-65.61   	 68.28   	 162.77		
-80.26   	-65.00   	 68.93   	 172.94		
-81.48   	-62.87   	 69.62   	 193.29		
