  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
 41.81   	 14.34   	 14.00   	   5.09		 63.85   	 -10.17		
 42.72   	  9.77   	 14.02   	   0.00		 63.80   	 -20.35		
 37.23   	  8.24   	 14.02   	   5.09		 63.72   	 -20.35		
 24.11   	  2.75   	 14.04   	   0.00		 63.64   	 -15.26		
  4.88   	 -8.85   	 14.04   	   0.00		 63.58   	 -10.17		
-16.17   	-24.41   	 14.04   	   5.09		 63.54   	 -15.26		
-32.96   	-39.98   	 14.06   	   5.09		 63.48   	 -15.26		
-40.89   	-53.41   	 14.08   	   5.09		 63.42   	 -20.35		
-39.98   	-65.31   	 14.10   	  10.17		 63.34   	 -15.26		
-34.48   	-74.77   	 14.14   	  15.26		 63.28   	 -20.35		
-28.99   	-80.57   	 14.20   	  15.26		 63.19   	 -10.17		
-26.86   	-82.70   	 14.26   	  25.43		 63.15   	 -15.26		
-27.77   	-82.09   	 14.36   	  30.52		 63.09   	 -20.35		
-29.60   	-79.96   	 14.49   	  35.61		 63.01   	 -20.35		
-31.13   	-78.13   	 14.63   	  40.69		 62.93   	 -15.26		
-31.74   	-77.21   	 14.79   	  50.86		 62.87   	 -15.26		
-31.43   	-77.51   	 14.99   	  50.86		 62.81   	 -10.17		
-31.13   	-78.43   	 15.20   	  55.95		 62.77   	  -5.09		
-31.74   	-80.57   	 15.42   	  61.04		 62.75   	 -10.17		
-33.87   	-85.14   	 15.67   	  55.95		 62.71   	 -20.35		
-38.76   	-94.30   	 15.89   	  61.04		 62.62   	 -15.26		
-47.30   	-112.61   	 16.13   	  55.95		 62.56   	 -15.26		
-60.73   	-144.04   	 16.36   	  61.04		 62.50   	 -10.17		
-79.65   	-189.21   	 16.60   	  55.95		 62.46   	  -5.09		
-101.32   	-238.65   	 16.83   	  66.12		 62.44   	 -10.17		
-115.66   	-273.44   	 17.09   	  71.21		 62.40   	 -10.17		
-106.81   	-270.08   	 17.38   	  76.30		 62.36   	 -15.26		
-56.46   	-210.57   	 17.68   	  81.38		 62.30   	 -10.17		
 48.22   	-88.81   	 18.01   	  96.64		 62.26   	 -10.17		
205.08   	 88.20   	 18.39   	 101.73		 62.22   	  -5.09		
391.85   	307.92   	 18.80   	 106.82		 62.20   	 -10.17		
567.93   	563.66   	 19.23   	 116.99		 62.16   	 -10.17		
685.73   	852.66   	 19.69   	 122.07		 62.12   	 -15.26		
708.92   	1146.55   	 20.18   	 259.41		 62.05   	 -20.35		
472.11   	1454.16(R)	 21.22(E)	 127.16		 61.97   	  -5.09		
288.70   	1334.53   	 21.73   	 132.25		 61.95   	 -10.17		
126.95   	1042.48   	 22.26   	 137.33		 61.91   	 -15.26		
 12.21   	682.98   	 22.81   	 142.42		 61.85   	 -25.43		
-58.59   	376.59   	 23.38   	 152.59		 61.75   	 -25.43		
-103.45   	184.33   	 23.99   	 183.11		 61.65   	 -15.26		
-138.24   	 93.99   	 24.72   	 223.80		 61.59   	 -25.43		
-166.02   	 59.51   	 25.62   	 279.75		 61.49   	 -20.35		
-179.44   	 41.81   	 26.73   	 356.05		 61.40   	 -10.17		
-172.42   	 25.94   	 28.16   	 452.69		 61.36   	   5.09		
-146.79   	 10.99   	 29.97   	 549.34		 61.38   	   5.09		
-112.92   	 -7.02   	 32.17   	 666.32		 61.40   	  20.35		
