  I     	  LV     	  LV'		  AO     	  AO'		
 10.38   	 19.23   	  10.17		 96.50   	 -66.12		
 12.21   	 19.27   	  10.17		 96.24   	 -61.04		
 13.12   	 19.31   	  10.17		 95.99   	 -66.12		
 10.68   	 19.35   	  10.17		 95.73   	 -66.12		
  1.53   	 19.39   	  10.17		 95.46   	 -61.04		
-14.95   	 19.43   	  15.26		 95.22   	 -61.04		
-36.62   	 19.49   	  15.26		 94.97   	 -61.04		
-57.98   	 19.55   	  15.26		 94.73   	 -61.04		
-74.46   	 19.61   	  15.26		 94.49   	 -61.04		
-83.31   	 19.67   	  10.17		 94.24   	 -55.95		
-85.14   	 19.72   	  10.17		 94.02   	 -55.95		
-83.01   	 19.76   	   5.09		 93.79   	 -55.95		
-79.96   	 19.78   	   5.09		 93.57   	 -50.86		
-77.82   	 19.80   	   0.00		 93.37   	 -55.95		
-76.90   	 19.80   	   0.00		 93.14   	 -45.78		
-76.60   	 19.80   	   0.00		 92.96   	 -50.86		
-75.99   	 19.80   	   0.00		 92.76   	 -50.86		
-75.07   	 19.80   	   0.00		 92.55   	 -45.78		
-73.85   	 19.80   	  10.17		 92.37   	 -45.78		
-73.55   	 19.84   	  15.26		 92.19   	 -40.69		
-73.85   	 19.90   	  15.26		 92.02   	 -45.78		
-74.46   	 19.96   	  25.43		 91.84   	 -40.69		
-74.77   	 20.06   	  30.52		 91.68   	 -35.61		
-75.07   	 20.18   	  30.52		 91.54   	 -35.61		
-76.90   	 20.31   	  35.61		 91.39   	 -35.61		
-83.01   	 20.45   	  30.52		 91.25   	 -30.52		
-95.52   	 20.57   	  25.43		 91.13   	 -30.52		
-113.22   	 20.67   	  25.43		 91.01   	 -30.52		
-133.06   	 20.77   	  20.35		 90.88   	 -30.52		
-151.06   	 20.85   	  15.26		 90.76   	 -25.43		
-161.44   	 20.92   	  15.26		 90.66   	 -30.52		
-156.86   	 20.98   	  10.17		 90.54   	 -30.52		
-125.43   	 21.02   	   5.09		 90.42   	 -35.61		
-51.88   	 21.04   	  10.17		 90.27   	 -35.61		
 73.85   	 21.08   	  10.17		 90.13   	 -40.69		
246.89   	 21.12   	  10.17		 89.97   	 -40.69		
439.45   	 21.16   	  15.26		 89.81   	 -40.69		
596.31   	 21.22   	  20.35		 89.64   	 -50.86		
654.30(R)	 21.30   	  30.52		 89.44   	 -45.78		
583.50   	 21.42   	  35.61		 89.26   	 -50.86		
411.07   	 21.57   	  50.86		 89.05   	 -50.86		
217.29   	 21.77   	  71.21		 88.85   	 -55.95		
 90.03   	 22.05   	  91.56		 88.63   	 -50.86		
 67.75   	 22.42   	 116.99		 88.42   	 -50.86		
117.49   	 22.89   	 152.59		 88.22   	 -50.86		
171.20   	 23.50   	 198.37		 88.02   	 -50.86		
176.70   	 24.29   	 254.32		 87.81   	 -50.86		
128.78   	 25.31   	 320.45		 87.61   	 -45.78		
 54.93   	 26.59   	 401.83		 87.43   	 -45.78		
-12.21   	 28.20   	 498.47		 87.24   	 -50.86		
-54.32   	 30.19   	 600.20		 87.04   	 -45.78		
-69.27   	 32.59   	 707.02		 86.86   	 -45.78		
-63.78   	 35.42   	 813.83		 86.67   	 -45.78		
-47.91   	 38.68   	 905.39		 86.49   	 -45.78		
-33.57   	 42.30   	 986.77		 86.31   	 -45.78		
-29.30   	 46.25   	1057.98		 86.12   	 -45.78		
-34.48   	 50.48   	1113.93		 85.94   	 -45.78		
-41.20   	 54.93   	1164.80		 85.76   	 -45.78		
-42.42   	 59.59   	1210.58		 85.57   	 -50.86		
-37.54   	 64.44   	1251.27		 85.37   	 -50.86		
-30.82   	 69.44   	1266.53		 85.17   	 -50.86		
-27.16   	 74.51   	1271.61		 84.96   	 -50.86		
-26.25   	 79.59   	1251.27		 84.76   	 -45.78		
-25.94   	 84.60   	1210.58		 84.58   	 -40.69		
-24.11   	 89.44   	1149.54		 84.41   	 -30.52		
-19.84   	 94.04   	1083.41		 84.29   	 -10.17		
-14.04   	 98.37   	1012.20		 84.25   	   5.09		
 -8.24   	102.42   	 935.91		 84.27   	  35.61		
 -3.66   	106.16   	 874.87		 84.41   	  66.12		
  0.00   	109.66   	 818.92		 84.68   	 101.73		
  2.75   	112.94   	 778.23		 85.09   	 132.25		
  6.41   	116.05   	 747.71		 85.62   	 172.94		
 11.29   	119.04   	 722.28		 86.31   	 208.54		
 16.78   	121.93   	 707.02		 87.14   	 239.06		
 22.89   	124.76   	 686.67		 88.10   	 269.58		
 29.30   	127.51   	 666.32		 89.18   	 289.93		
 35.71   	130.17   	 635.81		 90.34   	 305.19		
 43.03   	132.72   	 600.20		 91.56   	 320.45		
 50.66   	135.12   	 544.25		 92.84   	 315.36		
 58.90   	137.29   	 493.39		 94.10   	 320.45		
 66.22   	139.27   	 427.26		 95.38   	 315.36		
 73.55   	140.98   	 366.22		 96.64   	 300.10		
 81.18   	142.44   	 305.19		 97.84   	 295.01		
 90.03   	143.66   	 254.32		 99.02   	 274.67		
100.10   	144.68   	 218.72		100.12   	 259.41		
111.08   	145.55   	 183.11		101.16   	 244.15		
122.68   	146.29   	 178.03		102.14   	 233.98		
134.89   	147.00   	 178.03		103.07   	 223.80		
147.09   	147.71   	 183.11		103.97   	 208.54		
158.69   	148.44   	 203.46		104.80   	 208.54		
168.76   	149.26   	 218.72		105.64   	 203.46		
176.09   	150.13   	 223.80		106.45   	 203.46		
180.05   	151.03   	 223.80		107.26   	 198.37		
180.36   	151.92   	 208.54		108.06   	 193.29		
177.31   	152.76   	 178.03		108.83   	 193.29		
170.29   	153.47   	 137.33		109.60   	 188.20		
160.22   	154.02   	  81.38		110.36   	 167.85		
146.79   	154.34   	  15.26		111.03   	 157.68		
131.53   	154.40   	 -55.95		111.66   	 137.33		
114.75   	154.18   	-137.33		112.21   	 111.90		
 97.05   	153.63   	-213.63		112.65   	  86.47		
 78.43   	152.78   	-274.67		113.00   	  61.04		
 59.51   	151.68   	-325.53		113.24   	  35.61		
 42.11   	150.38   	-345.88		113.39   	  15.26		Beg---------
 26.86   	148.99   	-350.97		113.45   	  -5.09		
 13.43   	147.59   	-325.53		113.43   	 -20.35		
  1.53   	146.29   	-289.93		113.35   	 -30.52		
-10.38   	145.13   	-239.06		113.22   	 -35.61		
-22.28   	144.17   	-188.20		113.08   	 -30.52		
-34.48   	143.42   	-147.51		112.96   	 -20.35		
-45.47   	142.83   	-127.16		112.88   	 -10.17		
-54.32   	142.32   	-122.07		112.84   	   5.09		
-60.42   	141.83   	-132.25		112.86   	  15.26		
-63.78   	141.30   	-152.59		112.92   	  25.43		
-65.61   	140.69   	-188.20		113.02   	  40.69		
-67.44   	139.94   	-218.72		113.18   	  45.78		
-70.50   	139.06   	-254.32		113.37   	  55.95		
-74.16   	138.05   	-295.01		113.59   	  55.95		
-77.51   	136.87   	-325.53		113.81   	  61.04		
-79.04   	135.56   	-366.22		114.06   	  61.04		
-79.04   	134.10   	-412.00		114.30   	  50.86		
-78.43   	132.45   	-457.78		114.51   	  45.78		
-77.51   	130.62   	-498.47		114.69   	  35.61		
-77.21   	128.63   	-544.25		114.83   	  20.35		
-76.90   	126.45   	-579.86		114.91   	  10.17		
-76.90   	124.13   	-620.55		114.95(S)	  -5.09		
-76.90   	121.65   	-656.15		114.93   	 -20.35		
-76.90   	119.02   	-701.93		114.85   	 -30.52		
-76.60   	116.22   	-747.71		114.73   	 -50.86		
-75.68   	113.22   	-783.31		114.53   	 -66.12		
-73.85   	110.09   	-829.09		114.26   	 -81.38		
-72.02   	106.77   	-874.87		113.94   	 -91.56		
