  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-115.05   	-321.66   	 66.75   	2049.84		 63.46   	 -66.12		
-118.10   	-310.67   	 74.95   	2110.88		 63.19   	 -61.04		
-144.04   	-310.67   	 83.40   	1993.89		 62.95   	 -55.95		
-151.37   	-310.06   	 91.37   	1719.22		 62.73   	 -35.61		
-132.75   	-285.34   	 98.25   	1317.39		 62.58   	 -25.43		
-110.47   	-258.18   	103.52   	 864.70		 62.48   	 -15.26		
-83.92   	-217.59   	106.98   	 447.61		 62.42   	 -15.26		
-43.95   	-159.00   	108.77   	 147.51		 62.36   	 -15.26		
 -9.46   	-90.94   	109.36   	  45.78		 62.30   	 -25.43		
 31.74   	-29.91   	109.54   	 157.68		 62.20   	 -35.61		
 69.27   	 24.72   	110.17   	 457.78		 62.05   	 -40.69		
 94.60   	 57.37   	112.00   	 839.26		 61.89   	 -50.86		
110.17   	 72.63   	115.36   	1200.40		 61.69   	 -50.86		
117.19   	 83.92   	120.16   	1429.29		 61.49   	 -50.86		
121.46   	 94.91   	125.88   	1536.11		 61.28   	 -40.69		
123.29   	102.84   	132.02   	1520.85		 61.12   	 -40.69		
121.77   	105.90   	138.11   	1419.12		 60.96   	 -30.52		
115.66   	107.12   	143.78   	1302.13		 60.83   	 -35.61		
108.64   	104.06   	148.99   	1312.30		 60.69   	 -35.61		
108.64   	105.90   	154.24   	1531.02		 60.55   	 -30.52		
103.45   	101.93   	160.37   	1881.99		 60.43   	 -30.52		
101.01   	103.45   	167.89   	2161.74		 60.30   	 -15.26		
101.62   	103.76   	176.54   	2227.87		 60.24   	 -15.26		
 96.44   	100.10   	185.45   	2095.62		 60.18   	 -10.17		
 93.38   	101.01   	193.83   	1902.33		 60.14   	   5.09		
 89.42   	101.93   	201.44   	1800.60		 60.16   	  50.86		
 84.53   	 97.66   	208.65   	1871.81		 60.37   	 142.42		
 79.96   	 93.08   	216.13   	2034.58		 60.94   	 330.62		
 77.21   	 90.03   	224.27   	2080.36		 62.26   	 651.07		
 75.68   	 87.89   	232.59   	1836.21		 64.86   	1063.07		
 70.50   	 83.92   	239.94   	1266.53		 69.11   	1449.64		
 66.83   	 86.98   	245.00   	 528.99		 74.91   	1642.92		
 58.29   	 80.87   	247.12   	-178.03		 81.48   	1586.97		
 50.05   	 73.55   	246.41   	-630.72		 87.83   	1312.30		
 47.00   	 70.19   	243.89   	-752.79		 93.08   	 946.08		
 43.03   	 62.56   	240.87   	-559.51		 96.87   	 600.20		
 43.95   	 59.20   	238.64   	-162.77		 99.27   	 371.31		
 41.81   	 53.10   	237.98   	 300.10		100.75   	 249.24		
 38.76   	 46.39   	239.19   	 717.19		101.75   	 208.54		
 33.26   	 39.98   	242.05   	 996.94		102.58   	 188.20		
 25.33   	 34.18   	246.04   	1103.76		103.34   	 167.85		
 21.06   	 29.60   	250.46   	 986.77		104.01   	 142.42		
 13.43   	 23.50   	254.40   	 666.32		104.58   	 116.99		
  8.54   	 16.78   	257.07   	 228.89		105.05   	 106.82		
  6.71   	  6.10   	257.98   	-223.80		105.47   	 106.82		
  8.24   	 -0.92   	257.09   	-549.34		105.90   	 106.82		
  7.93   	 -8.24   	254.89   	-686.67		106.33   	 106.82		
 10.07   	-16.78   	252.15   	-610.37		106.75   	  86.47		
 10.38   	-23.50   	249.70   	-376.40		107.10   	  50.86		
  7.63   	-31.74   	248.20   	 -40.69		107.30   	   5.09		
 10.07   	-36.62   	248.04   	 295.01		107.32   	 -35.61		
 13.43   	-40.59   	249.22   	 534.08		107.18   	 -76.30		
 16.48   	-45.17   	251.35   	 630.72		106.88   	-101.73		
 21.06   	-47.00   	253.87   	 549.34		106.47   	-122.07		
 29.30   	-48.22   	256.07   	 325.53		105.98   	-127.16		
 39.37   	-48.52   	257.37   	  30.52		105.47   	-137.33		
 50.05   	-43.95   	257.50   	-269.58		104.92   	-147.51		
 63.78   	-42.11   	256.42   	-523.90		104.33   	-162.77		
 78.74   	-35.40   	254.32   	-681.58		103.68   	-172.94		
 92.16   	-25.02   	251.60   	-742.62		102.99   	-188.20		
105.90   	-16.17   	248.63   	-717.19		102.24   	-188.20		
126.95   	  1.83   	245.76   	-640.89		101.48   	-188.20		
144.96   	 16.78   	243.19   	-554.42		100.73   	-188.20		
162.35   	 31.13   	240.98   	-493.39		 99.98   	-183.11		
184.63   	 53.10   	239.00   	-467.95		 99.25   	-183.11		
199.58   	 72.94   	237.13   	-493.39		 98.51   	-188.20		
209.96   	 90.64   	235.16   	-559.51		 97.76   	-193.29		
217.59   	108.34   	232.92   	-656.15		 96.99   	-213.63		
221.56   	124.21   	230.29   	-757.88		 96.13   	-228.89		
227.36   	141.30   	227.26   	-859.61		 95.22   	-239.06		
231.32   	156.56   	223.82   	-935.91		 94.26   	-249.24		
235.60   	172.42   	220.08   	-996.94		 93.27   	-254.32		
237.43   	181.27   	216.09   	-1037.64		 92.25   	-259.41		
233.76   	184.94   	211.94   	-1078.33		 91.21   	-249.24		
231.32   	187.99   	207.63   	-1119.02		 90.21   	-249.24		
