  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-69.89   	-112.30   	 61.20   	 528.99		 62.36   	 259.41		
-69.58   	-116.88   	 63.32   	 503.56		 63.40   	 274.67		
-70.19   	-118.71   	 65.33   	 478.13		 64.50   	 279.75		
-71.41   	-118.71   	 67.24   	 447.61		 65.62   	 289.93		
-72.94   	-117.80   	 69.03   	 427.26		 66.77   	 295.01		
-73.85   	-117.19   	 70.74   	 406.92		 67.95   	 289.93		
-73.24   	-115.97   	 72.37   	 381.48		 69.11   	 295.01		
-71.11   	-113.53   	 73.90   	 356.05		 70.29   	 295.01		
-68.05   	-110.78   	 75.32   	 340.79		 71.47   	 295.01		
-65.61   	-108.64   	 76.68   	 325.53		 72.65   	 289.93		
-65.61   	-107.42   	 77.99   	 310.27		 73.81   	 284.84		
-68.05   	-108.03   	 79.23   	 300.10		 74.95   	 289.93		
-72.02   	-109.25   	 80.43   	 289.93		 76.11   	 289.93		
-74.77   	-110.47   	 81.59   	 279.75		 77.27   	 295.01		
-75.07   	-112.00   	 82.71   	 284.84		 78.45   	 295.01		
-72.94   	-112.61   	 83.85   	 274.67		 79.63   	 305.19		
-69.58   	-112.00   	 84.94   	 279.75		 80.85   	 310.27		
-67.14   	-109.86   	 86.06   	 284.84		 82.10   	 320.45		
-66.22   	-107.73   	 87.20   	 284.84		 83.38   	 335.71		
-66.53   	-106.51   	 88.34   	 284.84		 84.72   	 340.79		
-67.44   	-106.20   	 89.48   	 284.84		 86.08   	 350.97		
-68.05   	-105.59   	 90.62   	 289.93		 87.49   	 361.14		
-69.27   	-104.37   	 91.78   	 289.93		 88.93   	 366.22		
-70.50   	-102.54   	 92.94   	 279.75		 90.40   	 371.31		
-70.80   	-101.62   	 94.06   	 279.75		 91.88   	 376.40		
-70.19   	-101.62   	 95.18   	 279.75		 93.39   	 376.40		
-68.05   	-101.32   	 96.30   	 269.58		 94.89   	 376.40		
-65.31   	-100.40   	 97.37   	 269.58		 96.40   	 376.40		
-64.09   	-98.57   	 98.45   	 264.50		 97.90   	 371.31		
-65.00   	-96.74   	 99.51   	 264.50		 99.39   	 371.31		
-66.22   	-94.30   	100.57   	 269.58		100.87   	 376.40		
-66.22   	-89.72   	101.65   	 274.67		102.38   	 366.22		
-63.78   	-81.18   	102.75   	 274.67		103.84   	 371.31		
-59.51   	-70.80   	103.84   	 284.84		105.33   	 371.31		
-55.85   	-63.78   	104.98   	 289.93		106.82   	 371.31		
-55.85   	-64.09   	106.14   	 295.01		108.30   	 366.22		
-59.20   	-70.80   	107.32   	 300.10		109.77   	 366.22		
-64.09   	-76.60   	108.52   	 305.19		111.23   	 366.22		
-67.44   	-74.16   	109.75   	 305.19		112.70   	 356.05		
-68.36   	-62.26   	110.97   	 305.19		114.12   	 356.05		
-67.14   	-47.00   	112.19   	 300.10		115.54   	 345.88		
-66.53   	-35.71   	113.39   	 305.19		116.93   	 340.79		
-67.14   	-32.65   	114.61   	 295.01		118.29   	 330.62		
-68.05   	-33.87   	115.79   	 300.10		119.61   	 325.53		
-67.14   	-32.04   	116.99   	 289.93		120.92   	 315.36		
-63.78   	-21.06   	118.15   	 289.93		122.18   	 315.36		
-59.51   	 -2.14   	119.31   	 284.84		123.44   	 300.10		
-55.54   	 18.62   	120.45   	 284.84		124.64   	 300.10		
-52.80   	 33.87   	121.59   	 279.75		125.84   	 295.01		
-50.05   	 39.67   	122.71   	 279.75		127.02   	 284.84		
-45.78   	 38.76   	123.82   	 274.67		128.16   	 284.84		
-39.98   	 37.23   	124.92   	 269.58		129.30   	 279.75		
-34.18   	 40.89   	126.00   	 264.50		130.42   	 274.67		
-29.60   	 50.96   	127.06   	 264.50		131.52   	 269.58		
-25.33   	 64.09   	128.12   	 259.41		132.59   	 259.41		
-19.84   	 75.68   	129.16   	 249.24		133.63   	 254.32		
-12.51   	 80.87   	130.15   	 239.06		134.65   	 249.24		
 -3.97   	 79.96   	131.11   	 233.98		135.65   	 239.06		
  3.97   	 76.29   	132.04   	 223.80		136.60   	 228.89		
 10.68   	 73.55   	132.94   	 213.63		137.52   	 213.63		
 16.17   	 73.24   	133.79   	 203.46		138.37   	 208.54		
 21.06   	 74.46   	134.61   	 193.29		139.21   	 193.29		
 23.50   	 74.16   	135.38   	 178.03		139.98   	 178.03		
 22.89   	 70.19   	136.09   	 162.77		140.69   	 162.77		
 19.23   	 63.48   	136.74   	 152.59		141.34   	 152.59		
 14.34   	 56.15   	137.35   	 142.42		141.95   	 132.25		
 10.38   	 49.44   	137.92   	 122.07		142.48   	 116.99		
  7.63   	 42.72   	138.41   	 106.82		142.95   	 101.73		
  5.19   	 35.10   	138.84   	  91.56		143.36   	  81.38		
  1.22   	 27.47   	139.21   	  76.30		143.68   	  66.12		
 -3.97   	 19.84   	139.51   	  50.86		143.95   	  45.78		
 -8.24   	 13.43   	139.71   	  35.61		144.13   	  25.43		
-10.38   	  7.32   	139.86   	  10.17		144.23   	   5.09		
-10.38   	  0.00   	139.90(S)	 -10.17		144.25(S)	 -20.35		
 -9.77   	 -7.32   	139.86   	 -35.61		144.17   	 -35.61		
 -9.46   	-12.21   	139.71   	 -61.04		144.03   	 -61.04		
-10.07   	-13.12   	139.47   	 -86.47		143.78   	 -76.30		
-11.29   	-10.99   	139.12   	-116.99		143.48   	-106.82		
-13.43   	 -9.16   	138.66   	-142.42		143.05   	-127.16		
-16.17   	-11.60   	138.09   	-172.94		142.54   	-147.51		
-19.53   	-18.62   	137.40   	-198.37		141.95   	-167.85		
-22.58   	-26.86   	136.60   	-228.89		141.28   	-188.20		
-24.41   	-32.65   	135.69   	-264.50		140.53   	-208.54		
-25.33   	-33.57   	134.63   	-305.19		139.69   	-233.98		
-26.25   	-30.82   	133.41   	-356.05		138.76   	-254.32		
-27.16   	-27.47   	131.98   	-412.00		137.74   	-274.67		
-27.47   	-26.86   	130.34   	-473.04		136.64   	-295.01		
-26.86   	-28.99   	128.44   	-534.08		135.46   	-320.45		
-25.02   	-32.96   	126.31   	-600.20		134.18   	-345.88		
-22.89   	-37.23   	123.91   	-666.32		132.80   	-361.14		
-22.58   	-40.59   	121.24   	-727.36		131.35   	-376.40		
-23.50   	-42.42   	118.33   	-778.23		129.85   	-391.66		
-25.02   	-41.50   	115.22   	-829.09		128.28   	-391.66		
-25.63   	-38.15   	111.90   	-869.78		126.71   	-396.74		
-25.02   	-33.57   	108.42   	-900.30		125.13   	-386.57		
