  I     	  II     	  LVp     	  LVp'		
-95.21   	-78.74   	 10.68   	  15.26		
-90.64   	-64.39   	 10.74   	  15.26		
-86.67   	-52.49   	 10.80   	  10.17		
-83.62   	-45.17   	 10.84   	   5.09		
-81.48   	-42.72   	 10.86   	   0.00		
-79.04   	-42.42   	 10.86   	   5.09		
-74.77   	-39.37   	 10.89   	  -5.09		
-68.36   	-30.52   	 10.86   	   0.00		
-60.42   	-16.17   	 10.86   	  -5.09		
-51.88   	  0.92   	 10.84   	 -10.17		
-44.56   	 15.56   	 10.80   	  -5.09		
-37.54   	 25.94   	 10.78   	 -15.26		
-30.82   	 32.96   	 10.72   	 -15.26		
-25.02   	 37.54   	 10.66   	 -20.35		
-22.58   	 39.06   	 10.58   	 -20.35		
-25.02   	 35.71   	 10.50   	 -20.35		
-31.43   	 26.25   	 10.42   	 -25.43		
-38.76   	 11.60   	 10.32   	 -25.43		
-43.95   	 -6.41   	 10.21   	 -20.35		
-46.39   	-27.77   	 10.13   	 -15.26		
-50.66   	-52.19   	 10.07   	 -10.17		
-60.73   	-76.90   	 10.03   	  -5.09		
-76.60   	-97.96   	 10.01   	   5.09		
-93.99   	-111.08   	 10.03   	  15.26		
-106.51   	-117.19   	 10.09   	  20.35		
-111.08   	-120.85   	 10.17   	  30.52		
-109.86   	-125.73   	 10.29   	  35.61		
-107.12   	-132.45   	 10.44   	  45.78		
-106.51   	-139.47   	 10.62   	  55.95		
-108.34   	-144.65   	 10.84   	  66.12		
-110.78   	-147.40   	 11.11   	  71.21		
-112.00   	-148.32   	 11.39   	  81.38		
-112.00   	-148.93   	 11.72   	  96.64		
-111.39   	-149.23   	 12.11   	 111.90		
-111.08   	-149.84   	 12.55   	 116.99		
-112.00   	-151.06   	 13.02   	 127.16		
-112.92   	-152.59   	 13.53   	 132.25		
-113.83   	-153.81   	 14.06   	 132.25		
-114.44   	-154.42   	 14.59   	 122.07		
-116.88   	-152.89   	 15.08   	 111.90		
-121.46   	-143.74   	 15.52   	  91.56		
-125.43   	-118.41   	 15.89   	  71.21		
-118.71   	-68.66   	 16.17   	  50.86		
-82.09   	  3.66   	 16.38   	  25.43		
  7.93   	 87.59   	 16.48   	  10.17		
167.85   	168.46   	 16.52   	 -15.26		
394.90   	238.04   	 16.46   	 -30.52		
655.52   	299.07   	 16.34   	-111.90		
1019.90   	391.85(R)	 15.89(E)	 -86.47		
997.31   	380.86   	 15.54   	 -96.64		
817.26   	299.07   	 15.16   	-106.82		
535.28   	152.28   	 14.73   	-111.90		
243.84   	-17.40   	 14.28   	-122.07		
 28.08   	-151.67   	 13.79   	-116.99		
-75.07   	-209.05   	 13.33   	-116.99		
-85.45   	-189.51   	 12.86   	 -96.64		
-54.63   	-125.12   	 12.47   	 -81.38		
-27.47   	-57.98   	 12.15   	 -55.95		
-19.84   	-17.09   	 11.92   	 -15.26		
-24.41   	 -7.63   	 11.86   	  30.52		
-29.30   	-16.78   	 11.98   	  76.30		
-29.30   	-28.69   	 12.29   	 132.25		
-26.86   	-34.18   	 12.82   	 198.37		
-25.33   	-32.96   	 13.61   	 264.50		
-25.33   	-30.21   	 14.67   	 340.79		
-25.94   	-29.30   	 16.03   	 406.92		
-25.33   	-30.21   	 17.66   	 483.21		
-24.11   	-30.52   	 19.59   	 544.25		
-22.28   	-28.69   	 21.77   	 600.20		
-19.53   	-24.41   	 24.17   	 651.07		
-16.78   	-19.23   	 26.78   	 681.58		
-14.34   	-14.34   	 29.50   	 696.84		
-12.51   	 -9.46   	 32.29   	 701.93		
-10.07   	 -4.58   	 35.10   	 681.58		
 -7.02   	  1.53   	 37.82   	 666.32		
 -3.05   	  8.24   	 40.49   	 651.07		
  1.22   	 15.56   	 43.09   	 640.89		
  5.49   	 23.50   	 45.66   	 656.15		
 10.07   	 31.13   	 48.28   	 691.76		
 14.65   	 39.37   	 51.05   	 742.62		
 19.84   	 48.52   	 54.02   	 808.75		
 25.94   	 58.59   	 57.25   	 864.70		
 32.65   	 69.27   	 60.71   	 915.56		
 40.28   	 80.57   	 64.37   	 940.99		
 48.83   	 93.08   	 68.14   	 946.08		
 57.68   	106.81   	 71.92   	 915.56		
 67.14   	121.46   	 75.58   	 859.61		
 76.60   	136.72   	 79.02   	 788.40		
 86.98   	152.59   	 82.18   	 696.84		
 98.57   	168.76   	 84.96   	 600.20		
111.39   	185.85   	 87.36   	 503.56		
124.82   	204.77   	 89.38   	 406.92		
138.85   	224.30   	 91.01   	 330.62		
152.89   	244.14   	 92.33   	 259.41		
166.63   	263.98   	 93.37   	 193.29		
180.05   	282.90   	 94.14   	 152.59		
192.57   	300.90   	 94.75   	 116.99		
204.16   	317.08   	 95.22   	  86.47		
214.23   	331.12   	 95.56   	  71.21		
222.47   	341.80   	 95.85   	  66.12		
228.88   	349.43   	 96.11   	  61.04		
233.76   	353.09   	 96.36   	  61.04		
236.21   	351.87   	 96.60   	  61.04		
235.90   	345.15   	 96.85   	  66.12		
232.24   	332.03   	 97.11   	  71.21		
223.69   	312.81   	 97.40   	  66.12		
210.27   	288.09   	 97.66   	  61.04		
191.96   	259.70   	 97.90   	  55.95		
169.68   	228.27   	 98.13   	  45.78		
144.04   	195.01   	 98.31   	  40.69		
115.97   	159.91   	 98.47   	  35.61		
 87.28   	124.51   	 98.62   	  30.52		
 58.90   	 89.42   	 98.74   	  30.52		
 31.74   	 56.15   	 98.86   	  30.52		
  6.41   	 25.33   	 98.98   	  35.61		
-16.17   	 -2.14   	 99.12   	  40.69		
-36.32   	-26.55   	 99.29   	  40.69		
-54.32   	-47.61   	 99.45   	  50.86		
-69.58   	-65.61   	 99.65   	  45.78		
-82.70   	-80.57   	 99.84   	  45.78		
-92.77   	-92.47   	100.02   	  40.69		
-100.40   	-101.32   	100.18   	  25.43		
-106.20   	-108.03   	100.28   	  15.26		
-110.78   	-113.22   	100.35(S)	   0.00		
-114.75   	-117.80   	100.35   	 -15.26		
-117.49   	-121.77   	100.28   	 -25.43		
-119.32   	-125.43   	100.18   	 -45.78		
-119.63   	-128.78   	100.00   	 -61.04		
-119.02   	-131.84   	 99.76   	 -76.30		
-118.71   	-133.97   	 99.45   	 -86.47		
-118.41   	-135.80   	 99.10   	-111.90		
-117.80   	-136.72   	 98.66   	-137.33		
-116.88   	-137.63   	 98.11   	-167.85		
-115.97   	-139.16   	 97.44   	-213.63		
-115.05   	-140.69   	 96.58   	-259.41		
