  I     	  II     	  LV     	  LV'		
 -4.58   	-47.61   	 66.21   	 528.99		
 -9.16   	-50.66   	 68.32   	 478.13		
-14.65   	-53.10   	 70.23   	 437.43		
-19.84   	-53.41   	 71.98   	 401.83		
-23.19   	-52.19   	 73.59   	 361.14		
-24.11   	-50.05   	 75.04   	 340.79		
-22.58   	-48.52   	 76.40   	 320.45		
-21.06   	-48.52   	 77.68   	 305.19		
-21.36   	-49.44   	 78.90   	 295.01		
-22.58   	-49.44   	 80.08   	 284.84		
-23.80   	-47.30   	 81.22   	 289.93		
-24.11   	-44.56   	 82.38   	 284.84		
-24.41   	-45.17   	 83.52   	 284.84		
-27.47   	-52.49   	 84.66   	 279.75		
-34.79   	-64.70   	 85.78   	 279.75		
-43.64   	-76.29   	 86.90   	 274.67		
-49.13   	-80.87   	 88.00   	 264.50		
-50.35   	-75.38   	 89.05   	 259.41		
-49.74   	-64.09   	 90.09   	 244.15		
-52.49   	-55.85   	 91.07   	 223.80		
-62.56   	-57.37   	 91.96   	 188.20		
-78.13   	-68.97   	 92.72   	 142.42		
-94.60   	-84.84   	 93.29   	 101.73		
-107.12   	-97.96   	 93.69   	  55.95		
-114.75   	-103.76   	 93.92   	  20.35		
-117.80   	-102.23   	 94.00   	   5.09		
-118.71   	-97.66   	 94.02   	   5.09		
-120.85   	-94.91   	 94.04   	   5.09		
-126.65   	-96.74   	 94.06   	  10.17		
-136.72   	-99.49   	 94.10   	  15.26		
-148.62   	-96.13   	 94.16   	  10.17		
-156.25   	-80.26   	 94.20   	  -5.09		
-156.56   	-54.32   	 94.18   	 -15.26		
-148.62   	-27.77   	 94.12   	 -20.35		
-137.02   	-10.68   	 94.04   	 -25.43		
-125.73   	 -5.80   	 93.94   	 -15.26		
-115.66   	 -5.49   	 93.88   	   0.00		
-104.06   	  0.92   	 93.88   	  10.17		
-88.20   	 15.56   	 93.92   	  10.17		
-67.75   	 32.35   	 93.96   	  10.17		
-45.17   	 40.89   	 94.00   	 -10.17		
-24.41   	 38.15   	 93.96   	 -30.52		
 -7.02   	 30.21   	 93.83   	 -66.12		
  7.63   	 27.16   	 93.57   	 -96.64		
 19.53   	 35.10   	 93.18   	-132.25		
 28.69   	 51.57   	 92.65   	-167.85		
 35.10   	 68.36   	 91.98   	-193.29		
 40.28   	 79.96   	 91.21   	-218.72		
 44.86   	 83.62   	 90.34   	-244.15		
 48.83   	 80.26   	 89.36   	-264.50		
 50.66   	 71.41   	 88.30   	-279.75		
 47.91   	 57.37   	 87.18   	-295.01		
 41.50   	 40.89   	 86.00   	-315.36		
 36.01   	 27.47   	 84.74   	-330.62		
 34.79   	 21.36   	 83.42   	-350.97		
 37.54   	 23.19   	 82.01   	-366.22		
