  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-19.84   	 37.84   	 88.61   	2304.16		 88.54   	 844.35		
-18.92   	 44.86   	 97.82   	1378.43		 91.92   	 996.94		
-19.53   	 47.61   	103.34   	-803.66		 95.91   	 147.51		
-20.14   	 48.22   	100.12   	-1032.55		 96.50   	-666.32		
-18.62   	 50.66   	 95.99   	-681.58		 93.83   	-427.26		
-14.95   	 57.37   	 93.27   	-1225.83		 92.13   	-488.30		
-10.68   	 69.27   	 88.36   	-946.08		 90.17   	-778.23		
 -7.63   	 83.01   	 84.58   	  20.35		 87.06   	-559.51		
 -6.10   	 95.21   	 84.66   	 172.94		 84.82   	 213.63		
 -4.88   	104.37   	 85.35   	-116.99		 85.68   	 376.40		
 -2.44   	111.39   	 84.88   	  66.12		 87.18   	 172.94		
  2.14   	117.80   	 85.15   	 330.62		 87.87   	 488.30		
  7.63   	124.51   	 86.47   	 722.28		 89.83   	 798.57		
 12.21   	130.92   	 89.36   	 940.99		 93.02   	 773.14		
 15.26   	135.50   	 93.12   	  25.43		 96.11   	 391.66		
 17.40   	138.55   	 93.22   	-661.24		 97.68   	-356.05		
 19.53   	142.21   	 90.58   	 127.16		 96.26   	-274.67		
 23.80   	147.71   	 91.09   	 864.70		 95.16   	 691.76		
 29.30   	155.03   	 94.55   	 417.09		 97.92   	 707.02		
 34.18   	162.66   	 96.22   	 -96.64		100.75   	-274.67		
 37.23   	168.76   	 95.83   	-198.37		 99.65   	-452.69		
 38.45   	172.12   	 95.04   	-391.66		 97.84   	 -91.56		
 39.06   	172.12   	 93.47   	-350.97		 97.48   	-254.32		
 40.28   	169.98   	 92.06   	-147.51		 96.46   	-213.63		
 41.50   	166.32   	 91.47   	-167.85		 95.60   	  40.69		
 40.89   	161.13   	 90.80   	-132.25		 95.77   	-162.77		
 37.84   	155.03   	 90.27   	  81.38		 95.12   	 -40.69		
 33.87   	148.93   	 90.60   	 111.90		 94.95   	 137.33		
 31.13   	143.43   	 91.05   	   0.00		 95.50   	-142.42		
 29.91   	137.94   	 91.05   	 -96.64		 94.93   	 -30.52		
 28.38   	130.92   	 90.66   	-213.63		 94.81   	  35.61		
 25.02   	120.54   	 89.81   	-137.33		 94.95   	-162.77		
 18.62   	106.20   	 89.26   	  71.21		 94.30   	 -20.35		
 11.29   	 87.89   	 89.54   	  76.30		 94.22   	   5.09		
  4.88   	 67.14   	 89.85   	 -86.47		 94.24   	-310.27		
  0.00   	 46.08   	 89.50   	-208.54		 93.00   	-198.37		
 -4.27   	 25.63   	 88.67   	-228.89		 92.21   	 116.99		
 -8.85   	  7.32   	 87.75   	-188.20		 92.68   	 -40.69		
-13.12   	 -8.54   	 87.00   	-142.42		 92.51   	-188.20		
-16.48   	-20.75   	 86.43   	-132.25		 91.76   	 -61.04		
-18.62   	-30.21   	 85.90   	-137.33		 91.52   	 -50.86		
-19.84   	-37.23   	 85.35   	-137.33		 91.31   	-147.51		
-21.67   	-43.95   	 84.80   	-172.94		 90.72   	-183.11		
-24.72   	-51.88   	 84.11   	-233.98		 89.99   	-178.03		
-28.69   	-61.34   	 83.17   	-320.45		 89.28   	-172.94		
-32.04   	-70.19   	 81.89   	-437.43		 88.59   	-233.98		
-33.57   	-76.29   	 80.14   	-508.65		 87.65   	-228.89		
-32.35   	-78.74   	 78.11   	-645.98		 86.73   	-203.46		
-29.91   	-79.65   	 75.52   	-839.26		 85.92   	-320.45		
-27.77   	-82.09   	 72.17   	-885.04		 84.64   	-345.88		
-27.77   	-87.59   	 68.63   	-1124.11		 83.26   	-228.89		
-30.21   	-95.21   	 64.13   	-2166.83		 82.34   	-269.58		
-33.26   	-101.62   	 55.46   	-2884.02		 81.26   	-513.73		
-34.48   	-103.45   	 43.93   	-3545.26		 79.21   	-132.25		
-29.30   	-91.25   	 29.75   	-523.90		 78.68   	 284.84		
-29.30   	-89.11   	 27.65   	-1388.60		 79.82   	-401.83		
-31.74   	-91.55   	 22.10   	-671.41		 78.21   	-162.77		
-29.91   	-92.47   	 19.41   	-630.72		 77.56   	  10.17		
-27.16   	-94.30   	 16.89   	-666.32		 77.60   	-122.07		
-25.94   	-96.74   	 14.22   	-615.46		 77.11   	-264.50		
-27.16   	-99.18   	 11.76   	-539.16		 76.05   	-208.54		
-30.21   	-98.88   	  9.60   	-473.04		 75.22   	-127.16		
-32.96   	-95.52   	  7.71   	-361.14		 74.71   	-101.73		
-33.26   	-90.33   	  6.27   	-233.98		 74.30   	 -20.35		
-30.82   	-85.75   	  5.33   	 -91.56		 74.22   	  61.04		
-26.86   	-84.53   	  4.96   	 -96.64		 74.47   	 106.82		
-24.41   	-86.36   	  4.58   	-381.48		 74.89   	  91.56		
-25.02   	-88.81   	  3.05   	-447.61		 75.26   	 -81.38		
-27.47   	-89.72   	  1.26   	-340.79		 74.93   	-249.24		
-29.91   	-87.28   	 -0.10   	-325.53		 73.94   	-132.25		
-29.30   	-82.09   	 -1.40   	-264.50		 73.41   	 -55.95		
-25.94   	-77.51   	 -2.46   	-213.63		 73.18   	-147.51		
-21.67   	-75.99   	 -3.32   	-172.94		 72.59   	-172.94		
-19.23   	-78.13   	 -4.01   	 -45.78		 71.90   	-111.90		
-20.14   	-83.62   	 -4.19   	  66.12		 71.45   	 -81.38		
-22.28   	-89.72   	 -3.93   	 116.99		 71.13   	   5.09		
-23.80   	-93.99   	 -3.46   	 208.54		 71.15   	  40.69		
-23.19   	-96.44   	 -2.62   	 310.27		 71.31   	  35.61		
-21.36   	-97.05   	 -1.38   	 233.98		 71.45   	  10.17		
-21.06   	-96.74   	 -0.45   	  96.64		 71.50   	  10.17		
-22.89   	-95.52   	 -0.06   	  35.61		 71.54   	  20.35		
-25.63   	-93.38   	  0.08   	   5.09		 71.62   	 -25.43		
-27.77   	-90.64   	  0.10   	  20.35		 71.52   	-152.59		
-27.47   	-89.42   	  0.18   	  61.04		 70.91   	-244.15		
-26.55   	-90.33   	  0.43   	 111.90		 69.93   	-203.46		
-26.25   	-93.99   	  0.87   	 157.68		 69.11   	-172.94		
-27.16   	-98.27   	  1.51   	 188.20		 68.42   	 -96.64		
-27.77   	-101.01   	  2.26   	 208.54		 68.04   	   0.00		
-26.55   	-100.10   	  3.09   	 259.41		 68.04   	 -25.43		
-23.50   	-96.74   	  4.13   	 376.40		 67.93   	 -30.52		
-20.75   	-93.69   	  5.64   	 295.01		 67.81   	 -71.21		
-21.06   	-93.99   	  6.82   	 -10.17		 67.53   	-122.07		
-24.72   	-97.35   	  6.78   	-188.20		 67.04   	 -96.64		
-28.69   	-101.62   	  6.02   	-167.85		 66.65   	 -96.64		
-30.21   	-104.68   	  5.35   	-116.99		 66.27   	 -96.64		
-28.38   	-104.98   	  4.88   	 -96.64		 65.88   	 -45.78		
-24.72   	-104.98   	  4.50   	 -45.78		 65.70   	  -5.09		
-22.28   	-105.29   	  4.31   	   0.00		 65.68   	  10.17		
-21.67   	-106.20   	  4.31   	 -30.52		 65.72   	   5.09		
-22.89   	-106.51   	  4.19   	 -96.64		 65.74   	 -20.35		
-24.41   	-105.59   	  3.80   	-111.90		 65.66   	 -30.52		
-25.63   	-104.98   	  3.36   	 -86.47		 65.53   	 -15.26		
-25.94   	-105.59   	  3.01   	  86.47		 65.47   	   5.09		
-25.33   	-107.42   	  3.36   	 101.73		 65.49   	  76.30		
-23.80   	-109.25   	  3.76   	 -15.26		 65.80   	-116.99		
-22.28   	-111.08   	  3.70   	-106.82		 65.33   	-559.51		
-22.28   	-113.53   	  3.28   	 -71.21		 63.09   	-198.37		
-24.11   	-115.97   	  2.99   	  -5.09		 62.30   	 269.58		
-26.86   	-117.49   	  2.97   	 274.67		 63.38   	  96.64		
-28.69   	-116.58   	  4.07   	 783.31		 63.76   	 605.29		
-27.77   	-112.30   	  7.20   	 116.99		 66.18   	 528.99		
-24.11   	-106.81   	  7.67   	-798.57		 68.30   	-895.22		
-19.84   	-102.54   	  4.48   	-656.15		 64.72   	-874.87		
-17.09   	-99.49   	  1.85   	-467.95		 61.22   	-320.45		
-16.78   	-94.60   	 -0.02   	-513.73		 59.94   	-295.01		
-18.01   	-82.70   	 -2.08   	-366.22		 58.76   	-157.68		
-18.62   	-60.42   	 -3.54   	-137.33		 58.13   	 152.59		
-17.40   	-31.43   	 -4.09   	 -35.61		 58.74   	 233.98		
-15.56   	 -4.27   	 -4.23   	  15.26		 59.67   	 127.16		
-13.73   	 13.43   	 -4.17   	 132.25		 60.18   	  71.21		
-12.51   	 18.92   	 -3.64   	  86.47		 60.47   	  61.04		
-11.29   	 17.70   	 -3.30   	  66.12		 60.71   	   0.00		
 -7.93   	 19.84   	 -3.03   	  71.21		 60.71   	 -91.56		
 -1.53   	 31.43   	 -2.75   	  30.52		 60.35   	-172.94		
