  I     	  II     	  AO     	  AO'		  CH2     	  CH2'		
 85.45   	183.11   	 95.85   	 -86.47		 -6.33   	   0.00		
 93.08   	189.51   	 95.50   	 -96.64		 -6.33   	   5.09		
 90.03   	181.27   	 95.12   	-101.73		 -6.31   	   5.09		
 99.18   	186.77   	 94.71   	-111.90		 -6.29   	   5.09		
101.32   	194.40   	 94.26   	-111.90		 -6.27   	   5.09		
 95.21   	177.61   	 93.81   	-122.07		 -6.25   	   5.09		
 81.48   	148.62   	 93.33   	-116.99		 -6.23   	   5.09		
 65.61   	111.69   	 92.86   	-122.07		 -6.21   	   5.09		
 47.30   	 72.33   	 92.37   	-116.99		 -6.19   	   5.09		
 37.84   	 44.25   	 91.90   	-106.82		 -6.16   	   5.09		
 33.87   	 35.71   	 91.47   	-101.73		 -6.14   	   0.00		
 31.74   	 32.35   	 91.07   	 -91.56		 -6.14   	   5.09		
 32.96   	 21.36   	 90.70   	 -86.47		 -6.12   	   0.00		
 30.82   	  9.77   	 90.36   	 -76.30		 -6.12   	   0.00		
 26.55   	  0.61   	 90.05   	 -71.21		 -6.12   	   5.09		
 21.36   	-24.72   	 89.77   	 -76.30		 -6.10   	   0.00		
 25.02   	-47.00   	 89.46   	 -76.30		 -6.10   	   0.00		
 26.25   	-63.78   	 89.16   	 -76.30		 -6.10   	  -5.09		
 25.94   	-74.77   	 88.85   	 -86.47		 -6.12   	   0.00		
 33.87   	-69.89   	 88.50   	 -86.47		 -6.12   	   0.00		
 34.79   	-60.73   	 88.16   	 -91.56		 -6.12   	   0.00		
 34.48   	-55.24   	 87.79   	 -96.64		 -6.12   	  -5.09		
 41.20   	-55.24   	 87.41   	 -96.64		 -6.14   	   0.00		
 44.86   	-53.41   	 87.02   	 -96.64		 -6.14   	   0.00		
 40.89   	-48.83   	 86.63   	 -91.56		 -6.14   	   0.00		
 42.42   	-44.25   	 86.27   	 -86.47		 -6.14   	  -5.09		
 43.33   	-37.54   	 85.92   	 -81.38		 -6.16   	   0.00		
 43.03   	-39.67   	 85.59   	 -76.30		 -6.16   	   0.00		
 46.39   	-44.56   	 85.29   	 -71.21		 -6.16   	   0.00		
 50.35   	-46.08   	 85.00   	 -66.12		 -6.16   	   0.00		
 51.57   	-52.80   	 84.74   	 -66.12		 -6.16   	   0.00		
 47.30   	-49.44   	 84.48   	 -66.12		 -6.16   	   0.00		
 42.72   	-42.11   	 84.21   	 -66.12		 -6.16   	   0.00		
 37.54   	-49.44   	 83.95   	 -66.12		 -6.16   	   0.00		
 28.38   	-50.05   	 83.68   	 -66.12		 -6.16   	   0.00		
 23.80   	-51.57   	 83.42   	 -71.21		 -6.16   	  -5.09		
 21.97   	-62.87   	 83.13   	 -76.30		 -6.19   	   0.00		
 20.14   	-54.93   	 82.83   	 -71.21		 -6.19   	  -5.09		
 16.78   	-38.76   	 82.54   	 -76.30		 -6.21   	  -5.09		
 17.40   	-26.55   	 82.24   	 -76.30		 -6.23   	   0.00		
 16.48   	-13.12   	 81.93   	 -71.21		 -6.23   	 -10.17		
 16.17   	-18.92   	 81.65   	 -71.21		 -6.27   	  -5.09		
 15.87   	-36.01   	 81.36   	 -71.21		 -6.29   	  -5.09		
 15.87   	-39.06   	 81.08   	 -71.21		 -6.31   	  -5.09		
 17.40   	-36.01   	 80.79   	 -66.12		 -6.33   	 -10.17		
 15.56   	-18.01   	 80.53   	 -66.12		 -6.37   	  -5.09		
 14.65   	  2.44   	 80.26   	 -66.12		 -6.39   	  -5.09		
 16.48   	-12.82   	 80.00   	 -61.04		 -6.41   	 -10.17		
 14.34   	-25.33   	 79.76   	 -66.12		 -6.45   	   0.00		
 14.04   	-24.72   	 79.49   	 -66.12		 -6.45   	  -5.09		
 19.53   	  3.97   	 79.23   	 -61.04		 -6.47   	  -5.09		
 27.47   	 83.92   	 78.98   	 -61.04		 -6.49   	   0.00		
 42.72   	180.36   	 78.74   	 -55.95		 -6.49   	   0.00		
 51.88   	326.84   	 78.51   	 -50.86		 -6.49   	   5.09		
 85.14   	490.11   	 78.31   	 -45.78		 -6.47   	   0.00		
127.26   	685.12   	 78.13   	 -45.78		 -6.47   	   5.09		
163.57   	924.07   	 77.94   	 -40.69		 -6.45   	   0.00		
229.80   	1114.20   	 77.78   	 -40.69		 -6.45   	  10.17		
304.87   	1232.61(R)	 77.62   	 -45.78		 -6.41   	   5.09		
365.91   	1210.94   	 77.44   	 -50.86		 -6.39   	   5.09		
349.43   	981.45   	 77.23   	 -55.95		 -6.37   	   5.09		
257.87   	592.96   	 77.01   	 -66.12		 -6.35   	  10.17		
140.99   	213.93   	 76.74   	 -71.21		 -6.31   	   5.09		
 37.23   	-62.26   	 76.46   	 -81.38		 -6.29   	  10.17		
 28.38   	-219.73   	 76.13   	 -81.38		 -6.25   	  10.17		
104.37   	-153.50   	 75.81   	 -76.30		 -6.21   	  10.17		
162.35   	-128.78   	 75.50   	 -76.30		 -6.16   	  10.17		
162.96   	-165.71   	 75.20   	 -71.21		 -6.12   	  10.17		
107.73   	-148.62   	 74.91   	 -66.12		 -6.08   	  10.17		
 60.42   	-174.26   	 74.65   	 -55.95		 -6.04   	  10.17		
 15.56   	-138.24   	 74.42   	 -45.78		 -6.00   	  10.17		
 -9.16   	-78.43   	 74.24   	 -45.78		 -5.96   	  10.17		
 -4.27   	-52.80   	 74.06   	 -35.61		 -5.92   	  15.26		
 -2.44   	-70.80   	 73.92   	 -30.52		 -5.86   	  10.17		
 -7.32   	-89.72   	 73.79   	 -30.52		 -5.82   	  10.17		
 -2.44   	-97.96   	 73.67   	 -25.43		 -5.78   	  10.17		
  0.92   	-92.16   	 73.57   	 -30.52		 -5.74   	  15.26		
 -1.22   	-86.06   	 73.45   	 -25.43		 -5.68   	   5.09		
 -2.14   	-85.45   	 73.35   	 -20.35		 -5.66   	  10.17		
 -2.75   	-79.65   	 73.27   	 -15.26		 -5.62   	  10.17		
  2.14   	-83.92   	 73.20   	  -5.09		 -5.57   	   5.09		
 -0.92   	-86.98   	 73.18(D)	  25.43		 -5.55   	   5.09		
 -7.02   	-92.47   	 73.29   	  55.95		 -5.53   	   5.09		
 -6.10   	-92.16   	 73.51   	  96.64		 -5.51   	   5.09		
 -3.36   	-87.59   	 73.90   	 142.42		 -5.49   	   0.00		
 -2.44   	-80.26   	 74.47   	 188.20		 -5.49   	   0.00		
 -3.66   	-75.07   	 75.22   	 239.06		 -5.49   	  -5.09		
 -1.22   	-84.53   	 76.17   	 279.75		 -5.51   	  -5.09		
  0.31   	-94.60   	 77.29   	 315.36		 -5.53   	  -5.09		
  2.14   	-98.57   	 78.56   	 330.62		 -5.55   	  -5.09		
  0.92   	-109.25   	 79.88   	 345.88		 -5.57   	 -10.17		
 -2.14   	-108.34   	 81.26   	 345.88		 -5.62   	  -5.09		
 -3.05   	-103.76   	 82.64   	 340.79		 -5.64   	 -10.17		
 -5.19   	-108.95   	 84.01   	 330.62		 -5.68   	 -15.26		
 -4.88   	-96.13   	 85.33   	 320.45		 -5.74   	 -10.17		
 -3.36   	-94.30   	 86.61   	 310.27		 -5.78   	  -5.09		
 -5.49   	-102.54   	 87.85   	 295.01		 -5.80   	 -10.17		
 -5.80   	-98.88   	 89.03   	 289.93		 -5.84   	 -10.17		
 -7.93   	-104.37   	 90.19   	 289.93		 -5.88   	 -10.17		
 -8.54   	-110.47   	 91.35   	 289.93		 -5.92   	  -5.09		
 -6.71   	-108.95   	 92.51   	 300.10		 -5.94   	  -5.09		
 -7.63   	-116.27   	 93.71   	 310.27		 -5.96   	   0.00		
-11.90   	-123.60   	 94.95   	 315.36		 -5.96   	   0.00		
 -9.77   	-118.10   	 96.22   	 320.45		 -5.96   	   0.00		
-12.51   	-112.00   	 97.50   	 320.45		 -5.96   	   0.00		
-10.99   	-111.69   	 98.78   	 310.27		 -5.96   	   0.00		
 -4.58   	-118.10   	100.02   	 295.01		 -5.96   	   5.09		
 -8.24   	-124.51   	101.20   	 279.75		 -5.94   	   5.09		
-11.29   	-128.78   	102.32   	 259.41		 -5.92   	   5.09		
-17.09   	-129.70   	103.36   	 233.98		 -5.90   	  10.17		
-18.62   	-127.87   	104.29   	 208.54		 -5.86   	   5.09		
-21.67   	-126.95   	105.13   	 188.20		 -5.84   	   5.09		
-18.01   	-134.58   	105.88   	 178.03		 -5.82   	   5.09		
-16.17   	-142.52   	106.59   	 178.03		 -5.80   	  10.17		
-22.28   	-144.04   	107.30   	 188.20		 -5.76   	   5.09		
-25.33   	-148.62   	108.06   	 213.63		 -5.74   	   5.09		
-27.16   	-157.78   	108.91   	 239.06		 -5.72   	   5.09		
-28.99   	-162.66   	109.87   	 259.41		 -5.70   	   5.09		
-34.18   	-163.57   	110.90   	 279.75		 -5.68   	   5.09		
-36.62   	-164.79   	112.02   	 279.75		 -5.66   	   5.09		
-41.81   	-161.13   	113.14   	 279.75		 -5.64   	   0.00		
-51.88   	-165.71   	114.26   	 259.41		 -5.64   	   5.09		
-52.49   	-174.56   	115.30   	 239.06		 -5.62   	   0.00		
-52.49   	-182.50   	116.26   	 213.63		 -5.62   	   5.09		
-54.32   	-187.38   	117.11   	 198.37		 -5.60   	   0.00		
-59.81   	-186.16   	117.90   	 183.11		 -5.60   	   0.00		
-63.48   	-183.72   	118.64   	 178.03		 -5.60   	   0.00		
-65.00   	-183.72   	119.35   	 178.03		 -5.60   	   0.00		
-70.80   	-180.05   	120.06   	 188.20		 -5.60   	   0.00		
-67.14   	-177.61   	120.81   	 193.29		 -5.60   	  -5.09		
-57.37   	-170.59   	121.59   	 198.37		 -5.62   	   0.00		
-57.07   	-151.67   	122.38   	 193.29		 -5.62   	  -5.09		
-53.41   	-136.11   	123.15   	 188.20		 -5.64   	  -5.09		
-50.66   	-123.60   	123.91   	 178.03		 -5.66   	   0.00		
-47.61   	-101.93   	124.62   	 162.77		 -5.66   	  -5.09		
-38.76   	-91.25   	125.27   	 147.51		 -5.68   	  -5.09		
-28.08   	-83.01   	125.86   	 127.16		 -5.70   	  -5.09		
-16.78   	-64.39   	126.37   	 111.90		 -5.72   	  -5.09		
-14.34   	-49.74   	126.82   	  86.47		 -5.74   	  -5.09		
-15.26   	-33.87   	127.16   	  76.30		 -5.76   	  -5.09		
-10.68   	-18.92   	127.47   	  50.86		 -5.78   	  -5.09		
 -0.92   	 -8.54   	127.67   	  35.61		 -5.80   	  -5.09		
  7.32   	 -6.41   	127.81   	  15.26		 -5.82   	  -5.09		
 13.43   	 -2.14   	127.87(S)	 -10.17		 -5.84   	  -5.09		
 21.06   	  3.97   	127.83   	 -30.52		 -5.86   	   0.00		
 23.50   	  7.93   	127.71   	 -55.95		 -5.86   	   0.00		
 24.41   	 14.95   	127.49   	 -91.56		 -5.86   	  -5.09		
 32.35   	 18.92   	127.12   	-122.07		 -5.88   	   0.00		
 31.43   	 20.14   	126.63   	-162.77		 -5.88   	   0.00		
 29.60   	 22.89   	125.98   	-203.46		 -5.88   	   5.09		
 32.65   	 24.72   	125.17   	-239.06		 -5.86   	   0.00		
 29.91   	 22.28   	124.21   	-274.67		 -5.86   	   0.00		
 32.04   	 21.67   	123.11   	-310.27		 -5.86   	   5.09		
 36.62   	 18.31   	121.87   	-345.88		 -5.84   	   5.09		
 35.10   	 16.78   	120.49   	-371.31		 -5.82   	   0.00		
 38.15   	 21.36   	119.00   	-401.83		 -5.82   	   5.09		
 43.95   	 26.55   	117.40   	-412.00		 -5.80   	   5.09		
 39.67   	 33.26   	115.75   	-417.09		 -5.78   	   5.09		
 42.72   	 32.35   	114.08   	-401.83		 -5.76   	   5.09		
 42.72   	 31.13   	112.47   	-366.22		 -5.74   	   0.00		
 34.79   	 28.08   	111.01   	-315.36		 -5.74   	   5.09		
 36.01   	 28.99   	109.75   	-249.24		 -5.72   	   5.09		
 39.37   	 35.10   	108.75   	-172.94		 -5.70   	   5.09		
 36.62   	 40.89   	108.06   	-101.73		 -5.68   	   0.00		
 39.67   	 43.33   	107.65   	 -40.69		 -5.68   	   0.00		
 39.98   	 43.64   	107.49   	  10.17		 -5.68   	   5.09		
 39.98   	 43.33   	107.53   	  35.61		 -5.66   	   0.00		
 39.06   	 39.98   	107.67   	  35.61		 -5.66   	   0.00		
 40.89   	 37.23   	107.81   	  25.43		 -5.66   	   0.00		
 45.17   	 31.43   	107.91   	 -10.17		 -5.66   	   0.00		
 41.50   	 30.82   	107.87   	 -45.78		 -5.66   	  -5.09		
 43.64   	 41.20   	107.69   	 -91.56		 -5.68   	   0.00		
 46.39   	 47.61   	107.32   	-122.07		 -5.68   	   0.00		
 41.20   	 48.52   	106.84   	-147.51		 -5.68   	   0.00		
 38.15   	 50.66   	106.25   	-162.77		 -5.68   	  -5.09		
 42.42   	 43.64   	105.59   	-157.68		 -5.70   	   0.00		
 41.81   	 41.81   	104.96   	-142.42		 -5.70   	   0.00		
 39.06   	 46.69   	104.39   	-111.90		 -5.70   	   0.00		
 47.30   	 46.08   	103.95   	 -86.47		 -5.70   	  -5.09		
 41.20   	 43.03   	103.60   	 -55.95		 -5.72   	   0.00		
 39.37   	 42.72   	103.38   	 -30.52		 -5.72   	   0.00		
 43.03   	 40.89   	103.25   	 -10.17		 -5.72   	   0.00		
 39.98   	 45.17   	103.21   	 -10.17		 -5.72   	   0.00		
 44.56   	 49.44   	103.17   	 -15.26		 -5.72   	   0.00		
 41.81   	 43.64   	103.11   	 -30.52		 -5.72   	   0.00		
 39.06   	 43.95   	102.99   	 -55.95		 -5.72   	   0.00		
 41.81   	 38.45   	102.77   	 -81.38		 -5.72   	  -5.09		
 39.06   	 32.65   	102.44   	-111.90		 -5.74   	   0.00		
 38.76   	 35.10   	101.99   	-127.16		 -5.74   	   0.00		
 40.59   	 31.43   	101.48   	-147.51		 -5.74   	   0.00		
 37.84   	 28.38   	100.89   	-152.59		 -5.74   	   0.00		
 35.71   	 30.21   	100.28   	-157.68		 -5.74   	   0.00		
 40.59   	 31.74   	 99.65   	-147.51		 -5.74   	  -5.09		
 43.03   	 35.40   	 99.06   	-142.42		 -5.76   	   0.00		
 45.47   	 51.57   	 98.49   	-127.16		 -5.76   	   0.00		
 47.91   	 67.44   	 97.99   	-116.99		 -5.76   	   0.00		
 48.52   	 80.87   	 97.52   	-111.90		 -5.76   	   0.00		
 54.32   	103.15   	 97.07   	-101.73		 -5.76   	  -5.09		
 58.90   	122.07   	 96.66   	-106.82		 -5.78   	   0.00		
 72.94   	143.43   	 96.24   	-106.82		 -5.78   	   0.00		
 86.98   	168.76   	 95.81   	-106.82		 -5.78   	   0.00		
 90.64   	182.80   	 95.38   	-116.99		 -5.78   	   0.00		
 98.57   	199.89   	 94.91   	-116.99		 -5.78   	   0.00		
101.32   	212.10   	 94.45   	-122.07		 -5.78   	   0.00		
101.93   	213.93   	 93.96   	-122.07		 -5.78   	   0.00		
106.20   	219.12   	 93.47   	-122.07		 -5.78   	   0.00		
108.34   	210.27   	 92.98   	-116.99		 -5.78   	   0.00		
100.71   	179.44   	 92.51   	-111.90		 -5.78   	   0.00		
 79.96   	138.55   	 92.06   	-106.82		 -5.78   	   0.00		
 67.75   	100.71   	 91.64   	 -96.64		 -5.78   	   5.09		
 53.71   	 68.97   	 91.25   	 -91.56		 -5.76   	   0.00		
 39.37   	 51.27   	 90.88   	 -86.47		 -5.76   	   0.00		
 40.28   	 54.63   	 90.54   	 -86.47		 -5.76   	   0.00		
 39.98   	 54.93   	 90.19   	 -76.30		 -5.76   	   5.09		
 36.62   	 36.62   	 89.89   	 -81.38		 -5.74   	   0.00		
 33.87   	 17.70   	 89.56   	 -76.30		 -5.74   	   0.00		
 36.93   	 -6.10   	 89.26   	 -76.30		 -5.74   	   0.00		
 35.71   	-28.08   	 88.95   	 -76.30		 -5.74   	   0.00		
 35.10   	-38.76   	 88.65   	 -81.38		 -5.74   	   5.09		
 36.62   	-42.42   	 88.32   	 -76.30		 -5.72   	   0.00		
 36.32   	-42.42   	 88.02   	 -81.38		 -5.72   	   0.00		
 38.15   	-42.42   	 87.69   	 -76.30		 -5.72   	   0.00		
 42.11   	-38.15   	 87.39   	 -71.21		 -5.72   	   0.00		
 47.91   	-35.10   	 87.10   	 -71.21		 -5.72   	   5.09		
 49.13   	-29.30   	 86.82   	 -71.21		 -5.70   	   0.00		
 46.08   	-19.84   	 86.53   	 -66.12		 -5.70   	   0.00		
 48.83   	-16.17   	 86.27   	 -66.12		 -5.70   	   0.00		
 50.96   	-13.43   	 86.00   	 -71.21		 -5.70   	   0.00		
 61.95   	-14.04   	 85.72   	 -71.21		 -5.70   	   5.09		
 65.61   	-23.19   	 85.43   	 -76.30		 -5.68   	   0.00		
 66.53   	-27.16   	 85.13   	 -76.30		 -5.68   	   0.00		
 67.14   	-24.72   	 84.82   	 -81.38		 -5.68   	   0.00		
 55.85   	-22.89   	 84.50   	 -81.38		 -5.68   	   0.00		
 50.96   	-19.84   	 84.17   	 -81.38		 -5.68   	   5.09		
 48.52   	-16.17   	 83.85   	 -81.38		 -5.66   	   0.00		
 39.37   	-21.97   	 83.52   	 -76.30		 -5.66   	   0.00		
 35.10   	-27.77   	 83.21   	 -76.30		 -5.66   	   5.09		
 32.65   	-24.72   	 82.91   	 -71.21		 -5.64   	   0.00		
 28.38   	-21.67   	 82.62   	 -71.21		 -5.64   	   0.00		
 26.86   	 -7.93   	 82.34   	 -61.04		 -5.64   	   0.00		
 28.99   	  2.75   	 82.10   	 -61.04		 -5.64   	   5.09		
 28.69   	  3.36   	 81.85   	 -55.95		 -5.62   	   0.00		
 28.99   	  5.19   	 81.63   	 -55.95		 -5.62   	   0.00		
 24.11   	  1.53   	 81.40   	 -45.78		 -5.62   	   0.00		
 27.16   	  4.27   	 81.22   	 -50.86		 -5.62   	   0.00		
 28.99   	 10.68   	 81.02   	 -45.78		 -5.62   	   0.00		
 24.41   	 13.12   	 80.83   	 -45.78		 -5.62   	   0.00		
 28.38   	 17.40   	 80.65   	 -40.69		 -5.62   	   0.00		
 29.60   	 16.17   	 80.49   	 -45.78		 -5.62   	   0.00		
 25.63   	 18.01   	 80.30   	 -50.86		 -5.62   	  -5.09		
 28.08   	 26.86   	 80.10   	 -50.86		 -5.64   	   0.00		
 28.69   	 41.81   	 79.90   	 -61.04		 -5.64   	   0.00		
 30.21   	 90.94   	 79.65   	 -61.04		 -5.64   	   0.00		
 41.50   	161.44   	 79.41   	 -66.12		 -5.64   	  -5.09		
 50.96   	263.06   	 79.15   	 -71.21		 -5.66   	   0.00		
 61.34   	430.91   	 78.86   	 -71.21		 -5.66   	  -5.09		
 98.88   	600.59   	 78.58   	 -71.21		 -5.68   	   0.00		
127.56   	809.02   	 78.29   	 -71.21		 -5.68   	  -5.09		
169.07   	1052.55   	 78.01   	 -66.12		 -5.70   	   0.00		
245.67   	1210.63   	 77.74   	 -61.04		 -5.70   	   0.00		
314.33   	1304.02(R)	 77.50   	 -50.86		 -5.70   	  -5.09		
365.30   	1221.01   	 77.29   	 -50.86		 -5.72   	   0.00		
326.54   	915.83   	 77.09   	 -45.78		 -5.72   	  -5.09		
232.54   	495.00   	 76.91   	 -40.69		 -5.74   	   0.00		
122.38   	152.89   	 76.74   	 -40.69		 -5.74   	   0.00		
 51.57   	-114.44   	 76.58   	 -40.69		 -5.74   	   0.00		
 77.82   	-190.73   	 76.42   	 -45.78		 -5.74   	   0.00		
150.15   	-90.33   	 76.24   	 -45.78		 -5.74   	   0.00		
187.68   	-105.59   	 76.05   	 -50.86		 -5.74   	   0.00		
162.96   	-99.18   	 75.85   	 -50.86		 -5.74   	   0.00		
107.73   	-81.18   	 75.65   	 -50.86		 -5.74   	   0.00		
 54.32   	-114.14   	 75.44   	 -50.86		 -5.74   	   0.00		
 14.34   	-69.27   	 75.24   	 -50.86		 -5.74   	   0.00		
  0.31   	-32.65   	 75.04   	 -40.69		 -5.74   	   5.09		
  4.88   	-14.95   	 74.87   	 -40.69		 -5.72   	   0.00		
 12.82   	-26.86   	 74.71   	 -35.61		 -5.72   	   0.00		
 14.04   	-24.72   	 74.57   	 -35.61		 -5.72   	   5.09		
 16.48   	-21.97   	 74.42   	 -25.43		 -5.70   	   0.00		
 17.40   	-18.31   	 74.32   	 -25.43		 -5.70   	   5.09		
  8.85   	-18.31   	 74.22   	 -15.26		 -5.68   	   0.00		
  4.88   	-17.70   	 74.16   	  -5.09		 -5.68   	   5.09		
  7.02   	-18.31   	 74.14(D)	  15.26		 -5.66   	   0.00		
  8.85   	-17.09   	 74.20   	  30.52		 -5.66   	   0.00		
 10.07   	-18.62   	 74.32   	  66.12		 -5.66   	   5.09		
  6.71   	-19.23   	 74.59   	 101.73		 -5.64   	   0.00		
  4.58   	-19.23   	 74.99   	 147.51		 -5.64   	   5.09		
 13.73   	-20.75   	 75.58   	 183.11		 -5.62   	   0.00		
 14.65   	-15.56   	 76.32   	 223.80		 -5.62   	   0.00		
 11.29   	-13.43   	 77.21   	 254.32		 -5.62   	   0.00		
 13.73   	-15.26   	 78.23   	 279.75		 -5.62   	   0.00		
  9.46   	-12.82   	 79.35   	 295.01		 -5.62   	   0.00		
  3.36   	-14.34   	 80.53   	 310.27		 -5.62   	   5.09		
  6.41   	-10.99   	 81.77   	 315.36		 -5.60   	  -5.09		
  7.02   	-10.99   	 83.03   	 315.36		 -5.62   	   0.00		
  7.02   	-14.65   	 84.29   	 325.53		 -5.62   	   0.00		
  7.02   	-15.87   	 85.59   	 320.45		 -5.62   	   0.00		
  2.14   	-19.53   	 86.88   	 320.45		 -5.62   	   0.00		
  4.58   	-18.01   	 88.16   	 320.45		 -5.62   	   0.00		
  4.88   	-18.31   	 89.44   	 310.27		 -5.62   	   0.00		
  3.66   	-19.84   	 90.68   	 310.27		 -5.62   	   0.00		
  5.49   	-20.45   	 91.92   	 305.19		 -5.62   	   0.00		
  5.19   	-21.06   	 93.14   	 300.10		 -5.62   	   0.00		
  0.31   	-21.97   	 94.34   	 305.19		 -5.62   	   0.00		
 -1.83   	-22.28   	 95.56   	 310.27		 -5.62   	  -5.09		
 -0.92   	-25.33   	 96.81   	 305.19		 -5.64   	   0.00		
 -6.10   	-28.99   	 98.03   	 305.19		 -5.64   	   0.00		
 -3.66   	-26.55   	 99.25   	 295.01		 -5.64   	   0.00		
 -3.66   	-29.30   	100.43   	 289.93		 -5.64   	   0.00		
 -1.53   	-31.13   	101.59   	 279.75		 -5.64   	   0.00		
 -3.05   	-28.99   	102.71   	 264.50		 -5.64   	   0.00		
 -3.97   	-36.32   	103.76   	 254.32		 -5.64   	   0.00		
 -0.92   	-37.84   	104.78   	 239.06		 -5.64   	   0.00		
 -7.02   	-38.15   	105.74   	 233.98		 -5.64   	   0.00		
-11.90   	-41.81   	106.67   	 223.80		 -5.64   	   0.00		
-13.43   	-47.30   	107.57   	 218.72		 -5.64   	   0.00		
-14.65   	-52.80   	108.44   	 223.80		 -5.64   	   0.00		
-20.75   	-55.54   	109.34   	 233.98		 -5.64   	   0.00		
-19.23   	-62.87   	110.27   	 239.06		 -5.64   	  -5.09		
-19.23   	-67.75   	111.23   	 249.24		 -5.66   	   0.00		
-26.25   	-69.89   	112.23   	 249.24		 -5.66   	   0.00		
-28.38   	-76.29   	113.22   	 259.41		 -5.66   	   0.00		
-33.26   	-83.62   	114.26   	 254.32		 -5.66   	   0.00		
-36.93   	-87.89   	115.28   	 254.32		 -5.66   	   0.00		
-44.56   	-93.38   	116.30   	 249.24		 -5.66   	   0.00		
-47.91   	-98.27   	117.29   	 254.32		 -5.66   	   0.00		
-50.66   	-99.79   	118.31   	 259.41		 -5.66   	   0.00		
-56.76   	-101.93   	119.35   	 264.50		 -5.66   	   0.00		
-58.29   	-99.49   	120.41   	 269.58		 -5.66   	   0.00		
-59.81   	-101.32   	121.48   	 259.41		 -5.66   	   0.00		
-58.90   	-95.83   	122.52   	 249.24		 -5.66   	   5.09		
-61.65   	-90.33   	123.52   	 228.89		 -5.64   	   0.00		
-63.78   	-87.59   	124.43   	 203.46		 -5.64   	   0.00		
-64.70   	-75.99   	125.25   	 183.11		 -5.64   	   0.00		
-63.78   	-67.14   	125.98   	 157.68		 -5.64   	   0.00		
-59.20   	-52.19   	126.61   	 137.33		 -5.64   	   0.00		
-48.52   	-36.32   	127.16   	 111.90		 -5.64   	   0.00		
-40.89   	-22.28   	127.61   	 101.73		 -5.64   	   0.00		
-35.71   	 -4.27   	128.02   	  86.47		 -5.64   	   5.09		
-24.72   	  7.32   	128.36   	  71.21		 -5.62   	   0.00		
-16.78   	 20.45   	128.65   	  66.12		 -5.62   	  -5.09		
-11.60   	 36.62   	128.91   	  61.04		 -5.64   	   0.00		
 -0.61   	 47.91   	129.16   	  55.95		 -5.64   	   0.00		
  1.22   	 56.15   	129.38   	  55.95		 -5.64   	   0.00		
  6.71   	 68.05   	129.60   	  50.86		 -5.64   	   0.00		
 17.09   	 77.21   	129.81   	  40.69		 -5.64   	   0.00		
 18.92   	 83.01   	129.97   	  30.52		 -5.64   	   0.00		
 27.47   	 91.55   	130.09   	  10.17		 -5.64   	   0.00		
 29.91   	 95.21   	130.13(S)	 -25.43		 -5.64   	   0.00		
 32.65   	 96.44   	130.03   	 -66.12		 -5.64   	   0.00		
 37.23   	 96.13   	129.77   	-106.82		 -5.64   	   0.00		
 38.76   	 97.96   	129.34   	-152.59		 -5.64   	   0.00		
 44.25   	 99.79   	128.73   	-198.37		 -5.64   	   0.00		
 39.37   	 99.18   	127.93   	-239.06		 -5.64   	   5.09		
 43.95   	 99.79   	126.98   	-279.75		 -5.62   	   0.00		
 43.33   	 98.88   	125.86   	-310.27		 -5.62   	   0.00		
 41.50   	 96.44   	124.62   	-340.79		 -5.62   	   0.00		
 46.39   	 96.13   	123.25   	-371.31		 -5.62   	   0.00		
 43.95   	 95.21   	121.77   	-396.74		 -5.62   	   0.00		
 40.89   	 96.13   	120.18   	-417.09		 -5.62   	   0.00		
 40.59   	 97.35   	118.51   	-427.26		 -5.62   	   0.00		
 45.78   	 96.44   	116.81   	-427.26		 -5.62   	   5.09		
 43.64   	101.93   	115.10   	-401.83		 -5.60   	   0.00		
 46.69   	103.45   	113.49   	-361.14		 -5.60   	   0.00		
 47.00   	105.29   	112.04   	-295.01		 -5.60   	   0.00		
 43.64   	114.75   	110.86   	-223.80		 -5.60   	   5.09		
 42.72   	116.58   	109.97   	-147.51		 -5.57   	   0.00		
 44.86   	118.10   	109.38   	 -66.12		 -5.57   	   0.00		
 51.27   	125.43   	109.11   	 -10.17		 -5.57   	   0.00		
 49.44   	126.34   	109.07   	  35.61		 -5.57   	   0.00		
 50.66   	128.78   	109.22   	  55.95		 -5.57   	   0.00		
 53.10   	133.97   	109.44   	  50.86		 -5.57   	   0.00		
 48.22   	133.97   	109.64   	  30.52		 -5.57   	  -5.09		
 46.08   	137.33   	109.77   	 -10.17		 -5.60   	   0.00		
 50.96   	139.16   	109.72   	 -50.86		 -5.60   	   0.00		
 50.05   	140.38   	109.52   	 -91.56		 -5.60   	   0.00		
 49.44   	146.48   	109.16   	-122.07		 -5.60   	   0.00		
 47.91   	145.26   	108.67   	-147.51		 -5.60   	   0.00		
 47.30   	144.04   	108.08   	-162.77		 -5.60   	   0.00		
 44.56   	145.87   	107.43   	-157.68		 -5.60   	   0.00		
 43.33   	144.96   	106.80   	-142.42		 -5.60   	   0.00		
 50.05   	144.35   	106.23   	-127.16		 -5.60   	   0.00		
 50.96   	145.87   	105.72   	-101.73		 -5.60   	   0.00		
 49.74   	144.96   	105.31   	 -81.38		 -5.60   	   0.00		
 51.88   	139.16   	104.98   	 -61.04		 -5.60   	   0.00		
 50.96   	138.85   	104.74   	 -50.86		 -5.60   	   0.00		
 44.56   	138.55   	104.54   	 -50.86		 -5.60   	   5.09		
 42.42   	137.33   	104.33   	 -55.95		 -5.57   	   0.00		
