  I     	  II     	  AOp     	  AOp'		
-203.25   	-268.55   	114.08   	 289.93		
-199.58   	-252.99   	115.24   	 315.36		
-195.01   	-236.21   	116.50   	 325.53		
-188.29   	-216.98   	117.80   	 345.88		
-178.53   	-192.26   	119.19   	 356.05		
-165.71   	-158.39   	120.61   	 361.14		
-149.84   	-115.36   	122.05   	 366.22		
-131.53   	-67.14   	123.52   	 366.22		
-113.83   	-21.67   	124.98   	 366.22		
-101.62   	 13.73   	126.45   	 356.05		
-97.66   	 37.54   	127.87   	 345.88		
-101.01   	 53.41   	129.26   	 330.62		
-104.98   	 67.14   	130.58   	 315.36		
-102.54   	 81.79   	131.84   	 300.10		
-91.25   	 96.74   	133.04   	 279.75		
-75.38   	108.34   	134.16   	 254.32		
-61.04   	115.66   	135.18   	 233.98		
-52.19   	120.54   	136.11   	 208.54		
-48.22   	123.60   	136.95   	 183.11		
-45.47   	125.43   	137.68   	 162.77		
-41.20   	124.82   	138.33   	 137.33		
-35.40   	120.54   	138.88   	 116.99		
-30.82   	113.53   	139.35   	  91.56		
-28.99   	103.76   	139.71   	  61.04		
-30.21   	 91.25   	139.96   	  45.78		
-35.10   	 75.68   	140.14   	  15.26		
-41.50   	 57.98   	140.20   	  -5.09		
-48.83   	 40.59   	140.18   	 -25.43		
-55.54   	 25.63   	140.08   	 -50.86		
-61.34   	 13.73   	139.88   	 -71.21		
-66.53   	  3.05   	139.59   	 -91.56		
-71.72   	 -7.93   	139.23   	-111.90		
-77.51   	-20.75   	138.78   	-127.16		
-83.01   	-33.57   	138.27   	-137.33		
-86.98   	-44.56   	137.72   	-152.59		
-89.11   	-52.49   	137.11   	-162.77		
-90.64   	-58.59   	136.46   	-157.68		
-92.77   	-65.00   	135.83   	-157.68		
-96.44   	-73.24   	135.20   	-152.59		
-101.01   	-82.40   	134.59   	-142.42		
-104.98   	-89.72   	134.02   	-132.25		
-107.73   	-94.60   	133.49   	-122.07		
-108.95   	-97.05   	133.00   	-106.82		
-108.95   	-98.57   	132.57   	-101.73		
-108.64   	-99.79   	132.17   	 -96.64		
-108.64   	-101.32   	131.78   	 -81.38		
-108.64   	-102.84   	131.45   	 -76.30		
-108.64   	-105.59   	131.15   	 -71.21		
-108.34   	-111.08   	130.86   	 -55.95		
-107.42   	-118.71   	130.64   	 -45.78		
-106.81   	-126.65   	130.46   	 -45.78		
-107.12   	-131.53   	130.27   	 -35.61		
