  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-11.29   	-78.74   	138.37   	 620.55		 83.40   	 -15.26		
-11.29   	-75.07   	140.85   	 783.31		 83.34   	 -15.26		
-11.60   	-69.89   	143.99   	 371.31		 83.28   	 -10.17		
-11.60   	-63.78   	145.47   	  76.30		 83.23   	 -10.17		
-11.90   	-57.68   	145.78   	 213.63		 83.19   	 -10.17		
-11.90   	-51.27   	146.63   	1144.45		 83.15   	  -5.09		
-10.68   	-44.86   	151.21   	1286.87		 83.13   	  -5.09		
 -8.54   	-37.84   	156.36   	 437.43		 83.11   	   0.00		
 -6.10   	-29.91   	158.11   	 544.25		 83.11   	   0.00		
 -3.36   	-21.67   	160.28   	 -86.47		 83.11   	   0.00		
 -0.61   	-13.12   	159.94   	-925.73		 83.11   	   5.09		
  2.44   	 -4.27   	156.24   	  91.56		 83.13   	   5.09		
  6.10   	  5.49   	156.60   	 839.26		 83.15   	   5.09		
 10.68   	 16.48   	159.96   	1515.76		 83.17   	  10.17		
 14.95   	 29.30   	166.02   	1241.09		 83.21   	  10.17		
 19.23   	 43.33   	170.99   	1826.04		 83.26   	  15.26		
 22.58   	 57.68   	178.29   	1286.87		 83.32   	  15.26		
 25.33   	 71.72   	183.44   	-1042.72		 83.38   	  15.26		
 27.77   	 85.45   	179.27   	-1057.98		 83.44   	  20.35		
 30.52   	 99.18   	175.03   	-681.58		 83.52   	  20.35		
 33.87   	112.61   	172.31   	 564.60		 83.60   	  20.35		
 39.06   	126.04   	174.57   	2019.32		 83.68   	  20.35		
 45.78   	138.55   	182.64   	 991.86		 83.76   	  25.43		
 53.10   	149.23   	186.61   	 -20.35		 83.87   	  25.43		
 59.81   	158.08   	186.53   	 -86.47		 83.97   	  25.43		
 65.31   	165.10   	186.18   	-289.93		 84.07   	  25.43		
 69.27   	170.90   	185.02   	 -91.56		 84.17   	  25.43		
 70.50   	174.87   	184.66   	 412.00		 84.27   	  25.43		
 69.89   	176.70   	186.31   	 625.63		 84.37   	  30.52		
 68.05   	176.09   	188.81   	 147.51		 84.50   	  25.43		
 67.75   	173.65   	189.40   	 198.37		 84.60   	  25.43		
 69.58   	171.20   	190.19   	 956.25		 84.70   	  30.52		
 72.94   	168.15   	194.02   	 717.19		 84.82   	  25.43		
 74.77   	163.27   	196.89   	-157.68		 84.92   	  25.43		
 72.02   	155.03   	196.26   	-366.22		 85.03   	  25.43		
 65.00   	143.13   	194.79   	-218.72		 85.13   	  20.35		
 54.93   	127.87   	193.92   	 137.33		 85.21   	  25.43		
 45.17   	110.47   	194.47   	 178.03		 85.31   	  20.35		
 36.93   	 92.16   	195.18   	  81.38		 85.39   	  20.35		
 30.21   	 74.16   	195.50   	 564.60		 85.47   	  15.26		
 24.72   	 57.37   	197.76   	 554.42		 85.53   	  15.26		
 19.84   	 43.03   	199.98   	-330.62		 85.59   	  10.17		
 14.65   	 29.91   	198.66   	-1108.85		 85.64   	  15.26		
  8.54   	 17.09   	194.22   	-523.90		 85.70   	   5.09		
  1.83   	  3.97   	192.13   	 162.77		 85.72   	   5.09		
 -4.27   	 -9.46   	192.78   	  96.64		 85.74   	   5.09		
 -8.54   	-21.36   	193.16   	 -35.61		 85.76   	   5.09		
-10.68   	-31.13   	193.02   	-350.97		 85.78   	   0.00		
-11.60   	-38.76   	191.62   	-361.14		 85.78   	  -5.09		
-13.12   	-45.47   	190.17   	-172.94		 85.76   	  -5.09		
-14.95   	-50.96   	189.48   	-579.86		 85.74   	  -5.09		
-15.87   	-54.02   	187.16   	-640.89		 85.72   	  -5.09		
-15.56   	-54.63   	184.60   	-371.31		 85.70   	 -10.17		
-14.95   	-53.71   	183.11   	-645.98		 85.66   	 -15.26		
-14.65   	-53.10   	180.53   	-1368.26		 85.59   	 -10.17		
-15.56   	-54.32   	175.06   	-1836.21		 85.55   	 -15.26		
-17.70   	-57.07   	167.71   	-1297.04		 85.49   	 -15.26		
-19.84   	-60.12   	162.52   	-661.24		 85.43   	 -15.26		
-21.67   	-61.95   	159.88   	-340.79		 85.37   	 -15.26		
-22.89   	-62.87   	158.51   	 -25.43		 85.31   	 -20.35		
-23.19   	-62.56   	158.41   	 122.07		 85.23   	 -20.35		
-21.67   	-61.04   	158.90   	-259.41		 85.15   	 -20.35		
-18.62   	-59.51   	157.86   	-386.57		 85.07   	 -15.26		
-15.87   	-58.59   	156.32   	  45.78		 85.00   	 -20.35		
-14.95   	-59.20   	156.50   	-315.36		 84.92   	 -20.35		
-17.09   	-61.65   	155.24   	-951.17		 84.84   	 -20.35		
-21.36   	-64.39   	151.43   	-656.15		 84.76   	 -20.35		
-25.94   	-67.14   	148.81   	 -50.86		 84.68   	 -20.35		
-28.38   	-68.36   	148.61   	 254.32		 84.60   	 -15.26		
-28.38   	-68.36   	149.62   	 193.29		 84.54   	 -15.26		
-26.25   	-66.53   	150.40   	-167.85		 84.48   	 -15.26		
-25.02   	-64.39   	149.72   	-427.26		 84.41   	 -15.26		
-25.94   	-61.95   	148.02   	-462.87		 84.35   	 -10.17		
-28.69   	-58.59   	146.16   	-300.10		 84.31   	 -10.17		
