  I     	  II     	  LV     	  LV'		
-85.14   	-41.20   	  5.27   	 -50.86		
-84.53   	-40.59   	  5.07   	 -45.78		
-81.48   	-43.64   	  4.88   	 -45.78		
-75.99   	-45.47   	  4.70   	 -40.69		
-69.27   	-40.59   	  4.54   	 -35.61		
-62.26   	-25.63   	  4.39   	 -35.61		
-55.85   	 -3.66   	  4.25   	 -30.52		
-50.05   	 18.92   	  4.13   	 -20.35		
-44.56   	 35.10   	  4.05   	 -15.26		
-39.06   	 43.03   	  3.99   	 -10.17		
-34.18   	 45.17   	  3.95   	  -5.09		
-32.04   	 44.56   	  3.93   	   0.00		
-32.96   	 42.42   	  3.93   	  10.17		
-37.54   	 38.45   	  3.97   	  10.17		
-43.64   	 31.74   	  4.01   	  15.26		
-48.22   	 21.06   	  4.07   	  15.26		
-50.96   	  4.58   	  4.13   	  15.26		
-54.63   	-18.62   	  4.19   	  15.26		
-62.26   	-47.00   	  4.25   	  15.26		
-74.46   	-73.85   	  4.31   	  15.26		
-87.28   	-92.47   	  4.37   	  15.26		
-96.74   	-100.71   	  4.44   	  15.26		
-99.79   	-101.93   	  4.50   	  15.26		
-97.35   	-101.93   	  4.56   	  25.43		
-93.99   	-104.68   	  4.66   	  20.35		
-92.16   	-111.08   	  4.74   	  30.52		
-93.38   	-118.41   	  4.86   	  35.61		
-96.13   	-124.21   	  5.01   	  35.61		
-98.57   	-128.17   	  5.15   	  45.78		
-99.79   	-130.00   	  5.33   	  45.78		
-99.18   	-130.31   	  5.51   	  50.86		
-98.27   	-130.62   	  5.72   	  50.86		
-97.66   	-131.53   	  5.92   	  45.78		
-97.66   	-133.97   	  6.10   	  45.78		
-98.27   	-137.02   	  6.29   	  45.78		
-100.10   	-139.47   	  6.47   	  40.69		
-103.45   	-136.72   	  6.63   	  35.61		
-106.20   	-119.32   	  6.78   	  35.61		
-101.93   	-75.38   	  6.92   	  30.52		
-74.46   	 -0.61   	  7.04   	  30.52		
 -3.97   	 96.74   	  7.16   	  35.61		
123.60   	200.50   	  7.30   	  35.61		
303.34   	294.49   	  7.45   	  81.38		
679.63   	443.42   	  7.77   	  45.78		
768.13   	490.11(R)	  7.96   	  45.78		
732.73   	488.59   	  8.14   	  55.95		
575.87   	412.60   	  8.36   	  55.95		
345.76   	260.62   	  8.59   	  61.04		
117.80   	 70.80   	  8.83   	  61.04		
-41.81   	-91.86   	  9.07   	  71.21		
-107.42   	-176.70   	  9.36   	  81.38		
-100.40   	-175.17   	  9.68   	  91.56		
-65.31   	-118.10   	 10.05   	 111.90		
-37.84   	-52.19   	 10.50   	 127.16		
-29.30   	-10.68   	 11.01   	 162.77		
-31.43   	  0.31   	 11.66   	 188.20		
