  I     	  LV     	  LV'		  RV     	  RV'		
 27.16   	150.34   	-244.15		 50.58   	 -50.86		
 14.04   	149.36   	-223.80		 50.38   	 -61.04		
  0.00   	148.46   	-198.37		 50.13   	 -66.12		
-13.73   	147.67   	-167.85		 49.87   	 -66.12		
-26.55   	147.00   	-147.51		 49.60   	 -71.21		
-37.54   	146.41   	-127.16		 49.32   	 -71.21		
-46.69   	145.90   	-137.33		 49.03   	 -81.38		
-54.32   	145.35   	-152.59		 48.71   	 -91.56		
-61.34   	144.74   	-188.20		 48.34   	-106.82		
-67.44   	143.99   	-233.98		 47.91   	-127.16		
-72.33   	143.05   	-284.84		 47.41   	-137.33		
-75.99   	141.91   	-330.62		 46.86   	-157.68		
-78.43   	140.59   	-366.22		 46.23   	-167.85		
-80.87   	139.12   	-381.48		 45.55   	-172.94		
-83.62   	137.60   	-381.48		 44.86   	-183.11		
-86.06   	136.07   	-381.48		 44.13   	-183.11		
-87.59   	134.55   	-371.31		 43.40   	-188.20		
-87.89   	133.06   	-366.22		 42.64   	-183.11		
-86.98   	131.60   	-371.31		 41.91   	-183.11		
-85.45   	130.11   	-396.74		 41.18   	-183.11		
-84.53   	128.52   	-427.26		 40.45   	-183.11		
-84.53   	126.82   	-473.04		 39.72   	-183.11		
-85.75   	124.92   	-539.16		 38.98   	-183.11		
-86.67   	122.77   	-600.20		 38.25   	-183.11		
-86.67   	120.37   	-676.50		 37.52   	-188.20		
-85.75   	117.66   	-752.79		 36.76   	-188.20		
-83.62   	114.65   	-808.75		 36.01   	-188.20		
-82.40   	111.41   	-854.52		 35.26   	-188.20		
-82.09   	108.00   	-879.96		 34.51   	-193.29		
-82.40   	104.48   	-905.39		 33.73   	-193.29		
-82.40   	100.85   	-930.82		 32.96   	-193.29		
-81.48   	 97.13   	-971.51		 32.19   	-203.46		
-80.57   	 93.24   	-1032.55		 31.37   	-203.46		
-79.96   	 89.11   	-1098.67		 30.56   	-203.46		
-80.26   	 84.72   	-1185.14		 29.75   	-213.63		
-81.18   	 79.98   	-1266.53		 28.89   	-213.63		
-81.48   	 74.91   	-1347.91		 28.04   	-213.63		
-80.57   	 69.52   	-1403.86		 27.18   	-218.72		
-79.04   	 63.91   	-1434.38		 26.31   	-213.63		
-77.21   	 58.17   	-1419.12		 25.45   	-213.63		
-75.38   	 52.49   	-1363.17		 24.60   	-208.54		
-73.85   	 47.04   	-1276.70		 23.76   	-203.46		
-72.94   	 41.93   	-1154.62		 22.95   	-193.29		
-72.33   	 37.31   	-1007.12		 22.18   	-188.20		
-71.72   	 33.29   	-859.61		 21.42   	-183.11		
-70.80   	 29.85   	-712.10		 20.69   	-172.94		
-69.27   	 27.00   	-574.77		 20.00   	-172.94		
-68.36   	 24.70   	-457.78		 19.31   	-167.85		
-69.58   	 22.87   	-371.31		 18.64   	-162.77		
-72.63   	 21.38   	-310.27		 17.99   	-167.85		
-76.29   	 20.14   	-274.67		 17.31   	-162.77		
-79.04   	 19.04   	-254.32		 16.66   	-167.85		
-80.26   	 18.03   	-254.32		 15.99   	-172.94		
-80.26   	 17.01   	-264.50		 15.30   	-172.94		
-80.26   	 15.95   	-274.67		 14.61   	-178.03		
-79.96   	 14.85   	-274.67		 13.90   	-178.03		
-79.35   	 13.75   	-269.58		 13.18   	-178.03		
-77.82   	 12.68   	-259.41		 12.47   	-167.85		
-75.99   	 11.64   	-228.89		 11.80   	-162.77		
-75.07   	 10.72   	-188.20		 11.15   	-152.59		
-74.77   	  9.97   	-147.51		 10.54   	-137.33		
-75.07   	  9.38   	 -91.56		  9.99   	-122.07		
-74.46   	  9.01   	 -45.78		  9.50   	-106.82		
-72.63   	  8.83(D)	   0.00		  9.07   	 -91.56		
-69.89   	  8.83   	  40.69		  8.71   	 -81.38		
-67.44   	  8.99   	  71.21		  8.38   	 -66.12		
-66.83   	  9.28   	  96.64		  8.12   	 -55.95		
-66.83   	  9.66   	 101.73		  7.89   	 -40.69		
-67.14   	 10.07   	 101.73		  7.73   	 -30.52		
-66.83   	 10.48   	 101.73		  7.61   	 -15.26		
-66.22   	 10.89   	  86.47		  7.55   	 -10.17		
-66.53   	 11.23   	  76.30		  7.51(D)	   5.09		
-67.44   	 11.54   	  61.04		  7.53   	  10.17		
-68.36   	 11.78   	  50.86		  7.57   	  25.43		
-68.36   	 11.98   	  45.78		  7.67   	  35.61		
-67.44   	 12.17   	  35.61		  7.81   	  40.69		
-65.61   	 12.31   	  30.52		  7.98   	  50.86		
-62.26   	 12.43   	  30.52		  8.18   	  61.04		
-56.15   	 12.55   	  35.61		  8.42   	  66.12		
-47.00   	 12.70   	  35.61		  8.69   	  81.38		
-36.32   	 12.84   	  35.61		  9.01   	  91.56		
-26.86   	 12.98   	  40.69		  9.38   	 106.82		
-21.67   	 13.14   	  45.78		  9.81   	 116.99		
-20.14   	 13.33   	  45.78		 10.27   	 122.07		
-19.23   	 13.51   	  55.95		 10.76   	 111.90		
-16.17   	 13.73   	  55.95		 11.21   	 101.73		
-10.38   	 13.96   	  61.04		 11.62   	  81.38		
 -4.58   	 14.20   	  61.04		 11.94   	  55.95		
 -0.92   	 14.45   	  66.12		 12.17   	  30.52		
  0.00   	 14.71   	  66.12		 12.29   	   5.09		
  0.31   	 14.97   	  61.04		 12.31   	  -5.09		
  1.83   	 15.22   	  55.95		 12.29   	  -5.09		
  4.88   	 15.44   	  50.86		 12.27   	  -5.09		
  9.16   	 15.65   	  40.69		 12.25   	  10.17		
 13.12   	 15.81   	  30.52		 12.29   	  30.52		
 16.48   	 15.93   	  20.35		 12.41   	  40.69		
 18.31   	 16.01   	   5.09		 12.57   	  61.04		
 17.40   	 16.03   	   0.00		 12.82   	  66.12		
 11.29   	 16.03   	 -10.17		 13.08   	  66.12		
 -1.22   	 15.99   	 -10.17		 13.35   	  55.95		
-18.92   	 15.95   	 -15.26		 13.57   	  45.78		
-39.37   	 15.89   	 -10.17		 13.75   	  30.52		
-57.98   	 15.85   	   0.00		 13.88   	  10.17		
-71.72   	 15.85   	   0.00		 13.92   	   5.09		
-78.74   	 15.85   	   5.09		 13.94   	  -5.09		
-81.18   	 15.87   	  10.17		 13.92   	  -5.09		
-81.48   	 15.91   	  15.26		 13.90   	   0.00		
-82.09   	 15.97   	  15.26		 13.90   	   0.00		
-82.70   	 16.03   	  15.26		 13.90   	   5.09		
-82.40   	 16.09   	   5.09		 13.92   	  10.17		
-80.26   	 16.11   	   5.09		 13.96   	   5.09		
-77.21   	 16.13   	  -5.09		 13.98   	  10.17		
-74.46   	 16.11   	  -5.09		 14.02   	   5.09		
-72.63   	 16.09   	 -10.17		 14.04   	  10.17		
-72.02   	 16.05   	 -10.17		 14.08   	   0.00		
-71.72   	 16.01   	  -5.09		 14.08   	  10.17		
-71.41   	 15.99   	   0.00		 14.12   	  10.17		
-71.11   	 15.99(E)	  10.17		 14.16   	  15.26		
-72.02   	 16.03   	  15.26		 14.22   	  25.43		
-76.90   	 16.09   	  25.43		 14.32   	  30.52		
-88.81   	 16.20   	  30.52		 14.45   	  35.61		
-108.64   	 16.32   	  35.61		 14.59   	  40.69		
-133.97   	 16.46   	  35.61		 14.75   	  35.61		
-159.61   	 16.60   	  30.52		 14.89   	  35.61		
-178.53   	 16.72   	  30.52		 15.04   	  30.52		
-184.33   	 16.85   	  25.43		 15.16   	  25.43		
-166.93   	 16.95   	  15.26		 15.26   	  20.35		
-113.22   	 17.01   	  15.26		 15.34   	  15.26		
 -8.85   	 17.07   	  10.17		 15.40   	  10.17		
151.67   	 17.11   	   5.09		 15.44   	  10.17		
356.45   	 17.13   	   0.00		 15.48   	  10.17		
563.35   	 17.13   	   5.09		 15.52   	  15.26		
706.79   	 17.15   	  10.17		 15.58   	  15.26		
727.23(R)	 17.19   	  20.35		 15.65(E)	  20.35		
613.40   	 17.27   	  30.52		 15.73   	  30.52		
416.87   	 17.40   	  50.86		 15.85   	  30.52		
231.32   	 17.60   	  76.30		 15.97   	  35.61		
135.19   	 17.90   	 101.73		 16.11   	  45.78		
140.99   	 18.31   	 132.25		 16.30   	  50.86		
196.23   	 18.84   	 172.94		 16.50   	  61.04		
230.71   	 19.53   	 218.72		 16.74   	  71.21		
205.99   	 20.41   	 284.84		 17.03   	  81.38		
131.53   	 21.55   	 356.05		 17.35   	 101.73		
 41.81   	 22.97   	 442.52		 17.76   	 111.90		
-29.60   	 24.74   	 544.25		 18.21   	 132.25		
-67.14   	 26.92   	 651.07		 18.74   	 157.68		
-72.02   	 29.52   	 762.97		 19.37   	 183.11		
-55.24   	 32.57   	 859.61		 20.10   	 198.37		
-33.26   	 36.01   	 956.25		 20.90   	 228.89		
-19.84   	 39.84   	1032.55		 21.81   	 249.24		
-20.14   	 43.97   	1098.67		 22.81   	 264.50		
-28.69   	 48.36   	1144.45		 23.87   	 274.67		
-35.40   	 52.94   	1195.32		 24.96   	 284.84		
-34.79   	 57.72   	1251.27		 26.10   	 284.84		
-28.99   	 62.73   	1302.13		 27.24   	 284.84		
-23.80   	 67.93   	1337.74		 28.38   	 274.67		
-21.97   	 73.29   	1368.26		 29.48   	 269.58		
-21.36   	 78.76   	1358.08		 30.56   	 259.41		
-19.23   	 84.19   	1322.48		 31.60   	 233.98		
-14.04   	 89.48   	1256.35		 32.53   	 218.72		
 -6.10   	 94.51   	1154.62		 33.41   	 198.37		
  2.75   	 99.12   	1042.72		 34.20   	 167.85		
  9.77   	103.30   	 920.65		 34.87   	 147.51		
 14.04   	106.98   	 808.75		 35.46   	 116.99		
 16.48   	110.21   	 712.10		 35.93   	  91.56		
 19.23   	113.06   	 640.89		 36.30   	  76.30		
 24.41   	115.63   	 600.20		 36.60   	  61.04		
 31.74   	118.03   	 584.94		 36.85   	  50.86		
 39.98   	120.37   	 584.94		 37.05   	  50.86		
 47.61   	122.71   	 595.11		 37.25   	  55.95		
 54.32   	125.09   	 610.37		 37.48   	  61.04		
 60.12   	127.53   	 625.63		 37.72   	  66.12		
 66.83   	130.03   	 615.46		 37.99   	  71.21		
 74.77   	132.49   	 605.29		 38.27   	  71.21		
 84.84   	134.91   	 564.60		 38.56   	  71.21		
 96.74   	137.17   	 523.90		 38.84   	  61.04		
109.56   	139.27   	 467.95		 39.08   	  61.04		
122.68   	141.14   	 412.00		 39.33   	  55.95		
136.11   	142.79   	 350.97		 39.55   	  45.78		
150.45   	144.19   	 305.19		 39.74   	  45.78		
165.10   	145.41   	 259.41		 39.92   	  35.61		
180.36   	146.45   	 228.89		 40.06   	  40.69		
195.01   	147.36   	 208.54		 40.22   	  35.61		
208.44   	148.20   	 198.37		 40.37   	  35.61		
220.03   	148.99   	 172.94		 40.51   	  35.61		
229.49   	149.68   	 157.68		 40.65   	  35.61		
235.90   	150.31   	 127.16		 40.79   	  35.61		
239.26   	150.82   	 101.73		 40.94   	  35.61		
238.65   	151.23   	  61.04		 41.08   	  35.61		
234.07   	151.47   	  25.43		 41.22   	  35.61		
224.91   	151.58(S)	 -15.26		 41.36   	  40.69		
211.18   	151.52   	 -55.95		 41.53   	  30.52		
192.57   	151.29   	 -91.56		 41.65   	  35.61		
169.68   	150.93   	-116.99		 41.79   	  30.52		
144.96   	150.46   	-137.33		 41.91   	  30.52		
119.63   	149.91   	-152.59		 42.03   	  25.43		
 96.13   	149.30   	-157.68		 42.14   	  20.35		
 74.16   	148.67   	-167.85		 42.22   	  15.26		
 54.02   	148.00   	-183.11		 42.28   	   5.09		
 35.40   	147.26   	-198.37		 42.30(S)	   0.00		
 18.31   	146.47   	-228.89		 42.30   	  -5.09		
  2.44   	145.55   	-264.50		 42.28   	 -15.26		
-12.21   	144.50   	-305.19		 42.22   	 -20.35		
-26.25   	143.28   	-335.71		 42.14   	 -35.61		
-39.67   	141.93   	-361.14		 41.99   	 -40.69		
-51.57   	140.49   	-366.22		 41.83   	 -45.78		
-61.34   	139.02   	-350.97		 41.65   	 -61.04		
-68.36   	137.62   	-325.53		 41.40   	 -66.12		
-73.55   	136.32   	-289.93		 41.14   	 -76.30		
-77.21   	135.16   	-244.15		 40.83   	 -81.38		
-79.96   	134.18   	-218.72		 40.51   	 -91.56		
-81.79   	133.31   	-198.37		 40.14   	 -96.64		
-83.31   	132.51   	-213.63		 39.76   	-101.73		
-83.62   	131.66   	-249.24		 39.35   	-101.73		
-83.01   	130.66   	-305.19		 38.94   	-106.82		
-82.70   	129.44   	-371.31		 38.51   	-111.90		
-83.31   	127.95   	-447.61		 38.07   	-116.99		
-85.75   	126.16   	-513.73		 37.60   	-116.99		
-88.20   	124.11   	-584.94		 37.13   	-122.07		
-88.81   	121.77   	-651.07		 36.64   	-132.25		
-86.67   	119.17   	-701.93		 36.11   	-137.33		
-83.62   	116.36   	-757.88		 35.56   	-152.59		
-81.48   	113.33   	-798.57		 34.95   	-157.68		
-82.40   	110.13   	-829.09		 34.32   	-172.94		
-84.84   	106.82   	-854.52		 33.63   	-188.20		
-86.98   	103.40   	-874.87		 32.88   	-198.37		
-86.98   	 99.90   	-910.47		 32.09   	-213.63		
-84.84   	 96.26   	-971.51		 31.23   	-223.80		
-81.18   	 92.37   	-1063.07		 30.34   	-233.98		
-77.21   	 88.12   	-1164.80		 29.40   	-244.15		
-73.85   	 83.46   	-1281.79		 28.42   	-254.32		
-72.63   	 78.33   	-1388.60		 27.41   	-259.41		
-72.94   	 72.78   	-1480.16		 26.37   	-274.67		
-74.16   	 66.86   	-1541.19		 25.27   	-279.75		
-74.77   	 60.69   	-1561.54		 24.15   	-284.84		
-73.85   	 54.45   	-1541.19		 23.01   	-284.84		
-71.72   	 48.28   	-1480.16		 21.87   	-284.84		
-69.89   	 42.36   	-1378.43		 20.73   	-279.75		
-69.58   	 36.85   	-1256.35		 19.61   	-269.58		
-71.11   	 31.82   	-1103.76		 18.54   	-254.32		
-72.94   	 27.41   	-951.17		 17.52   	-233.98		
-72.94   	 23.60   	-793.49		 16.58   	-218.72		
-70.80   	 20.43   	-651.07		 15.71   	-203.46		
-67.75   	 17.82   	-528.99		 14.89   	-193.29		
-64.70   	 15.71   	-422.18		 14.12   	-188.20		
-63.78   	 14.02   	-350.97		 13.37   	-183.11		
-64.70   	 12.61   	-289.93		 12.63   	-188.20		
-66.22   	 11.45   	-259.41		 11.88   	-188.20		
-67.14   	 10.42   	-233.98		 11.13   	-203.46		
-66.53   	  9.48   	-223.80		 10.32   	-203.46		
-65.31   	  8.59   	-208.54		  9.50   	-208.54		
-64.09   	  7.75   	-198.37		  8.67   	-208.54		
-63.78   	  6.96   	-172.94		  7.83   	-203.46		
-65.61   	  6.27   	-152.59		  7.02   	-183.11		
-68.97   	  5.66   	-116.99		  6.29   	-162.77		
-72.63   	  5.19   	 -81.38		  5.64   	-127.16		
-74.77   	  4.86   	 -35.61		  5.13   	-101.73		
-73.85   	  4.72(D)	   0.00		  4.72   	 -66.12		
-70.50   	  4.72   	  45.78		  4.46   	 -30.52		
-66.83   	  4.90   	  71.21		  4.33(D)	   0.00		
-64.39   	  5.19   	 101.73		  4.33   	  25.43		
-64.09   	  5.60   	 111.90		  4.44   	  45.78		
-65.00   	  6.04   	 127.16		  4.62   	  55.95		
-65.92   	  6.55   	 122.07		  4.84   	  66.12		
-66.53   	  7.04   	 116.99		  5.11   	  66.12		
-66.53   	  7.51   	 111.90		  5.37   	  66.12		
-67.14   	  7.96   	 101.73		  5.64   	  66.12		
-68.36   	  8.36   	  91.56		  5.90   	  66.12		
-69.89   	  8.73   	  86.47		  6.16   	  61.04		
-70.80   	  9.07   	  81.38		  6.41   	  55.95		
-70.80   	  9.40   	  81.38		  6.63   	  61.04		
-69.58   	  9.73   	  81.38		  6.88   	  55.95		
-67.75   	 10.05   	  91.56		  7.10   	  61.04		
-65.31   	 10.42   	  96.64		  7.34   	  61.04		
-62.87   	 10.80   	  96.64		  7.59   	  61.04		
-60.12   	 11.19   	 106.82		  7.83   	  61.04		
-56.46   	 11.62   	 111.90		  8.08   	  66.12		
-51.27   	 12.07   	 111.90		  8.34   	  61.04		
-44.86   	 12.51   	 106.82		  8.59   	  66.12		
-37.84   	 12.94   	 106.82		  8.85   	  66.12		
-31.74   	 13.37   	  96.64		  9.11   	  66.12		
-27.47   	 13.75   	  86.47		  9.38   	  71.21		
-25.02   	 14.10   	  71.21		  9.66   	  71.21		
-22.58   	 14.38   	  61.04		  9.95   	  71.21		
-18.62   	 14.63   	  50.86		 10.23   	  76.30		
-11.60   	 14.83   	  35.61		 10.54   	  71.21		
 -0.61   	 14.97   	  20.35		 10.82   	  76.30		
 12.82   	 15.06   	  15.26		 11.13   	  71.21		
 25.33   	 15.12   	   5.09		 11.41   	  71.21		
 33.26   	 15.14   	   0.00		 11.70   	  66.12		
 34.48   	 15.14   	   0.00		 11.96   	  66.12		
 28.99   	 15.14   	  -5.09		 12.23   	  66.12		
 20.45   	 15.12   	   0.00		 12.49   	  61.04		
 13.12   	 15.12   	   0.00		 12.74   	  61.04		
  8.24   	 15.12   	   5.09		 12.98   	  61.04		
  5.19   	 15.14   	  10.17		 13.22   	  55.95		
 -0.31   	 15.18   	  10.17		 13.45   	  55.95		
-11.60   	 15.22   	  15.26		 13.67   	  55.95		
-29.91   	 15.28   	  15.26		 13.90   	  55.95		
-52.19   	 15.34   	  15.26		 14.12   	  50.86		
-72.63   	 15.40   	  20.35		 14.32   	  45.78		
-85.75   	 15.48   	  15.26		 14.51   	  45.78		
-90.03   	 15.54   	   5.09		 14.69   	  40.69		
-87.59   	 15.56   	   5.09		 14.85   	  40.69		
-83.31   	 15.58   	  -5.09		 15.02   	  30.52		
-81.48   	 15.56   	 -10.17		 15.14   	  35.61		
-81.79   	 15.52   	 -20.35		 15.28   	  30.52		
-82.09   	 15.44   	 -25.43		 15.40   	  35.61		
-80.26   	 15.34   	 -35.61		 15.54   	  35.61		
-76.90   	 15.20   	 -35.61		 15.69   	  40.69		
-73.55   	 15.06   	 -40.69		 15.85   	  40.69		
-72.02   	 14.89   	 -35.61		 16.01   	  45.78		
-72.63   	 14.75   	 -40.69		 16.20   	  40.69		
-73.55   	 14.59   	 -30.52		 16.36   	  45.78		
-74.16   	 14.47   	 -30.52		 16.54   	  35.61		
-73.85   	 14.34   	 -30.52		 16.68   	  35.61		
-73.55   	 14.22   	 -35.61		 16.83   	  30.52		
-76.60   	 14.08   	 -35.61		 16.95   	  30.52		
-86.98   	 13.94   	 -35.61		 17.07   	  20.35		
-105.90   	 13.79   	 -40.69		 17.15   	  15.26		
-130.92   	 13.63   	 -45.78		 17.21   	  10.17		
-156.86   	 13.45   	 -45.78		 17.25   	   5.09		
-176.39   	 13.27   	 -40.69		 17.27   	   0.00		
-183.41   	 13.10   	 -30.52		 17.27   	   0.00		
-170.59   	 12.98   	 -30.52		 17.27   	 -10.17		
-126.04   	 12.86   	 -10.17		 17.23   	 -10.17		
-34.79   	 12.82   	  -5.09		 17.19   	 -10.17		
109.56   	 12.80(E)	  10.17		 17.15   	 -15.26		
297.55   	 12.84   	  25.43		 17.09   	 -20.35		
490.72   	 12.94   	  30.52		 17.01   	 -20.35		
625.00   	 13.06   	  45.78		 16.93   	 -25.43		
640.26(R)	 13.25   	  55.95		 16.83   	 -30.52		
522.46   	 13.47   	  61.04		 16.70   	 -25.43		
320.43   	 13.71   	  71.21		 16.60   	 -30.52		
126.95   	 14.00   	  81.38		 16.48   	 -25.43		
 25.33   	 14.32   	 101.73		 16.38   	 -20.35		
 33.26   	 14.73   	 116.99		 16.30   	  -5.09		
101.32   	 15.20   	 147.51		 16.28(E)	   0.00		
156.86   	 15.79   	 188.20		 16.28   	  15.26		
155.94   	 16.54   	 233.98		 16.34   	  35.61		
102.54   	 17.48   	 295.01		 16.48   	  45.78		
 29.60   	 18.66   	 371.31		 16.66   	  71.21		
-29.30   	 20.14   	 457.78		 16.95   	  81.38		
-58.59   	 21.97   	 544.25		 17.27   	 111.90		
-59.51   	 24.15   	 645.98		 17.72   	 132.25		
-42.42   	 26.73   	 732.45		 18.25   	 157.68		
-21.67   	 29.66   	 824.00		 18.88   	 183.11		
 -9.77   	 32.96   	 900.30		 19.61   	 213.63		
 -9.46   	 36.56   	 956.25		 20.47   	 233.98		
-15.87   	 40.39   	 991.86		 21.40   	 254.32		
-20.14   	 44.35   	1017.29		 22.42   	 264.50		
-18.62   	 48.42   	1037.64		 23.48   	 279.75		
-12.82   	 52.57   	1052.90		 24.60   	 279.75		
 -7.63   	 56.79   	1093.59		 25.72   	 279.75		
 -3.36   	 61.16   	1139.36		 26.84   	 274.67		
  0.31   	 65.72   	1195.32		 27.93   	 259.41		
  3.66   	 70.50   	1246.18		 28.97   	 249.24		
  6.71   	 75.48   	1271.61		 29.97   	 233.98		
  9.16   	 80.57   	1271.61		 30.91   	 223.80		
 11.60   	 85.66   	1241.09		 31.80   	 198.37		
 15.87   	 90.62   	1174.97		 32.59   	 188.20		
 21.36   	 95.32   	1088.50		 33.35   	 167.85		
 28.08   	 99.67   	 986.77		 34.02   	 157.68		
 34.48   	103.62   	 879.96		 34.65   	 137.33		
 40.59   	107.14   	 788.40		 35.20   	 122.07		
 46.69   	110.29   	 707.02		 35.69   	 111.90		
 53.71   	113.12   	 651.07		 36.13   	  96.64		
 61.65   	115.73   	 620.55		 36.52   	  86.47		
 70.19   	118.21   	 600.20		 36.87   	  76.30		
 78.13   	120.61   	 584.94		 37.17   	  71.21		
 86.06   	122.95   	 584.94		 37.46   	  66.12		
 94.91   	125.29   	 564.60		 37.72   	  61.04		
105.90   	127.55   	 549.34		 37.97   	  61.04		
119.02   	129.75   	 518.82		 38.21   	  61.04		
132.45   	131.82   	 478.13		 38.45   	  61.04		
144.96   	133.73   	 437.43		 38.70   	  61.04		
156.25   	135.48   	 391.66		 38.94   	  61.04		
166.93   	137.05   	 350.97		 39.19   	  61.04		
178.83   	138.45   	 300.10		 39.43   	  66.12		
192.26   	139.65   	 264.50		 39.69   	  61.04		
207.21   	140.71   	 228.89		 39.94   	  66.12		
222.47   	141.63   	 198.37		 40.20   	  61.04		
236.51   	142.42   	 178.03		 40.45   	  61.04		
248.41   	143.13   	 167.85		 40.69   	  61.04		
256.96   	143.80   	 167.85		 40.94   	  61.04		
261.54   	144.48   	 162.77		 41.18   	  55.95		
260.93   	145.13   	 167.85		 41.40   	  61.04		
254.82   	145.80   	 152.59		 41.65   	  50.86		
242.92   	146.41   	 137.33		 41.85   	  55.95		
226.44   	146.96   	  96.64		 42.08   	  50.86		
205.38   	147.34   	  45.78		 42.28   	  40.69		
181.27   	147.53(S)	 -15.26		 42.44   	  40.69		
155.94   	147.47   	 -91.56		 42.60   	  30.52		
130.62   	147.10   	-167.85		 42.73   	  20.35		
106.51   	146.43   	-239.06		 42.81   	  15.26		
 83.62   	145.47   	-295.01		 42.87   	   5.09		
 61.95   	144.29   	-325.53		 42.89(S)	  -5.09		
 40.89   	142.99   	-340.79		 42.87   	 -10.17		
 20.75   	141.63   	-335.71		 42.83   	 -20.35		
  2.14   	140.28   	-320.45		 42.75   	 -25.43		
-13.12   	139.00   	-289.93		 42.64   	 -35.61		
-25.02   	137.84   	-264.50		 42.50   	 -40.69		
-34.79   	136.78   	-239.06		 42.34   	 -45.78		
-43.64   	135.83   	-218.72		 42.16   	 -45.78		
-52.19   	134.95   	-218.72		 41.97   	 -50.86		
-59.20   	134.08   	-218.72		 41.77   	 -50.86		
-63.48   	133.20   	-223.80		 41.57   	 -50.86		
-64.70   	132.31   	-244.15		 41.36   	 -50.86		
-65.61   	131.33   	-254.32		 41.16   	 -50.86		
-71.72   	130.31   	-269.58		 40.96   	 -55.95		
-87.28   	129.24   	-289.93		 40.73   	 -55.95		
-113.22   	128.08   	-320.45		 40.51   	 -61.04		
-144.35   	126.80   	-356.05		 40.26   	 -61.04		
-172.42   	125.37   	-396.74		 40.02   	 -71.21		
-190.73   	123.78   	-457.78		 39.74   	 -71.21		
-198.06   	121.95   	-508.65		 39.45   	 -71.21		
-198.06   	119.92   	-564.60		 39.17   	 -76.30		
-195.01   	117.66   	-625.63		 38.86   	 -76.30		
-188.90   	115.16   	-681.58		 38.56   	 -86.47		
-175.48   	112.43   	-732.45		 38.21   	 -91.56		
-144.65   	109.50   	-773.14		 37.84   	-106.82		
-84.53   	106.41   	-798.57		 37.42   	-122.07		
 13.43   	103.21   	-818.92		 36.93   	-137.33		
149.23   	 99.94   	-839.26		 36.38   	-147.51		
307.31   	 96.58   	-879.96		 35.79   	-167.85		
458.68   	 93.06   	-946.08		 35.12   	-178.03		
568.54   	 89.28   	-1037.64		 34.40   	-188.20		
611.57   	 85.13   	-1134.28		 33.65   	-198.37		
585.63   	 80.59   	-1236.01		 32.86   	-203.46		
508.12   	 75.65   	-1327.56		 32.04   	-213.63		
411.38   	 70.34   	-1393.69		 31.19   	-213.63		
329.59   	 64.76   	-1429.29		 30.34   	-218.72		
286.56   	 59.04   	-1419.12		 29.46   	-213.63		
285.34   	 53.37   	-1378.43		 28.61   	-218.72		
311.89   	 47.85   	-1291.96		 27.73   	-203.46		
343.02   	 42.69   	-1180.06		 26.92   	-198.37		
361.02   	 37.97   	-1042.72		 26.12   	-183.11		
361.33   	 33.79   	-890.13		 25.39   	-162.77		
351.26   	 30.23   	-732.45		 24.74   	-147.51		
341.80   	 27.30   	-579.86		 24.15   	-127.16		
338.44   	 24.98   	-442.52		 23.64   	-106.82		
338.44   	 23.21   	-320.45		 23.21   	 -86.47		
332.34   	 21.93   	-213.63		 22.87   	 -76.30		
307.31   	 21.08   	-132.25		 22.56   	 -66.12		
253.30   	 20.55   	 -61.04		 22.30   	 -50.86		
170.90   	 20.31   	 -15.26		 22.10   	 -45.78		
 75.99   	 20.24   	  20.35		 21.91   	 -35.61		
 -6.10   	 20.33   	  50.86		 21.77   	 -30.52		
-55.24   	 20.53   	  76.30		 21.65   	 -30.52		
-67.14   	 20.83   	 101.73		 21.53   	 -25.43		
-55.85   	 21.24   	 127.16		 21.42   	 -20.35		
-41.50   	 21.75   	 162.77		 21.34   	 -25.43		
-36.32   	 22.40   	 203.46		 21.24   	 -25.43		
-40.89   	 23.21   	 239.06		 21.14   	 -20.35		
-47.30   	 24.17   	 284.84		 21.06   	 -25.43		
-49.13   	 25.31   	 320.45		 20.96   	 -30.52		
-45.78   	 26.59   	 350.97		 20.83   	 -30.52		
-39.98   	 28.00   	 381.48		 20.71   	 -30.52		
-35.10   	 29.52   	 396.74		 20.59   	 -35.61		
-32.04   	 31.11   	 406.92		 20.45   	 -35.61		
-30.21   	 32.74   	 401.83		 20.31   	 -35.61		
-28.08   	 34.34   	 391.66		 20.16   	 -40.69		
-23.50   	 35.91   	 381.48		 20.00   	 -40.69		
-16.48   	 37.44   	 371.31		 19.84   	 -45.78		
 -8.24   	 38.92   	 361.14		 19.65   	 -40.69		
 -0.92   	 40.37   	 356.05		 19.49   	 -45.78		
  4.27   	 41.79   	 361.14		 19.31   	 -40.69		
  7.02   	 43.23   	 366.22		 19.15   	 -45.78		
  8.85   	 44.70   	 386.57		 18.96   	 -40.69		
 10.68   	 46.25   	 401.83		 18.80   	 -45.78		
 14.04   	 47.85   	 417.09		 18.62   	 -40.69		
 19.53   	 49.52   	 432.35		 18.45   	 -40.69		
 27.47   	 51.25   	 437.43		 18.29   	 -45.78		
 37.84   	 53.00   	 442.52		 18.11   	 -45.78		
 49.74   	 54.77   	 422.18		 17.92   	 -45.78		
 61.65   	 56.46   	 406.92		 17.74   	 -45.78		
 72.33   	 58.09   	 376.40		 17.56   	 -45.78		
 79.96   	 59.59   	 335.71		 17.38   	 -50.86		
 85.45   	 60.94   	 295.01		 17.17   	 -55.95		
 89.42   	 62.12   	 254.32		 16.95   	 -61.04		
 93.99   	 63.13   	 208.54		 16.70   	 -61.04		
 99.79   	 63.97   	 162.77		 16.46   	 -71.21		
