  I     	  LV     	  LV'		  RV     	  RV'		
-74.16   	 20.33   	  40.69		 13.69   	  30.52		
-74.46   	 20.49   	  40.69		 13.81   	  25.43		
-75.07   	 20.65   	  30.52		 13.92   	  25.43		
-74.46   	 20.77   	  30.52		 14.02   	  20.35		
-73.24   	 20.90   	  25.43		 14.10   	  25.43		
-71.72   	 21.00   	  15.26		 14.20   	  20.35		
-71.11   	 21.06   	   5.09		 14.28   	  20.35		
-70.80   	 21.08   	   0.00		 14.36   	  20.35		
-70.50   	 21.08   	  -5.09		 14.45   	  20.35		
-69.27   	 21.06   	 -10.17		 14.53   	  15.26		
-68.05   	 21.02   	 -15.26		 14.59   	  20.35		
-67.14   	 20.96   	 -10.17		 14.67   	  20.35		
-67.14   	 20.92   	 -10.17		 14.75   	  15.26		
-67.75   	 20.87   	 -10.17		 14.81   	  20.35		
-67.44   	 20.83   	  -5.09		 14.89   	  20.35		
-65.92   	 20.81   	  -5.09		 14.97   	  20.35		
-63.78   	 20.79   	   0.00		 15.06   	  20.35		
-61.95   	 20.79   	   5.09		 15.14   	  20.35		
-61.34   	 20.81   	   5.09		 15.22   	  15.26		
-61.95   	 20.83   	   5.09		 15.28   	  20.35		
-62.87   	 20.85   	  10.17		 15.36   	  10.17		
-63.78   	 20.90   	  10.17		 15.40   	  15.26		
-64.39   	 20.94   	  15.26		 15.46   	  10.17		
-64.39   	 21.00   	  10.17		 15.50   	  10.17		
-64.09   	 21.04   	  10.17		 15.54   	  10.17		
-62.87   	 21.08   	  10.17		 15.58   	  10.17		
-61.34   	 21.12   	  10.17		 15.63   	   5.09		
-60.12   	 21.16   	  10.17		 15.65   	   5.09		
-59.81   	 21.20   	  10.17		 15.67   	   5.09		
-60.42   	 21.24   	  10.17		 15.69   	   5.09		
-61.34   	 21.28   	  10.17		 15.71   	   0.00		
-61.04   	 21.32   	  10.17		 15.71   	   0.00		
-59.81   	 21.36   	  15.26		 15.71   	   0.00		
-58.29   	 21.42   	  15.26		 15.71   	   0.00		
-56.76   	 21.49   	  15.26		 15.71   	   0.00		
-55.85   	 21.55   	  20.35		 15.71   	  -5.09		
-55.54   	 21.63   	  15.26		 15.69   	   0.00		
-55.85   	 21.69   	  15.26		 15.69   	  -5.09		
-56.15   	 21.75   	  10.17		 15.67   	  -5.09		
-56.76   	 21.79   	  10.17		 15.65   	  -5.09		
-57.07   	 21.83   	  10.17		 15.63   	 -10.17		
-57.07   	 21.87   	   5.09		 15.58   	 -10.17		
-56.15   	 21.89   	   0.00		 15.54   	 -10.17		
-54.63   	 21.89   	   0.00		 15.50   	 -15.26		
-52.80   	 21.89   	   0.00		 15.44   	 -20.35		
-51.88   	 21.89   	  -5.09		 15.36   	 -15.26		
-51.57   	 21.87   	   0.00		 15.30   	 -15.26		
-51.88   	 21.87   	   0.00		 15.24   	 -20.35		
-51.88   	 21.87   	   5.09		 15.16   	 -20.35		
-50.96   	 21.89   	   0.00		 15.08   	 -15.26		
-50.05   	 21.89   	   5.09		 15.02   	 -20.35		
-49.44   	 21.91   	  10.17		 14.93   	 -15.26		
-50.05   	 21.95   	  15.26		 14.87   	 -15.26		
-51.57   	 22.01   	  15.26		 14.81   	 -15.26		
-52.49   	 22.08   	  15.26		 14.75   	 -10.17		
-52.19   	 22.14   	  25.43		 14.71   	  -5.09		
-50.96   	 22.24   	  20.35		 14.69   	  -5.09		
-49.44   	 22.32   	  20.35		 14.67   	   5.09		
-48.22   	 22.40   	  25.43		 14.69   	   5.09		
-47.61   	 22.50   	  15.26		 14.71   	  10.17		
-46.69   	 22.56   	  15.26		 14.75   	  10.17		
-43.64   	 22.62   	  10.17		 14.79   	  15.26		
-37.54   	 22.67   	  10.17		 14.85   	  10.17		
-29.30   	 22.71   	   5.09		 14.89   	  15.26		
-20.14   	 22.73   	  -5.09		 14.95   	  15.26		
-12.21   	 22.71   	   0.00		 15.02   	  15.26		
 -5.80   	 22.71   	  -5.09		 15.08   	  10.17		
 -0.92   	 22.69   	  -5.09		 15.12   	  10.17		
  4.27   	 22.67   	  -5.09		 15.16   	  10.17		
 10.07   	 22.64   	  -5.09		 15.20   	  10.17		
 16.78   	 22.62   	   0.00		 15.24   	   5.09		
 23.19   	 22.62   	   0.00		 15.26   	  10.17		
 27.47   	 22.62   	   0.00		 15.30   	   5.09		
 28.69   	 22.62   	   5.09		 15.32   	  10.17		
 27.16   	 22.64   	  10.17		 15.36   	   5.09		
 25.63   	 22.69   	  15.26		 15.38   	   5.09		
 27.47   	 22.75   	  15.26		 15.40   	   0.00		
 33.26   	 22.81   	  15.26		 15.40   	   5.09		
 39.37   	 22.87   	  15.26		 15.42   	   0.00		
 40.59   	 22.93   	  20.35		 15.42   	   0.00		
 32.35   	 23.01   	  15.26		 15.42   	  -5.09		
 14.65   	 23.07   	  15.26		 15.40   	  -5.09		
 -9.16   	 23.13   	  10.17		 15.38   	 -10.17		
-32.96   	 23.17   	  15.26		 15.34   	 -10.17		
-52.19   	 23.23   	  10.17		 15.30   	 -15.26		
-63.78   	 23.28   	  15.26		 15.24   	 -20.35		
-68.05   	 23.34   	  20.35		 15.16   	 -20.35		
-67.14   	 23.42   	  25.43		 15.08   	 -15.26		
-63.78   	 23.52   	  30.52		 15.02   	 -20.35		
-60.73   	 23.64   	  40.69		 14.93   	 -15.26		
-58.90   	 23.80   	  50.86		 14.87   	 -15.26		
-58.59   	 24.01   	  55.95		 14.81   	  -5.09		
-58.90   	 24.23   	  71.21		 14.79   	  -5.09		
-59.20   	 24.52   	  76.30		 14.77   	   0.00		
-58.59   	 24.82   	  91.56		 14.77   	   5.09		
-57.98   	 25.19   	  96.64		 14.79   	  10.17		
-57.37   	 25.57   	 101.73		 14.83   	  10.17		
-56.46   	 25.98   	 111.90		 14.87   	  15.26		
-56.46   	 26.43   	 116.99		 14.93   	  15.26		
-61.95   	 26.90   	 122.07		 14.99   	  15.26		
-77.21   	 27.39   	 116.99		 15.06   	  15.26		
-104.37   	 27.85   	 116.99		 15.12   	  20.35		
-138.55   	 28.32   	 111.90		 15.20   	  20.35		
-167.54   	 28.77   	  96.64		 15.28   	  15.26		
-174.87   	 29.16   	  86.47		 15.34   	  20.35		
-145.26   	 29.50   	  71.21		 15.42   	  15.26		
-68.97   	 29.79   	  50.86		 15.48   	  15.26		
 56.76   	 29.99   	  35.61		 15.54   	  15.26		
229.19   	 30.13   	  15.26		 15.61   	  10.17		
439.76   	 30.19   	   5.09		 15.65   	  15.26		
666.81   	 30.21   	 -10.17		 15.71   	  15.26		
866.39   	 30.17   	 -15.26		 15.77   	  20.35		
982.67(R)	 30.11   	 -15.26		 15.85(E)	  20.35		
972.90   	 30.05(E)	   0.00		 15.93   	  20.35		
843.81   	 30.05   	  10.17		 16.01   	  25.43		
656.13   	 30.09   	  40.69		 16.11   	  30.52		
492.86   	 30.25   	  76.30		 16.24   	  40.69		
405.88   	 30.56   	 122.07		 16.40   	  40.69		
383.61   	 31.05   	 178.03		 16.56   	  50.86		
372.62   	 31.76   	 244.15		 16.76   	  50.86		
325.32   	 32.74   	 340.79		 16.97   	  61.04		
232.85   	 34.10   	 462.87		 17.21   	  66.12		
119.63   	 35.95   	 605.29		 17.48   	  76.30		
 19.23   	 38.37   	 793.49		 17.78   	  96.64		
-49.13   	 41.55   	 991.86		 18.17   	 122.07		
-83.01   	 45.51   	1205.49		 18.66   	 157.68		
-90.03   	 50.34   	1414.03		 19.29   	 203.46		
-80.26   	 55.99   	1581.89		 20.10   	 244.15		
-66.83   	 62.32   	1698.87		 21.08   	 295.01		
-60.42   	 69.11   	1754.83		 22.26   	 335.71		
-64.70   	 76.13   	1734.48		 23.60   	 366.22		
-73.55   	 83.07   	1658.18		 25.07   	 391.66		
-79.65   	 89.70   	1525.93		 26.63   	 406.92		
-79.96   	 95.81   	1368.26		 28.26   	 412.00		
-75.99   	101.28   	1195.32		 29.91   	 406.92		
-72.02   	106.06   	1042.72		 31.54   	 401.83		
-70.19   	110.23   	 925.73		 33.14   	 386.57		
-68.97   	113.94   	 839.26		 34.69   	 376.40		
-67.14   	117.29   	 813.83		 36.20   	 356.05		
-64.09   	120.55   	 824.00		 37.62   	 340.79		
-60.42   	123.84   	 859.61		 38.98   	 320.45		
-56.76   	127.28   	 910.47		 40.26   	 300.10		
-53.41   	130.93   	 951.17		 41.46   	 274.67		
-50.05   	134.73   	 966.43		 42.56   	 249.24		
-47.00   	138.60   	 930.82		 43.56   	 228.89		
-43.03   	142.32   	 859.61		 44.48   	 198.37		
-38.15   	145.76   	 742.62		 45.27   	 172.94		
-32.96   	148.73   	 610.37		 45.96   	 152.59		
-28.08   	151.17   	 467.95		 46.57   	 137.33		
-24.11   	153.04   	 335.71		 47.12   	 111.90		
-20.75   	154.38   	 254.32		 47.57   	 101.73		
-17.40   	155.40   	 213.63		 47.98   	  91.56		
-13.12   	156.26   	 244.15		 48.34   	  76.30		
 -7.63   	157.23   	 315.36		 48.65   	  66.12		
 -1.22   	158.49   	 422.18		 48.91   	  61.04		
  6.10   	160.18   	 513.73		 49.16   	  50.86		
 13.73   	162.24   	 584.94		 49.36   	  40.69		
 21.06   	164.58   	 590.03		 49.52   	  35.61		
 28.08   	166.94   	 534.08		 49.66   	  25.43		
 35.40   	169.07   	 412.00		 49.77   	  30.52		
 43.03   	170.72   	 233.98		 49.89   	  20.35		
 50.66   	171.66   	  30.52		 49.97   	  20.35		
 58.59   	171.78(S)	-157.68		 50.05   	  25.43		
 66.22   	171.15   	-320.45		 50.15   	  25.43		
 73.85   	169.87   	-427.26		 50.25   	  25.43		
 80.87   	168.16   	-462.87		 50.36   	  25.43		
 86.98   	166.31   	-437.43		 50.46   	  20.35		
 91.55   	164.56   	-371.31		 50.54   	  25.43		
 94.30   	163.07   	-274.67		 50.64   	  20.35		
 94.30   	161.97   	-188.20		 50.72   	  15.26		
 91.86   	161.22   	-116.99		 50.78   	  15.26		
 86.06   	160.75   	 -91.56		 50.84   	  10.17		
 77.82   	160.39   	-106.82		 50.88   	   5.09		
 67.75   	159.96   	-167.85		 50.91   	   5.09		
 57.68   	159.29   	-254.32		 50.93(S)	   0.00		
 48.22   	158.27   	-361.14		 50.93   	   0.00		
 39.37   	156.83   	-467.95		 50.93   	  -5.09		
 30.52   	154.95   	-564.60		 50.91   	  -5.09		
 20.75   	152.70   	-635.81		 50.88   	  -5.09		
 10.38   	150.15   	-671.41		 50.86   	 -15.26		
  0.00   	147.47   	-661.24		 50.80   	 -15.26		
 -9.77   	144.82   	-615.46		 50.74   	 -20.35		
-18.92   	142.36   	-534.08		 50.66   	 -25.43		
-27.47   	140.22   	-442.52		 50.56   	 -30.52		
-35.71   	138.45   	-361.14		 50.44   	 -35.61		
-42.72   	137.01   	-289.93		 50.29   	 -40.69		
