  I     	  II     	  LVp     	  LVp'		
-37.23   	-73.85   	 39.80   	   0.00		
-17.70   	-48.52   	 39.80   	   0.00		
 16.48   	 -2.75   	 39.80   	   0.00		
 66.53   	 63.17   	 39.80   	   0.00		
132.45   	144.65   	 39.80   	   0.00		
209.05   	234.68   	 39.80   	  -5.09		
284.73   	329.90   	 39.78   	   0.00		
345.76   	426.64   	 39.78   	   0.00		
387.27   	511.78   	 39.78   	   0.00		
422.36   	563.66   	 39.78   	  -5.09		
477.29   	564.58   	 39.76   	   0.00		
572.51   	517.58   	 39.76   	  -5.09		
700.99   	454.10   	 39.74   	   0.00		
824.28   	413.21   	 39.74   	  -5.09		
888.98   	404.05   	 39.72   	   0.00		
854.80   	389.40   	 39.72   	   0.00		
717.77   	307.92   	 39.72   	  -5.09		
512.39   	123.90   	 39.69   	   0.00		
286.56   	-131.23   	 39.69   	   0.00		
 87.28   	-371.40   	 39.69   	   0.00		
-55.54   	-509.64   	 39.69   	  -5.09		
-136.41   	-509.03   	 39.67   	   0.00		
-164.49   	-404.05   	 39.67   	   0.00		
-157.78   	-271.91   	 39.67   	   0.00		
-137.94   	-181.27   	 39.67   	   0.00		
-122.07   	-151.98   	 39.67   	   0.00		
-117.80   	-161.74   	 39.67   	   0.00		
-122.38   	-174.26   	 39.67   	   0.00		
-127.26   	-169.37   	 39.67   	   0.00		
-127.26   	-148.93   	 39.67   	   0.00		
-122.68   	-129.09   	 39.67   	   0.00		
-118.41   	-120.54   	 39.67   	   0.00		
-118.71   	-123.60   	 39.67   	   0.00		
-122.68   	-130.00   	 39.67   	   0.00		
-125.12   	-132.45   	 39.67   	   0.00		
-121.46   	-126.95   	 39.67   	   0.00		
-113.53   	-116.88   	 39.67   	  -5.09		
-105.90   	-108.64   	 39.65   	   0.00		
-103.76   	-107.42   	 39.65   	   0.00		
-108.34   	-112.92   	 39.65   	   0.00		
-115.36   	-118.10   	 39.65   	   0.00		
-118.10   	-115.97   	 39.65   	   0.00		
-112.92   	-105.90   	 39.65   	   0.00		
-102.84   	-95.52   	 39.65   	   0.00		
-94.30   	-91.86   	 39.65   	   0.00		
-92.47   	-97.66   	 39.65   	   0.00		
-97.05   	-107.12   	 39.65   	   5.09		
-102.23   	-111.39   	 39.67   	   0.00		
-102.23   	-105.29   	 39.67   	   5.09		
-96.74   	-92.47   	 39.69   	   0.00		
-91.25   	-79.96   	 39.69   	   5.09		
-89.42   	-73.55   	 39.72   	   0.00		
-92.16   	-74.16   	 39.72   	   5.09		
-95.52   	-77.82   	 39.74   	   0.00		
-96.44   	-79.04   	 39.74   	   0.00		
-95.21   	-76.29   	 39.74   	   5.09		
-93.69   	-71.11   	 39.76   	   0.00		
-93.99   	-64.70   	 39.76   	   0.00		
-94.91   	-58.59   	 39.76   	   0.00		
