  I     	  LV     	  LV'		  AO     	  AO'		
 57.37   	 15.34   	  91.56		 77.82   	 -71.21		
112.92   	 15.71   	 106.82		 77.54   	 -66.12		
177.92   	 16.13   	 127.16		 77.27   	 -71.21		
191.65   	 16.64   	 152.59		 76.99   	 -61.04		
142.82   	 17.25   	 198.37		 76.74   	 -66.12		
 60.42   	 18.05   	 249.24		 76.48   	 -55.95		
-16.48   	 19.04   	 325.53		 76.26   	 -55.95		
-62.56   	 20.35   	 412.00		 76.03   	 -45.78		
-73.24   	 21.99   	 503.56		 75.85   	 -45.78		
-57.98   	 24.01   	 600.20		 75.67   	 -35.61		
-34.18   	 26.41   	 686.67		 75.52   	 -35.61		
-17.40   	 29.16   	 762.97		 75.38   	 -40.69		
-16.48   	 32.21   	 824.00		 75.22   	 -45.78		
-26.25   	 35.50   	 869.78		 75.04   	 -55.95		
-35.40   	 38.98   	 910.47		 74.81   	 -66.12		
-35.71   	 42.62   	 946.08		 74.55   	 -76.30		
-28.38   	 46.41   	 996.94		 74.24   	 -86.47		
-20.14   	 50.40   	1057.98		 73.90   	 -91.56		
-16.17   	 54.63   	1119.02		 73.53   	 -86.47		
-15.56   	 59.10   	1164.80		 73.18   	 -91.56		
-14.34   	 63.76   	1195.32		 72.82   	 -71.21		
-10.68   	 68.55   	1180.06		 72.53   	 -61.04		
 -5.49   	 73.27   	1139.36		 72.29   	 -35.61		
  0.31   	 77.82   	1063.07		 72.15   	  -5.09		
  5.49   	 82.07   	 981.68		 72.13   	  30.52		
 10.68   	 86.00   	 890.13		 72.25   	  76.30		
 15.87   	 89.56   	 818.92		 72.55   	 116.99		
 21.36   	 92.84   	 757.88		 73.02   	 167.85		
 26.86   	 95.87   	 732.45		 73.69   	 213.63		
 32.04   	 98.80   	 717.19		 74.55   	 264.50		
 37.23   	101.67   	 727.36		 75.60   	 310.27		
 43.33   	104.58   	 732.45		 76.85   	 356.05		
 50.66   	107.51   	 737.54		 78.27   	 386.57		
 59.51   	110.46   	 727.36		 79.82   	 406.92		
 68.97   	113.37   	 696.84		 81.44   	 417.09		
 79.35   	116.15   	 640.89		 83.11   	 417.09		
 90.33   	118.72   	 584.94		 84.78   	 412.00		
102.23   	121.06   	 523.90		 86.43   	 401.83		
115.36   	123.15   	 478.13		 88.04   	 386.57		
129.39   	125.07   	 447.61		 89.58   	 371.31		
143.43   	126.86   	 432.35		 91.07   	 356.05		
157.47   	128.59   	 412.00		 92.49   	 330.62		
171.51   	130.23   	 386.57		 93.81   	 305.19		
185.85   	131.78   	 345.88		 95.04   	 279.75		
200.50   	133.16   	 295.01		 96.15   	 244.15		
214.54   	134.34   	 239.06		 97.13   	 213.63		
227.05   	135.30   	 183.11		 97.99   	 183.11		
237.12   	136.03   	 147.51		 98.72   	 152.59		
244.75   	136.62   	 127.16		 99.33   	 137.33		
250.24   	137.13   	 122.07		 99.88   	 116.99		
252.69   	137.62   	 127.16		100.35   	 116.99		
250.24   	138.13   	 127.16		100.81   	 106.82		
241.09   	138.64   	 122.07		101.24   	 106.82		
224.91   	139.12   	  91.56		101.67   	 101.73		
202.94   	139.49   	  40.69		102.07   	  81.38		
177.61   	139.65(S)	 -25.43		102.40   	  55.95		
151.98   	139.55   	-106.82		102.62   	  25.43		
127.56   	139.12   	-188.20		102.73(S)	  -5.09		
104.06   	138.37   	-259.41		102.71   	 -50.86		
 81.18   	137.33   	-320.45		102.50   	 -81.38		
 57.98   	136.05   	-350.97		102.18   	-116.99		
 35.10   	134.65   	-361.14		101.71   	-142.42		
 13.73   	133.20   	-361.14		101.14   	-157.68		
 -4.58   	131.76   	-340.79		100.51   	-157.68		
-18.92   	130.40   	-330.62		 99.88   	-167.85		
-30.52   	129.07   	-315.36		 99.21   	-162.77		
-40.59   	127.81   	-320.45		 98.56   	-162.77		
-50.35   	126.53   	-330.62		 97.90   	-157.68		
-59.51   	125.21   	-335.71		 97.27   	-152.59		
-67.44   	123.87   	-350.97		 96.66   	-142.42		
-73.55   	122.46   	-345.88		 96.09   	-132.25		
-78.13   	121.08   	-335.71		 95.56   	-111.90		
-81.79   	119.74   	-320.45		 95.12   	 -91.56		
-85.75   	118.45   	-310.27		 94.75   	 -66.12		
-89.42   	117.21   	-310.27		 94.49   	 -45.78		
-92.47   	115.97   	-320.45		 94.30   	 -20.35		
-94.30   	114.69   	-345.88		 94.22   	   0.00		
-94.91   	113.31   	-386.57		 94.22   	  15.26		
-94.60   	111.76   	-422.18		 94.28   	  25.43		
-94.60   	110.07   	-462.87		 94.38   	  40.69		
-94.60   	108.22   	-498.47		 94.55   	  45.78		
-94.30   	106.23   	-534.08		 94.73   	  45.78		
-93.69   	104.09   	-579.86		 94.91   	  35.61		
-92.47   	101.77   	-635.81		 95.06   	  30.52		
