  I     	  II     	  LVp     	  LVp'		
455.93   	-475.16   	 10.15   	  30.52		
422.06   	-468.14   	 10.27   	  40.69		
394.29   	-469.06   	 10.44   	  45.78		
375.67   	-498.35   	 10.62   	  50.86		
365.91   	-559.08   	 10.82   	  55.95		
364.38   	-634.46   	 11.05   	  66.12		
370.18   	-703.13   	 11.31   	  76.30		
378.11   	-754.39   	 11.62   	  86.47		
382.08   	-792.24   	 11.96   	  96.64		
378.11   	-825.20   	 12.35   	 116.99		
368.35   	-859.07   	 12.82   	 137.33		
358.89   	-893.86   	 13.37   	 152.59		
355.53   	-924.68   	 13.98   	 183.11		
358.58   	-946.04   	 14.71   	 203.46		
363.77   	-953.37   	 15.52   	 233.98		
364.07   	-943.91   	 16.46   	 264.50		
354.92   	-913.39   	 17.52   	 289.93		
332.34   	-855.71   	 18.68   	 325.53		
294.49   	-765.38   	 19.98   	 356.05		
240.17   	-642.40   	 21.40   	 381.48		
172.12   	-498.35   	 22.93   	 417.09		
 97.96   	-356.75   	 24.60   	 437.43		
 28.38   	-239.87   	 26.35   	 457.78		
-27.16   	-155.64   	 28.18   	 488.30		
-66.83   	-95.52   	 30.13   	 503.56		
-95.21   	-42.72   	 32.15   	 528.99		
-117.19   	 11.60   	 34.26   	 554.42		
-134.89   	 62.56   	 36.48   	 579.86		
-147.40   	 98.88   	 38.80   	 610.37		
-153.50   	115.66   	 41.24   	 635.81		
-155.33   	119.63   	 43.78   	 661.24		
-156.56   	122.38   	 46.43   	 691.76		
-159.30   	130.92   	 49.20   	 701.93		
-163.57   	144.35   	 52.00   	 722.28		
-167.24   	156.56   	 54.89   	 727.36		
-169.37(R)	163.88   	 57.80   	 732.45		
-169.98   	166.63   	 60.73   	 727.36		
-169.37   	168.15   	 63.64   	 717.19		
-168.76   	171.20   	 66.51   	 707.02		
-169.37   	174.87   	 69.34   	 681.58		
-171.20   	178.83   	 72.06   	 656.15		
-174.56   	181.58   	 74.69   	 630.72		
-177.61   	183.72   	 77.21   	 600.20		
-179.44   	185.85   	 79.61   	 574.77		
-180.36   	188.60   	 81.91   	 544.25		
-180.97   	191.65   	 84.09   	 518.82		
-182.80   	193.48   	 86.16   	 498.47		
-185.85   	194.09   	 88.16   	 483.21		
-189.51   	193.79   	 90.09   	 473.04		
-192.87   	194.70   	 91.98   	 457.78		
-195.01   	197.14   	 93.81   	 457.78		
-196.53   	201.11   	 95.65   	 447.61		
-198.97   	204.77   	 97.44   	 442.52		
-203.55   	206.60   	 99.21   	 442.52		
-209.96   	207.21   	100.98   	 442.52		
-217.90   	207.52   	102.75   	 442.52		
-225.83   	208.74   	104.52   	 437.43		
-232.54   	210.57   	106.27   	 432.35		
-238.65   	212.10   	108.00   	 427.26		
-244.75   	213.32   	109.70   	 417.09		
-250.85   	213.93   	111.37   	 396.74		
-256.96   	214.84   	112.96   	 386.57		
-263.06   	216.67   	114.51   	 361.14		
-269.78   	219.12   	115.95   	 345.88		
-276.49   	222.17   	117.33   	 315.36		
-282.59   	224.91   	118.60   	 300.10		
-287.78   	227.97   	119.80   	 279.75		
-291.14   	231.02   	120.92   	 259.41		
-293.27   	234.99   	121.95   	 249.24		
-293.88   	239.56   	122.95   	 233.98		
-292.66   	244.45   	123.89   	 223.80		
-289.61   	249.63   	124.78   	 213.63		
-283.81   	254.21   	125.64   	 208.54		
-275.57   	259.09   	126.47   	 198.37		
-265.81   	263.98   	127.26   	 193.29		
-253.91   	269.47   	128.04   	 188.20		
-240.78   	274.66   	128.79   	 178.03		
-225.83   	278.93   	129.50   	 172.94		
-209.05   	281.37   	130.19   	 162.77		
-191.35   	281.37   	130.84   	 152.59		
-172.42   	278.93   	131.45   	 142.42		
-152.89   	274.35   	132.02   	 122.07		
-131.84   	267.64   	132.51   	 101.73		
-110.47   	259.70   	132.92   	  81.38		
-89.11   	249.63   	133.24   	  50.86		
-68.97   	237.73   	133.45   	  20.35		
-51.27   	223.08   	133.53(S)	  -5.09		
-35.71   	206.60   	133.51   	 -40.69		
-22.58   	188.90   	133.35   	 -61.04		
-10.99   	172.12   	133.10   	 -91.56		
 -0.92   	157.17   	132.74   	-116.99		
  7.32   	144.65   	132.27   	-132.25		
 13.12   	134.28   	131.74   	-157.68		
 17.09   	125.12   	131.11   	-172.94		
 18.92   	115.97   	130.42   	-188.20		
 19.84   	107.73   	129.66   	-208.54		
 20.75   	101.01   	128.83   	-223.80		
 21.67   	 96.74   	127.93   	-239.06		
 21.97   	 94.30   	126.98   	-259.41		
 20.14   	 91.86   	125.94   	-269.58		
 15.87   	 88.50   	124.86   	-295.01		
 10.07   	 84.23   	123.68   	-310.27		
  5.19   	 80.57   	122.44   	-320.45		
  3.36   	 78.43   	121.16   	-340.79		
  4.88   	 77.82   	119.80   	-350.97		
  7.63   	 77.21   	118.39   	-371.31		
  9.16   	 75.07   	116.91   	-391.66		
  8.54   	 72.33   	115.34   	-417.09		
  7.02   	 69.58   	113.67   	-447.61		
  5.19   	 67.75   	111.88   	-488.30		
  4.58   	 66.53   	109.93   	-523.90		
  3.97   	 65.31   	107.83   	-559.51		
  3.05   	 63.17   	105.59   	-595.11		
  2.14   	 61.04   	103.21   	-625.63		
  1.83   	 59.20   	100.71   	-651.07		
  1.83   	 57.68   	 98.11   	-681.58		
  1.22   	 55.54   	 95.38   	-696.84		
  0.31   	 53.41   	 92.59   	-712.10		
 -1.53   	 51.88   	 89.75   	-727.36		
 -3.05   	 50.66   	 86.84   	-742.62		
 -4.27   	 49.74   	 83.87   	-747.71		
 -5.49   	 48.83   	 80.87   	-752.79		
 -7.02   	 47.91   	 77.86   	-762.97		
 -7.93   	 47.61   	 74.81   	-757.88		
 -8.24   	 48.83   	 71.78   	-762.97		
 -7.02   	 50.35   	 68.73   	-757.88		
 -5.49   	 50.66   	 65.70   	-752.79		
 -4.58   	 50.05   	 62.69   	-742.62		
 -5.19   	 48.22   	 59.71   	-732.45		
 -6.71   	 47.00   	 56.79   	-717.19		
 -8.85   	 46.39   	 53.92   	-701.93		
-10.38   	 46.08   	 51.11   	-681.58		
-11.90   	 46.08   	 48.38   	-661.24		
-12.82   	 45.78   	 45.74   	-645.98		
-13.73   	 46.08   	 43.15   	-625.63		
-14.34   	 46.39   	 40.65   	-600.20		
-15.26   	 46.39   	 38.25   	-584.94		
-16.17   	 46.39   	 35.91   	-559.51		
-16.78   	 46.08   	 33.67   	-539.16		
-16.48   	 46.08   	 31.52   	-513.73		
-15.87   	 46.69   	 29.46   	-498.47		
-15.26   	 47.61   	 27.47   	-467.95		
-15.26   	 48.22   	 25.60   	-447.61		
-15.87   	 48.52   	 23.80   	-422.18		
-16.78   	 48.22   	 22.12   	-401.83		
-18.01   	 47.91   	 20.51   	-376.40		
-19.23   	 48.22   	 19.00   	-356.05		
-20.14   	 49.13   	 17.58   	-330.62		
-20.45   	 50.35   	 16.26   	-305.19		
-19.84   	 50.66   	 15.04   	-289.93		
-18.92   	 50.35   	 13.88   	-269.58		
-17.70   	 50.05   	 12.80   	-249.24		
-16.78   	 50.05   	 11.80   	-233.98		
-16.17   	 50.96   	 10.86   	-213.63		
-15.87   	 52.19   	 10.01   	-198.37		
-15.87   	 52.49   	  9.22   	-183.11		
-15.56   	 51.57   	  8.48   	-162.77		
-15.26   	 50.35   	  7.83   	-157.68		
-15.26   	 49.74   	  7.20   	-137.33		
-14.95   	 50.66   	  6.65   	-127.16		
-14.34   	 52.80   	  6.14   	-111.90		
-13.43   	 55.54   	  5.70   	-101.73		
-11.60   	 57.37   	  5.29   	 -86.47		
 -9.77   	 57.68   	  4.94   	 -71.21		
 -9.16   	 56.76   	  4.66   	 -66.12		
 -9.16   	 55.24   	  4.39   	 -50.86		
-10.07   	 54.02   	  4.19   	 -40.69		
-10.99   	 53.41   	  4.03   	 -30.52		
-11.29   	 52.80   	  3.91   	 -20.35		
-10.99   	 52.49   	  3.83   	 -15.26		
-10.99   	 51.88   	  3.76   	  -5.09		
-10.99   	 51.57   	  3.74   	  -5.09		
-10.99   	 51.27   	  3.72(D)	   5.09		
-11.29   	 51.57   	  3.74   	   5.09		
-10.68   	 51.57   	  3.76   	  10.17		
 -9.77   	 52.49   	  3.80   	  10.17		
 -8.24   	 54.63   	  3.85   	  15.26		
 -6.41   	 60.12   	  3.91   	  15.26		
 -3.97   	 70.50   	  3.97   	  20.35		
 -0.61   	 86.98   	  4.05   	  15.26		
  3.05   	107.42   	  4.11   	  20.35		
  6.71   	127.26   	  4.19   	  15.26		
  9.16   	140.99   	  4.25   	  20.35		
 10.38   	146.48   	  4.33   	  15.26		
 10.38   	146.48   	  4.39   	  20.35		
 10.68   	146.18   	  4.48   	  20.35		
 11.90   	149.84   	  4.56   	  15.26		
 14.04   	156.86   	  4.62   	  20.35		
