  I     	  II     	  AO     	  AO'		  FA     	  FA'		
  7.93   	-48.52   	 80.06   	-101.73		 77.50   	 -61.04		
  4.88   	-53.10   	 79.65   	 -96.64		 77.25   	 -66.12		
  3.97   	-54.02   	 79.27   	-101.73		 76.99   	 -55.95		
  5.80   	-48.52   	 78.86   	 -96.64		 76.76   	 -61.04		
 10.07   	-38.15   	 78.47   	 -91.56		 76.52   	 -55.95		
 15.26   	-27.47   	 78.11   	 -91.56		 76.30   	 -55.95		
 18.62   	-19.53   	 77.74   	 -86.47		 76.07   	 -55.95		
 19.23   	-12.51   	 77.40   	 -81.38		 75.85   	 -50.86		
 17.09   	 -3.05   	 77.07   	 -76.30		 75.65   	 -50.86		
 14.04   	 10.07   	 76.76   	 -81.38		 75.44   	 -50.86		
 11.29   	 24.11   	 76.44   	 -76.30		 75.24   	 -50.86		
  9.16   	 32.96   	 76.13   	 -76.30		 75.04   	 -50.86		
  7.63   	 34.79   	 75.83   	 -76.30		 74.83   	 -50.86		
  7.63   	 33.26   	 75.52   	 -76.30		 74.63   	 -45.78		
 10.99   	 34.79   	 75.22   	 -81.38		 74.45   	 -45.78		
 18.31   	 42.72   	 74.89   	 -76.30		 74.26   	 -50.86		
 27.16   	 53.71   	 74.59   	 -81.38		 74.06   	 -45.78		
 34.18   	 59.81   	 74.26   	 -76.30		 73.88   	 -45.78		
 37.54   	 56.76   	 73.96   	 -71.21		 73.69   	 -45.78		
 38.45   	 46.39   	 73.67   	   0.00		 73.51   	   0.00		
 38.45   	 46.39   	 73.67   	-142.42		 73.51   	 -91.56		
 44.86   	 28.38   	 73.10   	   0.00		 73.14   	   0.00		
 44.86   	 28.38   	 73.10   	-132.25		 73.14   	 -86.47		
 54.93   	 28.99   	 72.57   	   0.00		 72.80   	   0.00		
 54.93   	 28.99   	 72.57   	-127.16		 72.80   	 -86.47		
 64.09   	 27.77   	 72.06   	   0.00		 72.45   	   0.00		
 64.09   	 27.77   	 72.06   	-127.16		 72.45   	 -91.56		
