  I     	  II     	  LV     	  LV'		
 29.91   	227.36   	 24.94   	-518.82		
 27.77   	216.37   	 22.87   	-473.04		
 19.23   	194.09   	 20.98   	-422.18		
  5.80   	159.30   	 19.29   	-381.48		
 -9.46   	115.36   	 17.76   	-345.88		
-21.67   	 70.50   	 16.38   	-310.27		
-28.38   	 34.48   	 15.14   	-274.67		
-30.52   	 12.21   	 14.04   	-244.15		
-31.13   	  3.05   	 13.06   	-213.63		
-32.04   	  0.61   	 12.21   	-178.03		
-35.10   	 -2.44   	 11.50   	-152.59		
-39.06   	-10.68   	 10.89   	-132.25		
-42.11   	-21.36   	 10.36   	-106.82		
-41.81   	-29.91   	  9.93   	 -91.56		
-39.06   	-32.96   	  9.56   	 -76.30		
-36.32   	-31.74   	  9.26   	 -66.12		
-36.01   	-30.82   	  8.99   	 -55.95		
-39.06   	-32.96   	  8.77   	 -50.86		
-43.64   	-37.54   	  8.57   	 -45.78		
-47.00   	-41.50   	  8.38   	 -35.61		
-47.61   	-42.72   	  8.24   	 -30.52		
-46.08   	-40.89   	  8.12   	 -25.43		
-42.72   	-38.45   	  8.02   	 -25.43		
-38.45   	-36.32   	  7.91   	 -15.26		
-34.79   	-34.48   	  7.85   	 -10.17		
-32.96   	-32.04   	  7.81   	 -10.17		
-33.57   	-29.30   	  7.77   	 -10.17		
-35.40   	-26.86   	  7.73   	   0.00		
-37.84   	-26.86   	  7.73   	   0.00		
-41.81   	-30.21   	  7.73   	  10.17		
-48.83   	-36.32   	  7.77   	  25.43		
-57.37   	-42.42   	  7.87   	  30.52		
-60.12   	-44.25   	  8.00   	  55.95		
-44.25   	-32.04   	  8.22   	  66.12		
 -0.31   	  8.85   	  8.48   	  91.56		
 70.50   	 92.77   	  8.85   	 101.73		
151.67   	226.44   	  9.26   	 116.99		
219.42   	395.81   	  9.73   	 122.07		
252.08   	564.27   	 10.21   	 122.07		
236.21   	679.93   	 10.70   	 116.99		
170.90   	693.97(R)	 11.17   	 106.82		
 66.53   	589.60   	 11.60   	 101.73		
-51.88   	394.90   	 12.00   	  91.56		
-150.45   	174.87   	 12.37   	  91.56		
-201.11   	  2.44   	 12.74   	 111.90		
-195.92   	-80.26   	 13.18   	 132.25		
-152.89   	-80.26   	 13.71   	 178.03		
-104.98   	-40.89   	 14.43   	 239.06		
-76.90   	 -6.41   	 15.38   	 310.27		
-73.24   	  0.92   	 16.62   	 391.66		
-80.87   	-13.43   	 18.19   	 493.39		
-85.45   	-29.91   	 20.16   	 590.03		
-82.70   	-36.01   	 22.52   	 691.76		
-78.13   	-31.13   	 25.29   	 793.49		
-78.74   	-22.58   	 28.46   	 890.13		
-87.89   	-16.78   	 32.02   	 961.34		
-101.32   	-15.26   	 35.87   	1032.55		
-114.44   	-15.56   	 40.00   	1083.41		
-124.51   	-14.65   	 44.33   	1113.93		
-133.36   	-11.90   	 48.79   	1134.28		
-140.69   	 -7.32   	 53.33   	1139.36		
-145.26   	 -2.75   	 57.88   	1134.28		
-143.74   	  0.61   	 62.42   	1119.02		
-134.28   	  2.44   	 66.90   	1093.59		
-121.15   	  2.75   	 71.27   	1057.98		
-110.17   	  1.53   	 75.50   	1017.29		
-105.29   	 -0.61   	 79.57   	 971.51		
-104.98   	 -2.44   	 83.46   	 920.65		
-104.06   	 -2.44   	 87.14   	 864.70		
-98.57   	  0.31   	 90.60   	 808.75		
-88.50   	  5.49   	 93.83   	 752.79		
-76.60   	 11.29   	 96.85   	 701.93		
-65.61   	 16.48   	 99.65   	 656.15		
-56.15   	 19.84   	102.28   	 620.55		
-47.30   	 20.45   	104.76   	 579.86		
-37.84   	 19.53   	107.08   	 554.42		
-27.16   	 19.53   	109.30   	 528.99		
-14.95   	 20.45   	111.41   	 503.56		
 -0.92   	 22.58   	113.43   	 478.13		
 13.73   	 25.02   	115.34   	 462.87		
 28.69   	 26.86   	117.19   	 442.52		
 43.33   	 29.60   	118.96   	 427.26		
 57.68   	 35.10   	120.67   	 412.00		
 72.63   	 43.95   	122.32   	 406.92		
 86.67   	 53.41   	123.95   	 391.66		
 99.18   	 61.34   	125.51   	 381.48		
109.86   	 67.14   	127.04   	 376.40		
120.54   	 73.24   	128.54   	 371.31		
131.84   	 82.09   	130.03   	 366.22		
143.13   	 94.60   	131.49   	 350.97		
151.98   	108.95   	132.90   	 335.71		
156.25   	122.99   	134.24   	 325.53		
155.33   	135.50   	135.54   	 315.36		
152.89   	146.79   	136.81   	 300.10		
152.28   	158.08   	138.01   	 300.10		
155.03   	169.68   	139.21   	 284.84		
161.13   	181.27   	140.35   	 284.84		
167.54   	191.96   	141.48   	 274.67		
171.51   	202.03   	142.58   	 259.41		
171.81   	210.57   	143.62   	 254.32		
168.46   	215.76   	144.64   	 239.06		
162.35   	217.29   	145.59   	 223.80		
154.42   	216.06   	146.49   	 208.54		
146.18   	213.93   	147.32   	 198.37		
138.55   	212.40   	148.12   	 183.11		
132.14   	211.49   	148.85   	 167.85		
