  I     	  II     	  LV     	  LV'		
-107.42   	-146.18   	  9.79   	  10.17		
-113.22   	-140.08   	  9.83   	  10.17		
-118.10   	-119.32   	  9.87   	   5.09		
-112.00   	-74.77   	  9.89   	  10.17		
-75.99   	 -5.49   	  9.93   	   5.09		
 12.51   	 77.51   	  9.95   	  10.17		
168.76   	157.78   	  9.99   	   5.09		
386.96   	223.08   	 10.01   	  25.43		
841.37   	325.01   	 10.11   	  15.26		
946.96   	363.46   	 10.17   	  15.26		
902.10   	367.43   	 10.23   	  20.35		
710.75   	310.06   	 10.32   	  25.43		
433.35   	185.24   	 10.42   	  25.43		
160.83   	 24.11   	 10.52   	  30.52		
-28.38   	-116.27   	 10.64   	  40.69		
-106.81   	-189.51   	 10.80   	  50.86		
-101.01   	-184.94   	 11.01   	  61.04		
-63.17   	-127.87   	 11.25   	  86.47		
-32.96   	-60.42   	 11.60   	 106.82		
-21.97   	-14.95   	 12.02   	 132.25		
-22.28   	 -0.61   	 12.55   	 167.85		
-24.11   	 -6.71   	 13.22   	 203.46		
-24.41   	-17.70   	 14.04   	 244.15		
-24.72   	-24.11   	 15.02   	 284.84		
-25.63   	-23.19   	 16.15   	 325.53		
-25.63   	-18.62   	 17.46   	 381.48		
-23.80   	-14.04   	 18.98   	 427.26		
-20.75   	-10.68   	 20.69   	 478.13		
-17.40   	 -8.85   	 22.60   	 534.08		
-15.26   	 -8.24   	 24.74   	 579.86		
-13.73   	 -7.32   	 27.06   	 625.63		
-11.90   	 -4.88   	 29.56   	 671.41		
 -9.77   	  0.00   	 32.25   	 712.10		
 -6.41   	  6.71   	 35.10   	 742.62		
 -1.83   	 14.34   	 38.07   	 773.14		
  3.05   	 20.75   	 41.16   	 793.49		
  8.24   	 26.55   	 44.33   	 813.83		
 12.82   	 32.96   	 47.59   	 818.92		
 17.40   	 41.50   	 50.86   	 813.83		
 22.28   	 51.57   	 54.12   	 803.66		
 27.16   	 62.56   	 57.33   	 778.23		
 32.04   	 73.55   	 60.45   	 737.54		
 37.23   	 84.23   	 63.40   	 701.93		
 42.72   	 94.91   	 66.21   	 656.15		
 49.44   	106.20   	 68.83   	 605.29		
 57.98   	119.02   	 71.25   	 559.51		
