  I     	  II     	  FA     	  FA'		  LVp     	  LVp'		
 49.74   	 47.91   	139.39   	  91.56		134.22   	  40.69		
 32.96   	 38.45   	139.76   	  71.21		134.38   	  25.43		
 20.14   	 31.74   	140.04   	  61.04		134.49   	  20.35		
 12.82   	 26.25   	140.28   	  40.69		134.57   	  20.35		
  7.32   	 19.53   	140.45   	  25.43		134.65   	  10.17		
  0.92   	 10.07   	140.55   	  15.26		134.69   	   5.09		
 -8.24   	 -3.36   	140.61(S)	   0.00		134.71(S)	   0.00		
-19.53   	-20.14   	140.61   	 -15.26		134.71   	 -10.17		
-31.74   	-38.15   	140.55   	 -25.43		134.67   	 -20.35		
-44.25   	-54.32   	140.45   	 -35.61		134.59   	 -25.43		
-55.85   	-65.31   	140.30   	 -50.86		134.49   	 -45.78		
-65.00   	-68.97   	140.10   	 -61.04		134.30   	 -55.95		
-69.89   	-65.92   	139.86   	 -76.30		134.08   	 -71.21		
-69.27   	-59.20   	139.55   	 -86.47		133.79   	 -86.47		
-64.39   	-54.02   	139.21   	-101.73		133.45   	-106.82		
-59.51   	-53.71   	138.80   	-111.90		133.02   	-127.16		
-57.07   	-58.29   	138.35   	-122.07		132.51   	-142.42		
-57.68   	-65.31   	137.86   	-132.25		131.94   	-167.85		
-59.51   	-71.72   	137.33   	-147.51		131.27   	-188.20		
-61.65   	-75.68   	136.74   	-157.68		130.52   	-223.80		
-61.65   	-77.21   	136.11   	-167.85		129.62   	-259.41		
-60.73   	-75.99   	135.44   	-178.03		128.59   	-300.10		
-59.20   	-72.63   	134.73   	-198.37		127.39   	-345.88		
-57.37   	-68.05   	133.94   	-213.63		126.00   	-391.66		
-55.85   	-62.56   	133.08   	-239.06		124.43   	-437.43		
-54.63   	-58.29   	132.13   	-259.41		122.69   	-503.56		
-53.71   	-57.07   	131.09   	-284.84		120.67   	-559.51		
-54.32   	-60.12   	129.95   	-305.19		118.43   	-635.81		
-57.68   	-66.83   	128.73   	-330.62		115.89   	-707.02		
-61.95   	-72.94   	127.41   	-350.97		113.06   	-793.49		
-64.09   	-73.85   	126.00   	-371.31		109.89   	-869.78		
-59.81   	-67.44   	124.52   	-386.57		106.41   	-951.17		
-50.66   	-57.07   	122.97   	-401.83		102.60   	-1022.38		
-42.72   	-48.83   	121.36   	-422.18		 98.51   	-1073.24		
-41.81   	-47.61   	119.67   	-437.43		 94.22   	-1119.02		
-49.13   	-52.49   	117.92   	-442.52		 89.75   	-1149.54		
-59.51   	-58.59   	116.15   	-452.69		 85.15   	-1154.62		
-66.22   	-61.34   	114.34   	-442.52		 80.53   	-1154.62		
-66.53   	-59.51   	112.57   	-432.35		 75.91   	-1134.28		
-62.56   	-55.85   	110.84   	-406.92		 71.37   	-1108.85		
-57.07   	-51.88   	109.22   	-381.48		 66.94   	-1073.24		
-51.88   	-47.91   	107.69   	-350.97		 62.64   	-1027.46		
-47.30   	-43.64   	106.29   	-320.45		 58.53   	-981.68		
-43.33   	-40.59   	105.00   	-295.01		 54.61   	-935.91		
-40.89   	-39.98   	103.82   	-269.58		 50.86   	-879.96		
-40.59   	-41.81   	102.75   	-244.15		 47.34   	-829.09		
-42.11   	-44.86   	101.77   	-228.89		 44.03   	-783.31		
-44.86   	-48.52   	100.85   	-213.63		 40.90   	-727.36		
-47.00   	-52.80   	100.00   	-198.37		 37.99   	-681.58		
-46.69   	-57.07   	 99.21   	-188.20		 35.26   	-630.72		
-44.25   	-59.20   	 98.45   	-183.11		 32.74   	-590.03		
-39.98   	-57.37   	 97.72   	-178.03		 30.38   	-544.25		
-37.54   	-51.88   	 97.01   	-167.85		 28.20   	-503.56		
-39.98   	-47.91   	 96.34   	-167.85		 26.19   	-462.87		
-48.52   	-50.66   	 95.67   	-162.77		 24.33   	-432.35		
-58.29   	-59.81   	 95.01   	-162.77		 22.60   	-401.83		
-62.26   	-68.66   	 94.36   	-152.59		 21.00   	-366.22		
-57.07   	-70.19   	 93.75   	-152.59		 19.53   	-335.71		
-44.25   	-63.17   	 93.14   	-142.42		 18.19   	-305.19		
-31.13   	-52.49   	 92.57   	-142.42		 16.97   	-274.67		
-25.94   	-44.56   	 92.00   	-142.42		 15.87   	-239.06		
-31.43   	-44.25   	 91.43   	-132.25		 14.91   	-208.54		
-42.42   	-49.74   	 90.91   	-132.25		 14.08   	-178.03		
-51.88   	-58.29   	 90.38   	-127.16		 13.37   	-147.51		
-56.15   	-68.05   	 89.87   	-122.07		 12.78   	-127.16		
-54.93   	-76.29   	 89.38   	-122.07		 12.27   	 -96.64		
-52.19   	-78.43   	 88.89   	-116.99		 11.88   	 -81.38		
-50.05   	-72.33   	 88.42   	-111.90		 11.56   	 -66.12		
-48.52   	-60.42   	 87.98   	-106.82		 11.29   	 -55.95		
-47.61   	-49.74   	 87.55   	-106.82		 11.07   	 -50.86		
-47.61   	-47.91   	 87.12   	-101.73		 10.86   	 -40.69		
-50.35   	-56.76   	 86.71   	 -96.64		 10.70   	 -40.69		
-54.63   	-70.80   	 86.33   	 -91.56		 10.54   	 -40.69		
-58.59   	-82.70   	 85.96   	 -91.56		 10.38   	 -35.61		
-59.51   	-86.67   	 85.59   	 -86.47		 10.23   	 -35.61		
-54.32   	-81.48   	 85.25   	 -81.38		 10.09   	 -30.52		
-45.17   	-70.19   	 84.92   	 -81.38		  9.97   	 -30.52		
-37.84   	-58.90   	 84.60   	 -76.30		  9.85   	 -20.35		
-38.15   	-53.71   	 84.29   	 -81.38		  9.77   	 -20.35		
-45.78   	-55.24   	 83.97   	 -76.30		  9.68   	 -15.26		
-55.24   	-57.98   	 83.66   	 -76.30		  9.62   	  -5.09		
-57.98   	-54.02   	 83.36   	 -71.21		  9.60   	  -5.09		
-50.35   	-40.28   	 83.07   	 -76.30		  9.58(D)	   5.09		
-36.93   	-19.53   	 82.77   	 -71.21		  9.60   	   5.09		
-26.25   	 -0.92   	 82.48   	 -71.21		  9.62   	   5.09		
-24.72   	  8.54   	 82.20   	 -76.30		  9.64   	  10.17		
-30.52   	  7.63   	 81.89   	 -66.12		  9.68   	   5.09		
-37.23   	 -0.31   	 81.63   	 -71.21		  9.70   	  10.17		
-38.45   	 -9.16   	 81.34   	 -66.12		  9.75   	   5.09		
-32.04   	-14.04   	 81.08   	 -66.12		  9.77   	   5.09		
-19.23   	-10.07   	 80.81   	 -66.12		  9.79   	   0.00		
 -3.97   	  3.36   	 80.55   	 -66.12		  9.79   	   0.00		
  9.77   	 22.28   	 80.28   	 -61.04		  9.79   	   0.00		
 18.01   	 38.15   	 80.04   	 -61.04		  9.79   	   0.00		
 19.53   	 42.11   	 79.80   	 -61.04		  9.79   	   0.00		
 15.56   	 31.43   	 79.55   	 -61.04		  9.79   	   0.00		
  9.46   	  9.77   	 79.31   	 -55.95		  9.79   	   0.00		
  4.27   	-14.04   	 79.08   	 -55.95		  9.79   	   5.09		
  3.36   	-31.13   	 78.86   	 -55.95		  9.81   	   5.09		
  5.80   	-39.37   	 78.64   	 -55.95		  9.83   	  10.17		
  9.16   	-39.67   	 78.41   	 -55.95		  9.87   	  10.17		
 10.68   	-35.71   	 78.19   	 -61.04		  9.91   	   5.09		
  7.93   	-32.35   	 77.94   	 -55.95		  9.93   	  15.26		
 -0.61   	-36.01   	 77.72   	 -61.04		  9.99   	  10.17		
-14.04   	-49.44   	 77.48   	 -66.12		 10.03   	  10.17		
-28.99   	-69.89   	 77.21   	 -61.04		 10.07   	  15.26		
-42.42   	-89.72   	 76.97   	 -66.12		 10.13   	  15.26		
-51.57   	-101.93   	 76.70   	 -66.12		 10.19   	  20.35		
-55.24   	-104.37   	 76.44   	 -66.12		 10.27   	  20.35		
-53.41   	-100.40   	 76.17   	 -71.21		 10.36   	  25.43		
-46.39   	-95.21   	 75.89   	 -66.12		 10.46   	  25.43		
-38.76   	-91.86   	 75.63   	 -61.04		 10.56   	  35.61		
-35.10   	-90.94   	 75.38   	 -66.12		 10.70   	  35.61		
-38.45   	-91.86   	 75.12   	 -61.04		 10.84   	  35.61		
-47.61   	-95.21   	 74.87   	 -61.04		 10.99   	  40.69		
-58.29   	-100.40   	 74.63   	 -61.04		 11.15   	  40.69		
-64.39   	-105.59   	 74.38   	 -61.04		 11.31   	  40.69		
-63.78   	-108.95   	 74.14   	 -61.04		 11.48   	  40.69		
-60.12   	-110.78   	 73.90   	 -55.95		 11.64   	  45.78		
-58.59   	-109.86   	 73.67   	 -55.95		 11.82   	  40.69		
-60.73   	-106.51   	 73.45   	 -50.86		 11.98   	  45.78		
-64.09   	-101.62   	 73.24   	 -50.86		 12.17   	  50.86		
-65.92   	-96.74   	 73.04   	 -50.86		 12.37   	  45.78		
-65.61   	-93.38   	 72.84   	 -45.78		 12.55   	  45.78		
-65.00   	-90.94   	 72.65   	 -45.78		 12.74   	  50.86		
-67.44   	-81.18   	 72.47   	 -40.69		 12.94   	  55.95		
-70.50   	-52.49   	 72.31   	 -45.78		 13.16   	  55.95		
-63.78   	 -0.31   	 72.13   	 -40.69		 13.39   	  55.95		
-32.04   	 69.58   	 71.96   	 -45.78		 13.61   	  66.12		
 38.45   	143.13   	 71.78   	 -40.69		 13.88   	  71.21		
148.62   	209.05   	 71.62   	 -40.69		 14.16   	  71.21		
282.90   	268.86   	 71.45   	 -45.78		 14.45   	  71.21		
413.21   	337.52   	 71.27   	 -40.69		 14.73   	  76.30		
508.73   	428.77   	 71.11   	 -45.78		 15.04   	  71.21		
541.38   	530.70   	 70.93   	 -45.78		 15.32   	  71.21		
495.30   	605.16   	 70.74   	 -45.78		 15.61   	  71.21		
374.15   	610.96(R)	 70.56   	 -50.86		 15.89(E)	  66.12		
204.47   	528.87   	 70.36   	 -50.86		 16.15   	  71.21		
 31.13   	376.59   	 70.15   	 -50.86		 16.44   	  76.30		
-97.66   	205.38   	 69.95   	 -50.86		 16.74   	  91.56		
-154.11   	 63.78   	 69.75   	 -45.78		 17.11   	 106.82		
-145.87   	-27.16   	 69.56   	 -50.86		 17.54   	 137.33		
-106.20   	-72.94   	 69.36   	 -45.78		 18.09   	 172.94		
-71.11   	-90.94   	 69.18   	 -50.86		 18.78   	 218.72		
-57.68   	-96.44   	 68.97   	 -50.86		 19.65   	 279.75		
-59.51   	-93.38   	 68.77   	 -50.86		 20.77   	 345.88		
-61.34   	-81.48   	 68.57   	 -50.86		 22.16   	 427.26		
-56.46   	-64.09   	 68.36   	 -45.78		 23.87   	 508.65		
-48.52   	-49.13   	 68.18   	 -45.78		 25.90   	 600.20		
-45.47   	-44.25   	 68.00   	 -45.78		 28.30   	 681.58		
-49.74   	-50.66   	 67.81   	 -50.86		 31.03   	 768.05		
-56.15   	-61.65   	 67.61   	 -45.78		 34.10   	 849.44		
-58.29   	-69.27   	 67.43   	 -45.78		 37.50   	 920.65		
-55.24   	-68.97   	 67.24   	 -50.86		 41.18   	 966.43		
-49.44   	-61.65   	 67.04   	 -45.78		 45.05   	1007.12		
-45.78   	-54.02   	 66.86   	 -45.78		 49.07   	1017.29		
-46.69   	-51.57   	 66.67   	 -45.78		 53.14   	1007.12		
-50.96   	-55.85   	 66.49   	 -50.86		 57.17   	 976.60		
-55.24   	-64.09   	 66.29   	 -45.78		 61.08   	 935.91		
-55.85   	-72.02   	 66.10   	 -45.78		 64.82   	 879.96		
-51.27   	-76.90   	 65.92   	 -50.86		 68.34   	 818.92		
-43.64   	-77.82   	 65.72   	 -45.78		 71.62   	 757.88		
-36.32   	-74.77   	 65.53   	 -40.69		 74.65   	 707.02		
-32.65   	-69.89   	 65.37   	 -40.69		 77.48   	 656.15		
-32.65   	-65.00   	 65.21   	 -30.52		 80.10   	 625.63		
-33.87   	-61.34   	 65.09   	 -15.26		 82.60   	 605.29		
-35.40   	-59.81   	 65.03(D)	   0.00		 85.03   	 595.11		
-36.01   	-60.12   	 65.03   	  35.61		 87.41   	 579.86		
-35.71   	-60.12   	 65.17   	  86.47		 89.72   	 579.86		
-34.48   	-59.81   	 65.51   	 157.68		 92.04   	 569.68		
-31.74   	-58.59   	 66.14   	 254.32		 94.32   	 549.34		
-28.38   	-57.07   	 67.16   	 350.97		 96.52   	 534.08		
-25.63   	-55.24   	 68.57   	 457.78		 98.66   	 503.56		
-23.50   	-51.88   	 70.40   	 544.25		100.67   	 473.04		
-21.97   	-46.08   	 72.57   	 610.37		102.56   	 437.43		
-19.53   	-40.28   	 75.01   	 666.32		104.31   	 406.92		
-15.56   	-37.23   	 77.68   	 701.93		105.94   	 381.48		
 -9.46   	-37.54   	 80.49   	 727.36		107.47   	 356.05		
 -2.44   	-39.98   	 83.40   	 732.45		108.89   	 345.88		
  5.19   	-40.59   	 86.33   	 742.62		110.27   	 335.71		
 13.73   	-35.10   	 89.30   	 742.62		111.62   	 320.45		
 21.97   	-24.41   	 92.27   	 742.62		112.90   	 320.45		
 28.08   	-13.43   	 95.24   	 732.45		114.18   	 305.19		
 29.91   	 -6.71   	 98.17   	 722.28		115.40   	 295.01		
 28.99   	 -5.19   	101.06   	 707.02		116.58   	 284.84		
 29.60   	 -5.49   	103.89   	 691.76		117.72   	 274.67		
 33.57   	 -3.97   	106.65   	 676.50		118.82   	 259.41		
 39.98   	  0.00   	109.36   	 651.07		119.86   	 249.24		
 44.86   	  3.66   	111.96   	 625.63		120.85   	 244.15		
 46.08   	  4.58   	114.47   	 595.11		121.83   	 233.98		
 47.00   	  5.49   	116.85   	 564.60		122.77   	 233.98		
 51.88   	 10.99   	119.10   	 528.99		123.70   	 228.89		
 61.95   	 21.36   	121.22   	 493.39		124.62   	 228.89		
 73.24   	 32.04   	123.19   	 462.87		125.53   	 223.80		
 79.96   	 37.54   	125.05   	 427.26		126.43   	 223.80		
 81.18   	 37.54   	126.75   	 391.66		127.32   	 218.72		
 81.48   	 36.62   	128.32   	 366.22		128.20   	 208.54		
 86.06   	 40.59   	129.79   	 340.79		129.03   	 193.29		
 93.69   	 49.44   	131.15   	 310.27		129.81   	 178.03		
100.10   	 60.42   	132.39   	 289.93		130.52   	 162.77		
102.23   	 69.58   	133.55   	 264.50		131.17   	 142.42		
101.62   	 76.29   	134.61   	 244.15		131.74   	 132.25		
103.15   	 81.79   	135.58   	 223.80		132.27   	 122.07		
108.64   	 87.59   	136.48   	 203.46		132.76   	 116.99		
114.44   	 92.16   	137.29   	 178.03		133.22   	 106.82		
115.66   	 95.52   	138.01   	 152.59		133.65   	 101.73		
109.56   	 98.88   	138.62   	 137.33		134.06   	 101.73		
 97.96   	103.15   	139.17   	 111.90		134.47   	  91.56		
 85.14   	105.29   	139.61   	  96.64		134.83   	  86.47		
 74.77   	101.32   	140.00   	  81.38		135.18   	  81.38		
 66.53   	 88.81   	140.32   	  71.21		135.50   	  61.04		
 58.29   	 70.50   	140.61   	  50.86		135.75   	  55.95		
 46.08   	 52.49   	140.81   	  45.78		135.97   	  35.61		
 29.60   	 39.37   	141.00   	  25.43		136.11   	  20.35		
 11.60   	 30.21   	141.10   	  20.35		136.19   	   5.09		
 -1.83   	 20.75   	141.18(S)	   0.00		136.22(S)	  -5.09		
 -7.63   	  8.85   	141.18   	 -10.17		136.19   	 -25.43		
 -7.63   	 -3.97   	141.14   	 -25.43		136.09   	 -40.69		
 -8.85   	-14.65   	141.04   	 -35.61		135.93   	 -50.86		
-17.09   	-23.50   	140.89   	 -45.78		135.73   	 -66.12		
-32.96   	-32.65   	140.71   	 -61.04		135.46   	 -81.38		
-49.44   	-43.03   	140.47   	 -76.30		135.14   	 -96.64		
-58.59   	-51.27   	140.16   	 -91.56		134.75   	-106.82		
-57.07   	-53.71   	139.80   	-101.73		134.32   	-116.99		
-48.52   	-48.52   	139.39   	-116.99		133.86   	-127.16		
-39.06   	-39.67   	138.92   	-122.07		133.35   	-147.51		
-33.26   	-32.96   	138.43   	-137.33		132.76   	-157.68		
-30.52   	-29.60   	137.88   	-147.51		132.13   	-183.11		
-28.08   	-27.77   	137.29   	-162.77		131.39   	-208.54		
-24.41   	-26.25   	136.64   	-167.85		130.56   	-239.06		
-23.19   	-26.86   	135.97   	-188.20		129.60   	-279.75		
-26.86   	-32.04   	135.22   	-198.37		128.48   	-315.36		
-34.18   	-40.59   	134.42   	-208.54		127.22   	-366.22		
-39.98   	-46.69   	133.59   	-228.89		125.76   	-412.00		
-40.89   	-45.47   	132.67   	-239.06		124.11   	-467.95		
-36.62   	-36.93   	131.72   	-259.41		122.24   	-518.82		
-31.74   	-27.77   	130.68   	-279.75		120.16   	-579.86		
-30.52   	-25.02   	129.56   	-295.01		117.84   	-645.98		
-34.79   	-30.21   	128.38   	-315.36		115.26   	-717.19		
-40.59   	-37.84   	127.12   	-335.71		112.39   	-788.40		
-45.47   	-42.42   	125.78   	-361.14		109.24   	-864.70		
-47.91   	-43.33   	124.33   	-376.40		105.78   	-935.91		
-46.69   	-41.50   	122.83   	-401.83		102.03   	-996.94		
-42.72   	-39.98   	121.22   	-417.09		 98.05   	-1047.81		
-36.01   	-39.06   	119.55   	-437.43		 93.86   	-1083.41		
-28.38   	-38.15   	117.80   	-442.52		 89.52   	-1113.93		
-23.19   	-36.32   	116.03   	-447.61		 85.07   	-1124.11		
-22.89   	-34.79   	114.24   	-437.43		 80.57   	-1119.02		
-26.86   	-33.57   	112.49   	-427.26		 76.09   	-1108.85		
-30.52   	-31.74   	110.78   	-401.83		 71.66   	-1088.50		
-29.60   	-28.08   	109.18   	-376.40		 67.30   	-1057.98		
-23.19   	-23.50   	107.67   	-345.88		 63.07   	-1022.38		
-15.87   	-19.84   	106.29   	-320.45		 58.98   	-986.77		
-13.12   	-18.31   	105.00   	-295.01		 55.04   	-946.08		
-17.09   	-18.62   	103.82   	-269.58		 51.25   	-900.30		
-25.33   	-19.23   	102.75   	-249.24		 47.65   	-859.61		
-33.26   	-19.84   	101.75   	-233.98		 44.21   	-803.66		
-37.23   	-20.75   	100.81   	-223.80		 41.00   	-757.88		
-36.32   	-23.19   	 99.92   	-208.54		 37.97   	-707.02		
-32.65   	-26.86   	 99.08   	-198.37		 35.14   	-651.07		
-28.38   	-31.13   	 98.29   	-193.29		 32.53   	-605.29		
-23.80   	-34.79   	 97.52   	-188.20		 30.11   	-559.51		
-21.06   	-35.40   	 96.76   	-183.11		 27.87   	-513.73		
-22.28   	-32.96   	 96.03   	-178.03		 25.82   	-473.04		
-27.47   	-28.08   	 95.32   	-172.94		 23.93   	-437.43		
-34.18   	-24.41   	 94.63   	-167.85		 22.18   	-406.92		
-37.54   	-25.33   	 93.96   	-157.68		 20.55   	-366.22		
-35.40   	-31.13   	 93.33   	-152.59		 19.08   	-335.71		
-30.21   	-38.76   	 92.72   	-147.51		 17.74   	-300.10		
-25.94   	-43.95   	 92.13   	-142.42		 16.54   	-264.50		
-24.11   	-44.25   	 91.56   	-132.25		 15.48   	-228.89		
-24.11   	-40.89   	 91.03   	-127.16		 14.57   	-198.37		
-24.41   	-38.15   	 90.52   	-122.07		 13.77   	-167.85		
-25.63   	-39.06   	 90.03   	-122.07		 13.10   	-142.42		
-29.91   	-45.17   	 89.54   	-116.99		 12.53   	-122.07		
-35.71   	-53.10   	 89.07   	-111.90		 12.04   	 -96.64		
-38.76   	-55.54   	 88.63   	-111.90		 11.66   	 -86.47		
-35.10   	-49.44   	 88.18   	-101.73		 11.31   	 -76.30		
-27.16   	-38.76   	 87.77   	-101.73		 11.01   	 -61.04		
-20.14   	-30.82   	 87.36   	-101.73		 10.76   	 -61.04		
-18.01   	-32.65   	 86.96   	 -91.56		 10.52   	 -50.86		
-21.36   	-43.64   	 86.59   	 -91.56		 10.32   	 -45.78		
-26.55   	-57.07   	 86.23   	 -91.56		 10.13   	 -40.69		
-30.82   	-65.61   	 85.86   	 -86.47		  9.97   	 -40.69		
-34.18   	-67.14   	 85.51   	 -86.47		  9.81   	 -30.52		
-37.23   	-64.39   	 85.17   	 -81.38		  9.68   	 -30.52		
-40.28   	-60.73   	 84.84   	 -86.47		  9.56   	 -25.43		
-41.50   	-57.37   	 84.50   	 -81.38		  9.46   	 -25.43		
-40.28   	-52.49   	 84.17   	 -86.47		  9.36   	 -20.35		
-36.62   	-45.47   	 83.82   	 -81.38		  9.28   	 -20.35		
-30.52   	-36.62   	 83.50   	 -76.30		  9.20   	 -10.17		
-23.50   	-27.47   	 83.19   	 -81.38		  9.16   	 -10.17		
-18.31   	-17.70   	 82.87   	 -76.30		  9.11   	 -10.17		
-15.56   	 -7.02   	 82.56   	 -71.21		  9.07   	   0.00		
-15.26   	  4.27   	 82.28   	 -66.12		  9.07   	   0.00		
-15.26   	 11.90   	 82.01   	 -66.12		  9.07   	   0.00		
-14.95   	 12.21   	 81.75   	 -71.21		  9.07   	   5.09		
-12.82   	  5.19   	 81.46   	 -66.12		  9.09   	  10.17		
-10.07   	 -1.53   	 81.20   	 -71.21		  9.14   	  10.17		
 -5.19   	  1.53   	 80.92   	 -76.30		  9.18   	   5.09		
  4.27   	 16.78   	 80.61   	 -76.30		  9.20   	  10.17		
 17.40   	 36.01   	 80.30   	 -76.30		  9.24   	   5.09		
 29.60   	 47.61   	 80.00   	 -76.30		  9.26   	   5.09		
 36.32   	 45.47   	 79.69   	 -81.38		  9.28   	  -5.09		
 36.32   	 32.35   	 79.37   	 -76.30		  9.26   	 -10.17		
 31.74   	 15.26   	 79.06   	 -81.38		  9.22   	 -10.17		
 26.55   	 -0.61   	 78.74   	 -76.30		  9.18   	 -20.35		
 22.89   	-14.65   	 78.43   	 -71.21		  9.09   	 -25.43		
 19.53   	-26.55   	 78.15   	 -66.12		  8.99   	 -25.43		
 16.17   	-34.79   	 77.88   	 -66.12		  8.89   	 -35.61		
 13.73   	-36.01   	 77.62   	 -66.12		  8.75   	 -35.61		
 11.29   	-34.48   	 77.35   	 -61.04		  8.61   	 -35.61		
  7.02   	-37.23   	 77.11   	 -61.04		  8.46   	 -35.61		
 -1.83   	-49.74   	 76.87   	 -61.04		  8.32   	 -30.52		
-13.73   	-69.58   	 76.62   	 -61.04		  8.20   	 -30.52		
-25.63   	-88.50   	 76.38   	 -61.04		  8.08   	 -20.35		
-32.96   	-98.27   	 76.13   	 -55.95		  8.00   	 -10.17		
-34.79   	-96.74   	 75.91   	 -66.12		  7.96(D)	   0.00		
-33.26   	-90.33   	 75.65   	 -61.04		  7.96   	   5.09		
-31.74   	-86.98   	 75.40   	 -66.12		  7.98   	  20.35		
-32.96   	-90.33   	 75.14   	 -66.12		  8.06   	  35.61		
-36.32   	-96.44   	 74.87   	 -71.21		  8.20   	  40.69		
-41.50   	-99.79   	 74.59   	 -66.12		  8.36   	  50.86		
-47.00   	-98.27   	 74.32   	 -71.21		  8.57   	  55.95		
-50.96   	-95.21   	 74.04   	 -76.30		  8.79   	  61.04		
-52.19   	-96.44   	 73.73   	 -76.30		  9.03   	  66.12		
-51.27   	-104.68   	 73.43   	 -86.47		  9.30   	  61.04		
-49.44   	-114.75   	 73.08   	 -86.47		  9.54   	  66.12		
-47.30   	-119.02   	 72.74   	 -91.56		  9.81   	  61.04		
-46.08   	-112.61   	 72.37   	 -86.47		 10.05   	  55.95		
-47.61   	-98.88   	 72.02   	 -81.38		 10.27   	  55.95		
-51.88   	-86.36   	 71.70   	 -66.12		 10.50   	  66.12		
-58.59   	-82.09   	 71.43   	 -61.04		 10.76   	  71.21		
-67.44   	-86.06   	 71.19   	 -50.86		 11.05   	  81.38		
-75.07   	-85.75   	 70.99   	 -35.61		 11.37   	 101.73		
-74.77   	-62.56   	 70.84   	 -30.52		 11.78   	 111.90		
-57.98   	 -7.63   	 70.72   	 -25.43		 12.23   	 132.25		
-14.34   	 72.02   	 70.62   	 -15.26		 12.76   	 142.42		
 64.09   	156.86   	 70.56   	 -10.17		 13.33   	 147.51		
175.78   	227.66   	 70.52   	 -10.17		 13.92   	 147.51		
306.40   	283.51   	 70.48   	 -10.17		 14.51   	 147.51		
432.74   	343.63   	 70.44   	 -15.26		 15.10   	 137.33		
525.51   	427.55   	 70.38   	 -10.17		 15.65   	 127.16		
555.73   	524.29   	 70.34   	 -15.26		 16.15   	 116.99		
505.07   	595.09   	 70.27   	 -25.43		 16.62   	  96.64		
376.28   	596.62(R)	 70.17   	 -25.43		 17.01(E)	  86.47		
198.36   	508.42   	 70.07   	 -30.52		 17.35   	  81.38		
 20.75   	351.87   	 69.95   	 -40.69		 17.68   	  66.12		
-105.90   	178.83   	 69.79   	 -40.69		 17.94   	  71.21		
-156.25   	 37.23   	 69.62   	 -50.86		 18.23   	  81.38		
-141.60   	-51.57   	 69.42   	 -50.86		 18.56   	  96.64		
-97.35   	-90.64   	 69.22   	 -55.95		 18.94   	 127.16		
-58.59   	-96.74   	 68.99   	 -61.04		 19.45   	 167.85		
-42.11   	-89.11   	 68.75   	 -66.12		 20.12   	 218.72		
-43.03   	-78.74   	 68.48   	 -66.12		 21.00   	 279.75		
-47.61   	-70.19   	 68.22   	 -71.21		 22.12   	 350.97		
-47.30   	-64.70   	 67.93   	 -71.21		 23.52   	 422.18		
-41.81   	-61.95   	 67.65   	 -71.21		 25.21   	 508.65		
-36.93   	-61.65   	 67.36   	 -76.30		 27.24   	 584.94		
-36.01   	-62.56   	 67.06   	 -71.21		 29.58   	 671.41		
-39.37   	-64.09   	 66.77   	 -71.21		 32.27   	 752.79		
-44.86   	-65.00   	 66.49   	 -71.21		 35.28   	 824.00		
-49.74   	-64.70   	 66.21   	 -71.21		 38.58   	 890.13		
-53.10   	-64.09   	 65.92   	 -66.12		 42.14   	 935.91		
-53.10   	-64.39   	 65.66   	 -61.04		 45.88   	 961.34		
-48.83   	-65.92   	 65.41   	 -61.04		 49.73   	 966.43		
-41.81   	-68.66   	 65.17   	 -61.04		 53.59   	 951.17		
-34.79   	-71.11   	 64.92   	 -50.86		 57.40   	 915.56		
-31.13   	-71.41   	 64.72   	 -50.86		 61.06   	 864.70		
-32.35   	-70.50   	 64.52   	 -45.78		 64.52   	 808.75		
-36.62   	-69.89   	 64.33   	 -40.69		 67.75   	 752.79		
-39.98   	-69.89   	 64.17   	 -35.61		 70.76   	 691.76		
-40.28   	-72.63   	 64.03   	 -30.52		 73.53   	 651.07		
-38.76   	-76.90   	 63.91   	 -20.35		 76.13   	 620.55		
-36.62   	-79.96   	 63.82   	 -15.26		 78.62   	 595.11		
-34.48   	-79.35   	 63.76(D)	   5.09		 81.00   	 590.03		
-32.04   	-73.24   	 63.78   	  30.52		 83.36   	 584.94		
-28.38   	-62.26   	 63.91   	  71.21		 85.70   	 584.94		
-23.80   	-50.35   	 64.19   	 137.33		 88.04   	 579.86		
-19.84   	-42.72   	 64.74   	 223.80		 90.36   	 574.77		
-17.40   	-42.11   	 65.64   	 325.53		 92.65   	 554.42		
-16.78   	-49.13   	 66.94   	 422.18		 94.87   	 539.16		
-17.70   	-59.81   	 68.63   	 523.90		 97.03   	 508.65		
-19.23   	-68.36   	 70.72   	 600.20		 99.06   	 478.13		
-20.14   	-68.66   	 73.12   	 661.24		100.98   	 452.69		
-18.01   	-58.90   	 75.77   	 701.93		102.79   	 422.18		
-12.51   	-42.11   	 78.58   	 732.45		104.48   	 396.74		
 -4.27   	-25.63   	 81.51   	 742.62		106.06   	 371.31		
  3.66   	-16.78   	 84.48   	 752.79		107.55   	 350.97		
  8.24   	-18.92   	 87.49   	 747.71		108.95   	 330.62		
  8.54   	-28.38   	 90.48   	 742.62		110.27   	 305.19		
  5.80   	-37.54   	 93.45   	 727.36		111.49   	 295.01		
  4.88   	-40.89   	 96.36   	 722.28		112.68   	 274.67		
  9.16   	-36.62   	 99.25   	 701.93		113.77   	 269.58		
 18.31   	-27.16   	102.05   	 681.58		114.85   	 259.41		
 29.30   	-16.17   	104.78   	 651.07		115.89   	 254.32		
 37.23   	 -7.63   	107.39   	 630.72		116.91   	 249.24		
