  I     	  II     	  FA     	  FA'		  LVp     	  LVp'		
-28.99   	-87.89   	 75.48   	 -61.04		  9.32   	  45.78		
-35.40   	-89.11   	 75.24   	 -45.78		  9.50   	  45.78		
-40.28   	-91.25   	 75.06   	 -45.78		  9.68   	  50.86		
-42.42   	-92.77   	 74.87   	 -45.78		  9.89   	  45.78		
-42.11   	-91.25   	 74.69   	 -45.78		 10.07   	  50.86		
-41.20   	-86.98   	 74.51   	 -45.78		 10.27   	  45.78		
-42.42   	-82.40   	 74.32   	 -45.78		 10.46   	  50.86		
-45.17   	-80.26   	 74.14   	 -45.78		 10.66   	  45.78		
-47.00   	-82.09   	 73.96   	 -45.78		 10.84   	  45.78		
-46.69   	-86.06   	 73.77   	 -40.69		 11.03   	  50.86		
-43.64   	-88.50   	 73.61   	 -35.61		 11.23   	  50.86		
-40.28   	-87.89   	 73.47   	 -35.61		 11.43   	  61.04		
-39.98   	-86.67   	 73.33   	 -35.61		 11.68   	  71.21		
-45.78   	-84.53   	 73.18   	 -40.69		 11.96   	  81.38		
-54.63   	-74.77   	 73.02   	 -50.86		 12.29   	  91.56		
-58.29   	-46.69   	 72.82   	 -55.95		 12.66   	  96.64		
-44.56   	  5.49   	 72.59   	 -61.04		 13.04   	  96.64		
 -0.92   	 78.43   	 72.35   	 -61.04		 13.43   	  96.64		
 78.43   	155.03   	 72.11   	 -45.78		 13.81   	  91.56		
190.12   	219.42   	 71.92   	 -30.52		 14.18   	  76.30		
319.21   	273.74   	 71.80   	 -15.26		 14.49   	  66.12		
441.28   	335.69   	 71.74   	 -15.26		 14.75   	  61.04		
526.43   	421.14   	 71.68   	 -20.35		 14.99   	  45.78		
545.96   	518.80   	 71.60   	 -30.52		 15.18   	  35.61		
481.87   	590.52   	 71.47   	 -40.69		 15.32   	  30.52		
341.80   	594.79(R)	 71.31   	 -50.86		 15.44(E)	  20.35		
160.22   	512.39   	 71.11   	 -50.86		 15.52   	  20.35		
 -9.16   	365.91   	 70.91   	 -66.12		 15.61   	  20.35		
-117.80   	205.38   	 70.64   	 -66.12		 15.69   	  25.43		
-146.79   	 73.24   	 70.38   	 -76.30		 15.79   	  45.78		
-116.27   	-13.73   	 70.07   	 -71.21		 15.97   	  71.21		
-67.14   	-58.90   	 69.79   	 -76.30		 16.26   	 106.82		
-32.96   	-75.99   	 69.48   	 -71.21		 16.68   	 162.77		
-24.11   	-77.21   	 69.20   	 -76.30		 17.33   	 228.89		
-30.82   	-68.66   	 68.89   	 -71.21		 18.25   	 305.19		
-37.23   	-54.02   	 68.61   	 -66.12		 19.47   	 386.57		
-36.32   	-38.45   	 68.34   	 -55.95		 21.02   	 478.13		
-31.74   	-28.08   	 68.12   	 -40.69		 22.93   	 569.68		
-29.60   	-27.16   	 67.95   	 -35.61		 25.21   	 666.32		
-32.96   	-35.10   	 67.81   	 -40.69		 27.87   	 762.97		
-38.76   	-46.08   	 67.65   	 -40.69		 30.93   	 849.44		
-41.50   	-52.80   	 67.49   	 -50.86		 34.32   	 920.65		
-38.45   	-50.05   	 67.28   	 -50.86		 38.01   	 981.68		
-32.65   	-41.20   	 67.08   	 -50.86		 41.93   	1012.20		
-29.91   	-36.01   	 66.88   	 -45.78		 45.98   	1022.38		
-34.48   	-41.50   	 66.69   	 -50.86		 50.07   	1012.20		
-43.03   	-54.93   	 66.49   	 -50.86		 54.12   	 986.77		
-49.13   	-67.75   	 66.29   	 -50.86		 58.07   	 946.08		
-47.30   	-72.33   	 66.08   	 -55.95		 61.85   	 900.30		
-38.45   	-65.61   	 65.86   	 -55.95		 65.45   	 849.44		
-28.38   	-53.10   	 65.64   	 -55.95		 68.85   	 803.66		
-22.28   	-41.20   	 65.41   	 -50.86		 72.06   	 762.97		
-21.67   	-32.96   	 65.21   	 -45.78		 75.12   	 737.54		
-23.80   	-29.91   	 65.03   	 -50.86		 78.07   	 701.93		
-26.55   	-32.96   	 64.82   	 -40.69		 80.87   	 686.67		
-27.47   	-39.98   	 64.66   	 -25.43		 83.62   	 661.24		
-25.02   	-46.39   	 64.56   	   0.00		 86.27   	 640.89		
-19.84   	-48.22   	 64.56   	  50.86		 88.83   	 615.46		
-13.43   	-44.25   	 64.76   	 127.16		 91.29   	 590.03		
 -9.16   	-36.62   	 65.27   	 223.80		 93.65   	 559.51		
-10.07   	-30.82   	 66.16   	 340.79		 95.89   	 534.08		
-15.56   	-29.91   	 67.53   	 457.78		 98.03   	 508.65		
-22.28   	-32.65   	 69.36   	 554.42		100.06   	 478.13		
-25.94   	-34.48   	 71.58   	 630.72		101.97   	 452.69		
-24.11   	-34.48   	 74.10   	 691.76		103.78   	 417.09		
-16.48   	-33.26   	 76.87   	 722.28		105.45   	 391.66		
 -7.93   	-32.35   	 79.76   	 742.62		107.02   	 366.22		
 -1.53   	-32.96   	 82.73   	 747.71		108.48   	 335.71		
  1.22   	-31.74   	 85.72   	 747.71		109.83   	 310.27		
  1.53   	-26.55   	 88.71   	 742.62		111.07   	 289.93		
  1.53   	-18.92   	 91.68   	 732.45		112.23   	 274.67		
  3.36   	-11.60   	 94.61   	 712.10		113.33   	 264.50		
  7.63   	 -7.93   	 97.46   	 701.93		114.38   	 254.32		
 13.12   	 -9.16   	100.26   	 676.50		115.40   	 254.32		
 19.53   	-12.21   	102.97   	 661.24		116.42   	 254.32		
 26.86   	-13.12   	105.62   	 630.72		117.44   	 254.32		
 34.79   	 -7.02   	108.14   	 605.29		118.45   	 254.32		
 41.81   	  6.71   	110.56   	 579.86		119.47   	 249.24		
 45.17   	 23.80   	112.88   	 539.16		120.47   	 249.24		
 44.86   	 37.23   	115.04   	 508.65		121.46   	 249.24		
 43.03   	 39.98   	117.07   	 478.13		122.46   	 233.98		
 44.56   	 32.04   	118.98   	 452.69		123.40   	 233.98		
 50.96   	 21.36   	120.79   	 432.35		124.33   	 218.72		
