  I     	  II     	  LVp     	  LVp'		
-255.74   	331.12   	 91.45   	  35.61		
-269.78   	335.08   	 91.60   	  25.43		
-282.29   	339.36   	 91.70   	  15.26		
-292.36   	343.32   	 91.76   	  -5.09		
-299.07   	347.29   	 91.74   	 -15.26		
-301.82   	351.56   	 91.68   	 -25.43		
-301.21   	356.14   	 91.58   	 -35.61		
-297.55   	360.41   	 91.43   	 -55.95		
-291.44   	363.16   	 91.21   	 -61.04		
-282.59   	364.99   	 90.97   	 -76.30		
-270.39   	367.74   	 90.66   	 -86.47		
-253.60   	373.54   	 90.32   	 -96.64		
-232.24   	383.00   	 89.93   	-111.90		
-207.52   	393.07   	 89.48   	-111.90		
-181.58   	400.70   	 89.03   	-127.16		
-155.94   	402.53   	 88.52   	-127.16		
-132.14   	397.64   	 88.02   	-142.42		
-110.17   	388.49   	 87.45   	-157.68		
-90.33   	378.42   	 86.82   	-183.11		
-72.94   	370.79   	 86.08   	-218.72		
-57.68   	366.82   	 85.21   	-269.58		
-43.64   	364.99   	 84.13   	-325.53		
-30.21   	364.07   	 82.83   	-396.74		
-17.70   	362.55   	 81.24   	-467.95		
 -6.10   	359.50   	 79.37   	-544.25		
  2.75   	355.53   	 77.19   	-620.55		
  8.85   	350.95   	 74.71   	-686.67		
 11.90   	347.29   	 71.96   	-742.62		
 12.82   	344.24   	 68.99   	-793.49		
 12.82   	342.10   	 65.82   	-824.00		
 12.82   	340.58   	 62.52   	-849.44		
 13.73   	339.36   	 59.12   	-859.61		
 15.87   	338.75   	 55.69   	-864.70		
 18.62   	338.44   	 52.23   	-854.52		
 20.45   	339.05   	 48.81   	-839.26		
 19.53   	339.36   	 45.45   	-829.09		
 16.48   	338.75   	 42.14   	-803.66		
 11.90   	336.61   	 38.92   	-783.31		
  8.24   	335.39   	 35.79   	-762.97		
  6.71   	336.00   	 32.74   	-737.54		
  6.41   	338.13   	 29.79   	-712.10		
  5.49   	340.58   	 26.94   	-681.58		
  3.36   	340.88   	 24.21   	-656.15		
 -0.31   	339.97   	 21.59   	-625.63		
 -4.58   	338.44   	 19.08   	-595.11		
 -8.24   	337.52   	 16.70   	-554.42		
-11.29   	337.52   	 14.49   	-523.90		
-12.51   	338.75   	 12.39   	-478.13		
-11.90   	342.41   	 10.48   	-437.43		
 -9.16   	350.95   	  8.73   	-391.66		
 -5.49   	362.24   	  7.16   	-350.97		
 -2.14   	372.01   	  5.76   	-315.36		
 -1.22   	375.37   	  4.50   	-274.67		
 -2.14   	370.18   	  3.40   	-239.06		
 -3.36   	361.02   	  2.44   	-208.54		
 -2.44   	355.22   	  1.61   	-188.20		
  1.53   	357.97   	  0.85   	-167.85		
  7.63   	366.52   	  0.18   	-147.51		
 12.51   	373.23   	 -0.41   	-137.33		
 14.04   	372.31   	 -0.96   	-122.07		
 11.29   	365.60   	 -1.44   	-111.90		
  6.71   	360.72   	 -1.89   	-101.73		
  2.44   	364.38   	 -2.30   	 -96.64		
  0.92   	376.89   	 -2.69   	 -86.47		
  3.05   	391.54   	 -3.03   	 -81.38		
  9.16   	402.53   	 -3.36   	 -71.21		
 17.40   	408.94   	 -3.64   	 -61.04		
 25.63   	413.21   	 -3.89   	 -61.04		
 32.04   	419.31   	 -4.13   	 -50.86		
 36.93   	430.60   	 -4.33   	 -50.86		
 43.64   	448.61   	 -4.54   	 -71.21		
 55.54   	470.89   	 -4.82   	 -96.64		
 73.24   	492.25   	 -5.21   	-132.25		
 94.60   	504.15   	 -5.74   	-172.94		
114.75   	500.18   	 -6.43   	-213.63		
130.00   	480.04   	 -7.28   	-233.98		
138.85   	451.36   	 -8.22   	-244.15		
143.13   	422.67   	 -9.20   	-228.89		
143.13   	399.17   	-10.11   	-193.29		
139.16   	380.86   	-10.89   	-147.51		
128.17   	364.99   	-11.48   	 -86.47		
106.51   	350.95   	-11.82   	 -15.26		
 72.94   	338.13   	-11.88   	  55.95		
 30.52   	325.32   	-11.66   	 122.07		
-10.99   	310.06   	-11.17   	 183.11		
-42.42   	291.44   	-10.44   	 223.80		
-57.98   	271.30   	 -9.54   	 249.24		
-58.29   	255.74   	 -8.55   	 259.41		
-51.27   	249.02   	 -7.51   	 249.24		
-44.56   	250.55   	 -6.51   	 223.80		
-42.42   	256.04   	 -5.62   	 188.20		
-44.25   	260.62   	 -4.86   	 147.51		
-46.08   	262.15   	 -4.27   	 106.82		
-45.78   	261.84   	 -3.85   	  61.04		
-44.25   	260.93   	 -3.60   	  25.43		
-43.03   	260.62   	 -3.50   	   5.09		
-43.33   	260.31   	 -3.48   	 -10.17		
-45.17   	260.62   	 -3.52   	  -5.09		
-45.47   	262.45   	 -3.54   	   5.09		
