  I     	  II     	  LV     	  LV'		
 52.19   	 39.37   	  7.06   	  25.43		
 58.59   	 34.18   	  7.16   	  20.35		
 50.96   	 10.38   	  7.24   	  20.35		
 35.10   	-21.67   	  7.32   	  20.35		
 20.14   	-49.13   	  7.41   	  15.26		
 12.21   	-64.70   	  7.47   	  20.35		
  9.77   	-70.19   	  7.55   	  15.26		
  7.32   	-72.02   	  7.61   	  20.35		
  0.92   	-76.90   	  7.69   	  15.26		
-10.99   	-86.06   	  7.75   	  25.43		
-27.16   	-95.83   	  7.85   	  30.52		
-45.47   	-104.06   	  7.98   	  30.52		
-63.17   	-109.56   	  8.10   	  40.69		
-78.74   	-114.75   	  8.26   	  45.78		
-89.72   	-120.85   	  8.44   	  45.78		
-95.83   	-126.65   	  8.63   	  55.95		
-98.57   	-131.53   	  8.85   	  55.95		
-99.49   	-133.06   	  9.07   	  55.95		
-101.01   	-131.23   	  9.30   	  55.95		
-103.15   	-127.56   	  9.52   	  55.95		
-104.98   	-122.99   	  9.75   	  50.86		
-105.29   	-119.63   	  9.95   	  45.78		
-104.06   	-118.41   	 10.13   	  45.78		
-101.32   	-119.93   	 10.32   	  35.61		
-98.27   	-123.29   	 10.46   	  30.52		
-98.57   	-127.87   	 10.58   	  20.35		
-105.59   	-132.45   	 10.66   	  20.35		
-114.44   	-135.19   	 10.74   	  15.26		
-107.73   	-131.53   	 10.80   	  10.17		
-58.59   	-115.97   	 10.84   	  10.17		
 57.68   	-77.51   	 10.89   	  15.26		
246.58   	 -2.44   	 10.95   	  25.43		
487.06   	121.15   	 11.05   	  30.52		
737.61   	296.02   	 11.17   	  40.69		
942.99   	496.52   	 11.33   	  50.86		
1047.06   	665.59   	 11.54   	  66.12		
1002.20   	741.88(R)	 11.80(E)	  81.38		
791.93   	693.97   	 12.13   	  86.47		
455.32   	541.99   	 12.47   	 101.73		
 87.28   	347.60   	 12.88   	 111.90		
-200.50   	173.34   	 13.33   	 122.07		
-335.08   	 47.61   	 13.81   	 142.42		
-322.88   	-34.48   	 14.38   	 167.85		
-233.15   	-87.28   	 15.06   	 198.37		
-144.96   	-115.05   	 15.85   	 244.15		
