  I     	  II     	  AOp     	  AOp'		
-49.13   	-13.12   	137.25   	-208.54		
-64.39   	-22.89   	136.42   	-493.39		
-79.04   	-35.10   	134.45   	-549.34		
-88.20   	-45.78   	132.25   	-345.88		
-91.86   	-51.57   	130.86   	-218.72		
-92.47   	-52.49   	129.99   	 -96.64		
-94.30   	-50.96   	129.60   	  25.43		
-97.96   	-49.44   	129.70   	  66.12		
-101.62   	-49.74   	129.97   	  10.17		
-104.37   	-52.49   	130.01   	-178.03		
-105.29   	-55.54   	129.30   	-371.31		
-105.90   	-57.07   	127.81   	-467.95		
-106.20   	-56.15   	125.94   	-508.65		
-106.51   	-53.10   	123.91   	-549.34		
-107.12   	-51.88   	121.71   	-666.32		
-109.56   	-54.63   	119.04   	-854.52		
-113.53   	-61.34   	115.63   	-930.82		
-117.19   	-68.66   	111.90   	-879.96		
-119.32   	-72.33   	108.38   	-625.63		
-118.10   	-70.50   	105.88   	-152.59		
-113.83   	-63.48   	105.27   	 244.15		
-109.86   	-55.24   	106.25   	 335.71		
-107.42   	-49.44   	107.59   	 208.54		
-107.12   	-47.61   	108.42   	  45.78		
-108.03   	-49.44   	108.61   	 -50.86		
-108.34   	-53.10   	108.40   	 -61.04		
-107.73   	-56.46   	108.16   	 -10.17		
-105.90   	-58.29   	108.12   	 -15.26		
-104.98   	-60.12   	108.06   	-183.11		
-104.98   	-63.78   	107.32   	-473.04		
-105.59   	-67.75   	105.43   	-696.84		
-104.68   	-68.36   	102.64   	-930.82		
-102.23   	-62.56   	 98.92   	-1113.93		
-97.35   	-50.96   	 94.47   	-925.73		
-91.86   	-39.37   	 90.76   	-417.09		
-87.59   	-34.48   	 89.09   	 116.99		
-85.45   	-37.84   	 89.56   	 595.11		
-84.53   	-45.78   	 91.94   	 940.99		
-86.06   	-51.57   	 95.71   	1073.24		
-89.72   	-52.49   	100.00   	 824.00		
-94.91   	-49.13   	103.30   	 208.54		
-99.79   	-45.17   	104.13   	-488.30		
-102.84   	-43.95   	102.18   	-940.99		
-103.15   	-45.47   	 98.41   	-1093.59		
-102.23   	-49.13   	 94.04   	-951.17		
-101.32   	-51.57   	 90.23   	-625.63		
-100.71   	-51.88   	 87.73   	-381.48		
-100.40   	-49.74   	 86.21   	-356.05		
-101.62   	-47.61   	 84.78   	-172.94		
-104.06   	-47.30   	 84.09   	 890.13		
-105.90   	-50.35   	 87.65   	1973.54		
-105.29   	-54.32   	 95.54   	2085.44		
-101.62   	-56.15   	103.89   	1546.28		
-97.05   	-55.24   	110.07   	 493.39		
-95.21   	-53.41   	112.04   	-783.31		
-96.13   	-51.88   	108.91   	-1556.45		
-97.35   	-51.57   	102.69   	-1734.48		
-96.44   	-52.19   	 95.75   	-1571.71		
-93.08   	-52.19   	 89.46   	-1088.50		
-90.03   	-51.57   	 85.11   	-600.20		
-89.11   	-51.57   	 82.71   	-401.83		
-90.03   	-52.49   	 81.10   	-284.84		
-90.94   	-54.63   	 79.96   	   5.09		
-90.64   	-58.29   	 79.98   	 356.05		
-88.50   	-61.95   	 81.40   	 666.32		
-84.53   	-63.17   	 84.07   	 879.96		
-80.87   	-61.34   	 87.59   	 869.78		
-79.35   	-56.46   	 91.07   	 569.68		
-81.18   	-51.57   	 93.35   	  10.17		
-86.36   	-50.66   	 93.39   	-610.37		
-92.16   	-54.02   	 90.95   	-1022.38		
-94.30   	-58.90   	 86.86   	-1063.07		
-90.94   	-61.04   	 82.60   	-803.66		
-84.53   	-59.51   	 79.39   	-396.74		
-78.43   	-55.24   	 77.80   	  61.04		
-75.99   	-51.88   	 78.05   	 447.61		
-76.29   	-50.35   	 79.84   	 671.41		
-77.82   	-50.96   	 82.52   	 752.79		
-77.82   	-52.19   	 85.53   	 712.10		
-76.90   	-54.02   	 88.38   	 549.34		
-76.29   	-56.46   	 90.58   	 289.93		
-77.21   	-58.90   	 91.74   	  15.26		
-78.13   	-59.20   	 91.80   	-254.32		
-77.51   	-55.85   	 90.78   	-457.78		
-75.07   	-49.74   	 88.95   	-534.08		
-71.41   	-44.25   	 86.82   	-462.87		
-68.97   	-42.42   	 84.96   	-325.53		
-68.36   	-45.17   	 83.66   	-223.80		
-68.36   	-50.35   	 82.77   	-132.25		
-68.66   	-54.32   	 82.24   	 -55.95		
-68.36   	-56.15   	 82.01   	 -10.17		
-68.66   	-56.46   	 81.97   	 -20.35		
-70.50   	-57.68   	 81.89   	 -25.43		
-72.63   	-59.51   	 81.79   	  40.69		
-72.94   	-59.81   	 81.95   	  91.56		
-70.80   	-57.07   	 82.32   	  20.35		
-67.44   	-52.49   	 82.40   	-122.07		
-65.00   	-48.83   	 81.91   	-300.10		
-62.87   	-47.91   	 80.71   	-417.09		
-60.42   	-48.83   	 79.04   	-406.92		
-56.46   	-49.74   	 77.42   	-259.41		
-50.96   	-47.91   	 76.38   	 -45.78		
-46.08   	-40.89   	 76.20   	 142.42		
-41.81   	-27.77   	 76.76   	 198.37		
-38.15   	-10.68   	 77.56   	  55.95		
-33.57   	  6.10   	 77.78   	-198.37		
-28.38   	 17.70   	 76.99   	-447.61		
-23.50   	 20.45   	 75.20   	-600.20		
-18.31   	 17.40   	 72.80   	-595.11		
-12.51   	 14.65   	 70.42   	-442.52		
 -6.41   	 18.31   	 68.65   	-203.46		
 -1.22   	 31.13   	 67.83   	  15.26		
  0.61   	 49.44   	 67.89   	 142.42		
  0.61   	 67.14   	 68.46   	 137.33		
  1.22   	 77.82   	 69.01   	  40.69		
  4.88   	 78.13   	 69.18   	 -55.95		
 11.60   	 70.80   	 68.95   	 -71.21		
 18.31   	 61.04   	 68.67   	  10.17		
 22.89   	 54.32   	 68.71   	 172.94		
 24.41   	 51.27   	 69.40   	 350.97		
 22.28   	 49.44   	 70.80   	 452.69		
 15.56   	 43.64   	 72.61   	 432.35		
  2.44   	 31.74   	 74.34   	 340.79		
-14.95   	 15.26   	 75.71   	 213.63		
-33.87   	 -2.14   	 76.56   	  50.86		
-49.44   	-19.53   	 76.76   	-122.07		
-58.90   	-36.93   	 76.28   	-167.85		
-63.17   	-54.63   	 75.60   	 -35.61		
-65.61   	-71.72   	 75.46   	 193.29		
-67.44   	-84.53   	 76.24   	 427.26		
-68.36   	-91.25   	 77.94   	 518.82		
-67.75   	-93.38   	 80.02   	 371.31		
-66.22   	-92.77   	 81.51   	  20.35		
-65.61   	-90.94   	 81.59   	-371.31		
-69.58   	-86.67   	 80.10   	-666.32		
-77.51   	-73.24   	 77.44   	-813.83		
-79.04   	-42.72   	 74.18   	-808.75		
-51.27   	 10.68   	 70.95   	-727.36		
 35.71   	 90.33   	 68.04   	-625.63		
205.38   	195.01   	 65.53   	-467.95		
462.34   	321.66   	 63.66   	-244.15		
783.39   	463.87   	 62.69   	  25.43		
1109.92   	608.52   	 62.79   	 340.79		
1349.49   	726.93   	 64.15   	 645.98		
1396.79(R)	769.04   	 66.73   	 874.87		
1186.83   	682.37   	 70.23   	 996.94		
751.65   	453.80   	 74.22   	 976.60		
229.49   	133.97   	 78.13   	 813.83		
-191.96   	-170.90   	 81.38   	 534.08		
-381.47   	-350.95   	 83.52   	 223.80		
-339.05   	-361.63   	 84.41   	 -10.17		
-178.22   	-249.94   	 84.37   	-116.99		
-35.40   	-112.61   	 83.91   	-142.42		
 15.56   	-29.91   	 83.34   	-122.07		
-12.82   	-23.50   	 82.85   	-142.42		
-63.17   	-62.26   	 82.28   	-198.37		
-89.72   	-100.10   	 81.48   	-239.06		
-83.92   	-112.61   	 80.53   	-188.20		
-64.09   	-104.68   	 79.78   	   0.00		
-48.83   	-93.08   	 79.78   	 305.19		
-44.86   	-89.42   	 81.00   	 620.55		
-48.83   	-93.08   	 83.48   	 946.08		
-54.63   	-98.27   	 87.26   	1205.49		
-58.90   	-100.10   	 92.09   	1276.70		
-60.12   	-98.27   	 97.19   	1098.67		
-59.51   	-95.52   	101.59   	 722.28		
-56.76   	-94.60   	104.48   	 396.74		
-52.49   	-95.52   	106.06   	 239.06		
-46.08   	-96.13   	107.02   	 132.25		
-39.67   	-94.91   	107.55   	  15.26		
-34.79   	-92.16   	107.61   	-147.51		
-32.65   	-89.11   	107.02   	-406.92		
-32.65   	-86.67   	105.39   	-539.16		
-33.57   	-85.45   	103.23   	-208.54		
-33.57   	-84.84   	102.40   	 564.60		
-31.43   	-83.31   	104.66   	1622.58		
-27.47   	-81.79   	111.15   	2655.13		
-23.19   	-80.57   	121.77   	3336.71		
-19.53   	-79.04   	135.12   	3336.71		
