  I     	  II     	  AOp     	  AOp'		
-27.47   	-78.74   	101.95   	 198.37		
-27.47   	-80.57   	102.75   	 172.94		
-26.86   	-81.48   	103.44   	 127.16		
-25.63   	-83.01   	103.95   	  76.30		
-24.41   	-86.36   	104.25   	  15.26		
-24.11   	-92.16   	104.31   	 -45.78		
-24.41   	-98.27   	104.13   	-111.90		
-25.33   	-102.54   	103.68   	-167.85		
-25.94   	-103.76   	103.01   	-223.80		
-25.94   	-103.15   	102.12   	-274.67		
-25.33   	-102.54   	101.02   	-305.19		
-24.11   	-103.45   	 99.80   	-330.62		
-22.89   	-106.51   	 98.47   	-340.79		
-22.28   	-110.17   	 97.11   	-335.71		
-22.28   	-114.14   	 95.77   	-320.45		
-22.89   	-118.10   	 94.49   	-284.84		
-23.50   	-120.85   	 93.35   	-249.24		
-23.80   	-121.77   	 92.35   	-198.37		
-24.72   	-121.15   	 91.56   	-152.59		
-25.33   	-119.63   	 90.95   	 -96.64		
-25.63   	-118.41   	 90.56   	 -45.78		
-25.02   	-119.63   	 90.38   	   0.00		
-23.50   	-122.99   	 90.38   	  35.61		
-21.67   	-126.95   	 90.52   	  66.12		
-20.75   	-129.70   	 90.78   	  86.47		
-20.75   	-129.09   	 91.13   	 101.73		
-21.36   	-125.73   	 91.54   	 101.73		
-21.67   	-121.77   	 91.94   	  91.56		
-21.97   	-120.54   	 92.31   	  71.21		
-21.67   	-122.38   	 92.59   	  45.78		
-20.75   	-126.04   	 92.78   	  10.17		
-19.23   	-128.78   	 92.82   	 -30.52		
-17.70   	-128.78   	 92.70   	 -66.12		
-16.78   	-125.73   	 92.43   	-106.82		
-16.78   	-121.46   	 92.00   	-142.42		
-16.48   	-116.58   	 91.43   	-172.94		
-15.87   	-109.86   	 90.74   	-198.37		
-14.65   	-100.40   	 89.95   	-208.54		
-13.43   	-89.11   	 89.11   	-208.54		
-11.90   	-77.82   	 88.28   	-203.46		
 -9.77   	-69.27   	 87.47   	-188.20		
 -7.02   	-65.61   	 86.71   	-167.85		
 -3.97   	-66.53   	 86.04   	-127.16		
 -1.83   	-68.36   	 85.53   	 -96.64		
 -1.22   	-67.44   	 85.15   	 -61.04		
 -1.83   	-60.73   	 84.90   	 -15.26		
 -2.44   	-46.08   	 84.84   	  20.35		
 -1.53   	-26.55   	 84.92   	  50.86		
  1.22   	 -6.71   	 85.13   	  76.30		
  5.19   	  6.71   	 85.43   	  96.64		
  9.46   	  9.77   	 85.82   	 111.90		
 13.73   	  3.05   	 86.27   	 111.90		
 17.40   	 -8.54   	 86.71   	 106.82		
 19.84   	-19.53   	 87.14   	  96.64		
 19.84   	-28.38   	 87.53   	  76.30		
 16.48   	-38.15   	 87.83   	  55.95		
 10.38   	-52.49   	 88.06   	  25.43		
  3.66   	-72.02   	 88.16   	   0.00		
 -3.05   	-92.77   	 88.16   	 -30.52		
 -8.85   	-110.17   	 88.04   	 -55.95		
-14.34   	-122.07   	 87.81   	 -86.47		
-20.14   	-130.31   	 87.47   	-101.73		
-25.63   	-137.33   	 87.06   	-122.07		
-29.91   	-144.35   	 86.57   	-127.16		
-32.04   	-150.76   	 86.06   	-137.33		
-32.35   	-155.64   	 85.51   	-142.42		
-31.43   	-159.91   	 84.94   	-132.25		
-30.82   	-163.57   	 84.41   	-127.16		
-30.82   	-166.63   	 83.91   	-106.82		
-31.43   	-169.07   	 83.48   	 -96.64		
-32.35   	-169.98   	 83.09   	 -76.30		
-33.87   	-170.29   	 82.79   	 -55.95		
-35.71   	-170.29   	 82.56   	 -35.61		
-38.15   	-171.20   	 82.42   	 -20.35		
-40.89   	-174.26   	 82.34   	   0.00		
-44.25   	-181.58   	 82.34   	  10.17		
-48.52   	-194.09   	 82.38   	  20.35		
-52.80   	-211.18   	 82.46   	  20.35		
-54.32   	-229.80   	 82.54   	  20.35		
-48.52   	-240.48   	 82.62   	  15.26		
-29.91   	-224.61   	 82.69   	   5.09		
  5.80   	-156.25   	 82.71   	  -5.09		
