  I     	  II     	  AOp     	  AOp'		
-50.66   	 13.73   	113.18   	 -96.64		
-52.80   	 12.82   	112.80   	 -96.64		
-52.49   	 15.87   	112.41   	 -96.64		
-52.80   	 15.87   	112.02   	 -91.56		
-51.27   	 23.19   	111.66   	 -91.56		
-50.96   	 24.41   	111.29   	 -86.47		
-49.13   	 21.36   	110.95   	 -91.56		
-51.27   	 21.36   	110.58   	 -86.47		
-55.54   	 20.75   	110.23   	 -86.47		
-49.13   	 25.33   	109.89   	 -91.56		
-56.15   	 22.28   	109.52   	 -91.56		
-51.27   	 24.41   	109.16   	 -86.47		
-50.05   	 21.06   	108.81   	 -91.56		
-60.12   	 10.38   	108.44   	 -86.47		
-54.02   	 11.60   	108.10   	 -86.47		
-55.54   	  7.93   	107.75   	 -81.38		
-59.51   	  2.44   	107.43   	 -81.38		
-57.37   	  0.92   	107.10   	 -76.30		
-55.85   	  0.92   	106.80   	 -76.30		
-57.98   	 -1.83   	106.49   	 -76.30		
-55.54   	  0.61   	106.18   	 -76.30		
-54.32   	  0.61   	105.88   	 -76.30		
-59.20   	 -1.22   	105.57   	 -76.30		
-60.12   	 -1.22   	105.27   	 -81.38		
-61.95   	 -1.22   	104.94   	 -81.38		
-60.12   	  0.31   	104.62   	 -91.56		
-59.20   	 -0.31   	104.25   	 -91.56		
-62.56   	 -4.88   	103.89   	 -91.56		
-61.34   	 -7.02   	103.52   	 -96.64		
-61.34   	 -6.71   	103.13   	 -91.56		
-60.12   	 -8.54   	102.77   	 -91.56		
-61.04   	 -8.85   	102.40   	 -91.56		
-61.34   	 -8.24   	102.03   	 -81.38		
-64.09   	-14.04   	101.71   	 -81.38		
-60.42   	-10.07   	101.38   	 -76.30		
-55.85   	 -3.97   	101.08   	 -76.30		
-52.80   	 -2.44   	100.77   	 -71.21		
-53.10   	 -1.53   	100.49   	-142.42		
-58.59   	 -6.10   	 99.92   	 -71.21		
-65.92   	 -7.02   	 99.63   	 -76.30		
-61.65   	 -5.80   	 99.33   	 -81.38		
-59.81   	 -7.02   	 99.00   	 -81.38		
-63.17   	 -2.75   	 98.68   	 -86.47		
-54.93   	  9.16   	 98.33   	 -86.47		
-49.44   	 31.43   	 97.99   	 -91.56		
-42.11   	 61.65   	 97.62   	 -86.47		
-30.52   	 94.91   	 97.27   	 -91.56		
-22.58   	117.80   	 96.91   	 -91.56		
-24.11   	125.12   	 96.54   	 -86.47		
-25.94   	126.65   	 96.19   	 -86.47		
-28.38   	122.68   	 95.85   	 -86.47		
-20.75   	137.63   	 95.50   	 -81.38		
 -9.16   	162.35   	 95.18   	 -76.30		
  8.85   	192.57   	 94.87   	 -71.21		
 29.30   	217.90   	 94.59   	 -66.12		
 36.01   	225.52   	 94.32   	 -55.95		
 47.61   	229.80   	 94.10   	 -55.95		
 60.12   	225.83   	 93.88   	 -61.04		
 65.92   	217.29   	 93.63   	 -61.04		
 66.22   	202.64   	 93.39   	 -76.30		
 46.39   	176.09   	 93.08   	 -86.47		
 26.86   	145.26   	 92.74   	 -91.56		
  5.80   	107.73   	 92.37   	 -96.64		
-21.67   	 64.09   	 91.98   	 -96.64		
-31.74   	 26.55   	 91.60   	 -91.56		
-45.78   	 -5.19   	 91.23   	 -81.38		
-66.83   	-30.52   	 90.91   	 -76.30		
-72.63   	-41.20   	 90.60   	 -66.12		
-74.46   	-53.41   	 90.34   	 -55.95		
-76.60   	-64.09   	 90.11   	 -50.86		
-78.74   	-69.58   	 89.91   	 -40.69		
-79.65   	-74.46   	 89.75   	 -35.61		
-80.57   	-76.60   	 89.60   	 -30.52		
-84.53   	-78.74   	 89.48   	 -30.52		
-83.62   	-77.51   	 89.36   	 -25.43		
-81.79   	-81.18   	 89.26   	 -25.43		
-85.75   	-83.62   	 89.16   	 -25.43		
-90.33   	-86.98   	 89.05   	 -30.52		
-86.98   	-88.81   	 88.93   	 -35.61		
-84.53   	-84.53   	 88.79   	 -40.69		
-83.31   	-81.79   	 88.63   	 -50.86		
-76.60   	-75.38   	 88.42   	 -50.86		
-78.74   	-75.99   	 88.22   	 -61.04		
-86.36   	-81.79   	 87.98   	 -61.04		
-85.14   	-79.65   	 87.73   	 -66.12		
-85.75   	-75.68   	 87.47   	 -61.04		
-91.86   	-79.65   	 87.22   	 -66.12		
-110.78   	-93.38   	 86.96   	 -61.04		
-146.18   	-107.12   	 86.71   	 -55.95		
-173.03   	-116.58   	 86.49   	 -45.78		
-184.02   	-112.30   	 86.31   	 -40.69		
-137.63   	-73.24   	 86.14   	 -30.52		
-32.65   	-21.36   	 86.02   	 -25.43		
112.30   	 51.27   	 85.92   	 -25.43		
299.68   	190.73   	 85.82   	 -20.35		
499.27   	368.04   	 85.74   	 -25.43		
638.73   	445.56   	 85.64   	 -25.43		
675.96   	463.56(R)	 85.53   	 -30.52		
591.74   	374.45   	 85.41   	 -40.69		
398.25   	166.32   	 85.25   	 -50.86		
217.90   	 -0.31   	 85.05   	 -55.95		
 73.55   	-120.85   	 84.82   	 -66.12		
-14.34   	-202.64   	 84.56   	 -71.21		
-27.77   	-252.69   	 84.27   	 -76.30		
-57.98   	-240.17   	 83.97   	 -81.38		
-76.29   	-180.05   	 83.64   	 -86.47		
-74.16   	-155.64   	 83.30   	 -81.38		
-69.89   	-115.97   	 82.97   	 -81.38		
-70.80   	-83.01   	 82.64   	 -76.30		
-66.83   	-84.53   	 82.34   	 -71.21		
-64.09   	-71.41   	 82.05   	 -55.95		
-68.36   	-54.63   	 81.83   	 -40.69		
-70.19   	-53.41   	 81.67   	 -30.52		
-70.19   	-59.51   	 81.55   	 -15.26		
-71.41   	-62.87   	 81.48   	  -5.09		
-75.99   	-61.04   	 81.46   	   0.00		
-73.55   	-55.24   	 81.46   	   0.00		
-69.58   	-54.93   	 81.46   	   0.00		
-70.50   	-56.76   	 81.46   	   0.00		
-66.22   	-52.80   	 81.46   	   0.00		
-66.53   	-51.88   	 81.46   	  15.26		
-67.75   	-50.96   	 81.53   	  30.52		
-69.27   	-52.49   	 81.65   	  61.04		
-74.16   	-51.88   	 81.89   	 111.90		
-75.07   	-52.49   	 82.34   	 178.03		
-75.07   	-54.63   	 83.05   	 244.15		
-71.41   	-52.19   	 84.03   	 320.45		
-65.31   	-49.74   	 85.31   	 391.66		
-68.36   	-50.05   	 86.88   	 457.78		
-67.75   	-49.13   	 88.71   	 503.56		
-64.39   	-47.30   	 90.72   	 534.08		
-65.00   	-46.69   	 92.86   	 549.34		
-64.70   	-46.69   	 95.06   	 544.25		
-61.04   	-44.25   	 97.23   	 534.08		
-65.92   	-45.17   	 99.37   	 503.56		
-69.89   	-48.83   	101.38   	 473.04		
-66.83   	-47.61   	103.28   	 427.26		
-62.87   	-47.91   	104.98   	 381.48		
-64.70   	-48.83   	106.51   	 330.62		
-59.20   	-43.03   	107.83   	 289.93		
-54.93   	-42.42   	108.99   	 254.32		
-56.76   	-41.20   	110.01   	 233.98		
-49.44   	-35.10   	110.95   	 233.98		
-51.27   	-33.57   	111.88   	 233.98		
-54.63   	-33.87   	112.82   	 249.24		
-50.96   	-25.94   	113.81   	 269.58		
-46.39   	-25.63   	114.89   	 289.93		
-43.03   	-21.97   	116.05   	 305.19		
-36.01   	-16.78   	117.27   	 315.36		
-35.71   	-17.09   	118.53   	 320.45		
-40.89   	-12.82   	119.82   	 310.27		
-30.21   	 -3.97   	121.06   	 295.01		
-29.60   	 -2.14   	122.24   	 269.58		
-24.72   	  4.88   	123.32   	 254.32		
-10.38   	 15.87   	124.33   	 223.80		
 -3.97   	 20.14   	125.23   	 208.54		
  0.00   	 32.65   	126.06   	 193.29		
 14.04   	 52.19   	126.84   	 183.11		
 19.23   	 64.09   	127.57   	 178.03		
 23.80   	 77.82   	128.28   	 167.85		
