  I     	  II     	  AOp     	  AOp'		
-17.70   	-55.54   	111.52   	 -61.04		
-11.60   	-40.89   	111.27   	 -40.69		
 -3.97   	-17.70   	111.11   	 -25.43		
  4.88   	  9.77   	111.01   	 -20.35		
 13.12   	 30.52   	110.93   	 -35.61		
 18.62   	 35.10   	110.78   	 -50.86		
 20.45   	 23.19   	110.58   	 -71.21		
 20.14   	  3.66   	110.29   	 -86.47		
 19.84   	-10.68   	109.95   	 -86.47		
 22.58   	-12.82   	109.60   	 -81.38		
 29.91   	 -2.75   	109.28   	 -71.21		
 39.67   	 10.68   	108.99   	 -71.21		
 46.08   	 18.62   	108.71   	 -71.21		
 43.03   	 14.65   	108.42   	 -81.38		
 30.52   	 -1.53   	108.10   	 -96.64		
 14.34   	-26.55   	107.71   	-111.90		
  3.66   	-53.71   	107.26   	-106.82		
  3.97   	-76.60   	106.84   	-101.73		
 12.51   	-92.77   	106.43   	 -96.64		
 22.28   	-103.15   	106.04   	-101.73		
 27.47   	-109.86   	105.64   	-101.73		
 26.86   	-113.83   	105.23   	-111.90		
 22.28   	-115.66   	104.78   	-116.99		
 14.04   	-115.97   	104.31   	-116.99		
  1.22   	-115.97   	103.84   	-116.99		
-17.40   	-118.71   	103.38   	-111.90		
-40.59   	-125.43   	102.93   	-106.82		
-64.09   	-134.89   	102.50   	-106.82		
-83.01   	-145.57   	102.07   	-111.90		
-95.83   	-156.25   	101.63   	-101.73		
-102.84   	-165.41   	101.22   	 -86.47		
-106.51   	-171.81   	100.87   	 -50.86		
-108.34   	-174.56   	100.67   	   0.00		
-110.17   	-172.73   	100.67   	  61.04		
-111.39   	-168.76   	100.92   	 106.82		
-112.00   	-164.18   	101.34   	 142.42		
-111.08   	-160.83   	101.91   	 137.33		
-108.64   	-159.00   	102.46   	 116.99		
-104.06   	-159.61   	102.93   	  71.21		
-96.13   	-166.63   	103.21   	  25.43		
-78.74   	-189.21   	103.32   	 -30.52		
-46.69   	-236.82   	103.19   	 -71.21		
  0.61   	-310.06   	102.91   	-101.73		
 56.46   	-393.37   	102.50   	-116.99		
112.61   	-458.68   	102.03   	-122.07		
165.10   	-479.13   	101.55   	-111.90		
218.20   	-440.67   	101.10   	 -96.64		
282.90   	-337.83   	100.71   	 -81.38		
367.13   	-158.69   	100.39   	 -66.12		
475.77   	122.68   	100.12   	 -50.86		
608.22   	526.73   	 99.92   	 -35.61		
757.14   	1031.19   	 99.78   	 -35.61		
899.66   	1551.51   	 99.63   	 -30.52		
