  I     	  II     	  PW     	  PW'		
-1116.33   	-28.69   	 27.20   	 122.07		
-1112.06   	-26.86   	 27.69   	  55.95		
-1108.09   	-30.52   	 27.91   	   5.09		
-1106.57   	-33.87   	 27.93   	 -40.69		
-1105.65   	-38.45   	 27.77   	 -66.12		
-1104.74   	-42.42   	 27.51   	 -86.47		
-1108.40   	-47.00   	 27.16   	 -81.38		
-1109.92   	-52.19   	 26.84   	 -76.30		
-1103.21   	-48.22   	 26.53   	 -71.21		
-1104.74   	-53.10   	 26.25   	 -91.56		
-1102.60   	-55.85   	 25.88   	-116.99		
-1099.24   	-57.37   	 25.41   	-167.85		
-1105.35   	-68.36   	 24.74   	-218.72		
-1105.96   	-74.46   	 23.87   	-249.24		
-1104.13   	-77.51   	 22.87   	-264.50		
-1106.87   	-84.23   	 21.81   	-239.06		
-1107.79   	-90.64   	 20.85   	-178.03		
-1109.62   	-94.60   	 20.14   	 -96.64		
-1112.67   	-102.84   	 19.76   	  -5.09		
-1116.03   	-112.00   	 19.74   	  86.47		
-1118.77   	-119.32   	 20.08   	 152.59		
-1120.91   	-128.78   	 20.69   	 193.29		
-1125.79   	-139.16   	 21.46   	 203.46		
-1126.10   	-148.01   	 22.28   	 172.94		
-1125.49   	-155.03   	 22.97   	 116.99		
-1129.46   	-166.32   	 23.44   	  55.95		
-1128.23   	-174.26   	 23.66   	 -15.26		
-1125.79   	-180.97   	 23.60   	 -66.12		
-1124.27   	-187.38   	 23.34   	-111.90		
-1118.16   	-190.73   	 22.89   	-132.25		
-1111.76   	-193.79   	 22.36   	-122.07		
-1106.87   	-194.70   	 21.87   	-101.73		
-1101.38   	-196.23   	 21.46   	 -61.04		
-1092.53   	-194.09   	 21.22   	  -5.09		
-1080.02   	-187.38   	 21.20   	  35.61		
-1071.78   	-181.58   	 21.34   	  81.38		
-1054.08   	-168.46   	 21.67   	  96.64		
-1039.43   	-156.25   	 22.05   	  91.56		
-1027.83   	-144.96   	 22.42   	  71.21		
-1008.91   	-126.65   	 22.71   	  25.43		
-997.01   	-110.78   	 22.81   	 -25.43		
-982.97   	-91.25   	 22.71   	 -76.30		
-971.07   	-68.36   	 22.40   	-111.90		
-960.39   	-46.39   	 21.95   	-127.16		
-951.54   	-25.02   	 21.44   	-122.07		
-947.27   	 -5.80   	 20.96   	 -91.56		
-944.21   	 11.90   	 20.59   	 -55.95		
-945.43   	 24.72   	 20.37   	 -10.17		
-946.35   	 36.93   	 20.33   	  35.61		
-948.18   	 47.00   	 20.47   	  76.30		
-948.79   	 55.24   	 20.77   	  96.64		
-944.21   	 67.14   	 21.16   	 116.99		
-945.13   	 73.55   	 21.63   	 111.90		
-945.43   	 83.01   	 22.08   	 106.82		
-942.99   	 90.64   	 22.50   	  91.56		
-947.27   	 91.55   	 22.87   	  66.12		
-945.74   	 96.74   	 23.13   	  35.61		
-943.91   	 97.96   	 23.28   	  10.17		
-947.27   	 95.52   	 23.32   	 -30.52		
-945.13   	100.71   	 23.19   	 -71.21		
-946.66   	101.01   	 22.91   	-111.90		
-944.52   	101.32   	 22.46   	-152.59		
-942.08   	102.84   	 21.85   	-167.85		
-941.47   	102.84   	 21.18   	-152.59		
-942.38   	101.01   	 20.57   	-101.73		
-944.52   	100.40   	 20.16   	 -35.61		
-943.30   	101.62   	 20.02   	  35.61		
-939.64   	101.32   	 20.16   	  76.30		
-937.50   	 99.79   	 20.47   	  91.56		
-935.97   	 99.18   	 20.83   	  86.47		
-934.45   	 96.44   	 21.18   	  55.95		
-936.89   	 93.69   	 21.40   	  20.35		
-936.89   	 90.94   	 21.49   	 -10.17		
-935.36   	 91.25   	 21.44   	 -30.52		
-936.28   	 90.03   	 21.32   	 -25.43		
-936.89   	 87.59   	 21.22   	   5.09		
-938.42   	 84.84   	 21.24   	  50.86		
-937.81   	 82.40   	 21.44   	 111.90		
-936.89   	 82.40   	 21.89   	 172.94		
-937.19   	 80.26   	 22.58   	 213.63		
-933.84   	 82.70   	 23.44   	 218.72		
-935.06   	 80.57   	 24.31   	 198.37		
-937.50   	 75.68   	 25.11   	 132.25		
-933.23   	 77.21   	 25.64   	  50.86		
-935.67   	 72.63   	 25.84(V)	 -30.52		
-933.53   	 74.16   	 25.72   	 -91.56		
-929.87   	 76.60   	 25.35   	-132.25		
-932.62   	 72.33   	 24.82   	-142.42		
-932.62   	 74.16   	 24.25   	-116.99		
-928.65   	 77.82   	 23.78   	 -76.30		
-930.48   	 73.24   	 23.48   	 -30.52		
-926.21   	 76.29   	 23.36   	  25.43		
-920.41   	 79.04   	 23.46   	  66.12		
-921.94   	 74.46   	 23.72   	  86.47		
-922.24   	 75.07   	 24.07   	  86.47		
-919.19   	 76.90   	 24.41   	  71.21		
-921.02   	 76.60   	 24.70   	  40.69		
-919.19   	 78.74   	 24.86   	  -5.09		
-912.78   	 81.48   	 24.84   	 -45.78		
-912.48   	 83.31   	 24.66   	 -81.38		
-911.56   	 83.62   	 24.33   	-111.90		
-910.95   	 83.31   	 23.89   	-122.07		
-911.56   	 83.92   	 23.40   	-122.07		
-906.37   	 85.14   	 22.91   	-106.82		
-899.05   	 87.89   	 22.48   	 -86.47		
-887.15   	 93.38   	 22.14   	 -61.04		
-873.11   	 99.49   	 21.89   	 -35.61		
-861.51   	104.68   	 21.75   	 -15.26		
-842.59   	108.95   	 21.69   	   0.00		
-827.94   	110.17   	 21.69   	   5.09		
-816.65   	115.05   	 21.71   	   5.09		
-804.44   	120.24   	 21.73   	  -5.09		
-800.48   	122.68   	 21.71   	 -15.26		
-801.09   	130.62   	 21.65   	 -30.52		
-798.95   	137.33   	 21.53   	 -40.69		
-786.13   	147.40   	 21.36   	 -45.78		
-769.35   	155.94   	 21.18   	 -55.95		
-739.75   	162.96   	 20.96   	 -50.86		
-708.62   	171.51   	 20.75   	 -50.86		
-704.65   	170.90   	 20.55   	 -45.78		
-712.59   	175.48   	 20.37   	 -45.78		
-718.69   	189.51   	 20.18   	 -35.61		
-723.27   	205.38   	 20.04   	 -35.61		
-704.96   	224.61   	 19.90   	 -25.43		
-689.70   	240.78   	 19.80   	 -20.35		
-694.89   	238.34   	 19.72   	 -25.43		
-700.99   	227.05   	 19.61   	 -25.43		
-723.88   	218.51   	 19.51   	 -25.43		
-745.85   	216.98   	 19.41   	 -35.61		
-756.84   	212.71   	 19.27   	 -35.61		
-784.30   	192.57   	 19.13   	 -40.69		
-815.73   	156.86   	 18.96   	 -40.69		
-838.62   	117.19   	 18.80   	 -35.61		
-860.90   	 94.60   	 18.66   	 -35.61		
-874.94   	 89.11   	 18.51   	 -35.61		
-883.18   	 91.25   	 18.37   	 -45.78		
-883.48   	 92.77   	 18.19   	 -50.86		
-876.77   	 86.98   	 17.99   	 -66.12		
-875.55   	 81.48   	 17.72   	 -81.38		
-872.80   	 87.28   	 17.40   	 -81.38		
-870.67   	 87.89   	 17.07   	 -86.47		
-875.85   	 87.89   	 16.72   	 -76.30		
-879.21   	 87.59   	 16.42   	 -66.12		
-874.02   	 87.89   	 16.15   	 -55.95		
-868.53   	 92.16   	 15.93   	 -35.61		
-866.39   	 93.38   	 15.79   	 -15.26		
-860.29   	 96.74   	 15.73   	   5.09		
-860.90   	 95.83   	 15.75   	  30.52		
-865.78   	 94.60   	 15.87   	  50.86		
-869.14   	 93.99   	 16.07   	  76.30		
-870.36   	 96.74   	 16.38   	 101.73		
-865.17   	 95.83   	 16.79   	 116.99		
-858.76   	 94.91   	 17.25   	 132.25		
-854.49   	 98.57   	 17.78   	 137.33		
-853.88   	 94.91   	 18.33   	 137.33		
-853.58   	 94.60   	 18.88   	 127.16		
-858.76   	 92.47   	 19.39   	 101.73		
-871.58   	 81.18   	 19.80   	  66.12		
-874.33   	 66.83   	 20.06   	  25.43		
-844.73   	 53.41   	 20.16   	 -10.17		
-782.17   	 49.13   	 20.12   	 -45.78		
-686.04   	 68.97   	 19.94   	 -66.12		
-565.19   	128.48   	 19.67   	 -81.38		
-454.71   	194.70   	 19.35   	 -91.56		
-350.65   	291.44   	 18.98   	 -91.56		
-236.51   	419.01   	 18.62   	 -76.30		
-163.27   	576.78   	 18.31   	 -61.04		
-110.78   	752.56   	 18.07   	 -30.52		
-105.29   	852.97   	 17.94   	   0.00		
-252.99   	757.75   	 17.94   	  35.61		
-525.21   	483.70   	 18.09   	  66.12		
-809.02   	 98.88   	 18.35   	  96.64		
-1093.44(R)	-346.07   	 18.74   	 111.90		
-1264.95   	-671.69   	 19.19   	 122.07		
-1203.31   	-851.44   	 19.67   	 122.07		
-1080.63   	-959.78   	 20.16   	 111.90		
-1037.90   	-932.31   	 20.61   	  91.56		
-972.29   	-828.86   	 20.98   	  66.12		
-986.63   	-705.57   	 21.24   	  50.86		
-1082.46   	-597.84   	 21.44   	  25.43		
-1104.13   	-529.17   	 21.55   	  10.17		
-1130.68   	-504.76   	 21.59(A)	 -10.17		
-1153.26   	-513.00   	 21.55   	 -20.35		
-1171.26   	-513.92   	 21.46   	 -35.61		
-1175.84   	-519.10   	 21.32   	 -45.78		
-1184.39   	-505.37   	 21.14   	 -61.04		
-1212.77   	-510.56   	 20.90   	 -61.04		
-1217.04   	-496.22   	 20.65   	 -55.95		
-1190.80   	-456.54   	 20.43   	 -45.78		
-1163.64   	-421.45   	 20.24   	 -45.78		
-1110.53   	-358.28   	 20.06   	 -50.86		
-1053.16   	-283.81   	 19.86   	 -71.21		
-1005.55   	-207.82   	 19.57   	-101.73		
-947.88   	-133.97   	 19.17   	-137.33		
-903.32   	-68.97   	 18.62   	-172.94		
-874.63   	-28.99   	 17.92   	-208.54		
-853.58   	 -6.71   	 17.09   	-228.89		
-841.67   	  6.71   	 16.17   	-218.72		
-830.69   	 18.92   	 15.30   	-188.20		
-822.45   	 24.41   	 14.55   	-122.07		
-818.18   	 28.69   	 14.06   	 -35.61		
-820.62   	 30.21   	 13.92   	  66.12		
-823.36   	 26.55   	 14.18   	 162.77		
-820.01   	 26.25   	 14.83   	 239.06		
-811.16   	 30.52   	 15.79   	 295.01		
-800.78   	 35.71   	 16.97   	 315.36		
-788.88   	 34.48   	 18.23   	 300.10		
-787.96   	 30.52   	 19.43   	 249.24		
-785.22   	 26.55   	 20.43   	 178.03		
-780.33   	 25.33   	 21.14   	  91.56		
-785.22   	 23.50   	 21.51   	   0.00		
-779.11   	 23.50   	 21.51   	 -81.38		
-781.25   	 19.53   	 21.18   	-132.25		
-787.05   	 13.12   	 20.65   	-162.77		
-783.69   	  7.32   	 20.00   	-167.85		
-784.61   	  2.44   	 19.33   	-167.85		
-781.25   	  0.00   	 18.66   	-157.68		
-784.61   	 -2.14   	 18.03   	-162.77		
-791.93   	 -8.54   	 17.38   	-178.03		
-793.15   	-10.38   	 16.66   	-193.29		
-798.65   	-18.01   	 15.89   	-218.72		
-794.37   	-25.94   	 15.02   	-218.72		
-784.91   	-28.99   	 14.14   	-213.63		
-780.03   	-33.26   	 13.29   	-172.94		
-781.25   	-37.54   	 12.59   	-116.99		
-780.64   	-41.20   	 12.13   	 -55.95		
-785.22   	-47.61   	 11.90   	  15.26		
-791.93   	-60.42   	 11.96   	  66.12		
-793.76   	-67.75   	 12.23   	  96.64		
-795.90   	-76.60   	 12.61   	 106.82		
-794.37   	-84.84   	 13.04   	  91.56		
-802.31   	-96.74   	 13.41   	  50.86		
-799.87   	-105.59   	 13.61   	  15.26		
-796.51   	-112.92   	 13.67   	 -25.43		
-801.09   	-122.38   	 13.57   	 -55.95		
-797.42   	-126.65   	 13.35   	 -71.21		
-798.65   	-130.62   	 13.06   	 -81.38		
-798.65   	-132.14   	 12.74   	 -91.56		
-795.59   	-133.97   	 12.37   	 -91.56		
-780.64   	-130.00   	 12.00   	 -86.47		
-769.35   	-126.95   	 11.66   	 -86.47		
-757.45   	-124.21   	 11.31   	 -66.12		
-736.08   	-114.14   	 11.05   	 -45.78		
-729.37   	-105.90   	 10.86   	 -10.17		
-717.77   	-93.08   	 10.82   	  25.43		
-703.74   	-83.01   	 10.93   	  61.04		
-691.22   	-65.31   	 11.17   	  81.38		
-678.10   	-48.52   	 11.50   	  96.64		
-659.79   	-28.08   	 11.88   	  86.47		
-646.67   	 -4.88   	 12.23   	  66.12		
-643.92   	 12.82   	 12.49   	  30.52		
-634.77   	 31.43   	 12.61   	  -5.09		
-621.95   	 56.76   	 12.59   	 -40.69		
-613.10   	 75.38   	 12.43   	 -61.04		
-606.38   	 97.05   	 12.19   	 -71.21		
-600.89   	112.61   	 11.90   	 -66.12		
-608.22   	121.15   	 11.64   	 -40.69		
-611.27   	130.92   	 11.48   	 -15.26		
-610.35   	139.16   	 11.41   	  15.26		
-614.01   	149.54   	 11.48   	  45.78		
-608.22   	158.69   	 11.66   	  76.30		
-613.71   	162.35   	 11.96   	  81.38		
-621.95   	161.44   	 12.29   	  76.30		
-616.46   	162.35   	 12.59   	  50.86		
-625.31   	159.91   	 12.80   	  20.35		
-627.44   	163.27   	 12.88   	 -35.61		
-623.78   	167.54   	 12.74   	 -91.56		
-629.27   	166.63   	 12.37   	-142.42		
-629.88   	169.37   	 11.80   	-167.85		
-628.97   	166.32   	 11.13   	-157.68		
-621.64   	167.54   	 10.50   	-122.07		
-624.08   	169.07   	 10.01   	 -66.12		
-621.95   	169.07   	  9.75   	   5.09		
-623.78   	167.85   	  9.77   	  61.04		
-627.44   	167.24   	 10.01   	 101.73		
-622.86   	163.88   	 10.42   	 106.82		
-617.68   	165.10   	 10.84   	  76.30		
-612.49   	162.66   	 11.15   	  25.43		
-616.15   	159.00   	 11.25   	 -30.52		
-615.84   	158.08   	 11.13   	 -61.04		
-615.23   	149.23   	 10.89   	 -71.21		
-622.56   	145.26   	 10.60   	 -55.95		
-617.68   	146.79   	 10.38   	 -20.35		
-614.32   	147.71   	 10.29   	  40.69		
-616.15   	150.45   	 10.46   	 106.82		
-609.13   	155.94   	 10.89   	 172.94		
-604.25   	153.50   	 11.58   	 218.72		
-606.99   	145.57   	 12.45   	 239.06		
-614.01   	140.08   	 13.41   	 239.06		
-611.57   	137.63   	 14.36   	 208.54		
-613.10   	132.14   	 15.20   	 152.59		
-618.29   	132.14   	 15.81   	  86.47		
-615.23   	133.06   	 16.15   	   5.09		
-622.56   	126.34   	 16.17(V)	 -71.21		
-624.08   	129.70   	 15.89   	-152.59		
-626.22   	128.17   	 15.28   	-223.80		
-626.22   	133.67   	 14.38   	-279.75		
-620.12   	137.02   	 13.27   	-310.27		
-623.17   	134.58   	 12.02   	-315.36		
-613.71   	138.24   	 10.76   	-284.84		
-614.01   	129.39   	  9.62   	-223.80		
-618.29   	131.23   	  8.73   	-147.51		
-614.62   	137.94   	  8.14   	 -61.04		
-621.34   	131.84   	  7.89   	  10.17		
-622.86   	141.30   	  7.93   	  55.95		
-620.73   	136.72   	  8.16   	  76.30		
-618.29   	133.06   	  8.46   	  71.21		
-615.84   	136.11   	  8.75   	  45.78		
-615.54   	134.89   	  8.93   	  15.26		
-617.07   	136.41   	  8.99   	 -25.43		
-614.62   	143.43   	  8.89   	 -50.86		
-605.47   	148.62   	  8.69   	 -71.21		
-589.60   	157.47   	  8.40   	 -81.38		
-572.51   	161.44   	  8.08   	 -71.21		
-562.74   	163.27   	  7.79   	 -55.95		
-547.18   	168.15   	  7.57   	 -35.61		
-538.02   	164.79   	  7.43   	   0.00		
-523.07   	175.48   	  7.43   	  25.43		
-512.08   	178.53   	  7.53   	  55.95		
-516.05   	178.53   	  7.75   	  76.30		
-518.19   	186.46   	  8.06   	  86.47		
-508.73   	194.09   	  8.40   	  86.47		
-492.55   	203.86   	  8.75   	  76.30		
-466.00   	213.32   	  9.05   	  61.04		
-434.27   	223.39   	  9.30   	  40.69		
-418.70   	227.05   	  9.46   	  25.43		
-427.25   	225.52   	  9.56   	  10.17		
-422.36   	239.87   	  9.60   	 -10.17		
-419.31   	260.93   	  9.56   	 -25.43		
-404.97   	282.59   	  9.46   	 -30.52		
-385.13   	301.82   	  9.34   	 -40.69		
-387.57   	305.79   	  9.18   	 -40.69		
-396.42   	291.14   	  9.01   	 -30.52		
-418.70   	275.88   	  8.89   	 -15.26		
-445.56   	275.57   	  8.83   	  -5.09		
-464.17   	267.94   	  8.81   	  15.26		
-485.23   	253.30   	  8.87   	  25.43		
-516.05   	227.05   	  8.97   	  25.43		
-540.16   	184.02   	  9.07   	  15.26		
-556.64   	156.25   	  9.14   	  -5.09		
-578.31   	145.87   	  9.11   	 -30.52		
-592.35   	137.94   	  8.99   	 -55.95		
-590.82   	142.21   	  8.77   	 -71.21		
-587.77   	139.16   	  8.48   	 -81.38		
-585.02   	131.53   	  8.16   	 -71.21		
-579.22   	138.85   	  7.87   	 -40.69		
-581.97   	139.47   	  7.71   	 -15.26		
-585.33   	139.47   	  7.65   	  25.43		
-580.75   	142.21   	  7.75   	  50.86		
-576.17   	141.91   	  7.96   	  76.30		
-570.98   	141.60   	  8.26   	  91.56		
-570.68   	144.04   	  8.63   	 101.73		
-573.12   	143.13   	  9.03   	 101.73		
-571.90   	143.74   	  9.44   	 101.73		
-569.76   	144.65   	  9.85   	 106.82		
-567.63   	145.87   	 10.27   	 106.82		
-565.49   	149.84   	 10.70   	 106.82		
-562.74   	149.54   	 11.13   	 116.99		
-562.74   	146.18   	 11.60   	 122.07		
-561.52   	146.79   	 12.09   	 127.16		
-558.47   	146.79   	 12.59   	 132.25		
-558.47   	145.26   	 13.12   	 137.33		
-559.39   	145.87   	 13.67   	 127.16		
-568.85   	141.60   	 14.18   	 111.90		
-586.55   	131.53   	 14.63   	  91.56		
-585.94   	116.88   	 14.99   	  55.95		
-554.20   	102.23   	 15.22   	  20.35		
-484.92   	106.20   	 15.30   	 -10.17		
-386.96   	139.47   	 15.26   	 -30.52		
-264.59   	203.55   	 15.14   	 -40.69		
-161.74   	278.93   	 14.97   	 -45.78		
-47.30   	386.96   	 14.79   	 -35.61		
 63.48   	515.44   	 14.65   	 -25.43		
122.68   	675.05   	 14.55   	 -10.17		
188.90   	845.34   	 14.51   	  10.17		
192.57   	899.66   	 14.55   	  30.52		
 26.25   	745.85   	 14.67   	  50.86		
-204.47   	441.89   	 14.87   	  61.04		
-454.10   	 29.30   	 15.12   	  66.12		
-700.99(R)	-421.75   	 15.38   	  71.21		
-798.34   	-679.93   	 15.67   	  61.04		
-700.38   	-823.67   	 15.91   	  61.04		
-655.21   	-881.04   	 16.15   	  55.95		
-654.60   	-791.02   	 16.38   	  50.86		
-644.23   	-672.91   	 16.58   	  45.78		
-730.90   	-572.51   	 16.76   	  45.78		
-815.12   	-482.48   	 16.95   	  50.86		
-826.72   	-426.03   	 17.15   	  76.30		
-861.51   	-411.99   	 17.46   	 111.90		
-882.57   	-413.82   	 17.90   	 152.59		
-897.22   	-411.07   	 18.51   	 183.11		
-906.68   	-415.65   	 19.25   	 193.29		
-931.09   	-408.63   	 20.02   	 178.03		
-962.83   	-411.07   	 20.73   	 132.25		
-978.09   	-399.78   	 21.26   	  66.12		
-957.95   	-377.81   	 21.53   	 -10.17		
-927.73   	-353.39   	 21.49   	 -91.56		
-877.38   	-310.36   	 21.12   	-147.51		
-807.19   	-252.08   	 20.53   	-193.29		
-758.36   	-185.24   	 19.76   	-198.37		
-700.99   	-115.36   	 18.96   	-178.03		
-644.23   	-48.83   	 18.25   	-137.33		
-623.78   	 -0.92   	 17.70   	 -76.30		
-598.14   	 31.74   	 17.40   	 -10.17		
-584.72   	 45.17   	 17.35   	  50.86		
-578.00   	 54.32   	 17.56   	 116.99		
-565.80   	 65.92   	 18.03   	 178.03		
-560.61   	 70.19   	 18.74   	 223.80		
-559.08   	 72.02   	 19.63   	 269.58		
-556.64   	 70.80   	 20.71   	 295.01		
-553.28   	 71.72   	 21.89   	 295.01		
-547.49   	 74.16   	 23.07   	 269.58		
-547.18   	 73.24   	 24.15   	 203.46		
-546.88   	 71.72   	 24.96   	 122.07		
-545.96   	 69.27   	 25.45   	  20.35		
-547.79   	 63.48   	 25.53(A)	 -76.30		
-541.99   	 65.61   	 25.23   	-167.85		
-541.99   	 62.87   	 24.56   	-228.89		
-542.30   	 57.98   	 23.64   	-244.15		
-541.69   	 57.68   	 22.67   	-228.89		
-543.52   	 53.41   	 21.75   	-178.03		
-541.69   	 52.19   	 21.04   	-101.73		
-541.99   	 49.74   	 20.63   	 -35.61		
-540.77   	 46.69   	 20.49   	  30.52		
-542.60   	 41.20   	 20.61   	  66.12		
-545.96   	 34.18   	 20.87   	  81.38		
-548.40   	 27.77   	 21.20   	  55.95		
-548.40   	 25.94   	 21.42   	  20.35		
-550.23   	 21.36   	 21.51   	 -20.35		
-552.37   	 16.48   	 21.42   	 -50.86		
-551.76   	 13.43   	 21.22   	 -71.21		
-560.61   	  0.92   	 20.94   	 -55.95		
-567.32   	 -9.16   	 20.71   	 -25.43		
-568.24   	-14.04   	 20.61   	  15.26		
-572.81   	-22.28   	 20.67   	  71.21		
-573.43   	-28.69   	 20.96   	 122.07		
-577.09   	-38.45   	 21.44   	 157.68		
-578.92   	-46.08   	 22.08   	 167.85		
-580.14   	-53.41   	 22.75   	 162.77		
-583.19   	-61.65   	 23.40   	 122.07		
-582.28   	-66.22   	 23.89   	  71.21		
-585.94   	-75.68   	 24.17   	   0.00		
-589.90   	-84.53   	 24.17   	 -66.12		
-584.41   	-85.75   	 23.91   	-127.16		
-579.53   	-88.20   	 23.40   	-172.94		
-573.43   	-87.28   	 22.71   	-203.46		
-563.66   	-86.67   	 21.89   	-208.54		
-558.17   	-85.45   	 21.06   	-188.20		
-550.84   	-83.62   	 20.31   	-157.68		
-538.64   	-77.51   	 19.67   	 -96.64		
-522.16   	-64.09   	 19.29   	 -35.61		
-508.73   	-52.49   	 19.15   	  30.52		
-491.33   	-36.93   	 19.27   	  71.21		
-472.72   	-17.40   	 19.55   	 101.73		
-459.29   	 -1.22   	 19.96   	 101.73		
-444.34   	 16.48   	 20.37   	  96.64		
-431.21   	 36.01   	 20.75   	  76.30		
-421.75   	 54.63   	 21.06   	  61.04		
-414.12   	 73.85   	 21.30   	  40.69		
-405.88   	 93.69   	 21.46   	  25.43		
-400.09   	112.30   	 21.57   	  20.35		
-399.48   	123.60   	 21.65   	  15.26		
-393.37   	138.55   	 21.71   	  10.17		
-393.68   	146.18   	 21.75   	  10.17		
-396.12   	151.06   	 21.79   	  10.17		
-393.68   	159.91   	 21.83   	   0.00		
-393.37   	166.63   	 21.83   	   5.09		
-394.59   	170.29   	 21.85   	   0.00		
-392.15   	176.09   	 21.85   	   5.09		
-391.24   	180.66   	 21.87   	  15.26		
-397.34   	178.22   	 21.93   	  25.43		
-399.17   	178.22   	 22.03   	  30.52		
-398.86   	180.05   	 22.16   	  40.69		
-399.78   	180.66   	 22.32   	  35.61		
-398.25   	180.97   	 22.46   	  15.26		
-396.73   	181.58   	 22.52   	 -15.26		
-395.51   	183.11   	 22.46   	 -55.95		
-397.34   	180.05   	 22.24   	 -91.56		
-393.07   	181.27   	 21.87   	 -96.64		
-390.63   	182.50   	 21.49   	 -81.38		
-391.54   	181.58   	 21.16   	 -30.52		
-390.93   	179.75   	 21.04   	  25.43		
-396.42   	174.26   	 21.14   	  76.30		
-395.81   	174.56   	 21.44   	 101.73		
-397.34   	172.12   	 21.85   	 116.99		
-399.78   	168.46   	 22.32   	  96.64		
-393.98   	175.48   	 22.71   	  55.95		
-394.29   	171.81   	 22.93   	   0.00		
-395.51   	169.98   	 22.93   	 -71.21		
-390.63   	173.03   	 22.64   	-142.42		
-393.37   	168.15   	 22.08   	-188.20		
-396.42   	166.32   	 21.32   	-193.29		
-395.20   	166.32   	 20.55   	-137.33		
-396.42   	164.49   	 20.00   	 -40.69		
-395.81   	166.02   	 19.84   	  96.64		
-394.90   	167.24   	 20.22   	 249.24		
-397.95   	162.05   	 21.22   	 381.48		
-398.25   	160.83   	 22.75   	 452.69		
-396.42   	160.22   	 24.56   	 457.78		
-396.12   	159.61   	 26.39   	 371.31		
-393.68   	164.18   	 27.87   	 228.89		
-396.12   	165.10   	 28.79   	  50.86		
-400.70   	162.05   	 28.99(V)	-122.07		
-403.75   	158.08   	 28.50   	-259.41		
-401.92   	160.22   	 27.47   	-330.62		
-397.64   	161.74   	 26.14   	-340.79		
-394.59   	164.79   	 24.78   	-295.01		
-391.24   	169.37   	 23.60   	-203.46		
-393.37   	167.54   	 22.79   	-106.82		
-394.29   	169.07   	 22.36   	   0.00		
-394.29   	168.15   	 22.36   	  81.38		
-395.51   	169.07   	 22.69   	 132.25		
-394.29   	172.73   	 23.21   	 147.51		
-393.07   	169.98   	 23.80   	 127.16		
-396.12   	168.76   	 24.31   	  91.56		
-395.20   	171.51   	 24.68   	  35.61		
-397.34   	165.41   	 24.82   	 -15.26		
-398.25   	167.24   	 24.76   	 -61.04		
-389.40   	174.56   	 24.52   	 -86.47		
-391.85   	170.29   	 24.17   	-101.73		
-387.27   	175.78   	 23.76   	 -86.47		
-384.52   	177.61   	 23.42   	 -71.21		
-389.10   	171.51   	 23.13   	 -35.61		
-380.86   	174.87   	 22.99   	 -10.17		
-368.96   	178.22   	 22.95   	  15.26		
-355.83   	182.80   	 23.01   	  25.43		
-342.71   	189.21   	 23.11   	  20.35		
-324.40   	193.79   	 23.19   	   5.09		
-311.89   	194.09   	 23.21   	 -15.26		
-301.82   	196.84   	 23.15   	 -40.69		
-289.92   	201.72   	 22.99   	 -61.04		
-287.17   	205.38   	 22.75   	 -71.21		
-291.75   	211.18   	 22.46   	 -76.30		
-287.78   	221.86   	 22.16   	 -66.12		
-277.40   	229.49   	 21.89   	 -50.86		
-257.87   	237.43   	 21.69   	 -30.52		
-226.75   	245.67   	 21.57   	 -15.26		
-205.69   	249.33   	 21.51   	   0.00		
-208.44   	245.36   	 21.51   	  10.17		
-219.73   	248.11   	 21.55   	  10.17		
-230.10   	260.62   	 21.59   	   0.00		
-228.58   	279.85   	 21.59   	  -5.09		
-207.52   	302.73   	 21.57   	 -20.35		
-194.40   	319.52   	 21.49   	 -25.43		
-198.97   	317.08   	 21.38   	 -35.61		
-209.35   	300.90   	 21.24   	 -30.52		
-231.63   	294.19   	 21.12   	 -20.35		
-250.85   	292.66   	 21.04   	  -5.09		
-263.06   	291.14   	 21.02   	  15.26		
-285.95   	274.66   	 21.08   	  25.43		
-319.82   	234.38   	 21.18   	  45.78		
-343.32   	195.31   	 21.36   	  45.78		
-364.69   	168.76   	 21.55   	  35.61		
-388.49   	159.00   	 21.69   	  20.35		
-398.86   	159.91   	 21.77   	 -10.17		
-397.34   	160.52   	 21.73   	 -40.69		
-400.70   	151.37   	 21.57   	 -76.30		
-396.42   	148.93   	 21.26   	 -96.64		
-393.98   	154.72   	 20.87   	-101.73		
-395.20   	159.00   	 20.47   	-101.73		
-400.39   	159.91   	 20.06   	 -91.56		
-399.17   	160.22   	 19.69   	 -61.04		
-397.03   	158.69   	 19.45   	 -40.69		
-398.86   	157.47   	 19.29   	 -15.26		
-397.34   	159.91   	 19.23   	  10.17		
-394.59   	160.22   	 19.27   	  35.61		
-395.20   	160.52   	 19.41   	  61.04		
-396.12   	158.39   	 19.65   	  76.30		
-393.98   	161.13   	 19.96   	 106.82		
-395.81   	162.96   	 20.39   	 122.07		
-395.81   	158.39   	 20.87   	 142.42		
-393.07   	159.30   	 21.44   	 157.68		
-392.15   	161.74   	 22.08   	 172.94		
-393.37   	157.17   	 22.77   	 172.94		
-394.59   	157.47   	 23.46   	 157.68		
-400.39   	155.64   	 24.09   	 132.25		
-418.09   	137.33   	 24.62   	  96.64		
-415.65   	118.10   	 25.00   	  50.86		
-373.84   	110.17   	 25.21   	  10.17		
-294.80   	111.69   	 25.25   	 -30.52		
-190.73   	142.52   	 25.13   	 -55.95		
-59.20   	209.05   	 24.90   	 -81.38		
