  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
 52.49   	-143.74   	 19.72   	  25.43		 59.49   	 -15.26		
 48.52   	-138.55   	 19.82   	  30.52		 59.43   	 -15.26		
 40.59   	-142.52   	 19.94   	  30.52		 59.37   	 -15.26		
 25.02   	-155.33   	 20.06   	  35.61		 59.31   	 -15.26		
  0.61   	-162.66   	 20.20   	  35.61		 59.25   	 -15.26		
-10.07   	-158.69   	 20.35   	  35.61		 59.19   	 -15.26		
-28.99   	-167.24   	 20.49   	  40.69		 59.12   	 -15.26		
-54.63   	-193.18   	 20.65   	  50.86		 59.06   	 -10.17		
-81.79   	-228.58   	 20.85   	  55.95		 59.02   	 -10.17		
-103.45   	-260.93   	 21.08   	  71.21		 58.98   	 -10.17		
-124.21   	-276.18   	 21.36   	  81.38		 58.94   	 -15.26		
-140.99   	-275.88   	 21.69   	  91.56		 58.88   	 -15.26		
-147.71   	-269.47   	 22.05   	  96.64		 58.82   	 -20.35		
-149.84   	-272.22   	 22.44   	 106.82		 58.74   	 -25.43		
-149.54   	-280.15   	 22.87   	 111.90		 58.64   	 -25.43		
-148.32   	-278.93   	 23.32   	 116.99		 58.53   	 -25.43		
-151.98   	-277.10   	 23.78   	 127.16		 58.43   	 -25.43		
-154.72   	-273.44   	 24.29   	 142.42		 58.33   	 -20.35		
-155.94   	-271.00   	 24.86   	 162.77		 58.25   	 -20.35		
-155.03   	-271.30   	 25.51   	 183.11		 58.17   	 -15.26		
-154.42   	-270.39   	 26.25   	 198.37		 58.11   	 -15.26		
-154.42   	-269.17   	 27.04   	 198.37		 58.05   	 -15.26		
-154.11   	-264.59   	 27.83   	 193.29		 57.99   	 -15.26		
-155.94   	-265.81   	 28.61   	 162.77		 57.92   	 -15.26		
-154.42   	-265.81   	 29.26   	 127.16		 57.86   	 -15.26		
-153.50   	-263.98   	 29.77   	  81.38		 57.80   	 -20.35		
-156.86   	-264.89   	 30.09   	  45.78		 57.72   	 -15.26		
-154.72   	-263.98   	 30.27   	  20.35		 57.66   	 -20.35		
-152.28   	-262.15   	 30.36   	  15.26		 57.58   	 -15.26		
-155.64   	-265.81   	 30.42   	  30.52		 57.52   	 -20.35		
-162.96   	-271.30   	 30.54   	  66.12		 57.44   	 -25.43		
-179.44   	-281.68   	 30.80   	 101.73		 57.33   	 -15.26		
-182.50   	-302.12   	 31.21   	 137.33		 57.27   	 -20.35		
-157.17   	-321.04   	 31.76   	 157.68		 57.19   	 -20.35		
-97.05   	-325.93   	 32.39   	 167.85		 57.11   	 -15.26		
-11.60   	-313.11   	 33.06   	 152.59		 57.05   	 -20.35		
 93.08   	-270.69   	 33.67   	 116.99		 56.97   	 -20.35		
194.09   	-201.11   	 34.14   	  76.30		 56.89   	 -20.35		
301.51   	-109.56   	 34.45   	  20.35		 56.81   	 -20.35		
431.21   	 10.68   	 34.53   	 -30.52		 56.72   	 -20.35		
523.07   	157.78   	 34.40   	 -81.38		 56.64   	 -20.35		
619.20   	313.42   	 34.08   	-111.90		 56.56   	 -25.43		
681.46   	438.84   	 33.63   	-137.33		 56.46   	 -20.35		
588.99   	435.49   	 33.08   	-142.42		 56.38   	 -15.26		
357.67   	246.28   	 32.51   	-122.07		 56.32   	 -15.26		
 73.55   	-16.48   	 32.02   	 -81.38		 56.26   	 -15.26		
-209.05   	-354.00   	 31.70   	 -25.43		 56.20   	 -10.17		
-397.34   	-659.79   	 31.60   	  50.86		 56.15   	 -10.17		
-327.76   	-813.60   	 31.80   	 152.59		 56.11   	  -5.09		
-182.50   	-935.06   	 32.41   	 274.67		 56.09   	  -5.09		
-166.93   	-996.70   	 33.51   	 427.26		 56.07   	  -5.09		
-144.04   	-975.34   	 35.22   	 605.29		 56.05   	  -5.09		
-211.79   	-917.97   	 37.64   	 793.49		 56.03   	 -10.17		
-368.35   	-852.66   	 40.81   	1007.12		 55.99   	  -5.09		
-426.03   	-791.63   	 44.84   	1195.32		 55.97   	 -15.26		
-464.48   	-757.14   	 49.62   	1368.26		 55.91   	 -15.26		
-499.57   	-759.28   	 55.10   	1495.42		 55.85   	 -15.26		
-513.61   	-761.41   	 61.08   	1581.89		 55.79   	 -15.26		
-513.31   	-767.21   	 67.41   	1612.40		 55.73   	 -20.35		
-521.24   	-757.75   	 73.86   	1597.15		 55.65   	 -20.35		
-541.99   	-760.19   	 80.24   	1531.02		 55.56   	 -20.35		
-562.44   	-766.91   	 86.37   	1414.03		 55.48   	 -15.26		
-553.59   	-750.73   	 92.02   	1251.27		 55.42   	 -15.26		
-530.09   	-732.12   	 97.03   	1032.55		 55.36   	  -5.09		
-500.79   	-704.04   	101.16   	 783.31		 55.34   	   0.00		
-448.30   	-656.74   	104.29   	 503.56		 55.34   	   5.09		
-396.12   	-599.06   	106.31   	 223.80		 55.36   	   5.09		
-357.36   	-534.67   	107.20   	 -30.52		 55.38   	  -5.09		
-309.14   	-470.89   	107.08   	-223.80		 55.36   	 -10.17		
-276.49   	-414.43   	106.18   	-320.45		 55.32   	 -20.35		
-260.62   	-377.81   	104.90   	-295.01		 55.24   	 -20.35		
-244.75   	-358.89   	103.72   	-111.90		 55.16   	 -25.43		
-238.34   	-348.51   	103.28   	 188.20		 55.06   	 -20.35		
-229.19   	-339.36   	104.03   	 584.94		 54.97   	 -20.35		
-221.86   	-332.03   	106.37   	1007.12		 54.89   	 -20.35		
-218.51   	-327.15   	110.40   	1419.12		 54.81   	 -15.26		
-216.06   	-324.10   	116.07   	1785.34		 54.75   	  -5.09		
-216.37   	-324.10   	123.21   	2065.10		 54.73   	   0.00		
-217.90   	-324.10   	131.47   	2268.56		 54.73   	  10.17		
-215.45   	-321.66   	140.55   	2390.63		 54.77   	  15.26		
-215.76   	-319.52   	150.11   	2436.41		 54.83   	  30.52		
-216.06   	-319.52   	159.86   	2395.72		 54.95   	  50.86		
-215.76   	-321.04   	169.44   	2243.12		 55.16   	  96.64		
-217.90   	-322.27   	178.41   	2004.06		 55.54   	 213.63		
-216.98   	-322.57   	186.43   	1714.13		 56.40   	 442.52		
-216.98   	-324.40   	193.29   	1424.21		 58.17   	 813.83		
-219.12   	-324.71   	198.98   	1174.97		 61.42   	1225.83		
-220.34   	-325.93   	203.68   	1007.12		 66.33   	1525.93		
-220.64   	-325.62   	207.71   	 885.04		 72.43   	1571.71		
-223.08   	-326.23   	211.25   	 803.66		 78.72   	1347.91		
-224.00   	-328.98   	214.47   	 732.45		 84.11   	 961.34		
-223.69   	-330.81   	217.39   	 645.98		 87.95   	 554.42		
-227.66   	-335.08   	219.98   	 564.60		 90.17   	 254.32		
-229.49   	-338.44   	222.24   	 467.95		 91.19   	 106.82		
-231.32   	-342.10   	224.11   	 376.40		 91.62   	  71.21		
-234.68   	-347.29   	225.61   	 284.84		 91.90   	 101.73		
-234.99   	-351.26   	226.75   	 208.54		 92.31   	 142.42		
-237.73   	-356.14   	227.59   	 157.68		 92.88   	 178.03		
-239.87   	-362.55   	228.22   	 116.99		 93.59   	 183.11		
-241.70   	-366.82   	228.69   	 111.90		 94.32   	 183.11		
-246.28   	-373.23   	229.13   	 116.99		 95.06   	 183.11		
-249.02   	-379.64   	229.60   	 132.25		 95.79   	 167.85		
-253.30   	-384.52   	230.13   	 142.42		 96.46   	 147.51		
