  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-122.68   	-318.91   	 25.88   	 310.27		 52.31   	 -61.04		
-125.73   	-262.15   	 27.12   	 -30.52		 52.06   	-127.16		
-124.82   	-229.49   	 27.00   	-269.58		 51.56   	-218.72		
-114.75   	-199.28   	 25.92   	-259.41		 50.68   	-218.72		
-96.74   	-151.37   	 24.88   	-157.68		 49.81   	-127.16		
-76.60   	-82.09   	 24.25   	 -71.21		 49.30   	 -35.61		
-61.65   	 -7.32   	 23.97   	  -5.09		 49.16   	  55.95		
-55.54   	 50.66   	 23.95   	  40.69		 49.38   	  86.47		
-55.24   	 80.26   	 24.11   	 -40.69		 49.73   	   0.00		
-54.32   	 88.50   	 23.95   	-233.98		 49.73   	-183.11		
-48.22   	 92.16   	 23.01   	-178.03		 48.99   	-315.36		
-38.76   	107.42   	 22.30   	 539.16		 47.73   	-162.77		
-30.52   	137.33   	 24.46   	1561.54		 47.08   	 305.19		
-28.38   	173.65   	 30.70   	1953.20		 48.30   	 544.25		
-32.96   	202.64   	 38.51   	1561.54		 50.48   	 300.10		
-39.37   	216.37   	 44.76   	1073.24		 51.68   	 147.51		
-43.33   	217.59   	 49.05   	 422.18		 52.27   	 305.19		
-42.11   	215.15   	 50.74   	-412.00		 53.49   	  66.12		
-38.15   	217.29   	 49.09   	-1037.64		 53.75   	-401.83		
-34.48   	226.44   	 44.94   	-1241.09		 52.15   	-457.78		
-32.96   	239.26   	 39.98   	-951.17		 50.32   	-300.10		
-33.57   	250.55   	 36.17   	-310.27		 49.11   	-233.98		
-34.48   	257.87   	 34.93   	 386.57		 48.18   	 -86.47		
-34.79   	262.45   	 36.48   	 844.35		 47.83   	  55.95		
-33.87   	267.94   	 39.86   	 915.56		 48.06   	  30.52		
-31.43   	277.71   	 43.52   	 645.98		 48.18   	 -55.95		
-28.08   	292.36   	 46.10   	 198.37		 47.96   	 -50.86		
-24.11   	310.67   	 46.90   	-249.24		 47.75   	 -35.61		
-20.75   	328.67   	 45.90   	-579.86		 47.61   	 -61.04		
-18.31   	342.71   	 43.58   	-752.79		 47.37   	 -91.56		
-16.48   	351.87   	 40.57   	-701.93		 47.00   	 -96.64		
-15.26   	358.58   	 37.76   	-467.95		 46.61   	 -86.47		
-13.43   	366.52   	 35.89   	-172.94		 46.27   	 -35.61		
-10.68   	379.03   	 35.20   	  91.56		 46.12   	  30.52		
 -7.02   	395.81   	 35.56   	 254.32		 46.25   	  71.21		
 -2.75   	413.51   	 36.58   	 233.98		 46.53   	  76.30		
  2.14   	429.38   	 37.52   	  40.69		 46.84   	  45.78		
  6.41   	441.28   	 37.68   	-249.24		 47.02   	  -5.09		
  9.46   	449.52   	 36.68   	-508.65		 47.00   	 -66.12		
 11.90   	454.71   	 34.65   	-691.76		 46.73   	-111.90		
 13.73   	457.76   	 31.88   	-752.79		 46.29   	-137.33		
 16.48   	458.07   	 28.87   	-686.67		 45.74   	-142.42		
 20.14   	454.71   	 26.12   	-523.90		 45.17   	-106.82		
 23.80   	446.78   	 24.03   	-335.71		 44.74   	 -81.38		
 26.25   	432.74   	 22.69   	-193.29		 44.41   	 -71.21		
 27.77   	412.90   	 21.91   	 -86.47		 44.13   	 -55.95		
 28.38   	389.10   	 21.57   	 -66.12		 43.91   	 -20.35		
 28.69   	364.38   	 21.30   	-106.82		 43.82   	  10.17		
 28.38   	340.88   	 20.87   	-183.11		 43.87   	  20.35		
 25.94   	317.99   	 20.14   	-254.32		 43.95   	  40.69		
 21.36   	292.97   	 19.13   	-340.79		 44.11   	  40.69		
 16.17   	263.98   	 17.76   	-396.74		 44.27   	  10.17		
 12.21   	231.02   	 16.17   	-401.83		 44.31   	 -20.35		
 10.38   	195.31   	 14.57   	-386.57		 44.23   	 -45.78		
  8.85   	160.83   	 13.02   	-386.57		 44.05   	 -81.38		
  6.10   	130.31   	 11.48   	-371.31		 43.72   	-132.25		
  1.22   	104.37   	  9.99   	-330.62		 43.19   	-137.33		
 -4.27   	 83.01   	  8.67   	-269.58		 42.64   	-127.16		
 -8.54   	 64.39   	  7.59   	-162.77		 42.14   	 -96.64		
-11.29   	 47.00   	  6.94   	 -50.86		 41.75   	 -40.69		
-12.82   	 29.60   	  6.73   	  30.52		 41.59   	  20.35		
-15.26   	 11.90   	  6.86   	  45.78		 41.67   	  45.78		
-18.62   	 -6.71   	  7.04   	  -5.09		 41.85   	  50.86		
-21.97   	-25.02   	  7.02   	-127.16		 42.05   	  25.43		
-24.41   	-41.20   	  6.51   	-218.72		 42.16   	  -5.09		
-24.72   	-53.41   	  5.64   	-264.50		 42.14   	 -20.35		
-24.11   	-60.73   	  4.58   	-259.41		 42.05   	 -15.26		
-23.50   	-64.70   	  3.54   	-223.80		 41.99   	 -35.61		
-23.50   	-67.75   	  2.64   	-157.68		 41.85   	 -61.04		
-24.72   	-72.94   	  2.01   	 -81.38		 41.61   	 -30.52		
-25.94   	-81.48   	  1.69   	 -40.69		 41.49   	 -15.26		
-27.77   	-91.86   	  1.53   	 -61.04		 41.42   	 -30.52		
-29.91   	-101.62   	  1.28   	-127.16		 41.30   	 -35.61		
-31.74   	-108.03   	  0.77   	-162.77		 41.16   	 -30.52		
-33.57   	-110.17   	  0.12   	-152.59		 41.04   	 -35.61		
-35.40   	-108.95   	 -0.49   	-101.73		 40.90   	 -30.52		
-37.23   	-106.51   	 -0.90   	 -15.26		 40.77   	 -20.35		
-37.84   	-103.45   	 -0.96   	  81.38		 40.69   	  -5.09		
-37.54   	-100.10   	 -0.63   	 178.03		 40.67   	  30.52		
-35.10   	-98.27   	  0.08   	 233.98		 40.79   	  45.78		
-31.13   	-98.27   	  1.02   	 218.72		 40.98   	  61.04		
-28.08   	-101.62   	  1.89   	 178.03		 41.22   	  76.30		
-27.77   	-107.12   	  2.60   	 101.73		 41.53   	  40.69		
-29.91   	-112.61   	  3.01   	 -61.04		 41.69   	   5.09		
-33.26   	-115.97   	  2.77   	-223.80		 41.71   	 -61.04		
-35.71   	-116.27   	  1.87   	-259.41		 41.46   	-106.82		
-36.32   	-114.75   	  0.83   	-335.71		 41.04   	-122.07		
-34.48   	-112.61   	 -0.51   	-447.61		 40.55   	-183.11		
-31.43   	-111.08   	 -2.30   	-366.22		 39.82   	-223.80		
-28.69   	-110.47   	 -3.76   	 -91.56		 38.92   	-137.33		
-27.47   	-112.00   	 -4.13(D)	 167.85		 38.37   	 -50.86		
-27.77   	-114.44   	 -3.46   	 376.40		 38.17   	 -30.52		
-29.60   	-117.80   	 -1.95   	 508.65		 38.05   	  45.78		
-32.96   	-120.54   	  0.08   	 467.95		 38.23   	 111.90		
-36.32   	-122.38   	  1.95   	 320.45		 38.68   	  76.30		
-38.45   	-122.99   	  3.23   	 142.42		 38.98   	  76.30		
-38.45   	-122.68   	  3.80   	 -35.61		 39.29   	  96.64		
-36.62   	-121.15   	  3.66   	-167.85		 39.67   	  40.69		
-34.48   	-119.02   	  2.99   	-218.72		 39.84   	  -5.09		
-34.48   	-117.80   	  2.12   	-188.20		 39.82   	 -20.35		
-36.93   	-119.93   	  1.36   	-111.90		 39.74   	 -55.95		
-40.59   	-126.04   	  0.92   	 -25.43		 39.51   	 -76.30		
-43.33   	-134.28   	  0.81   	  55.95		 39.21   	 -76.30		
-42.72   	-140.99   	  1.04   	 111.90		 38.90   	 -76.30		
-38.76   	-142.82   	  1.49   	 122.07		 38.60   	 -71.21		
-32.65   	-139.16   	  1.97   	 122.07		 38.31   	 -66.12		
-27.47   	-133.06   	  2.46   	  76.30		 38.05   	 -66.12		
-25.63   	-129.39   	  2.77   	   0.00		 37.78   	 -45.78		
-27.16   	-130.31   	  2.77   	 -40.69		 37.60   	 -10.17		
-30.82   	-134.89   	  2.60   	 -30.52		 37.56   	  10.17		
-33.87   	-139.16   	  2.48   	 -30.52		 37.60   	  20.35		
-34.48   	-140.38   	  2.36   	 -50.86		 37.68   	  15.26		
-33.26   	-137.94   	  2.16   	 -15.26		 37.74   	 -15.26		
-31.74   	-134.58   	  2.10   	  30.52		 37.68   	  15.26		
-30.82   	-133.36   	  2.22   	  40.69		 37.74   	  35.61		
-31.13   	-135.19   	  2.38   	  25.43		 37.88   	 -30.52		
-31.43   	-137.94   	  2.48   	  10.17		 37.76   	 -66.12		
-31.43   	-139.16   	  2.52   	 -40.69		 37.50   	 -40.69		
-31.43   	-136.41   	  2.36   	 -86.47		 37.33   	 -76.30		
-31.13   	-129.39   	  2.01   	 -76.30		 37.03   	 -71.21		
-30.52   	-121.46   	  1.71   	 -35.61		 36.74   	   5.09		
-30.52   	-116.58   	  1.57   	  45.78		 36.76   	  30.52		
-31.13   	-117.80   	  1.75   	 111.90		 36.89   	  30.52		
-32.65   	-126.04   	  2.20   	 122.07		 37.01   	  45.78		
-34.18   	-137.02   	  2.69   	  81.38		 37.19   	  15.26		
-33.87   	-144.65   	  3.01   	  20.35		 37.25   	 -35.61		
-31.74   	-144.35   	  3.09   	 -40.69		 37.11   	 -45.78		
-27.77   	-138.24   	  2.93   	 -86.47		 36.93   	  -5.09		
-24.41   	-131.84   	  2.58   	 -91.56		 36.91   	   5.09		
-23.50   	-130.31   	  2.22   	 -76.30		 36.93   	 -15.26		
-25.63   	-134.58   	  1.91   	 -40.69		 36.87   	   0.00		
-29.60   	-139.47   	  1.75   	   5.09		 36.87   	  15.26		
-32.96   	-139.16   	  1.77   	  35.61		 36.93   	   5.09		
-33.57   	-133.06   	  1.91   	  45.78		 36.95   	 -20.35		
-30.82   	-125.43   	  2.10   	  45.78		 36.87   	 -35.61		
-26.86   	-121.15   	  2.28   	  35.61		 36.72   	 -35.61		
-23.50   	-121.77   	  2.42   	  25.43		 36.58   	 -15.26		
-23.19   	-125.43   	  2.52   	  20.35		 36.52   	 -10.17		
-25.94   	-128.78   	  2.60   	   0.00		 36.48   	 -10.17		
-30.21   	-130.31   	  2.60   	   5.09		 36.44   	 -10.17		
-32.96   	-130.31   	  2.62   	   0.00		 36.40   	 -10.17		
-33.26   	-130.31   	  2.62   	 -15.26		 36.36   	 -35.61		
-30.82   	-130.31   	  2.56   	 -30.52		 36.22   	 -55.95		
-28.08   	-130.00   	  2.44   	 -15.26		 35.99   	 -40.69		
-26.86   	-129.09   	  2.38   	  35.61		 35.83   	   5.09		
-26.86   	-127.56   	  2.52   	  86.47		 35.85   	  15.26		
-27.16   	-124.21   	  2.87   	  96.64		 35.91   	  20.35		
-27.47   	-115.97   	  3.26   	  81.38		 35.99   	  20.35		
-27.16   	-100.10   	  3.58   	  45.78		 36.07   	  15.26		
-26.86   	-77.21   	  3.76   	  10.17		 36.13   	   5.09		
-25.94   	-52.19   	  3.80   	 -10.17		 36.15   	  -5.09		
-23.80   	-28.69   	  3.76   	  -5.09		 36.13   	  10.17		
-19.53   	-10.07   	  3.74   	  10.17		 36.17   	  20.35		
-13.43   	  5.49   	  3.78   	  25.43		 36.26   	  20.35		
 -5.80   	 20.14   	  3.89   	  20.35		 36.34   	 -10.17		
  0.92   	 33.57   	  3.97   	   0.00		 36.30   	 -45.78		
  6.71   	 42.11   	  3.97   	 -45.78		 36.11   	 -61.04		
 10.68   	 43.03   	  3.78   	 -86.47		 35.87   	 -50.86		
 13.43   	 36.93   	  3.44   	 -96.64		 35.67   	 -55.95		
 15.56   	 26.86   	  3.05   	 -91.56		 35.44   	 -45.78		
 16.48   	 16.78   	  2.69   	 -50.86		 35.26   	  -5.09		
 16.17   	  8.54   	  2.48   	  10.17		 35.24   	  30.52		
 13.43   	  0.61   	  2.52   	  61.04		 35.36   	  30.52		
  9.46   	 -9.16   	  2.77   	 101.73		 35.48   	  20.35		
  6.41   	-22.58   	  3.17   	 127.16		 35.56   	  30.52		
  4.58   	-39.98   	  3.68   	 132.25		 35.69   	  40.69		
  3.36   	-60.12   	  4.21   	 147.51		 35.85   	  30.52		
  1.22   	-79.96   	  4.80   	 162.77		 35.97   	  25.43		
 -2.75   	-95.52   	  5.45   	 167.85		 36.07   	  40.69		
 -7.93   	-103.76   	  6.12   	 157.68		 36.24   	  61.04		
-12.82   	-106.81   	  6.75   	 147.51		 36.48   	  71.21		
-17.40   	-108.95   	  7.34   	 172.94		 36.76   	  76.30		
-21.36   	-115.36   	  8.04   	 198.37		 37.07   	  40.69		
-23.80   	-127.26   	  8.83   	 213.63		 37.23   	 -30.52		
-23.80   	-143.13   	  9.68   	 239.06		 37.11   	 -50.86		
-21.36   	-158.08   	 10.64   	 213.63		 36.91   	 -76.30		
-18.92   	-169.37   	 11.50   	 142.42		 36.60   	-127.16		
-19.23   	-176.39   	 12.07   	  76.30		 36.09   	 -96.64		
-22.58   	-179.75   	 12.37   	  50.86		 35.71   	 -50.86		
-26.86   	-180.97   	 12.57   	  35.61		 35.50   	 -81.38		
-28.99   	-181.58   	 12.72   	 -25.43		 35.18   	 -86.47		
-29.30   	-181.58   	 12.61   	 -61.04		 34.83   	 -86.47		
-31.43   	-179.14   	 12.37   	   0.00		 34.49   	-106.82		
-38.76   	-173.34   	 12.37   	  81.38		 34.06   	 -81.38		
-50.96   	-162.66   	 12.70   	 132.25		 33.73   	 -25.43		
-63.17   	-147.71   	 13.22   	 172.94		 33.63   	 -25.43		
-67.14   	-128.78   	 13.92   	 223.80		 33.53   	 -30.52		
-54.02   	-98.88   	 14.81   	 249.24		 33.41   	 -25.43		
-19.84   	-46.08   	 15.81   	 249.24		 33.31   	 -45.78		
 36.62   	 42.11   	 16.81   	 233.98		 33.12   	 -45.78		
112.61   	164.18   	 17.74   	 193.29		 32.94   	 -20.35		
206.30   	285.34   	 18.51   	 213.63		 32.86   	  25.43		
310.67   	346.98   	 19.37   	 412.00		 32.96   	 152.59		
408.33   	296.02   	 21.02   	 691.76		 33.57   	 233.98		
471.19   	125.73   	 23.78   	 681.58		 34.51   	 157.68		
468.44   	-101.01   	 26.51   	  45.78		 35.14   	-142.42		
386.35   	-287.48   	 26.69   	-274.67		 34.57   	-742.62		
244.75   	-364.38   	 25.60   	1052.90		 31.60   	-681.58		
 92.16   	-338.75   	 29.81   	3667.33		 28.87   	 371.31		
-19.84   	-282.29   	 44.48   	5661.22		 30.36   	1414.03		
