  I     	  II     	  LV     	  LV'		  FA     	  FA'		
 -7.02   	-11.29   	 57.86   	-778.23		 99.23   	-233.98		
-13.12   	-14.34   	 54.75   	-752.79		 98.29   	-259.41		
-20.14   	-17.70   	 51.74   	-727.36		 97.25   	-203.46		
-23.80   	-19.23   	 48.83   	-701.93		 96.44   	-137.33		
-21.67   	-17.09   	 46.02   	-666.32		 95.89   	-127.16		
-15.26   	-12.51   	 43.36   	-630.72		 95.38   	-147.51		
 -9.16   	 -8.85   	 40.83   	-595.11		 94.79   	-167.85		
 -8.85   	 -8.85   	 38.45   	-554.42		 94.12   	-162.77		
-14.95   	-12.51   	 36.24   	-518.82		 93.47   	-142.42		
-25.02   	-19.23   	 34.16   	-483.21		 92.90   	-101.73		
-32.96   	-25.63   	 32.23   	-447.61		 92.49   	 -91.56		
-35.71   	-29.91   	 30.44   	-417.09		 92.13   	-101.73		
-32.96   	-30.82   	 28.77   	-391.66		 91.72   	 -86.47		
-27.47   	-29.91   	 27.20   	-361.14		 91.37   	 -61.04		
-22.58   	-28.99   	 25.76   	-335.71		 91.13   	 -61.04		
-19.53   	-29.60   	 24.41   	-320.45		 90.88   	 -71.21		
-18.01   	-31.43   	 23.13   	-300.10		 90.60   	 -96.64		
-18.01   	-32.96   	 21.93   	-279.75		 90.21   	 -96.64		
-18.31   	-33.57   	 20.81   	-259.41		 89.83   	 -61.04		
-19.84   	-33.26   	 19.78   	-239.06		 89.58   	 -35.61		
-22.28   	-33.57   	 18.82   	-218.72		 89.44   	 -35.61		
-25.02   	-36.01   	 17.94   	-198.37		 89.30   	 -55.95		
-27.16   	-39.37   	 17.15   	-183.11		 89.07   	 -61.04		
-28.08   	-41.81   	 16.42   	-157.68		 88.83   	 -45.78		
-27.47   	-42.11   	 15.79   	-142.42		 88.65   	 -30.52		
-24.41   	-41.50   	 15.22   	-127.16		 88.52   	 -35.61		
-19.23   	-40.28   	 14.71   	-111.90		 88.38   	 -30.52		
-14.04   	-40.28   	 14.26   	-101.73		 88.26   	 -15.26		
-10.68   	-41.50   	 13.86   	 -96.64		 88.20   	 -10.17		
-11.90   	-43.95   	 13.47   	 -86.47		 88.16   	 -30.52		
-16.78   	-46.69   	 13.12   	 -76.30		 88.04   	 -30.52		
-22.58   	-48.52   	 12.82   	 -76.30		 87.91   	 -10.17		
-26.25   	-49.74   	 12.51   	 -66.12		 87.87   	  10.17		
-26.55   	-50.05   	 12.25   	 -66.12		 87.91   	  15.26		
-24.72   	-50.66   	 11.98   	 -55.95		 87.98   	  10.17		
-22.58   	-51.57   	 11.76   	 -55.95		 88.02   	   0.00		
-21.67   	-52.80   	 11.54   	 -45.78		 88.02   	 -10.17		
-21.06   	-54.32   	 11.35   	 -40.69		 87.98   	  -5.09		
-19.23   	-56.15   	 11.19   	 -35.61		 87.95   	  10.17		
-17.09   	-58.29   	 11.05   	 -30.52		 88.00   	   5.09		
-16.17   	-60.73   	 10.93   	 -25.43		 88.02   	  20.35		
-18.92   	-61.65   	 10.82   	 -25.43		 88.10   	  25.43		
-25.02   	-61.34   	 10.72   	 -20.35		 88.20   	   0.00		
-31.74   	-59.81   	 10.64   	 -15.26		 88.20   	 -25.43		
-35.40   	-57.98   	 10.58   	 -10.17		 88.10   	 -35.61		
-33.87   	-57.37   	 10.54   	  -5.09		 87.95   	 -10.17		
-27.77   	-57.37   	 10.52   	   0.00		 87.91   	   5.09		
-19.53   	-56.76   	 10.52   	   0.00		 87.93   	   0.00		
-13.12   	-54.02   	 10.52   	  10.17		 87.93   	 -15.26		
 -9.46   	-47.30   	 10.56   	  15.26		 87.87   	 -30.52		
 -8.24   	-36.01   	 10.62   	  15.26		 87.75   	 -45.78		
 -9.16   	-22.28   	 10.68   	  25.43		 87.57   	 -25.43		
-10.99   	 -7.93   	 10.78   	  25.43		 87.47   	 -15.26		
-11.90   	  4.88   	 10.89   	  30.52		 87.41   	 -10.17		
-10.99   	 14.34   	 11.01   	  30.52		 87.36   	 -15.26		
 -7.02   	 19.53   	 11.13   	  30.52		 87.30   	 -40.69		
 -0.31   	 21.36   	 11.25   	  35.61		 87.14   	 -40.69		
  7.02   	 21.97   	 11.39   	  30.52		 86.98   	 -20.35		
 13.43   	 25.33   	 11.52   	  35.61		 86.90   	 -10.17		
 18.62   	 34.79   	 11.66   	  30.52		 86.86   	 -10.17		
 23.50   	 51.27   	 11.78   	  30.52		 86.82   	 -35.61		
 28.38   	 69.58   	 11.90   	  25.43		 86.67   	 -76.30		
 32.96   	 80.26   	 12.00   	  30.52		 86.37   	 -81.38		
 36.62   	 76.60   	 12.13   	  20.35		 86.04   	 -45.78		
 39.67   	 57.07   	 12.21   	  25.43		 85.86   	  -5.09		
 43.33   	 28.38   	 12.31   	  20.35		 85.84   	  -5.09		
 47.91   	  1.83   	 12.39   	  25.43		 85.82   	 -30.52		
 51.88   	-14.65   	 12.49   	  20.35		 85.70   	 -55.95		
 51.88   	-18.92   	 12.57   	  20.35		 85.47   	 -81.38		
 44.86   	-16.48   	 12.66   	  15.26		 85.15   	 -81.38		
 31.13   	-13.73   	 12.72   	  20.35		 84.82   	 -71.21		
 14.04   	-15.87   	 12.80   	  20.35		 84.54   	 -66.12		
 -1.53   	-25.02   	 12.88   	  20.35		 84.27   	 -50.86		
-12.51   	-39.67   	 12.96   	  15.26		 84.07   	 -50.86		
-18.01   	-56.76   	 13.02   	  20.35		 83.87   	 -66.12		
-19.23   	-72.63   	 13.10   	  20.35		 83.60   	 -61.04		
-18.62   	-83.62   	 13.18   	  20.35		 83.36   	 -20.35		
-17.40   	-88.20   	 13.27   	  15.26		 83.28   	-157.68		
-16.17   	-87.89   	 13.33   	  25.43		 82.64   	-218.72		
-16.17   	-85.75   	 13.43   	  20.35		 81.77   	 -45.78		
-17.70   	-83.92   	 13.51   	  20.35		 81.59   	  45.78		
-21.36   	-83.62   	 13.59   	  25.43		 81.77   	  15.26		
-25.94   	-83.92   	 13.69   	  30.52		 81.83   	 -50.86		
-30.21   	-83.31   	 13.81   	  25.43		 81.63   	-116.99		
-32.35   	-82.40   	 13.92   	  30.52		 81.16   	-137.33		
-31.43   	-81.18   	 14.04   	  35.61		 80.61   	 -91.56		
-28.38   	-81.18   	 14.18   	  35.61		 80.24   	 -35.61		
-24.41   	-83.31   	 14.32   	  35.61		 80.10   	  -5.09		
-22.58   	-89.11   	 14.47   	  40.69		 80.08   	 -10.17		
-26.55   	-102.23   	 14.63   	  40.69		 80.04   	 -45.78		
-40.28   	-126.65   	 14.79   	  45.78		 79.86   	 -86.47		
-64.39   	-165.41   	 14.97   	  55.95		 79.51   	 -81.38		
-94.30   	-213.32   	 15.20   	  55.95		 79.19   	 -40.69		
-117.80   	-253.30   	 15.42   	  66.12		 79.02   	 -15.26		
-115.97   	-261.54   	 15.69   	  71.21		 78.96   	 -15.26		
-70.50   	-216.67   	 15.97   	  76.30		 78.90   	 -50.86		
 29.91   	-112.30   	 16.28   	  86.47		 78.70   	 -91.56		
182.50   	 45.17   	 16.62   	  91.56		 78.33   	 -66.12		
365.91   	241.09   	 16.99   	  91.56		 78.07   	 -35.61		
541.69   	469.36   	 17.35   	 101.73		 77.92   	 -15.26		
664.67   	730.90   	 17.76   	 101.73		 77.86   	 -30.52		
698.55   	1002.20   	 18.17   	 203.46		 77.74   	-122.07		
485.84   	1298.22(R)	 18.98(E)	 101.73		 77.25   	 -71.21		
305.79   	1191.71   	 19.39   	  96.64		 76.97   	 -61.04		
141.60   	922.55   	 19.78   	 101.73		 76.72   	 -40.69		
