  I     	  II     	  AO     	  AO'		  AO     	  AO'		
-21.06   	-28.69   	 95.08   	 178.03		 90.13   	 330.62		
-20.45   	-26.25   	 95.79   	 406.92		 91.45   	 325.53		
-20.75   	-21.97   	 97.42   	 640.89		 92.76   	 376.40		
-20.45   	-15.56   	 99.98   	 834.18		 94.26   	 422.18		
-19.23   	 -8.24   	103.32   	 961.34		 95.95   	 422.18		
-17.09   	 -1.83   	107.16   	 956.25		 97.64   	 427.26		
-14.34   	  3.05   	110.99   	 778.23		 99.35   	 457.78		
-10.38   	  8.54   	114.10   	 417.09		101.18   	 457.78		
 -5.80   	 17.40   	115.77   	 -35.61		103.01   	 417.09		
 -1.53   	 29.91   	115.63   	-417.09		104.68   	 356.05		
  1.83   	 44.25   	113.96   	-645.98		106.10   	 289.93		
  3.97   	 57.98   	111.37   	-1047.81		107.26   	 462.87		
 10.07   	 82.40   	107.18   	 -10.17		109.11   	 198.37		
 15.26   	 96.44   	107.14   	 315.36		109.91   	 218.72		
 20.75   	112.30   	108.40   	 549.34		110.78   	 233.98		
 25.33   	128.48   	110.60   	 590.03		111.72   	 218.72		
 28.08   	140.99   	112.96   	 508.65		112.59   	 183.11		
 29.60   	146.48   	114.99   	 417.09		113.33   	 122.07		
 32.65   	145.26   	116.66   	 233.98		113.81   	 122.07		
 37.54   	142.21   	117.60   	  10.17		114.30   	 152.59		
 43.95   	142.21   	117.64   	-111.90		114.91   	 137.33		
 49.44   	148.62   	117.19   	-122.07		115.46   	 111.90		
 52.49   	160.83   	116.70   	 -81.38		115.91   	 127.16		
 52.80   	175.17   	116.38   	 -25.43		116.42   	 132.25		
 51.57   	186.46   	116.28   	   5.09		116.95   	 106.82		
 50.35   	191.96   	116.30   	  -5.09		117.37   	  81.38		
 49.74   	190.73   	116.28   	  40.69		117.70   	  50.86		
 49.44   	184.63   	116.44   	 116.99		117.90   	  55.95		
 47.91   	174.87   	116.91   	 116.99		118.13   	  86.47		
 43.95   	162.96   	117.37   	  61.04		118.47   	  71.21		
 37.54   	149.84   	117.62   	   5.09		118.76   	  25.43		
 29.60   	134.89   	117.64   	 -40.69		118.86   	  10.17		
 22.28   	116.88   	117.48   	 -50.86		118.90   	  20.35		
 15.56   	 95.21   	117.27   	 -30.52		118.98   	  25.43		
  9.46   	 70.50   	117.15   	 -20.35		119.08   	  15.26		
  2.75   	 43.95   	117.07   	 -25.43		119.15   	  10.17		
 -4.58   	 18.92   	116.97   	 -35.61		119.19   	  10.17		
-11.90   	 -2.75   	116.83   	 -25.43		119.23   	  -5.09		
-18.62   	-18.92   	116.72   	 -30.52		119.21   	 -10.17		
-23.80   	-30.21   	116.60   	 -50.86		119.17   	 -25.43		
-27.47   	-36.62   	116.40   	 -76.30		119.06   	 -20.35		
-29.91   	-41.81   	116.09   	 -61.04		118.98   	 -35.61		
-30.52   	-48.22   	115.85   	 -91.56		118.84   	 -30.52		
-30.82   	-56.76   	115.48   	-193.29		118.72   	 -50.86		
-31.43   	-66.83   	114.71   	-254.32		118.51   	 -81.38		
-33.26   	-75.38   	113.69   	-259.41		118.19   	-106.82		
-35.40   	-79.65   	112.65   	-310.27		117.76   	-101.73		
-37.54   	-80.26   	111.41   	-396.74		117.35   	-127.16		
-38.76   	-79.65   	109.83   	-473.04		116.85   	-162.77		
-39.67   	-81.48   	107.93   	-544.25		116.19   	-208.54		
-40.28   	-86.67   	105.76   	-569.68		115.36   	-244.15		
-40.59   	-94.60   	103.48   	-528.99		114.38   	-274.67		
-40.59   	-101.32   	101.36   	-457.78		113.29   	-289.93		
-39.98   	-104.06   	 99.53   	-371.31		112.13   	-300.10		
-39.67   	-101.32   	 98.05   	-330.62		110.93   	-325.53		
-39.98   	-95.83   	 96.72   	-340.79		109.62   	-371.31		
-40.59   	-91.86   	 95.36   	-239.06		108.14   	-427.26		
-40.89   	-90.64   	 94.40   	   5.09		106.43   	-437.43		
-40.59   	-91.55   	 94.42   	 137.33		104.68   	-381.48		
-39.98   	-93.08   	 94.97   	  91.56		103.15   	-330.62		
-39.98   	-93.08   	 95.34   	 132.25		101.83   	-330.62		
-40.59   	-91.86   	 95.87   	 183.11		100.51   	-320.45		
-41.81   	-90.64   	 96.60   	  55.95		 99.23   	-228.89		
-43.33   	-89.72   	 96.83   	-157.68		 98.31   	-162.77		
-43.95   	-86.98   	 96.19   	-279.75		 97.66   	-198.37		
-42.72   	-82.40   	 95.08   	-361.14		 96.87   	-218.72		
-40.28   	-77.21   	 93.63   	-412.00		 95.99   	-147.51		
-38.15   	-74.46   	 91.98   	-345.88		 95.40   	-122.07		
-37.84   	-76.29   	 90.60   	-188.20		 94.91   	-137.33		
-39.06   	-82.09   	 89.85   	 -40.69		 94.36   	-116.99		
-40.59   	-88.20   	 89.68   	  81.38		 93.90   	 -86.47		
-41.20   	-90.33   	 90.01   	 157.68		 93.55   	 -86.47		
-40.59   	-86.67   	 90.64   	 132.25		 93.20   	 -86.47		
-39.67   	-79.65   	 91.17   	  55.95		 92.86   	 -81.38		
-39.67   	-71.72   	 91.39   	 -40.69		 92.53   	 -81.38		
-40.28   	-65.61   	 91.23   	-142.42		 92.21   	 -86.47		
-39.98   	-61.65   	 90.66   	-188.20		 91.86   	 -86.47		
-38.45   	-58.59   	 89.91   	-203.46		 91.52   	 -76.30		
-35.40   	-55.24   	 89.09   	-223.80		 91.21   	 -71.21		
-32.96   	-52.80   	 88.20   	-228.89		 90.93   	 -86.47		
-32.35   	-53.10   	 87.28   	-157.68		 90.58   	-101.73		
-34.18   	-57.68   	 86.65   	 -81.38		 90.17   	 -91.56		
-37.54   	-64.09   	 86.33   	  10.17		 89.81   	 -76.30		
-39.37   	-68.05   	 86.37   	 157.68		 89.50   	 -81.38		
-39.06   	-65.61   	 87.00   	 203.46		 89.18   	 -71.21		
-36.01   	-57.37   	 87.81   	  61.04		 88.89   	 -40.69		
-32.04   	-47.61   	 88.06   	-116.99		 88.73   	 -66.12		
-29.30   	-41.50   	 87.59   	-223.80		 88.46   	-111.90		
-28.99   	-40.59   	 86.69   	-239.06		 88.02   	-111.90		
-30.52   	-42.42   	 85.74   	-244.15		 87.57   	 -76.30		
-32.65   	-42.72   	 84.76   	-213.63		 87.26   	 -61.04		
-34.48   	-41.81   	 83.91   	-142.42		 87.02   	 -91.56		
-36.01   	-42.11   	 83.34   	 -66.12		 86.65   	 -91.56		
-36.93   	-46.08   	 83.07   	 -35.61		 86.29   	 -66.12		
-37.54   	-52.80   	 82.93   	 -25.43		 86.02   	 -71.21		
-37.84   	-58.90   	 82.83   	  20.35		 85.74   	 -91.56		
-37.84   	-61.34   	 82.91   	  55.95		 85.37   	 -91.56		
-37.54   	-58.90   	 83.13   	  25.43		 85.00   	 -71.21		
-37.54   	-50.35   	 83.23   	 -66.12		 84.72   	 -66.12		
-37.54   	-34.48   	 82.97   	-157.68		 84.46   	 -86.47		
-36.32   	-10.99   	 82.34   	-178.03		 84.11   	-106.82		
-34.18   	 16.17   	 81.63   	-132.25		 83.68   	 -96.64		
-31.43   	 39.98   	 81.10   	-116.99		 83.30   	 -71.21		
-29.30   	 54.93   	 80.63   	-147.51		 83.01   	 -66.12		
-28.08   	 61.34   	 80.04   	-152.59		 82.75   	 -86.47		
-27.16   	 65.92   	 79.43   	-101.73		 82.40   	 -96.64		
-24.72   	 75.68   	 79.02   	 -76.30		 82.01   	 -91.56		
-20.75   	 92.16   	 78.72   	 -61.04		 81.65   	 -76.30		
