  I     	  II     	  LV     	  LV'		  FA     	  FA'		
 -4.58   	302.43   	 15.63   	 -35.61		 78.78   	 -40.69		
 -5.80   	301.21   	 15.48   	   0.00		 78.62   	 -45.78		
 -7.32   	299.38   	 15.48   	  25.43		 78.43   	 -50.86		
 -8.85   	297.85   	 15.58   	  61.04		 78.23   	 -45.78		
 -9.77   	297.24   	 15.83   	  81.38		 78.05   	 -50.86		
 -9.77   	297.55   	 16.15   	  96.64		 77.84   	 -50.86		
-10.07   	298.16   	 16.54   	 101.73		 77.64   	 -50.86		
-10.38   	297.85   	 16.95   	 101.73		 77.44   	 -45.78		
-11.29   	296.33   	 17.35   	 101.73		 77.25   	 -45.78		
-11.90   	294.80   	 17.76   	 106.82		 77.07   	 -45.78		
-10.68   	294.19   	 18.19   	 111.90		 76.89   	 -50.86		
 -7.02   	295.10   	 18.64   	 116.99		 76.68   	 -45.78		
  0.00   	297.85   	 19.10   	 116.99		 76.50   	 -45.78		
 10.68   	301.51   	 19.57   	 111.90		 76.32   	 -45.78		
 23.80   	305.18   	 20.02   	  91.56		 76.13   	 -40.69		
 38.45   	308.23   	 20.39   	  66.12		 75.97   	 -40.69		
 52.19   	310.67   	 20.65   	  20.35		 75.81   	 -40.69		
 62.87   	311.28   	 20.73   	 -10.17		 75.65   	 -30.52		
 69.27   	311.28   	 20.69   	 -35.61		 75.52   	 -30.52		
 71.41   	311.58   	 20.55   	 -45.78		 75.40   	 -30.52		
 70.80   	313.11   	 20.37   	 -30.52		 75.28   	 -20.35		
 71.11   	317.69   	 20.24   	  -5.09		 75.20   	 -25.43		
 76.29   	325.01   	 20.22   	  25.43		 75.10   	 -20.35		
 89.11   	333.56   	 20.33   	  55.95		 75.01   	 -15.26		
108.64   	341.49   	 20.55   	  76.30		 74.95   	 -15.26		
127.87   	345.76   	 20.85   	  81.38		 74.89   	 -15.26		
137.63   	345.76   	 21.18   	  81.38		 74.83   	 -20.35		
132.75   	343.02   	 21.51   	  55.95		 74.75   	 -15.26		
116.88   	341.80   	 21.73   	  25.43		 74.69   	 -20.35		
101.62   	346.37   	 21.83   	 -10.17		 74.61   	 -20.35		
 96.74   	358.58   	 21.79   	 -35.61		 74.53   	 -25.43		
103.15   	373.84   	 21.65   	 -50.86		 74.42   	 -20.35		
111.69   	383.61   	 21.44   	 -50.86		 74.34   	 -25.43		
112.00   	381.77   	 21.24   	 -30.52		 74.24   	 -20.35		
100.10   	370.18   	 21.12   	   0.00		 74.16   	 -25.43		
 79.35   	356.45   	 21.12   	  30.52		 74.06   	 -20.35		
 56.76   	346.68   	 21.24   	  66.12		 73.98   	 -25.43		
 35.40   	338.13   	 21.51   	  91.56		 73.88   	 -20.35		
 13.43   	322.88   	 21.87   	 106.82		 73.79   	 -20.35		
-11.60   	294.80   	 22.30   	 122.07		 73.71   	 -20.35		
-38.15   	259.09   	 22.79   	 122.07		 73.63   	 -25.43		
-63.48   	227.97   	 23.28   	 122.07		 73.53   	 -25.43		
-83.01   	211.79   	 23.76   	 127.16		 73.43   	 -25.43		
-95.52   	209.35   	 24.27   	 122.07		 73.33   	 -25.43		
-101.32   	211.49   	 24.76   	 122.07		 73.22   	 -25.43		
-103.15   	209.35   	 25.25   	 116.99		 73.12   	 -25.43		
-103.45   	202.33   	 25.72   	 122.07		 73.02   	 -30.52		
-104.68   	195.92   	 26.21   	 116.99		 72.90   	 -30.52		
-106.81   	194.09   	 26.67   	 127.16		 72.78   	 -30.52		
-109.25   	196.53   	 27.18   	 142.42		 72.65   	 -35.61		
-111.08   	198.97   	 27.75   	 167.85		 72.51   	 -35.61		
-111.69   	198.36   	 28.42   	 203.46		 72.37   	 -35.61		
-111.69   	195.01   	 29.24   	 239.06		 72.23   	 -35.61		
-112.30   	190.73   	 30.19   	 274.67		 72.09   	 -35.61		
-113.53   	187.99   	 31.29   	 300.10		 71.94   	 -35.61		
-115.05   	186.77   	 32.49   	 315.36		 71.80   	 -35.61		
-116.88   	185.55   	 33.75   	 315.36		 71.66   	 -30.52		
-118.41   	184.02   	 35.02   	 289.93		 71.54   	 -30.52		
-119.93   	181.88   	 36.17   	 249.24		 71.41   	 -30.52		
-121.46   	179.75   	 37.17   	 188.20		 71.29   	 -25.43		
-122.68   	177.61   	 37.92   	 122.07		 71.19   	 -25.43		
-124.21   	175.48   	 38.41   	  45.78		 71.09   	 -25.43		
-127.56   	172.42   	 38.60   	 -15.26		 70.99   	 -25.43		
