  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-88.50   	-92.16   	  8.22   	 172.94		 69.05   	  61.04		
-87.89   	-91.55   	  8.91   	 157.68		 69.30   	  55.95		
-87.28   	-91.55   	  9.54   	 152.59		 69.52   	  15.26		
-86.98   	-91.25   	 10.15   	 127.16		 69.58   	 -10.17		
-86.67   	-91.25   	 10.66   	  96.64		 69.54   	  10.17		
-86.67   	-90.94   	 11.05   	  50.86		 69.58   	   0.00		
-86.67   	-90.94   	 11.25   	 -10.17		 69.58   	 -20.35		
-86.06   	-90.64   	 11.21   	 -66.12		 69.50   	 -50.86		
-84.84   	-89.72   	 10.95   	-101.73		 69.30   	 -55.95		
-83.62   	-88.50   	 10.54   	-142.42		 69.07   	 -50.86		
-82.40   	-86.67   	  9.97   	-152.59		 68.87   	 -81.38		
-81.79   	-85.45   	  9.36   	-132.25		 68.55   	 -81.38		
-81.79   	-84.84   	  8.83   	 -96.64		 68.22   	 -71.21		
-82.09   	-84.84   	  8.44   	 -61.04		 67.93   	 -61.04		
-82.40   	-85.14   	  8.20   	  -5.09		 67.69   	 -50.86		
-82.40   	-85.45   	  8.18   	  35.61		 67.49   	 -35.61		
-81.79   	-85.75   	  8.32   	  86.47		 67.34   	 -30.52		
-81.18   	-86.06   	  8.67   	 111.90		 67.22   	 -15.26		
-80.26   	-86.36   	  9.11   	 127.16		 67.16   	 -10.17		
-79.35   	-86.36   	  9.62   	 137.33		 67.12   	 -10.17		
-78.43   	-86.36   	 10.17   	 116.99		 67.08   	   0.00		
-77.51   	-86.06   	 10.64   	  86.47		 67.08   	  -5.09		
-76.29   	-85.75   	 10.99   	  35.61		 67.06   	 -20.35		
-75.38   	-85.45   	 11.13   	  -5.09		 66.98   	 -25.43		
-74.46   	-84.84   	 11.11   	 -45.78		 66.88   	 -30.52		
-73.55   	-83.92   	 10.93   	 -71.21		 66.75   	 -55.95		
-73.24   	-83.01   	 10.64   	 -96.64		 66.53   	 -50.86		
-73.24   	-82.70   	 10.25   	-101.73		 66.33   	 -66.12		
-74.16   	-82.40   	  9.85   	 -91.56		 66.06   	 -71.21		
-74.77   	-81.48   	  9.48   	 -81.38		 65.78   	 -61.04		
-74.77   	-79.96   	  9.16   	 -55.95		 65.53   	 -61.04		
-73.85   	-77.82   	  8.93   	 -30.52		 65.29   	 -71.21		
-72.63   	-76.29   	  8.81   	   5.09		 65.00   	 -66.12		
-71.72   	-75.38   	  8.83   	  30.52		 64.74   	 -55.95		
-71.72   	-75.68   	  8.95   	  50.86		 64.52   	 -35.61		
-72.02   	-75.68   	  9.16   	  71.21		 64.37   	 -15.26		
-72.63   	-75.68   	  9.44   	  71.21		 64.31   	 -20.35		
-72.63   	-75.68   	  9.73   	  76.30		 64.23   	 -15.26		
-72.33   	-75.38   	 10.03   	  61.04		 64.17   	   5.09		
-71.11   	-74.77   	 10.27   	  50.86		 64.19   	   0.00		
-69.27   	-73.55   	 10.48   	  30.52		 64.19   	  -5.09		
-67.14   	-72.02   	 10.60   	  15.26		 64.17   	  -5.09		
-65.31   	-70.80   	 10.66   	  -5.09		 64.15   	   0.00		
-64.39   	-70.19   	 10.64   	 -20.35		 64.15   	  -5.09		
-64.09   	-69.89   	 10.56   	 -30.52		 64.13   	 -10.17		
-63.78   	-68.97   	 10.44   	 -35.61		 64.09   	 -15.26		
-62.87   	-67.44   	 10.29   	 -30.52		 64.03   	 -25.43		
-61.04   	-65.31   	 10.17   	 -30.52		 63.93   	 -40.69		
-59.51   	-64.09   	 10.05   	 -25.43		 63.76   	 -45.78		
-59.20   	-64.39   	  9.95   	 -15.26		 63.58   	 -45.78		
-60.12   	-65.92   	  9.89   	  -5.09		 63.40   	 -45.78		
-61.95   	-68.05   	  9.87   	  10.17		 63.21   	 -35.61		
-64.09   	-69.58   	  9.91   	  15.26		 63.07   	 -40.69		
-65.00   	-69.89   	  9.97   	  15.26		 62.91   	 -25.43		
-64.70   	-68.97   	 10.03   	  10.17		 62.81   	 -35.61		
-63.48   	-66.83   	 10.07   	   5.09		 62.67   	 -55.95		
-62.26   	-64.70   	 10.09   	 -10.17		 62.44   	 -66.12		
-61.34   	-63.78   	 10.05   	 -15.26		 62.18   	 -71.21		
-61.04   	-63.17   	  9.99   	 -20.35		 61.89   	 -45.78		
-60.12   	-61.95   	  9.91   	 -10.17		 61.71   	 -20.35		
-58.90   	-60.12   	  9.87   	   5.09		 61.63   	 -35.61		
-57.37   	-57.98   	  9.89   	  25.43		 61.49   	 -35.61		
-56.76   	-56.76   	  9.99   	  40.69		 61.34   	  61.04		
-56.76   	-56.76   	 10.15   	  61.04		 61.59   	  71.21		
-56.46   	-57.37   	 10.40   	  66.12		 61.87   	 -10.17		
-55.54   	-57.68   	 10.66   	  71.21		 61.83   	 -10.17		
-54.32   	-57.98   	 10.95   	  55.95		 61.79   	   5.09		
-54.32   	-58.29   	 11.17   	  55.95		 61.81   	 -20.35		
-55.24   	-59.51   	 11.39   	  30.52		 61.73   	 -15.26		
