  I     	  II     	  LVp     	  LVp'		
392.76   	277.71   	 12.68   	 127.16		
232.54   	194.40   	 13.18   	 142.42		
 88.20   	123.60   	 13.75   	 157.68		
-19.23   	 47.91   	 14.38   	 178.03		
-77.21   	-30.21   	 15.10   	 208.54		
-92.77   	-94.30   	 15.93   	 233.98		
-87.59   	-133.36   	 16.87   	 269.58		
-84.84   	-151.37   	 17.94   	 310.27		
-95.83   	-163.27   	 19.19   	 361.14		
-117.80   	-179.44   	 20.63   	 401.83		
-138.55   	-198.36   	 22.24   	 462.87		
-150.45   	-211.18   	 24.09   	 523.90		
-151.67   	-211.79   	 26.19   	 590.03		
-146.48   	-201.72   	 28.55   	 661.24		
-139.16   	-186.46   	 31.19   	 727.36		
-133.36   	-173.03   	 34.10   	 793.49		
-131.53   	-167.85   	 37.27   	 844.35		
-134.58   	-172.73   	 40.65   	 885.04		
-139.47   	-183.11   	 44.19   	 910.47		
-142.52   	-191.35   	 47.83   	 920.65		
-141.30   	-191.65   	 51.52   	 915.56		
-135.19   	-183.72   	 55.18   	 900.30		
-127.26   	-173.65   	 58.78   	 874.87		
-120.54   	-167.24   	 62.28   	 839.26		
-116.88   	-165.41   	 65.64   	 803.66		
-117.19   	-165.41   	 68.85   	 762.97		
-120.54   	-165.41   	 71.90   	 727.36		
-125.43   	-164.49   	 74.81   	 691.76		
-127.87   	-162.66   	 77.58   	 661.24		
-125.43   	-159.91   	 80.22   	 625.63		
-118.10   	-155.33   	 82.73   	 595.11		
-108.03   	-148.62   	 85.11   	 574.77		
-99.18   	-141.91   	 87.41   	 549.34		
-95.21   	-137.02   	 89.60   	 528.99		
-94.91   	-134.89   	 91.72   	 503.56		
-94.30   	-134.89   	 93.73   	 483.21		
-92.16   	-136.41   	 95.67   	 462.87		
-88.20   	-138.55   	 97.52   	 437.43		
-83.92   	-138.24   	 99.27   	 417.09		
-78.13   	-132.14   	100.94   	 396.74		
-70.19   	-120.54   	102.52   	 371.31		
-59.81   	-106.20   	104.01   	 350.97		
-51.27   	-93.69   	105.41   	 325.53		
-49.44   	-85.75   	106.71   	 305.19		
-54.63   	-80.57   	107.93   	 284.84		
-59.81   	-71.11   	109.07   	 264.50		
-56.15   	-54.32   	110.13   	 244.15		
-39.67   	-31.74   	111.11   	 223.80		
-14.65   	 -9.16   	112.00   	 208.54		
 10.07   	  8.85   	112.84   	 193.29		
 26.55   	 20.45   	113.61   	 172.94		
 32.35   	 28.08   	114.30   	 162.77		
 31.13   	 34.18   	114.95   	 147.51		
 27.47   	 41.50   	115.54   	 132.25		
 24.72   	 50.35   	116.07   	 127.16		
 23.50   	 61.04   	116.58   	 111.90		
 24.11   	 73.24   	117.03   	 101.73		
 27.47   	 86.67   	117.44   	  96.64		
 32.96   	 98.27   	117.82   	  86.47		
 40.28   	105.59   	118.17   	  81.38		
 46.08   	106.51   	118.49   	  71.21		
 46.08   	101.01   	118.78   	  61.04		
 38.76   	 90.64   	119.02   	  50.86		
 27.16   	 78.74   	119.23   	  40.69		
 16.48   	 66.83   	119.39   	  35.61		
 10.38   	 56.76   	119.53   	  25.43		
  8.24   	 49.44   	119.63   	  15.26		
  6.41   	 44.25   	119.69   	   0.00		
  0.00   	 38.15   	119.69   	  -5.09		
-11.90   	 28.69   	119.67   	 -20.35		
-25.94   	 15.56   	119.59   	 -30.52		
-38.15   	  0.92   	119.47   	 -45.78		
-46.08   	-12.21   	119.29   	 -50.86		
-50.96   	-24.41   	119.08   	 -66.12		
-54.93   	-36.93   	118.82   	 -76.30		
-60.73   	-49.74   	118.51   	 -91.56		
-67.44   	-60.73   	118.15   	 -96.64		
-72.33   	-68.05   	117.76   	-111.90		
-75.07   	-71.41   	117.31   	-132.25		
-75.68   	-73.85   	116.78   	-147.51		
-75.68   	-77.82   	116.19   	-178.03		
-76.29   	-83.01   	115.48   	-203.46		
-77.82   	-87.89   	114.67   	-239.06		
-79.96   	-91.55   	113.71   	-279.75		
-82.09   	-93.69   	112.59   	-315.36		
-84.23   	-93.99   	111.33   	-361.14		
-87.28   	-92.77   	109.89   	-401.83		
-91.25   	-90.64   	108.28   	-447.61		
-95.52   	-88.20   	106.49   	-498.47		
-99.18   	-86.36   	104.50   	-549.34		
-99.49   	-84.53   	102.30   	-605.29		
-95.21   	-81.18   	 99.88   	-661.24		
-88.50   	-77.82   	 97.23   	-717.19		
-83.62   	-77.21   	 94.36   	-778.23		
-83.01   	-79.35   	 91.25   	-829.09		
-86.36   	-83.62   	 87.93   	-874.87		
-90.64   	-87.28   	 84.44   	-910.47		
-91.55   	-88.20   	 80.79   	-940.99		
-88.20   	-88.50   	 77.03   	-956.25		
-82.70   	-90.33   	 73.20   	-966.43		
-76.60   	-92.77   	 69.34   	-961.34		
-71.72   	-92.16   	 65.49   	-951.17		
-68.66   	-85.75   	 61.69   	-935.91		
-66.83   	-75.07   	 57.94   	-910.47		
-65.61   	-65.00   	 54.30   	-885.04		
-65.92   	-62.26   	 50.76   	-849.44		
-68.05   	-70.19   	 47.37   	-813.83		
-69.58   	-85.14   	 44.11   	-773.14		
-68.36   	-99.18   	 41.02   	-737.54		
-63.78   	-106.20   	 38.07   	-696.84		
-57.68   	-104.06   	 35.28   	-656.15		
-54.02   	-96.13   	 32.66   	-605.29		
-55.85   	-89.42   	 30.23   	-564.60		
-62.87   	-88.81   	 27.98   	-523.90		
-68.36   	-92.77   	 25.88   	-478.13		
-67.44   	-96.13   	 23.97   	-437.43		
-61.34   	-95.21   	 22.22   	-396.74		
-55.54   	-91.25   	 20.63   	-361.14		
-56.15   	-87.28   	 19.19   	-320.45		
-63.78   	-85.45   	 17.90   	-295.01		
-72.63   	-84.53   	 16.72   	-259.41		
-75.99   	-81.79   	 15.69   	-233.98		
-72.02   	-78.43   	 14.75   	-208.54		
-65.31   	-79.35   	 13.92   	-188.20		
-60.73   	-86.67   	 13.16   	-172.94		
-58.90   	-95.83   	 12.47   	-157.68		
-56.46   	-97.96   	 11.84   	-142.42		
-50.05   	-86.06   	 11.27   	-132.25		
-40.28   	-60.42   	 10.74   	-116.99		Beg---------
-31.43   	-28.38   	 10.27   	-106.82		
-26.86   	  0.92   	  9.85   	 -91.56		
-25.02   	 21.36   	  9.48   	 -76.30		
-20.75   	 32.35   	  9.18   	 -66.12		
 -8.85   	 36.62   	  8.91   	 -45.78		
  9.16   	 37.84   	  8.73   	 -35.61		
 24.72   	 38.45   	  8.59   	 -20.35		
 27.77   	 38.76   	  8.50   	 -10.17		
 14.34   	 38.15   	  8.46(D)	   5.09		
 -8.24   	 34.79   	  8.48   	  15.26		
-24.41   	 28.08   	  8.55   	  25.43		
-21.36   	 19.53   	  8.65   	  35.61		
  0.61   	 11.29   	  8.79   	  35.61		
 28.38   	  4.58   	  8.93   	  40.69		
 45.78   	 -0.61   	  9.09   	  45.78		
 43.64   	 -7.32   	  9.28   	  45.78		
 25.02   	-17.09   	  9.46   	  50.86		
  1.83   	-28.69   	  9.66   	  45.78		
-17.09   	-41.81   	  9.85   	  45.78		
-30.52   	-56.76   	 10.03   	  45.78		
-41.50   	-74.16   	 10.21   	  45.78		
-54.02   	-94.91   	 10.40   	  45.78		
-67.75   	-115.97   	 10.58   	  40.69		
-79.04   	-131.23   	 10.74   	  45.78		
-85.45   	-136.41   	 10.93   	  40.69		
-87.89   	-133.67   	 11.09   	  40.69		
-88.20   	-128.78   	 11.25   	  40.69		
-86.98   	-126.95   	 11.41   	  35.61		
-82.40   	-127.26   	 11.56   	  40.69		
-71.72   	-123.29   	 11.72   	  40.69		
-51.27   	-109.86   	 11.88   	  45.78		
-17.70   	-84.84   	 12.07   	  40.69		
 26.86   	-51.27   	 12.23   	  45.78		
 72.94   	-14.34   	 12.41   	  50.86		
106.81   	 27.47   	 12.61   	  55.95		
123.29   	 87.59   	 12.84   	  55.95		
135.80   	183.11   	 13.06   	  61.04		
173.65   	323.79   	 13.31   	  71.21		
262.45   	499.27   	 13.59   	  71.21		
405.58   	680.85   	 13.88   	  81.38		
578.31   	835.88   	 14.20   	  86.47		
743.71   	945.74   	 14.55   	  96.64		
868.23   	1002.81(R)	 14.93(E)	 106.82		
930.48   	1001.89   	 15.36   	 111.90		
924.38   	937.19   	 15.81   	 122.07		
855.10   	809.63   	 16.30   	 132.25		
736.39   	640.56   	 16.83   	 142.42		
587.46   	470.28   	 17.40   	 152.59		
428.16   	332.03   	 18.01   	 167.85		
273.44   	234.38   	 18.68   	 183.11		
137.94   	159.30   	 19.41   	 198.37		
 33.87   	 84.23   	 20.20   	 218.72		
-29.91   	  3.97   	 21.08   	 249.24		
-57.68   	-68.36   	 22.08   	 269.58		
-65.61   	-117.49   	 23.15   	 310.27		
-72.94   	-140.99   	 24.39   	 345.88		
-89.72   	-148.62   	 25.78   	 386.57		
-110.78   	-152.59   	 27.32   	 437.43		
-125.73   	-157.78   	 29.07   	 493.39		
-128.17   	-163.27   	 31.05   	 554.42		
-121.77   	-165.71   	 33.27   	 615.46		
-115.66   	-165.10   	 35.73   	 681.58		
-115.36   	-163.27   	 38.45   	 742.62		
-118.10   	-162.05   	 41.42   	 798.57		
-118.41   	-160.52   	 44.62   	 839.26		
-115.05   	-159.61   	 47.98   	 864.70		
-110.78   	-159.00   	 51.43   	 874.87		
-110.47   	-160.22   	 54.93   	 879.96		
-116.27   	-162.05   	 58.45   	 864.70		
-124.82   	-163.88   	 61.91   	 849.44		
-131.23   	-163.57   	 65.31   	 813.83		
-131.84   	-159.30   	 68.57   	 788.40		
-126.95   	-151.37   	 71.72   	 747.71		
-119.63   	-143.13   	 74.71   	 722.28		
-112.61   	-138.85   	 77.60   	 686.67		
-108.03   	-140.99   	 80.35   	 656.15		
-105.59   	-148.01   	 82.97   	 630.72		
-103.15   	-153.81   	 85.49   	 600.20		
-98.57   	-151.37   	 87.89   	 579.86		
-91.86   	-139.16   	 90.21   	 554.42		
-85.14   	-121.15   	 92.43   	 539.16		
-81.18   	-105.90   	 94.59   	 508.65		
-80.26   	-100.10   	 96.62   	 493.39		
-80.26   	-103.45   	 98.60   	 473.04		
-78.74   	-111.39   	100.49   	 447.61		
-75.07   	-117.19   	102.28   	 427.26		
-68.66   	-116.27   	103.99   	 406.92		
-60.73   	-108.64   	105.62   	 386.57		
-51.27   	-96.44   	107.16   	 361.14		
-40.59   	-82.40   	108.61   	 340.79		
-30.21   	-68.97   	109.97   	 320.45		
-21.97   	-58.90   	111.25   	 305.19		
-17.70   	-53.41   	112.47   	 289.93		
-15.26   	-50.35   	113.63   	 274.67		
-11.29   	-45.78   	114.73   	 259.41		
 -3.36   	-36.01   	115.77   	 244.15		
  7.93   	-21.06   	116.74   	 233.98		
 19.53   	 -3.66   	117.68   	 223.80		
 28.08   	 12.21   	118.58   	 203.46		
 32.04   	 25.63   	119.39   	 198.37		
 33.26   	 37.84   	120.18   	 183.11		
 34.79   	 50.96   	120.92   	 172.94		
 38.15   	 66.22   	121.61   	 157.68		
 42.42   	 81.48   	122.24   	 147.51		
 46.69   	 93.99   	122.83   	 132.25		
 49.44   	101.93   	123.36   	 122.07		
 50.66   	104.68   	123.84   	 111.90		
 50.96   	103.76   	124.29   	  96.64		
 51.57   	102.23   	124.68   	  86.47		
 51.57   	101.01   	125.02   	  76.30		
 50.66   	101.01   	125.33   	  66.12		
 47.30   	 99.79   	125.59   	  55.95		
 41.50   	 94.30   	125.82   	  50.86		
 34.79   	 83.01   	126.02   	  35.61		
 29.30   	 66.22   	126.16   	  25.43		
 25.63   	 47.30   	126.27   	  15.26		
 21.67   	 29.30   	126.33   	  10.17		
 15.56   	 14.04   	126.37(S)	   0.00		
  5.49   	  0.92   	126.37   	 -10.17		
 -5.80   	-12.21   	126.33   	 -25.43		
-15.26   	-24.41   	126.23   	 -30.52		
-21.06   	-33.26   	126.10   	 -40.69		
-24.41   	-37.23   	125.94   	 -55.95		
-28.38   	-38.45   	125.72   	 -66.12		
-34.48   	-41.50   	125.45   	 -81.38		
-41.81   	-49.44   	125.13   	-101.73		
-46.39   	-59.81   	124.72   	-116.99		
-46.39   	-68.05   	124.25   	-137.33		
-43.95   	-71.11   	123.70   	-157.68		
-43.64   	-69.58   	123.07   	-188.20		
-48.22   	-68.66   	122.32   	-218.72		
-54.93   	-70.50   	121.44   	-249.24		
-58.59   	-73.85   	120.45   	-289.93		
-55.85   	-75.68   	119.29   	-325.53		
-50.05   	-76.29   	117.99   	-361.14		
-46.69   	-77.21   	116.54   	-406.92		
-47.30   	-80.26   	114.91   	-447.61		
-50.05   	-86.36   	113.12   	-493.39		
-50.96   	-92.47   	111.15   	-539.16		
-48.83   	-95.52   	108.99   	-595.11		
-45.17   	-93.99   	106.61   	-645.98		
-43.33   	-88.50   	104.03   	-701.93		
-42.72   	-80.57   	101.22   	-762.97		
-42.42   	-73.24   	 98.17   	-813.83		
-41.81   	-70.50   	 94.91   	-864.70		
-41.20   	-73.55   	 91.45   	-905.39		
-41.50   	-80.87   	 87.83   	-935.91		
-41.50   	-87.28   	 84.09   	-951.17		
-40.59   	-88.50   	 80.28   	-971.51		
-39.06   	-84.84   	 76.40   	-966.43		
-40.28   	-81.18   	 72.53   	-956.25		
-45.78   	-83.01   	 68.71   	-946.08		
-53.41   	-89.11   	 64.92   	-920.65		
-58.29   	-95.21   	 61.24   	-890.13		
-56.15   	-96.13   	 57.68   	-854.52		
-48.22   	-91.25   	 54.26   	-824.00		
-38.45   	-84.53   	 50.97   	-773.14		
-31.43   	-82.40   	 47.87   	-737.54		
-28.69   	-85.14   	 44.92   	-691.76		
-29.60   	-90.64   	 42.16   	-640.89		
-32.65   	-94.60   	 39.59   	-605.29		
-37.84   	-96.44   	 37.17   	-554.42		
-43.95   	-96.74   	 34.95   	-518.82		
-48.52   	-96.44   	 32.88   	-483.21		
-49.13   	-95.83   	 30.95   	-442.52		
-45.47   	-93.69   	 29.18   	-406.92		
-40.59   	-90.03   	 27.55   	-376.40		
-36.93   	-86.98   	 26.04   	-340.79		
-36.32   	-86.67   	 24.68   	-315.36		
-37.84   	-89.42   	 23.42   	-284.84		
-38.45   	-91.55   	 22.28   	-259.41		
-37.23   	-89.72   	 21.24   	-233.98		
