  I     	  II     	  LVp     	  LVp'		
-115.05   	-155.94   	  1.49   	   0.00		
-111.39   	-155.03   	  1.49   	   0.00		
-110.47   	-152.28   	  1.49   	   0.00		
-114.44   	-150.76   	  1.49   	   0.00		
-120.54   	-151.67   	  1.49   	   0.00		
-124.51   	-153.20   	  1.49   	   5.09		
-123.29   	-153.81   	  1.51   	   0.00		
-118.41   	-153.50   	  1.51   	   0.00		
-114.14   	-155.03   	  1.51   	   0.00		
-109.86   	-159.00   	  1.51   	   0.00		
-95.21   	-161.44   	  1.51   	   0.00		
-52.49   	-154.72   	  1.51   	   0.00		
 35.10   	-130.31   	  1.51   	   0.00		
173.34   	-78.74   	  1.51   	   0.00		
355.53   	  9.16   	  1.51   	   0.00		
564.27   	143.13   	  1.51   	   5.09		
771.48   	326.54   	  1.53   	   0.00		
935.36   	538.64   	  1.53   	   0.00		
1000.67   	725.10   	  1.53   	   0.00		
913.70   	817.26(R)	  1.53   	   0.00		
661.32   	769.35   	  1.53   	   0.00		
298.46   	588.99   	  1.53   	   0.00		
-63.17   	337.83   	  1.53   	   0.00		
-306.70   	101.93   	  1.53   	   5.09		
-375.67   	-57.07   	  1.55   	   0.00		
-303.65   	-127.87   	  1.55   	   0.00		
-180.05   	-134.89   	  1.55   	   0.00		
-88.50   	-114.44   	  1.55   	   0.00		
-60.42   	-93.99   	  1.55   	  -5.09		
-78.13   	-82.40   	  1.53   	   0.00		
-105.59   	-78.13   	  1.53   	   0.00		
-120.85   	-78.13   	  1.53   	   0.00		
-122.68   	-81.79   	  1.53   	   0.00		
-119.02   	-87.28   	  1.53   	   0.00		
-115.97   	-93.99   	  1.53   	   0.00		
-114.14   	-100.71   	  1.53   	  -5.09		
-112.61   	-106.51   	  1.51   	   0.00		
-111.08   	-109.86   	  1.51   	   0.00		
-108.64   	-110.47   	  1.51   	   0.00		
-105.29   	-106.81   	  1.51   	   0.00		
-101.62   	-98.88   	  1.51   	   0.00		
-98.57   	-88.81   	  1.51   	   0.00		
-95.83   	-79.04   	  1.51   	   0.00		
-93.08   	-73.24   	  1.51   	   0.00		
-89.42   	-72.02   	  1.51   	   0.00		
-83.92   	-73.24   	  1.51   	   0.00		
-78.43   	-74.77   	  1.51   	   0.00		
-74.46   	-74.16   	  1.51   	   0.00		
-72.63   	-70.80   	  1.51   	   0.00		
-71.11   	-66.22   	  1.51   	   0.00		
-68.66   	-60.12   	  1.51   	   0.00		
-63.48   	-52.80   	  1.51   	   0.00		
-54.63   	-42.42   	  1.51   	   0.00		
-43.33   	-30.21   	  1.51   	   0.00		
-32.04   	-18.92   	  1.51   	   0.00		
-23.50   	-10.68   	  1.51   	   0.00		
-17.70   	 -6.10   	  1.51   	   5.09		
-12.51   	 -2.75   	  1.53   	   0.00		
 -5.49   	  3.36   	  1.53   	   0.00		
  3.66   	 13.73   	  1.53   	   0.00		
 13.43   	 26.25   	  1.53   	   0.00		
 21.97   	 37.84   	  1.53   	   5.09		
 28.69   	 47.00   	  1.55   	   0.00		
 36.01   	 54.32   	  1.55   	   5.09		
 45.17   	 62.87   	  1.57   	   0.00		
 55.85   	 73.24   	  1.57   	   5.09		
 66.22   	 86.06   	  1.59   	   0.00		
 75.07   	 99.49   	  1.59   	   0.00		
 83.62   	113.22   	  1.59   	   5.09		
 93.08   	126.34   	  1.61   	   0.00		
103.15   	138.55   	  1.61   	   0.00		
113.22   	149.84   	  1.61   	   0.00		
122.07   	160.83   	  1.61   	   0.00		
128.78   	172.42   	  1.61   	   0.00		
133.97   	184.33   	  1.61   	   0.00		
138.24   	195.01   	  1.61   	   0.00		
140.38   	201.72   	  1.61   	  -5.09		
140.99   	203.55   	  1.59   	  -5.09		
140.38   	201.72   	  1.57   	   0.00		
138.85   	198.67   	  1.57   	  -5.09		
136.11   	196.23   	  1.55   	  -5.09		
130.92   	193.79   	  1.53   	   0.00		
122.38   	187.99   	  1.53   	  -5.09		
109.56   	175.48   	  1.51   	  -5.09		
 92.77   	155.94   	  1.49   	  -5.09		
 73.24   	131.53   	  1.46   	   0.00		
 53.41   	106.51   	  1.46   	   0.00		
 35.10   	 83.31   	  1.46   	  -5.09		
 19.84   	 63.17   	  1.44   	   0.00		
  7.63   	 44.56   	  1.44   	   0.00		
 -3.05   	 25.63   	  1.44   	   0.00		
-13.43   	  6.10   	  1.44   	   5.09		
-25.02   	-13.43   	  1.46   	   0.00		
-36.93   	-31.74   	  1.46   	   0.00		
-48.52   	-46.39   	  1.46   	   5.09		
-58.59   	-56.46   	  1.49   	   0.00		
-66.53   	-61.65   	  1.49   	   5.09		
-71.41   	-64.39   	  1.51   	   5.09		
-74.46   	-68.36   	  1.53   	   0.00		
-76.60   	-76.29   	  1.53   	   5.09		
-79.04   	-87.89   	  1.55   	   0.00		
-81.48   	-98.57   	  1.55   	   5.09		
-83.01   	-103.45   	  1.57   	   5.09		
-82.70   	-101.32   	  1.59   	   0.00		
-80.57   	-94.60   	  1.59   	   5.09		
-77.51   	-88.20   	  1.61   	   0.00		
-74.16   	-84.84   	  1.61   	   0.00		
-71.41   	-85.14   	  1.61   	   0.00		
-70.19   	-87.28   	  1.61   	   0.00		
-70.50   	-89.72   	  1.61   	   0.00		
-72.33   	-93.08   	  1.61   	   0.00		
-74.77   	-97.05   	  1.61   	   0.00		
-77.21   	-100.10   	  1.61   	   0.00		
-78.43   	-101.32   	  1.61   	   0.00		
-78.74   	-100.40   	  1.61   	  -5.09		
-77.82   	-97.66   	  1.59   	   0.00		
-76.29   	-95.21   	  1.59   	   0.00		
-73.85   	-94.60   	  1.59   	  -5.09		
-71.41   	-96.44   	  1.57   	   0.00		
-70.19   	-99.49   	  1.57   	   0.00		
-71.11   	-104.06   	  1.57   	   0.00		
-73.85   	-108.95   	  1.57   	  -5.09		
-75.38   	-112.61   	  1.55   	   0.00		
-74.46   	-114.14   	  1.55   	   0.00		
-71.11   	-113.83   	  1.55   	   0.00		
-68.05   	-112.30   	  1.55   	   0.00		
-67.75   	-111.08   	  1.55   	   0.00		
-69.58   	-110.47   	  1.55   	   0.00		
-70.50   	-109.25   	  1.55   	  -5.09		
-68.66   	-106.51   	  1.53   	   0.00		
-63.78   	-101.01   	  1.53   	   5.09		
-57.07   	-92.16   	  1.55   	   0.00		
-49.74   	-79.04   	  1.55   	   0.00		
-40.28   	-61.04   	  1.55   	   0.00		
-28.08   	-41.20   	  1.55   	   0.00		
-15.56   	-25.02   	  1.55   	   0.00		
 -6.71   	-18.31   	  1.55   	   5.09		
 -3.97   	-22.89   	  1.57   	   0.00		
 -5.80   	-32.65   	  1.57   	   5.09		
 -5.49   	-36.62   	  1.59   	   0.00		
  2.14   	-27.16   	  1.59   	   5.09		
 18.01   	 -5.80   	  1.61   	   0.00		
 36.93   	 16.17   	  1.61   	   0.00		
 51.27   	 25.33   	  1.61   	   5.09		
 56.15   	 14.95   	  1.63   	   0.00		
 51.27   	-11.60   	  1.63   	   5.09		
 40.28   	-44.56   	  1.65   	   0.00		
 27.47   	-74.16   	  1.65   	   0.00		
 17.40   	-94.91   	  1.65   	   0.00		
 10.07   	-106.81   	  1.65   	   0.00		
  4.58   	-112.30   	  1.65   	   0.00		
 -1.83   	-115.05   	  1.65   	   0.00		
