  I     	  II     	  LVp     	  LVp'		
-134.58   	-223.69   	133.14   	1149.54		
-136.72   	-224.91   	137.74   	1032.55		
-139.16   	-227.97   	141.87   	 869.78		
-139.77   	-231.02   	145.35   	 676.50		
-138.24   	-232.24   	148.06   	 462.87		
-136.41   	-232.54   	149.91   	 269.58		
-136.41   	-232.85   	150.99   	 101.73		
-138.55   	-233.76   	151.39   	 -30.52		
-142.21   	-234.38   	151.27   	-111.90		
-145.26   	-233.15   	150.82   	-162.77		
-147.09   	-230.41   	150.17   	-172.94		
-148.01   	-228.27   	149.48   	-152.59		
-149.54   	-228.27   	148.87   	-122.07		
-151.98   	-231.02   	148.38   	 -66.12		
-155.03   	-233.76   	148.12   	  -5.09		
-158.39   	-235.29   	148.10   	  50.86		
-161.74   	-235.29   	148.30   	 101.73		
-165.10   	-234.07   	148.71   	 152.59		
-168.15   	-233.46   	149.32   	 183.11		
-170.90   	-233.15   	150.05   	 213.63		
-172.73   	-233.46   	150.90   	 228.89		
-174.26   	-233.46   	151.82   	 223.80		
-175.78   	-233.46   	152.72   	 203.46		
-177.31   	-232.54   	153.53   	 157.68		
-178.22   	-230.71   	154.16   	 101.73		
-177.92   	-227.66   	154.57   	  45.78		
-175.17   	-222.47   	154.75   	   0.00		
-169.68   	-214.84   	154.75   	 -40.69		
-162.66   	-204.16   	154.59   	 -76.30		
-154.42   	-191.65   	154.28   	-101.73		
-145.57   	-178.22   	153.88   	-127.16		
-136.41   	-164.79   	153.37   	-167.85		
-125.73   	-151.98   	152.70   	-198.37		
-112.61   	-137.94   	151.90   	-239.06		
-97.35   	-121.77   	150.95   	-279.75		
-80.87   	-104.68   	149.83   	-335.71		
-66.22   	-88.20   	148.48   	-381.48		
-54.63   	-74.77   	146.96   	-427.26		
-45.78   	-64.39   	145.25   	-473.04		
-37.84   	-54.93   	143.36   	-513.73		
-29.60   	-43.95   	141.30   	-554.42		
-20.75   	-30.21   	139.08   	-584.94		
-12.82   	-15.56   	136.74   	-615.46		
 -7.32   	 -3.66   	134.28   	-615.46		
 -4.58   	  3.05   	131.82   	-615.46		
 -4.27   	  4.58   	129.36   	-620.55		
 -4.88   	  3.36   	126.88   	-666.32		
 -5.80   	  3.05   	124.21   	-757.88		
 -6.41   	  5.80   	121.18   	-900.30		
 -6.71   	 10.68   	117.58   	-1078.33		
 -6.10   	 15.56   	113.27   	-1241.09		
 -5.19   	 18.01   	108.30   	-1368.26		
 -4.58   	 16.48   	102.83   	-1444.55		
 -4.27   	 12.82   	 97.05   	-1464.90		
 -3.66   	  8.54   	 91.19   	-1459.81		
 -2.75   	  6.10   	 85.35   	-1419.12		
 -1.22   	  5.80   	 79.67   	-1373.34		
  0.00   	  7.02   	 74.18   	-1317.39		
  0.92   	  7.32   	 68.91   	-1261.44		
  0.61   	  6.10   	 63.87   	-1200.40		
 -0.61   	  2.44   	 59.06   	-1129.19		
 -3.05   	 -1.83   	 54.55   	-1052.90		
 -5.80   	 -4.88   	 50.34   	-971.51		
 -8.24   	 -5.80   	 46.45   	-885.04		
 -9.46   	 -5.49   	 42.91   	-803.66		
 -9.46   	 -6.10   	 39.69   	-732.45		
 -8.54   	 -8.54   	 36.76   	-661.24		
 -8.24   	-11.90   	 34.12   	-615.46		
 -9.16   	-14.65   	 31.66   	-559.51		
-10.68   	-14.95   	 29.42   	-523.90		
-13.12   	-12.51   	 27.32   	-478.13		
-14.95   	 -9.46   	 25.41   	-422.18		
-16.48   	 -6.71   	 23.72   	-361.14		
-16.17   	 -4.27   	 22.28   	-279.75		
-14.04   	  0.31   	 21.16   	-183.11		
 -9.46   	  8.85   	 20.43   	 -81.38		
 -3.66   	 22.28   	 20.10   	  25.43		
  1.22   	 39.06   	 20.20   	 137.33		
  4.27   	 54.93   	 20.75   	 213.63		
  3.97   	 67.14   	 21.61   	 208.54		
  2.14   	 74.16   	 22.44   	 106.82		
  0.92   	 78.43   	 22.87   	-106.82		
  3.36   	 83.31   	 22.44   	-371.31		
 10.99   	 91.86   	 20.96   	-640.89		
 22.58   	106.20   	 18.39   	-844.35		
 34.48   	125.12   	 15.02   	-940.99		
 44.25   	145.87   	 11.25   	-925.73		
 49.74   	164.79   	  7.55   	-808.75		
 52.19   	179.44   	  4.31   	-620.55		
 54.02   	187.68   	  1.83   	-396.74		
 56.76   	190.43   	  0.24   	-183.11		
 61.04   	189.82   	 -0.49   	   0.00		
 66.53   	188.90   	 -0.49   	 127.16		
 72.02   	190.12   	  0.02   	 208.54		
 75.68   	194.09   	  0.85   	 244.15		
 76.60   	198.97   	  1.83   	 233.98		
 75.07   	200.81   	  2.77   	 218.72		
 70.19   	194.09   	  3.64   	 193.29		
 60.42   	173.65   	  4.42   	 167.85		
 43.33   	137.63   	  5.09   	 152.59		
 18.62   	 90.33   	  5.70   	 137.33		
-10.68   	 39.06   	  6.25   	 132.25		
-35.10   	 -6.71   	  6.78   	 132.25		
-47.91   	-41.81   	  7.30   	 127.16		
-48.52   	-65.31   	  7.81   	 127.16		
-43.03   	-80.87   	  8.32   	 127.16		
-39.67   	-91.25   	  8.83   	 127.16		
-40.89   	-98.27   	  9.34   	 122.07		
-44.86   	-101.93   	  9.83   	 116.99		
-47.00   	-103.45   	 10.29   	 111.90		
-47.00   	-104.06   	 10.74   	 106.82		
-46.39   	-105.59   	 11.17   	  96.64		
-47.61   	-108.34   	 11.56   	  91.56		
-50.35   	-111.39   	 11.92   	  86.47		
-51.88   	-112.61   	 12.27   	  86.47		
-50.96   	-112.00   	 12.61   	  81.38		
-47.61   	-110.47   	 12.94   	  81.38		
-44.25   	-109.56   	 13.27   	  86.47		
-43.03   	-109.25   	 13.61   	  96.64		
-44.56   	-109.25   	 14.00   	 106.82		
-47.30   	-107.73   	 14.43   	 122.07		
-49.44   	-104.68   	 14.91   	 137.33		
