  I     	  II     	  LV     	  LV'		
138.85   	-382.08   	 21.55   	-228.89		
165.71   	-519.71   	 20.63   	-213.63		
181.27   	-654.60   	 19.78   	-183.11		
185.24   	-778.50   	 19.04   	-152.59		
180.97   	-886.84   	 18.43   	-116.99		
174.56   	-984.50   	 17.97   	 -81.38		
170.59   	-1085.82   	 17.64   	 -61.04		
170.29   	-1205.14   	 17.40   	 -45.78		
170.90   	-1345.52   	 17.21   	 -35.61		
168.46   	-1491.70   	 17.07   	 -10.17		
160.83   	-1619.57   	 17.03   	  30.52		
149.54   	-1712.04   	 17.15   	  86.47		
128.48   	-1765.14   	 17.50   	 147.51		
 84.53   	-1783.75   	 18.09   	 198.37		
  2.44   	-1775.82   	 18.88   	 223.80		
-120.24   	-1744.69   	 19.78   	 223.80		
-263.67   	-1686.10   	 20.67   	 208.54		
-390.63   	-1591.19   	 21.51   	 183.11		
-469.36   	-1451.42   	 22.24   	 172.94		
-495.30   	-1269.84   	 22.93   	 183.11		
-491.33   	-1066.89   	 23.66   	 213.63		
-484.01   	-871.28(R)	 24.52   	 249.24		
-483.09   	-707.40   	 25.51   	 300.10		
-477.29   	-582.89   	 26.71   	 340.79		
-448.00   	-492.86   	 28.08   	 391.66		
-390.32   	-430.60   	 29.64   	 422.18		
-320.43   	-393.07   	 31.33   	 457.78		
-263.67   	-375.67   	 33.16   	 467.95		
-235.29   	-364.99   	 35.04   	 473.04		
-228.27   	-343.32   	 36.93   	 467.95		
-221.25   	-297.55   	 38.80   	 457.78		
-193.18   	-222.17   	 40.63   	 442.52		
-137.94   	-121.77   	 42.40   	 437.43		
-68.97   	 -5.19   	 44.15   	 427.26		
 -7.93   	113.53   	 45.86   	 422.18		
 28.08   	216.06   	 47.55   	 417.09		
 36.93   	282.59   	 49.22   	 412.00		
 30.52   	309.14   	 50.86   	 412.00		
 23.50   	307.92   	 52.51   	 406.92		
 23.50   	300.29   	 54.14   	 401.83		
 28.38   	299.38   	 55.75   	 391.66		
 31.74   	304.87   	 57.31   	 386.57		
 27.77   	308.84   	 58.86   	 371.31		
 17.40   	309.45   	 60.35   	 356.05		
  6.10   	311.89   	 61.77   	 340.79		
 -1.53   	320.13   	 63.13   	 325.53		
 -4.58   	330.20   	 64.44   	 310.27		
 -5.80   	333.56   	 65.68   	 295.01		
-10.07   	326.84   	 66.86   	 274.67		
-18.92   	315.55   	 67.95   	 269.58		
-29.91   	309.14   	 69.03   	 254.32		
-36.62   	310.67   	 70.05   	 249.24		
-32.96   	317.69   	 71.05   	 233.98		
-16.48   	324.40   	 71.98   	 228.89		
  7.02   	329.28   	 72.90   	 213.63		
 30.52   	337.52   	 73.75   	 208.54		
 48.22   	356.14   	 74.59   	 208.54		
 60.42   	392.15   	 75.42   	 203.46		
 71.11   	446.47   	 76.24   	 213.63		
 83.01   	512.08   	 77.09   	 213.63		
 95.52   	574.34   	 77.94   	 213.63		
103.76   	618.29   	 78.80   	 193.29		
105.90   	638.43   	 79.57   	 178.03		
101.32   	643.62   	 80.28   	 147.51		
 93.69   	650.63   	 80.87   	 132.25		
 87.28   	671.39   	 81.40   	 111.90		
 84.53   	705.57   	 81.85   	 101.73		
 85.45   	744.32   	 82.26   	  91.56		
 89.42   	779.42   	 82.62   	  76.30		
 94.30   	810.24   	 82.93   	  61.04		
 98.27   	844.42   	 83.17   	  40.69		
102.23   	886.23   	 83.34   	  10.17		
106.81   	928.34   	 83.38   	 -10.17		
112.00   	956.42   	 83.34   	 -40.69		
118.71   	962.22   	 83.17   	 -55.95		
126.65   	953.98   	 82.95   	 -76.30		
136.41   	949.71   	 82.64   	 -91.56		
148.01   	961.91   	 82.28   	-111.90		
160.83   	985.72   	 81.83   	-127.16		
172.42   	1003.42(R)	 81.32   	-152.59		
182.19   	998.84   	 80.71   	-172.94		
191.35   	971.37   	 80.02   	-193.29		
200.81   	932.62   	 79.25   	-218.72		
210.88   	893.86   	 78.37   	-239.06		
219.73   	856.02   	 77.42   	-259.41		
225.52   	815.73   	 76.38   	-274.67		
227.97   	770.87   	 75.28   	-300.10		
229.19   	723.88   	 74.08   	-315.36		
229.49   	681.46   	 72.82   	-340.79		
228.27   	643.92   	 71.45   	-371.31		
224.30   	603.64   	 69.97   	-391.66		
217.59   	552.98   	 68.40   	-422.18		
208.44   	492.55   	 66.71   	-442.52		
198.67   	432.43   	 64.94   	-457.78		
189.51   	384.52   	 63.11   	-467.95		
180.66   	351.26   	 61.24   	-473.04		
172.12   	322.57   	 59.35   	-467.95		
162.66   	285.03   	 57.48   	-467.95		
150.45   	237.12   	 55.61   	-467.95		
135.19   	189.51   	 53.73   	-473.04		
117.49   	153.81   	 51.84   	-478.13		
100.40   	133.36   	 49.93   	-488.30		
 86.67   	121.15   	 47.98   	-483.21		
 76.29   	107.42   	 46.04   	-478.13		
 67.14   	 88.20   	 44.13   	-473.04		
 57.98   	 66.83   	 42.24   	-462.87		
 49.74   	 47.00   	 40.39   	-447.61		
 43.64   	 29.30   	 38.60   	-437.43		
 40.89   	 11.60   	 36.85   	-432.35		
 38.15   	 -5.80   	 35.12   	-412.00		
 32.65   	-21.36   	 33.47   	-406.92		
 23.19   	-32.96   	 31.84   	-391.66		
 13.43   	-39.06   	 30.27   	-376.40		
  6.71   	-40.28   	 28.77   	-361.14		
  5.49   	-41.50   	 27.32   	-340.79		
  6.71   	-47.30   	 25.96   	-320.45		
  7.32   	-57.37   	 24.68   	-300.10		
  6.41   	-68.05   	 23.48   	-274.67		
  4.58   	-76.60   	 22.38   	-249.24		
  2.14   	-81.18   	 21.38   	-223.80		
 -0.31   	-80.57   	 20.49   	-203.46		
 -2.75   	-75.99   	 19.67   	-178.03		
 -4.27   	-70.50   	 18.96   	-157.68		
 -3.97   	-66.83   	 18.33   	-142.42		
 -2.14   	-68.05   	 17.76   	-127.16		
 -0.92   	-75.38   	 17.25   	-106.82		
 -2.44   	-86.36   	 16.83   	 -91.56		
 -5.80   	-95.21   	 16.46   	 -71.21		
 -9.77   	-97.35   	 16.17   	 -50.86		
-12.51   	-93.69   	 15.97   	 -25.43		
-13.73   	-88.20   	 15.87   	  -5.09		
-13.43   	-84.84   	 15.85(D)	  25.43		
-12.82   	-85.45   	 15.95   	  50.86		
-13.12   	-89.11   	 16.15   	  71.21		
-14.65   	-92.47   	 16.44   	  91.56		
-17.40   	-93.99   	 16.81   	 106.82		
