  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
-62.87   	  8.24   	 83.78   	-106.82		 73.02   	 -61.04		
-59.51   	  4.27   	 83.36   	-132.25		 72.78   	 -55.95		
-59.81   	  0.00   	 82.83   	-152.59		 72.55   	 -55.95		
-61.95   	 -2.75   	 82.22   	-172.94		 72.33   	 -55.95		
-61.34   	 -3.05   	 81.53   	-203.46		 72.11   	 -55.95		
-55.24   	 -0.31   	 80.71   	-218.72		 71.88   	 -55.95		
-44.56   	  5.19   	 79.84   	-239.06		 71.66   	 -61.04		
-36.01   	 11.29   	 78.88   	-259.41		 71.41   	 -61.04		
-33.57   	 16.48   	 77.84   	-269.58		 71.17   	 -71.21		
-39.67   	 19.84   	 76.76   	-274.67		 70.88   	 -71.21		
-50.96   	 21.67   	 75.67   	-284.84		 70.60   	 -81.38		
-61.04   	 22.58   	 74.53   	-289.93		 70.27   	 -86.47		
-65.31   	 22.89   	 73.37   	-295.01		 69.93   	 -86.47		
-62.56   	 22.58   	 72.19   	-310.27		 69.58   	 -96.64		
-53.71   	 21.36   	 70.95   	-315.36		 69.20   	 -96.64		
-42.72   	 19.53   	 69.68   	-320.45		 68.81   	 -96.64		
-35.10   	 17.70   	 68.40   	-315.36		 68.42   	 -96.64		
-34.48   	 16.17   	 67.14   	-305.19		 68.04   	-101.73		
-39.67   	 14.95   	 65.92   	-284.84		 67.63   	 -96.64		
-47.61   	 12.51   	 64.78   	-249.24		 67.24   	 -96.64		
-53.41   	  9.16   	 63.78   	-218.72		 66.86   	 -96.64		
-53.10   	  5.49   	 62.91   	-167.85		 66.47   	 -86.47		
-49.74   	  2.75   	 62.24   	-127.16		 66.12   	 -86.47		
-48.83   	  2.44   	 61.73   	 -81.38		 65.78   	 -76.30		
-52.80   	  5.19   	 61.40   	 -35.61		 65.47   	 -71.21		
-58.29   	  9.16   	 61.26   	   5.09		 65.19   	 -61.04		
-59.51   	 12.82   	 61.28   	  35.61		 64.94   	 -55.95		
