  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-28.99   	-74.77   	 39.23   	-1393.69		 81.95   	-473.04		
-27.77   	-73.55   	 33.65   	-829.09		 80.06   	-417.09		
-27.16   	-73.55   	 30.34   	-330.62		 78.39   	 412.00		
-27.47   	-74.46   	 29.01   	-223.80		 80.04   	 752.79		
-28.38   	-75.68   	 28.12   	-340.79		 83.05   	 178.03		
-29.30   	-75.38   	 26.75   	-447.61		 83.76   	-406.92		
-29.30   	-73.85   	 24.96   	-554.42		 82.14   	-279.75		
-28.38   	-71.72   	 22.75   	-676.50		 81.02   	 -66.12		
-27.16   	-70.19   	 20.04   	-717.19		 80.75   	-305.19		
-25.94   	-69.58   	 17.17   	-595.11		 79.53   	-381.48		
-26.25   	-69.58   	 14.79   	-381.48		 78.01   	   0.00		
-26.86   	-69.58   	 13.27   	-233.98		 78.01   	 249.24		
-26.86   	-68.66   	 12.33   	-213.63		 79.00   	 116.99		
-24.41   	-67.14   	 11.48   	-233.98		 79.47   	  35.61		
-20.75   	-65.61   	 10.54   	-366.22		 79.61   	 101.73		
-17.40   	-64.39   	  9.07   	-534.08		 80.02   	-183.11		
-16.78   	-63.78   	  6.94   	-564.60		 79.29   	-493.39		
-19.53   	-63.17   	  4.68   	-452.69		 77.31   	-325.53		
-23.80   	-62.87   	  2.87   	-193.29		 76.01   	  10.17		
-26.86   	-62.87   	  2.10   	 111.90		 76.05   	 249.24		
-26.55   	-63.48   	  2.54   	 106.82		 77.05   	 330.62		
-23.19   	-64.09   	  2.97   	-249.24		 78.37   	-132.25		
-18.92   	-64.70   	  1.97   	-406.92		 77.84   	-717.19		
-16.48   	-64.39   	  0.35   	-223.80		 74.97   	-396.74		
-16.78   	-63.78   	 -0.55   	  30.52		 73.39   	 249.24		
-19.53   	-63.17   	 -0.43   	 244.15		 74.38   	 412.00		
-22.28   	-63.17   	  0.55   	 244.15		 76.03   	 239.06		
-23.80   	-63.78   	  1.53   	  86.47		 76.99   	 -91.56		
-23.19   	-64.70   	  1.87   	  20.35		 76.62   	-233.98		
-21.36   	-65.61   	  1.95   	  45.78		 75.69   	 -71.21		
-19.84   	-65.31   	  2.14   	  10.17		 75.40   	  30.52		
-19.53   	-64.09   	  2.18   	-101.73		 75.52   	 -91.56		
-20.45   	-62.56   	  1.77   	-198.37		 75.16   	-223.80		
