  I     	  II     	  AOp     	  AOp'		
-71.72   	-80.26   	109.77   	-137.33		
-70.80   	-79.04   	109.22   	-213.63		
-69.27   	-76.60   	108.36   	-284.84		
-67.75   	-73.85   	107.22   	-356.05		
-67.14   	-72.94   	105.80   	-401.83		
-67.44   	-74.46   	104.19   	-427.26		
-67.75   	-76.90   	102.48   	-432.35		
-68.05   	-79.04   	100.75   	-417.09		
-68.36   	-79.35   	 99.08   	-381.48		
-69.27   	-77.82   	 97.56   	-325.53		
-70.50   	-75.07   	 96.26   	-264.50		
-71.41   	-72.33   	 95.20   	-198.37		
-71.11   	-69.58   	 94.40   	-127.16		
-68.36   	-66.83   	 93.90   	 -61.04		
-64.70   	-64.09   	 93.65   	 -15.26		
-61.34   	-62.56   	 93.59   	  15.26		
-60.73   	-62.56   	 93.65   	  30.52		
-61.95   	-63.48   	 93.77   	  20.35		
-64.09   	-63.17   	 93.86   	   0.00		
-65.31   	-61.04   	 93.86   	 -40.69		
-65.31   	-57.68   	 93.69   	 -81.38		
-64.09   	-54.93   	 93.37   	-132.25		
-62.87   	-53.71   	 92.84   	-172.94		
-61.95   	-53.10   	 92.15   	-213.63		
-61.34   	-52.49   	 91.29   	-239.06		
-60.73   	-51.27   	 90.34   	-249.24		
-60.42   	-50.35   	 89.34   	-259.41		
-60.73   	-51.27   	 88.30   	-249.24		
-61.34   	-53.41   	 87.30   	-239.06		
-61.95   	-55.24   	 86.35   	-213.63		
-61.95   	-55.54   	 85.49   	-198.37		
-61.34   	-54.02   	 84.70   	-172.94		
-61.04   	-51.88   	 84.01   	-498.47		
-63.78   	-53.10   	 82.01   	-264.50		
-64.39   	-49.44   	 80.96   	 -81.38		
-64.39   	-48.22   	 80.63   	 -76.30		
-64.70   	-48.83   	 80.33   	 -76.30		
-65.61   	-51.27   	 80.02   	 -76.30		
-67.14   	-54.02   	 79.71   	 -71.21		
-67.75   	-55.85   	 79.43   	 -61.04		
-67.14   	-55.85   	 79.19   	 -61.04		
-65.61   	-54.63   	 78.94   	 -45.78		
-64.09   	-53.10   	 78.76   	 -35.61		
-63.17   	-52.80   	 78.62   	 -25.43		
-62.87   	-52.80   	 78.51   	 -10.17		
-62.26   	-52.49   	 78.47   	  -5.09		
-60.73   	-51.57   	 78.45   	   5.09		
-58.59   	-50.05   	 78.47   	  15.26		
-57.68   	-49.44   	 78.53   	  15.26		
-58.29   	-50.66   	 78.60   	  25.43		
-59.20   	-53.10   	 78.70   	  20.35		
-59.20   	-55.85   	 78.78   	  25.43		
-57.68   	-57.98   	 78.88   	  25.43		
-55.24   	-58.90   	 78.98   	  20.35		
-52.80   	-58.59   	 79.06   	  20.35		
-51.88   	-57.07   	 79.15   	  10.17		
-51.57   	-54.63   	 79.19   	  10.17		
-51.88   	-52.49   	 79.23   	   0.00		
-51.88   	-51.27   	 79.23   	  -5.09		
-51.27   	-52.19   	 79.21   	  -5.09		
-50.66   	-54.93   	 79.19   	 -10.17		
-50.35   	-58.59   	 79.15   	 -20.35		
-50.66   	-61.95   	 79.06   	 -20.35		
-51.88   	-63.17   	 78.98   	 -20.35		
-53.71   	-62.26   	 78.90   	 -30.52		
-54.32   	-58.90   	 78.78   	 -30.52		
-53.71   	-53.10   	 78.66   	 -35.61		
-51.88   	-45.78   	 78.51   	 -40.69		
-49.44   	-37.23   	 78.35   	 -50.86		
-47.61   	-28.08   	 78.15   	 -66.12		
-46.39   	-18.92   	 77.88   	 -71.21		
-45.78   	-10.07   	 77.60   	 -86.47		
-44.86   	 -2.14   	 77.25   	-106.82		
-43.95   	  4.88   	 76.83   	-116.99		
-42.42   	 11.29   	 76.36   	-137.33		
-40.28   	 17.40   	 75.81   	-152.59		
-37.84   	 23.19   	 75.20   	-167.85		
-36.01   	 27.47   	 74.53   	-178.03		
-34.79   	 30.52   	 73.81   	-198.37		
-33.26   	 34.18   	 73.02   	-203.46		
-30.21   	 39.67   	 72.21   	-213.63		
-24.72   	 47.00   	 71.35   	-223.80		
-18.31   	 52.19   	 70.46   	-233.98		
-12.82   	 50.05   	 69.52   	-228.89		
-11.29   	 39.37   	 68.61   	-228.89		
-11.90   	 23.50   	 67.69   	-218.72		
-12.82   	 10.07   	 66.82   	-208.54		
-11.29   	  2.44   	 65.98   	-183.11		
 -8.54   	 -0.61   	 65.25   	-157.68		
 -7.32   	 -4.27   	 64.62   	-132.25		
 -9.77   	-10.38   	 64.09   	 -91.56		
-16.78   	-17.09   	 63.72   	 -55.95		
-26.86   	-21.06   	 63.50   	 -25.43		
-36.32   	-21.36   	 63.40   	  10.17		
-43.03   	-20.45   	 63.44   	  35.61		
-45.78   	-22.89   	 63.58   	  55.95		
-45.78   	-30.82   	 63.80   	  71.21		
-44.56   	-41.50   	 64.09   	  76.30		
-45.17   	-51.57   	 64.39   	  81.38		
-48.22   	-58.29   	 64.72   	  81.38		
-52.80   	-61.95   	 65.05   	  76.30		
-56.46   	-64.09   	 65.35   	  66.12		
-58.29   	-66.22   	 65.62   	  66.12		
-58.29   	-68.66   	 65.88   	  61.04		
-57.98   	-70.19   	 66.12   	  50.86		
-58.59   	-71.41   	 66.33   	  55.95		
-60.42   	-72.33   	 66.55   	  45.78		
-62.56   	-72.94   	 66.73   	  50.86		
-64.09   	-73.24   	 66.94   	  40.69		
-64.39   	-72.63   	 67.10   	  45.78		
-64.70   	-71.41   	 67.28   	  40.69		
-65.00   	-70.19   	 67.45   	  35.61		
-65.61   	-69.58   	 67.59   	  35.61		
-67.44   	-69.89   	 67.73   	  30.52		
-72.02   	-69.58   	 67.85   	  20.35		
-82.09   	-66.22   	 67.93   	  20.35		
-98.57   	-57.37   	 68.02   	  10.17		
-115.66   	-44.25   	 68.06   	   0.00		
-118.71   	-28.99   	 68.06   	  -5.09		
-88.20   	-11.60   	 68.04   	 -10.17		
-10.38   	 17.09   	 68.00   	 -15.26		
115.05   	 75.38   	 67.93   	 -25.43		
271.61   	178.53   	 67.83   	 -30.52		
428.77   	317.69   	 67.71   	 -30.52		
551.76   	444.34   	 67.59   	 -35.61		
608.52   	489.50(R)	 67.45   	 -40.69		
579.83   	409.24   	 67.28   	 -35.61		
469.97   	217.90   	 67.14   	 -40.69		
313.11   	-10.07   	 66.98   	 -30.52		
160.52   	-184.33   	 66.86   	 -35.61		
 56.15   	-255.74   	 66.71   	 -25.43		
 14.34   	-235.29   	 66.61   	 -25.43		
 16.78   	-171.51   	 66.51   	 -20.35		
 29.30   	-108.64   	 66.43   	 -15.26		
 28.08   	-64.39   	 66.37   	 -15.26		
 12.21   	-34.48   	 66.31   	 -10.17		
 -5.49   	-11.29   	 66.27   	 -10.17		
-13.12   	  4.27   	 66.23   	 -10.17		
-10.07   	  9.16   	 66.18   	 -15.26		
 -3.36   	  3.66   	 66.12   	 -15.26		
 -0.92   	 -5.80   	 66.06   	 -20.35		
 -5.19   	-11.60   	 65.98   	 -20.35		
-13.12   	-11.60   	 65.90   	 -30.52		
-20.45   	 -7.93   	 65.78   	 -35.61		
-24.41   	 -4.58   	 65.64   	 -35.61		
-25.02   	 -3.36   	 65.49   	 -40.69		
-23.19   	 -2.75   	 65.33   	 -40.69		
-20.14   	 -1.22   	 65.17   	 -40.69		
-17.40   	  2.75   	 65.00   	 -40.69		
-15.87   	  7.93   	 64.84   	 -30.52		
-14.95   	 12.51   	 64.72   	 -15.26		
-14.04   	 15.26   	 64.66   	  -5.09		
-12.21   	 17.40   	 64.64   	  20.35		
 -9.77   	 19.84   	 64.72   	  45.78		
 -6.41   	 23.19   	 64.90   	  76.30		
 -3.36   	 26.55   	 65.21   	 106.82		
 -1.22   	 29.60   	 65.64   	 142.42		
  1.22   	 32.35   	 66.21   	 172.94		
  4.27   	 35.40   	 66.90   	 208.54		
  7.93   	 39.37   	 67.73   	 239.06		
 12.21   	 43.64   	 68.69   	 259.41		
 15.87   	 48.52   	 69.73   	 279.75		
 19.53   	 54.02   	 70.84   	 289.93		
 24.41   	 60.42   	 72.00   	 295.01		
 30.52   	 67.44   	 73.18   	 289.93		
 37.23   	 74.46   	 74.34   	 284.84		
 43.95   	 81.18   	 75.48   	 269.58		
 50.35   	 88.81   	 76.56   	 254.32		
 57.07   	 97.66   	 77.58   	 239.06		
 64.70   	107.73   	 78.53   	 223.80		
 72.02   	118.10   	 79.43   	 213.63		
 78.43   	127.26   	 80.28   	 203.46		
 83.92   	135.50   	 81.10   	 203.46		
 89.72   	144.65   	 81.91   	 198.37		
 97.96   	156.86   	 82.71   	 208.54		
108.64   	170.90   	 83.54   	 213.63		
120.85   	186.16   	 84.39   	 218.72		
132.14   	199.89   	 85.27   	 233.98		
141.91   	211.79   	 86.21   	 239.06		
149.23   	222.17   	 87.16   	 239.06		
154.72   	231.32   	 88.12   	 249.24		
158.69   	239.56   	 89.11   	 249.24		
161.44   	247.80   	 90.11   	 249.24		
163.88   	255.74   	 91.11   	 244.15		
166.93   	263.37   	 92.09   	 239.06		
170.29   	270.39   	 93.04   	 233.98		
173.03   	275.27   	 93.98   	 223.80		
173.03   	276.18   	 94.87   	 213.63		
169.07   	271.30   	 95.73   	 208.54		
160.22   	260.93   	 96.56   	 193.29		
147.71   	246.28   	 97.33   	 178.03		
133.36   	229.49   	 98.05   	 167.85		
117.49   	211.49   	 98.72   	 157.68		
101.01   	191.96   	 99.35   	 142.42		
 83.01   	170.59   	 99.92   	 127.16		
 63.78   	146.18   	100.43   	 111.90		
 43.95   	119.63   	100.87   	 101.73		
 25.33   	 92.77   	101.28   	  91.56		
  8.24   	 68.36   	101.65   	  76.30		
 -6.41   	 47.61   	101.95   	  66.12		
-19.23   	 30.21   	102.22   	  55.95		
-29.91   	 15.87   	102.44   	  45.78		
-39.06   	  2.75   	102.62   	  35.61		
-47.00   	 -9.16   	102.77   	  25.43		
-53.71   	-19.84   	102.87   	  20.35		
-59.51   	-29.30   	102.95   	   5.09		
-64.39   	-37.23   	102.97   	   5.09		
-68.05   	-43.64   	102.99(S)	  -5.09		
-70.50   	-49.13   	102.97   	 -15.26		
-72.02   	-52.80   	102.91   	 -25.43		
-72.63   	-54.63   	102.81   	 -25.43		
-72.94   	-54.93   	102.71   	 -35.61		
-73.24   	-54.63   	102.56   	 -45.78		
-73.55   	-54.93   	102.38   	 -50.86		
-74.46   	-56.46   	102.18   	 -55.95		
-75.68   	-59.20   	101.95   	 -66.12		
-76.29   	-61.95   	101.69   	 -76.30		
-75.38   	-63.48   	101.38   	 -81.38		
-74.16   	-63.78   	101.06   	 -91.56		
-72.94   	-63.48   	100.69   	-101.73		
-72.63   	-63.78   	100.28   	-111.90		
-73.24   	-64.09   	 99.84   	-122.07		
-73.24   	-64.39   	 99.35   	-137.33		
-72.33   	-63.17   	 98.80   	-142.42		
-70.50   	-60.73   	 98.23   	-157.68		
-68.97   	-58.29   	 97.60   	-157.68		
-69.27   	-57.07   	 96.97   	-162.77		
-71.11   	-57.68   	 96.32   	-167.85		
-72.94   	-58.29   	 95.65   	-157.68		
-72.94   	-57.98   	 95.01   	-152.59		
-71.41   	-55.54   	 94.40   	-147.51		
-68.97   	-51.57   	 93.81   	-137.33		
-66.83   	-47.30   	 93.27   	-122.07		
-66.53   	-44.25   	 92.78   	-111.90		
-67.44   	-43.03   	 92.33   	-101.73		
-68.36   	-42.42   	 91.92   	 -96.64		
-68.36   	-42.11   	 91.54   	 -86.47		
-67.14   	-42.42   	 91.19   	 -81.38		
-65.00   	-42.42   	 90.86   	 -81.38		
-63.17   	-42.11   	 90.54   	 -76.30		
-61.65   	-41.81   	 90.23   	 -76.30		
-61.34   	-40.89   	 89.93   	 -76.30		
-61.34   	-39.98   	 89.62   	 -76.30		
-61.95   	-38.76   	 89.32   	 -71.21		
-62.26   	-37.84   	 89.03   	 -71.21		
-62.26   	-36.62   	 88.75   	 -71.21		
-62.56   	-36.01   	 88.46   	 -66.12		
-62.87   	-36.32   	 88.20   	 -66.12		
-63.48   	-36.93   	 87.93   	 -61.04		
-63.48   	-37.54   	 87.69   	 -61.04		
-63.48   	-37.54   	 87.45   	 -55.95		
-62.56   	-36.93   	 87.22   	 -55.95		
-61.65   	-36.01   	 87.00   	 -55.95		
-60.73   	-35.40   	 86.77   	 -50.86		
-60.12   	-35.40   	 86.57   	 -55.95		
-60.12   	-35.40   	 86.35   	 -50.86		
-60.42   	-35.40   	 86.14   	 -50.86		
-61.34   	-34.79   	 85.94   	 -50.86		
-61.95   	-33.57   	 85.74   	 -55.95		
-61.95   	-32.65   	 85.51   	 -50.86		
-61.34   	-32.65   	 85.31   	 -55.95		
-60.73   	-33.26   	 85.09   	 -55.95		
-59.81   	-34.18   	 84.86   	 -55.95		
-59.20   	-34.79   	 84.64   	 -55.95		
-58.29   	-34.48   	 84.41   	 -55.95		
-57.68   	-33.26   	 84.19   	 -61.04		
-57.37   	-32.35   	 83.95   	 -61.04		
-57.98   	-32.04   	 83.70   	 -61.04		
-59.20   	-32.35   	 83.46   	 -61.04		
-61.04   	-32.96   	 83.21   	 -66.12		
-62.26   	-33.57   	 82.95   	 -61.04		
-62.87   	-34.48   	 82.71   	 -66.12		
-62.87   	-36.32   	 82.44   	 -66.12		
-62.56   	-38.45   	 82.18   	 -61.04		
-61.95   	-39.67   	 81.93   	 -66.12		
-61.65   	-39.06   	 81.67   	 -61.04		
-60.73   	-37.23   	 81.42   	 -61.04		
-59.81   	-35.40   	 81.18   	 -61.04		
-58.90   	-34.79   	 80.94   	 -61.04		
-58.29   	-35.71   	 80.69   	 -61.04		
-57.98   	-36.32   	 80.45   	 -55.95		
-58.29   	-36.62   	 80.22   	 -61.04		
-57.98   	-36.01   	 79.98   	 -55.95		
