  I     	  II     	  AOp     	  AOp'		
-111.39   	-168.76   	 69.91   	-142.42		
-108.34   	-168.46   	 69.34   	-147.51		
-103.45   	-166.02   	 68.75   	-157.68		
-99.18   	-161.13   	 68.12   	-157.68		
-96.74   	-153.81   	 67.49   	-162.77		
-96.74   	-146.79   	 66.84   	-162.77		
-97.66   	-140.99   	 66.18   	-162.77		
-99.18   	-137.33   	 65.53   	-162.77		
-100.10   	-136.41   	 64.88   	-162.77		
-100.40   	-137.63   	 64.23   	-152.59		
-98.57   	-140.08   	 63.62   	-147.51		
-94.60   	-142.52   	 63.03   	-142.42		
-89.11   	-142.21   	 62.46   	-132.25		
-84.84   	-139.16   	 61.93   	-122.07		
-84.53   	-133.67   	 61.44   	-116.99		
-88.81   	-127.87   	 60.98   	-101.73		
-94.60   	-123.29   	 60.57   	 -91.56		
-97.35   	-120.24   	 60.20   	 -81.38		
-94.60   	-118.71   	 59.88   	 -66.12		
-86.67   	-117.49   	 59.61   	 -55.95		
-78.13   	-117.19   	 59.39   	 -40.69		
-73.24   	-118.71   	 59.23   	 -30.52		
-74.16   	-121.46   	 59.10   	 -20.35		
-78.43   	-125.43   	 59.02   	  -5.09		
-82.40   	-128.78   	 59.00   	   5.09		
-83.62   	-129.39   	 59.02   	  15.26		
-84.23   	-127.56   	 59.08   	  20.35		
-87.28   	-125.73   	 59.17   	  35.61		
-89.72   	-127.56   	 59.31   	  35.61		
-75.99   	-131.23   	 59.45   	  45.78		
-24.41   	-126.04   	 59.63   	  45.78		
 85.45   	-91.55   	 59.82   	  50.86		
263.06   	 -4.27   	 60.02   	  50.86		
500.49   	149.54   	 60.22   	  45.78		
775.15   	367.13   	 60.41   	  45.78		
1054.08   	625.31   	 60.59   	  40.69		
1297.61   	879.52   	 60.75   	  35.61		
1457.52   	1068.42   	 60.89   	  30.52		
1481.93   	1132.51(R)	 61.02   	  20.35		
1330.57   	1040.65   	 61.10   	  10.17		
999.15   	815.12   	 61.14   	   0.00		
547.18   	529.17   	 61.14   	 -15.26		
 95.52   	273.13   	 61.08   	 -25.43		
-225.52   	107.73   	 60.98   	 -35.61		
-343.63   	 35.40   	 60.83   	 -50.86		
-285.64   	 14.65   	 60.63   	 -55.95		
-154.11   	 -1.53   	 60.41   	 -66.12		
-53.10   	-33.57   	 60.14   	 -76.30		
-27.16   	-73.85   	 59.84   	 -81.38		
-54.93   	-104.37   	 59.51   	 -86.47		
-88.20   	-116.27   	 59.17   	 -91.56		
-98.88   	-115.05   	 58.80   	 -91.56		
-90.33   	-112.00   	 58.43   	 -96.64		
-79.65   	-113.53   	 58.05   	 -91.56		
-77.21   	-119.02   	 57.68   	 -96.64		
-81.48   	-123.29   	 57.29   	 -86.47		
-85.75   	-123.29   	 56.95   	 -86.47		
-86.67   	-119.32   	 56.60   	 -86.47		
-84.53   	-115.36   	 56.26   	 -76.30		
-80.57   	-114.75   	 55.95   	 -76.30		
-76.60   	-119.02   	 55.65   	 -66.12		
-73.85   	-126.34   	 55.38   	 -61.04		
-73.85   	-133.06   	 55.14   	 -50.86		
-74.77   	-135.80   	 54.93   	 -45.78		
-74.46   	-131.53   	 54.75   	 -30.52		
-69.89   	-121.15   	 54.63   	 -20.35		
-61.95   	-108.03   	 54.55   	  -5.09		
-54.02   	-97.05   	 54.53   	  10.17		
-50.96   	-91.86   	 54.57   	  30.52		
-53.41   	-93.08   	 54.69   	  45.78		
-57.68   	-97.35   	 54.87   	  71.21		
-59.20   	-100.10   	 55.16   	  96.64		
-54.93   	-98.88   	 55.54   	 116.99		
-47.00   	-94.30   	 56.01   	 147.51		
-38.45   	-88.50   	 56.60   	 162.77		
-32.65   	-82.70   	 57.25   	 188.20		
-29.91   	-78.74   	 58.01   	 208.54		
-29.30   	-76.60   	 58.84   	 228.89		
-29.60   	-74.77   	 59.76   	 239.06		
-28.69   	-72.02   	 60.71   	 259.41		
-25.63   	-67.75   	 61.75   	 264.50		
-19.53   	-62.26   	 62.81   	 274.67		
-12.21   	-55.85   	 63.91   	 279.75		
 -5.19   	-49.13   	 65.03   	 289.93		
 -0.31   	-42.42   	 66.18   	 289.93		
  2.75   	-36.93   	 67.34   	 289.93		
  5.19   	-32.04   	 68.50   	 289.93		
  9.16   	-27.47   	 69.66   	 295.01		
 14.65   	-22.58   	 70.84   	 300.10		
 21.97   	-15.87   	 72.04   	 295.01		
 29.91   	 -7.32   	 73.22   	 305.19		
 37.23   	  1.22   	 74.45   	 300.10		
 42.72   	  7.93   	 75.65   	 310.27		
 47.00   	 11.29   	 76.89   	 310.27		
 51.57   	 12.51   	 78.13   	 315.36		
 58.29   	 13.73   	 79.39   	 320.45		
 67.14   	 18.01   	 80.67   	 325.53		
 77.51   	 26.25   	 81.97   	 325.53		
 86.67   	 37.54   	 83.28   	 330.62		
 93.99   	 49.44   	 84.60   	 330.62		
101.01   	 59.20   	 85.92   	 335.71		
108.95   	 65.61   	 87.26   	 335.71		
118.10   	 69.58   	 88.61   	 335.71		
127.87   	 73.85   	 89.95   	 340.79		
136.72   	 80.26   	 91.31   	 335.71		
143.74   	 90.03   	 92.65   	 335.71		
149.84   	101.01   	 94.00   	 330.62		
156.86   	111.08   	 95.32   	 330.62		
165.41   	118.41   	 96.64   	 325.53		
175.48   	123.29   	 97.94   	 320.45		
185.24   	127.87   	 99.23   	 315.36		
193.79   	134.58   	100.49   	 310.27		
199.89   	143.74   	101.73   	 305.19		
204.77   	153.50   	102.95   	 300.10		
209.96   	161.74   	104.15   	 295.01		
216.37   	166.93   	105.33   	 284.84		
224.30   	169.07   	106.47   	 279.75		
231.93   	171.20   	107.59   	 274.67		
237.12   	174.56   	108.69   	 264.50		
236.82   	178.53   	109.75   	 254.32		
231.02   	181.88   	110.76   	 249.24		
220.95   	181.58   	111.76   	 239.06		
208.44   	176.09   	112.72   	 233.98		
195.92   	165.41   	113.65   	 218.72		
182.50   	150.45   	114.53   	 213.63		
167.24   	135.19   	115.38   	 208.54		
150.45   	122.07   	116.22   	 198.37		
132.75   	112.00   	117.01   	 188.20		
114.14   	102.84   	117.76   	 188.20		
 93.99   	 90.64   	118.51   	 172.94		
 72.02   	 72.63   	119.21   	 172.94		
 48.83   	 50.05   	119.90   	 157.68		
 25.63   	 26.86   	120.53   	 152.59		
  4.27   	  7.32   	121.14   	 142.42		
-14.34   	 -7.63   	121.71   	 132.25		
-30.52   	-18.92   	122.24   	 122.07		
-45.17   	-30.21   	122.73   	 106.82		
-57.98   	-44.86   	123.15   	  96.64		
-69.58   	-62.56   	123.54   	  86.47		
-79.65   	-80.87   	123.89   	  76.30		
-87.59   	-95.21   	124.19   	  61.04		
-93.69   	-102.23   	124.43   	  45.78		
-98.88   	-104.06   	124.62   	  40.69		
-104.06   	-104.37   	124.78   	  20.35		
-109.25   	-107.12   	124.86   	  10.17		
-112.92   	-111.39   	124.90(S)	  -5.09		
-114.14   	-114.44   	124.88   	 -25.43		
-111.69   	-113.22   	124.78   	 -35.61		
-108.34   	-109.86   	124.64   	 -61.04		
-105.90   	-108.03   	124.39   	 -76.30		
-105.90   	-110.78   	124.09   	-101.73		
-106.81   	-116.58   	123.68   	-116.99		
-106.81   	-121.46   	123.21   	-142.42		
-104.98   	-122.07   	122.64   	-157.68		
-101.32   	-118.71   	122.01   	-178.03		
-97.05   	-114.44   	121.30   	-198.37		
-93.99   	-111.08   	120.51   	-208.54		
-93.08   	-110.17   	119.67   	-218.72		
-93.99   	-112.00   	118.80   	-228.89		
-97.05   	-115.66   	117.88   	-233.98		
-101.32   	-118.41   	116.95   	-239.06		
-104.06   	-118.41   	115.99   	-239.06		
-104.68   	-114.75   	115.04   	-239.06		
-104.06   	-108.95   	114.08   	-228.89		
