  I     	  II     	  AO     	  AO'		  AO     	  AO'		
101.93   	-411.99   	 76.74   	 -30.52		 79.23   	 -45.78		
 52.80   	-437.01   	 76.62   	 -30.52		 79.04   	 -45.78		
  4.88   	-440.67   	 76.50   	 -40.69		 78.86   	 -40.69		
-22.58   	-387.88   	 76.34   	 -35.61		 78.70   	 -45.78		
-26.55   	-351.56   	 76.20   	 -45.78		 78.51   	 -35.61		
-20.14   	-331.12   	 76.01   	 -40.69		 78.37   	 -30.52		
-18.31   	-336.00   	 75.85   	 -50.86		 78.25   	 -25.43		
-21.06   	-332.95   	 75.65   	 -50.86		 78.15   	 -25.43		
-22.28   	-330.20   	 75.44   	 -50.86		 78.05   	 -25.43		
-14.95   	-331.73   	 75.24   	 -45.78		 77.94   	 -20.35		
-21.67   	-338.44   	 75.06   	 -40.69		 77.86   	 -25.43		
-21.67   	-330.81   	 74.89   	 -20.35		 77.76   	 -30.52		
-22.89   	-330.81   	 74.81   	  10.17		 77.64   	 -30.52		
-20.14   	-328.98   	 74.85   	  45.78		 77.52   	 -30.52		
-21.36   	-320.43   	 75.04   	 101.73		 77.40   	 -35.61		
-24.11   	-316.77   	 75.44   	 152.59		 77.25   	 -35.61		
-14.34   	-317.99   	 76.05   	 203.46		 77.11   	 -35.61		
-20.45   	-316.47   	 76.87   	 249.24		 76.97   	 -25.43		
-24.41   	-324.10   	 77.86   	 274.67		 76.87   	 -25.43		
-26.25   	-330.81   	 78.96   	 284.84		 76.76   	 -15.26		
-26.25   	-332.03   	 80.10   	 264.50		 76.70   	  -5.09		
-21.36   	-331.12   	 81.16   	 244.15		 76.68   	   5.09		
-29.30   	-326.84   	 82.14   	 218.72		 76.70   	  20.35		
-25.63   	-324.40   	 83.01   	 198.37		 76.79   	  30.52		
-21.97   	-322.27   	 83.80   	 208.54		 76.91   	  50.86		
-28.38   	-323.49   	 84.64   	 233.98		 77.11   	  61.04		
-24.41   	-326.23   	 85.57   	 269.58		 77.35   	  86.47		
-21.97   	-328.37   	 86.65   	 320.45		 77.70   	 101.73		
-23.19   	-327.45   	 87.93   	 350.97		 78.11   	 127.16		
-25.33   	-335.39   	 89.34   	 381.48		 78.62   	 142.42		
-24.41   	-335.69   	 90.86   	 376.40		 79.19   	 167.85		
-27.16   	-333.86   	 92.37   	 361.14		 79.86   	 183.11		
-30.21   	-333.56   	 93.81   	 330.62		 80.59   	 203.46		
-30.82   	-326.23   	 95.14   	 289.93		 81.40   	 223.80		
-30.21   	-320.74   	 96.30   	 254.32		 82.30   	 233.98		
-31.74   	-320.74   	 97.31   	 228.89		 83.23   	 254.32		
-34.79   	-320.13   	 98.23   	 208.54		 84.25   	 264.50		
-27.16   	-321.04   	 99.06   	 203.46		 85.31   	 279.75		
-33.26   	-325.32   	 99.88   	 203.46		 86.43   	 289.93		
-34.18   	-327.45   	100.69   	 213.63		 87.59   	 300.10		
-32.65   	-325.32   	101.55   	 233.98		 88.79   	 315.36		
-37.23   	-324.40   	102.48   	 259.41		 90.05   	 320.45		
-36.01   	-317.38   	103.52   	 274.67		 91.33   	 330.62		
-42.11   	-307.62   	104.62   	 289.93		 92.65   	 330.62		
-44.25   	-306.70   	105.78   	 295.01		 93.98   	 340.79		
-50.66   	-306.40   	106.96   	 284.84		 95.34   	 345.88		
-50.05   	-307.92   	108.10   	 274.67		 96.72   	 345.88		
-48.22   	-315.25   	109.20   	 259.41		 98.11   	 350.97		
-49.44   	-317.38   	110.23   	 249.24		 99.51   	 345.88		
-48.52   	-328.67   	111.23   	 249.24		100.89   	 345.88		
-54.32   	-333.86   	112.23   	 249.24		102.28   	 345.88		
-59.20   	-336.00   	113.22   	 254.32		103.66   	 335.71		
-61.04   	-342.71   	114.24   	 264.50		105.00   	 340.79		
-66.22   	-340.27   	115.30   	 264.50		106.37   	 330.62		
-69.89   	-343.02   	116.36   	 264.50		107.69   	 330.62		
-75.99   	-348.21   	117.42   	 259.41		109.01   	 320.45		
-81.79   	-342.41   	118.45   	 249.24		110.29   	 315.36		
-86.06   	-342.41   	119.45   	 239.06		111.56   	 310.27		
-91.55   	-339.97   	120.41   	 223.80		112.80   	 305.19		
-90.33   	-334.78   	121.30   	 213.63		114.02   	 295.01		
-90.33   	-335.08   	122.16   	 193.29		115.20   	 284.84		
-91.55   	-330.20   	122.93   	 183.11		116.34   	 279.75		
-81.18   	-326.23   	123.66   	 162.77		117.46   	 269.58		
-85.14   	-318.91   	124.31   	 152.59		118.53   	 254.32		
-84.23   	-303.65   	124.92   	 132.25		119.55   	 249.24		
-79.35   	-290.22   	125.45   	 122.07		120.55   	 239.06		
-76.29   	-271.30   	125.94   	 101.73		121.51   	 223.80		
-65.61   	-246.28   	126.35   	 101.73		122.40   	 218.72		
-61.95   	-229.19   	126.75   	  96.64		123.28   	 203.46		
-52.19   	-209.66   	127.14   	 101.73		124.09   	 193.29		
-47.00   	-190.73   	127.55   	 106.82		124.86   	 178.03		
-45.78   	-175.78   	127.98   	 111.90		125.57   	 172.94		
-31.43   	-163.88   	128.42   	 116.99		126.27   	 157.68		
-21.97   	-154.42   	128.89   	 101.73		126.90   	 147.51		
-16.78   	-145.57   	129.30   	  86.47		127.49   	 137.33		
-12.82   	-143.13   	129.64   	  55.95		128.04   	 122.07		
 -9.16   	-133.67   	129.87   	  20.35		128.52   	 116.99		
 -7.32   	-122.07   	129.95(S)	 -25.43		128.99   	  96.64		
 -7.63   	-116.27   	129.85   	 -66.12		129.38   	  86.47		
 -1.53   	-111.39   	129.58   	-106.82		129.72   	  76.30		
  4.88   	-108.64   	129.16   	-147.51		130.03   	  55.95		
  3.05   	-111.08   	128.57   	-172.94		130.25   	  45.78		
  5.49   	-114.44   	127.87   	-208.54		130.44   	  25.43		
 13.73   	-113.53   	127.04   	-233.98		130.54   	  15.26		
 13.12   	-114.75   	126.10   	-264.50		130.60(S)	  -5.09		
 11.29   	-114.75   	125.05   	-300.10		130.58   	 -25.43		
  8.54   	-118.10   	123.84   	-335.71		130.48   	 -45.78		
  5.19   	-115.97   	122.50   	-371.31		130.29   	 -66.12		
  4.58   	-112.00   	121.02   	-412.00		130.03   	 -91.56		
  4.88   	-113.83   	119.37   	-432.35		129.66   	-111.90		
 12.82   	-107.42   	117.64   	-442.52		129.22   	-137.33		
 12.21   	-105.59   	115.87   	-427.26		128.67   	-162.77		
  8.54   	-109.25   	114.16   	-386.57		128.02   	-188.20		
