  I     	  II     	  AOp     	  AOp'		
-41.81   	-35.10   	108.59   	 442.52		
-40.28   	-35.40   	110.36   	 574.77		
-39.06   	-36.32   	112.65   	 534.08		
-38.15   	-37.54   	114.79   	 417.09		
-37.54   	-38.45   	116.46   	 188.20		
-37.23   	-38.76   	117.21   	-178.03		
-36.93   	-38.76   	116.50   	-559.51		
-36.62   	-38.76   	114.26   	-900.30		
-36.01   	-39.06   	110.66   	-1088.50		
-36.01   	-39.67   	106.31   	-1063.07		
-36.32   	-40.89   	102.05   	-834.18		
-36.93   	-41.50   	 98.72   	-534.08		
-37.54   	-41.81   	 96.58   	-249.24		
-38.45   	-41.50   	 95.58   	 -20.35		
-39.37   	-41.50   	 95.50   	  61.04		
-40.59   	-42.11   	 95.75   	  20.35		
-42.72   	-43.33   	 95.83   	 -61.04		
-44.86   	-45.17   	 95.58   	-116.99		
-47.61   	-46.69   	 95.12   	-127.16		
-49.74   	-47.00   	 94.61   	 -50.86		
-50.96   	-46.69   	 94.40   	  -5.09		
-51.88   	-46.08   	 94.38   	 116.99		
-52.80   	-46.08   	 94.85   	 330.62		
-54.32   	-46.69   	 96.17   	 488.30		
-56.15   	-47.91   	 98.13   	 462.87		
-58.29   	-48.83   	 99.98   	 259.41		
-60.42   	-49.74   	101.02   	  15.26		
-61.95   	-50.35   	101.08   	-147.51		
-63.17   	-50.96   	100.49   	-279.75		
-64.39   	-51.27   	 99.37   	-401.83		
-65.31   	-51.27   	 97.76   	-417.09		
-66.22   	-50.96   	 96.09   	-330.62		
-66.83   	-50.66   	 94.77   	-218.72		
-67.14   	-50.35   	 93.90   	-162.77		
-67.44   	-50.66   	 93.24   	-178.03		
-68.66   	-50.96   	 92.53   	-615.46		
-72.33   	-50.96   	 90.07   	-361.14		
-72.33   	-51.57   	 88.63   	  55.95		
-73.24   	-52.49   	 88.85   	 122.07		
-74.16   	-53.10   	 89.34   	 147.51		
-74.77   	-53.10   	 89.93   	  96.64		
-74.77   	-52.49   	 90.32   	  15.26		
-74.77   	-51.88   	 90.38   	 -86.47		
-74.46   	-51.57   	 90.03   	-249.24		
-74.46   	-52.49   	 89.03   	-401.83		
-74.46   	-53.41   	 87.43   	-396.74		
-74.77   	-54.32   	 85.84   	-295.01		
-75.38   	-54.32   	 84.66   	-223.80		
-76.29   	-53.71   	 83.76   	-142.42		
-76.60   	-52.80   	 83.19   	 -81.38		
-76.90   	-51.88   	 82.87   	 -10.17		
-76.90   	-51.27   	 82.83   	  40.69		
-76.90   	-50.66   	 82.99   	  35.61		
-76.60   	-50.05   	 83.13   	  15.26		
-76.60   	-49.74   	 83.19   	  15.26		
-76.90   	-50.05   	 83.26   	   5.09		
-76.90   	-50.66   	 83.28   	   0.00		
-76.90   	-50.66   	 83.28   	 -15.26		
-76.60   	-49.74   	 83.21   	 -50.86		
-76.29   	-48.22   	 83.01   	 -86.47		
-75.68   	-47.00   	 82.66   	-122.07		
-75.07   	-46.08   	 82.18   	-157.68		
-75.07   	-45.78   	 81.55   	-152.59		
-74.77   	-45.17   	 80.94   	-106.82		
-74.46   	-44.25   	 80.51   	 -61.04		
-74.46   	-43.03   	 80.26   	 -25.43		
-74.77   	-41.50   	 80.16   	   0.00		
-75.38   	-40.59   	 80.16   	  30.52		
-76.29   	-40.28   	 80.28   	  25.43		
-76.90   	-40.28   	 80.39   	 -10.17		
-76.90   	-40.28   	 80.35   	 -61.04		
-76.60   	-39.98   	 80.10   	-127.16		
-76.29   	-39.67   	 79.59   	-172.94		
-76.60   	-39.67   	 78.90   	-178.03		
-76.90   	-39.98   	 78.19   	-162.77		
-77.21   	-39.98   	 77.54   	-137.33		
-76.60   	-39.67   	 76.99   	-127.16		
-75.68   	-39.37   	 76.48   	-127.16		
-74.46   	-39.06   	 75.97   	-106.82		
-73.55   	-39.37   	 75.54   	 -76.30		
-72.94   	-39.98   	 75.24   	 -66.12		
-72.63   	-40.89   	 74.97   	 -35.61		
-71.72   	-41.20   	 74.83   	  -5.09		
-70.19   	-40.59   	 74.81   	  -5.09		
-68.66   	-39.06   	 74.79   	 -15.26		
-67.44   	-37.23   	 74.73   	 -25.43		
-66.22   	-34.79   	 74.63   	 -30.52		
-65.00   	-31.43   	 74.51   	 -25.43		
-63.48   	-27.47   	 74.40   	 -40.69		
-61.65   	-23.19   	 74.24   	 -50.86		
-59.20   	-18.62   	 74.04   	 -45.78		
-55.54   	-14.65   	 73.86   	 -10.17		
-50.66   	-11.29   	 73.81   	  15.26		
-45.17   	 -8.24   	 73.88   	  25.43		
-39.67   	 -5.49   	 73.98   	  55.95		
-35.10   	 -2.14   	 74.20   	  76.30		
-32.04   	  2.14   	 74.51   	  30.52		
-29.30   	  7.02   	 74.63   	 -50.86		
-26.55   	 10.99   	 74.42   	 -20.35		
-23.80   	 12.51   	 74.34   	 -50.86		
-21.06   	 10.99   	 74.14   	-167.85		
-18.92   	  5.49   	 73.47   	-350.97		
-18.31   	 -2.75   	 72.06   	-747.71		
-19.53   	-11.90   	 69.07   	-686.67		
-23.80   	-19.84   	 66.33   	 -66.12		
-29.91   	-24.41   	 66.06   	 432.35		
-36.32   	-24.11   	 67.79   	 717.19		
-40.28   	-20.45   	 70.66   	 773.14		
-40.28   	-15.56   	 73.75   	 442.52		Beg---------
-37.23   	-12.51   	 75.52   	 -91.56		
-32.96   	-12.82   	 75.16   	-1073.24		
-30.82   	-16.78   	 70.86   	-1337.74		
-32.35   	-22.58   	 65.51   	-406.92		
-36.01   	-26.86   	 63.89   	 300.10		
-39.37   	-28.08   	 65.09   	 518.82		
-40.28   	-26.25   	 67.16   	 732.45		
-38.15   	-24.11   	 70.09   	 722.28		
-34.48   	-24.11   	 72.98   	 518.82		
-30.82   	-27.16   	 75.06   	 605.29		
-28.38   	-32.96   	 77.48   	 152.59		
-28.08   	-39.37   	 78.09   	-1424.21		
-30.52   	-44.86   	 72.39   	-2151.57		
-36.93   	-49.13   	 63.78   	-1281.79		
-46.08   	-50.96   	 58.66   	 -55.95		
-55.85   	-50.35   	 58.43   	 666.32		
