  I     	  II     	  AO     	  AO'		  FA     	  FA'		
-342.71   	-26.25   	 71.25   	 -35.61		 74.04   	 -30.52		
-341.80   	-25.33   	 71.11   	 -25.43		 73.92   	 -25.43		
-342.10   	-24.72   	 71.01   	   0.00		 73.81   	 -25.43		
-342.71   	-26.55   	 71.01   	   5.09		 73.71   	 -30.52		
-341.19   	-26.25   	 71.03   	  10.17		 73.59   	 -25.43		
-340.27   	-25.63   	 71.07   	   5.09		 73.49   	 -30.52		
-344.24   	-31.13   	 71.09   	  -5.09		 73.37   	 -30.52		
-352.17   	-34.79   	 71.07   	 -15.26		 73.24   	 -35.61		
-366.21   	-46.39   	 71.01   	 -30.52		 73.10   	 -40.69		
-364.07   	-66.83   	 70.88   	 -40.69		 72.94   	 -40.69		
-322.27   	-77.82   	 70.72   	 -55.95		 72.78   	 -45.78		
-246.28   	-73.24   	 70.50   	 -61.04		 72.59   	 -40.69		
-145.57   	-44.25   	 70.25   	 -50.86		 72.43   	 -45.78		
-20.14   	 19.23   	 70.05   	 -50.86		 72.25   	 -35.61		
 89.72   	 91.25   	 69.85   	 -40.69		 72.11   	 -30.52		
202.64   	193.48   	 69.68   	 -45.78		 71.98   	 -25.43		
317.38   	324.40   	 69.50   	 -45.78		 71.88   	 -25.43		
378.72   	487.98   	 69.32   	 -55.95		 71.78   	 -25.43		
427.25   	660.71   	 69.09   	 -55.95		 71.68   	 -35.61		
396.42   	730.59   	 68.87   	 -55.95		 71.54   	 -40.69		
186.46   	608.83   	 68.65   	 -55.95		 71.37   	 -45.78		
-116.58   	329.90   	 68.42   	 -50.86		 71.19   	 -40.69		
-437.32   	-43.64   	 68.22   	 -45.78		 71.03   	 -35.61		
-732.73(R)	-463.87   	 68.04   	 -45.78		 70.88   	 -25.43		
-852.05   	-749.51   	 67.85   	 -50.86		 70.78   	 -20.35		
-731.81   	-934.14   	 67.65   	 -55.95		 70.70   	 -15.26		
-610.35   	-1045.53   	 67.43   	 -61.04		 70.64   	 -15.26		
-549.62   	-1019.90   	 67.18   	 -50.86		 70.58   	 -20.35		
-484.01   	-926.82   	 66.98   	 -35.61		 70.50   	 -20.35		
-530.70   	-803.53   	 66.84   	   5.09		 70.42   	 -25.43		
-622.86   	-702.82   	 66.86   	  45.78		 70.32   	 -25.43		
-642.09   	-641.48   	 67.04   	  86.47		 70.21   	 -35.61		
-668.95   	-619.20   	 67.39   	 106.82		 70.07   	 -40.69		
-693.66   	-624.39   	 67.81   	  96.64		 69.91   	 -40.69		
-708.62   	-627.14   	 68.20   	  55.95		 69.75   	 -45.78		
-698.55   	-624.08   	 68.42   	 -10.17		 69.56   	 -40.69		
-711.36   	-618.29   	 68.38   	 -86.47		 69.40   	 -35.61		
-731.20   	-628.66   	 68.04   	-157.68		 69.26   	 -25.43		
-721.13   	-606.99   	 67.41   	-193.29		 69.16   	 -25.43		
-696.72   	-576.78   	 66.63   	-193.29		 69.05   	 -20.35		
-673.22   	-539.86   	 65.86   	-147.51		 68.97   	 -20.35		
-628.36   	-473.94   	 65.27   	 -76.30		 68.89   	 -25.43		
-585.02   	-397.34   	 64.96   	  15.26		 68.79   	 -30.52		
-543.52   	-324.71   	 65.03   	 101.73		 68.67   	 -35.61		
-496.22   	-255.13   	 65.43   	 178.03		 68.52   	 -30.52		
-459.29   	-199.58   	 66.14   	 239.06		 68.40   	 -30.52		
-434.57   	-170.90   	 67.10   	 284.84		 68.28   	 -25.43		
-423.28   	-154.42   	 68.24   	 335.71		 68.18   	 -15.26		
-415.34   	-139.16   	 69.58   	 386.57		 68.12   	 -15.26		
-407.41   	-131.84   	 71.13   	 462.87		 68.06   	 -15.26		
-402.22   	-128.17   	 72.98   	 544.25		 68.00   	 -20.35		
-398.25   	-122.38   	 75.16   	 620.55		 67.91   	 -35.61		
-397.03   	-123.29   	 77.64   	 676.50		 67.77   	 -40.69		
-398.86   	-126.95   	 80.35   	 691.76		 67.61   	 -50.86		
-398.25   	-126.34   	 83.11   	 666.32		 67.41   	 -50.86		
-395.51   	-126.04   	 85.78   	 610.37		 67.20   	 -45.78		
-394.59   	-128.17   	 88.22   	 523.90		 67.02   	 -40.69		
-392.46   	-129.09   	 90.32   	 432.35		 66.86   	 -35.61		
-391.54   	-132.14   	 92.04   	 340.79		 66.71   	 -30.52		
-392.15   	-135.19   	 93.41   	 269.58		 66.59   	 -25.43		
-390.93   	-137.02   	 94.49   	 223.80		 66.49   	 -20.35		
-391.85   	-139.16   	 95.38   	 208.54		 66.41   	 -10.17		
-393.37   	-143.13   	 96.22   	 218.72		 66.37   	   0.00		
-394.59   	-145.26   	 97.09   	 239.06		 66.37   	  10.17		
-396.12   	-146.79   	 98.05   	 249.24		 66.41   	  35.61		
-395.51   	-149.23   	 99.04   	 244.15		 66.55   	  50.86		
-395.20   	-151.98   	100.02   	 213.63		 66.75   	  96.64		
-393.98   	-154.72   	100.87   	 152.59		 67.14   	 147.51		
-394.90   	-159.00   	101.48   	  71.21		 67.73   	 254.32		
-397.95   	-164.79   	101.77(S)	 -40.69		 68.75   	 396.74		
-398.86   	-169.07   	101.61   	-137.33		 70.34   	 584.94		
-401.92   	-174.87   	101.06   	-223.80		 72.68   	 788.40		
-403.75   	-180.05   	100.16   	-259.41		 75.83   	 961.34		
-405.58   	-184.63   	 99.12   	-249.24		 79.67   	1052.90		
-408.02   	-191.04   	 98.13   	-203.46		 83.89   	1042.72		
-411.99   	-197.45   	 97.31   	-132.25		 88.06   	 940.99		
-415.65   	-205.38   	 96.78   	 -71.21		 91.82   	 798.57		
-418.40   	-215.45   	 96.50   	 -30.52		 95.01   	 645.98		
-422.67   	-224.61   	 96.38   	 -20.35		 97.60   	 539.16		
-425.72   	-233.76   	 96.30   	 -50.86		 99.76   	 473.04		
-427.25   	-243.84   	 96.09   	-101.73		101.65   	 447.61		
-431.52   	-252.69   	 95.69   	-183.11		103.44   	 432.35		
-435.79   	-264.59   	 94.95   	-249.24		105.17   	 432.35		
-437.62   	-274.66   	 93.96   	-305.19		106.90   	 406.92		
-439.15   	-284.12   	 92.74   	-320.45		108.52   	 381.48		
-440.98   	-294.19   	 91.45   	-279.75		110.05   	 345.88		
-440.98   	-300.60   	 90.34   	-183.11		111.43   	 305.19		
-438.54   	-308.84   	 89.60   	 -45.78		112.65   	 264.50		
-437.62   	-316.16   	 89.42   	  96.64		113.71   	 228.89		
-433.96   	-321.66   	 89.81   	 208.54		114.63   	 183.11		
-428.16   	-326.23   	 90.64   	 264.50		115.36   	 142.42		
-424.50   	-328.98   	 91.70   	 259.41		115.93   	 101.73		
-418.09   	-328.06   	 92.74   	 193.29		116.34   	  76.30		
-407.71   	-324.71   	 93.51   	  86.47		116.64   	  50.86		
-398.86   	-321.66   	 93.86   	 -30.52		116.85   	  30.52		
-386.96   	-313.42   	 93.73   	-127.16		116.97   	   5.09		
-375.06   	-305.48   	 93.22   	-188.20		116.99(S)	 -10.17		
-364.38   	-295.72   	 92.47   	-198.37		116.95   	 -45.78		
-351.26   	-279.24   	 91.68   	-167.85		116.76   	 -76.30		
-339.05   	-262.76   	 91.01   	 -96.64		116.46   	-111.90		
-327.76   	-243.23   	 90.62   	 -15.26		116.01   	-142.42		
-316.47   	-220.34   	 90.56   	  66.12		115.44   	-167.85		
-305.79   	-198.06   	 90.82   	 122.07		114.77   	-188.20		
-296.33   	-173.65   	 91.31   	 147.51		114.02   	-203.46		
-288.70   	-148.62   	 91.90   	 137.33		113.20   	-213.63		
-284.42   	-126.65   	 92.45   	 101.73		112.35   	-228.89		
-281.07   	-105.29   	 92.86   	  61.04		111.43   	-239.06		
-281.07   	-88.50   	 93.10   	  15.26		110.48   	-244.15		
-283.20   	-75.38   	 93.16   	 -15.26		109.50   	-254.32		
-284.73   	-62.56   	 93.10   	 -25.43		108.48   	-259.41		
-288.70   	-52.49   	 93.00   	 -20.35		107.45   	-269.58		
-292.66   	-43.64   	 92.92   	   5.09		106.37   	-264.50		
-294.80   	-36.32   	 92.94   	  25.43		105.31   	-269.58		
-296.94   	-29.30   	 93.04   	  45.78		104.23   	-269.58		
-299.38   	-24.11   	 93.22   	  61.04		103.15   	-259.41		
-300.90   	-19.53   	 93.47   	  61.04		102.12   	-254.32		
-301.82   	-15.56   	 93.71   	  45.78		101.10   	-249.24		
-301.51   	-11.60   	 93.90   	  20.35		100.10   	-239.06		
-303.04   	-10.38   	 93.98   	 -15.26		 99.15   	-228.89		
-303.65   	 -9.77   	 93.92   	 -40.69		 98.23   	-218.72		
-303.65   	 -7.63   	 93.75   	 -76.30		 97.35   	-203.46		
-307.01   	 -9.46   	 93.45   	 -91.56		 96.54   	-183.11		
-307.31   	-11.29   	 93.08   	-111.90		 95.81   	-172.94		
-308.53   	-10.99   	 92.63   	-116.99		 95.12   	-157.68		
-312.50   	-14.04   	 92.17   	-137.33		 94.49   	-137.33		
-312.81   	-13.73   	 91.62   	-152.59		 93.94   	-132.25		
-310.67   	-11.60   	 91.01   	-183.11		 93.41   	-122.07		
-313.11   	-12.82   	 90.27   	-213.63		 92.92   	-111.90		
-311.58   	-10.38   	 89.42   	-239.06		 92.47   	-106.82		
-309.45   	-11.29   	 88.46   	-269.58		 92.04   	 -96.64		
-313.11   	-13.73   	 87.39   	-269.58		 91.66   	 -86.47		
-316.16   	-15.26   	 86.31   	-249.24		 91.31   	 -81.38		
-316.77   	-18.01   	 85.31   	-213.63		 90.99   	 -76.30		
-319.52   	-18.92   	 84.46   	-147.51		 90.68   	 -71.21		
-320.74   	-20.75   	 83.87   	 -66.12		 90.40   	 -61.04		
-318.60   	-21.67   	 83.60   	  15.26		 90.15   	 -61.04		
-319.52   	-22.58   	 83.66   	  76.30		 89.91   	 -61.04		
-322.27   	-27.16   	 83.97   	 116.99		 89.66   	 -66.12		
-325.62   	-29.91   	 84.44   	 132.25		 89.40   	 -66.12		
-327.76   	-32.65   	 84.96   	 106.82		 89.13   	 -66.12		
-329.28   	-35.71   	 85.39   	  66.12		 88.87   	 -76.30		
-334.17   	-37.84   	 85.66   	  10.17		 88.57   	 -86.47		
-336.91   	-38.45   	 85.70   	 -45.78		 88.22   	 -96.64		
-340.27   	-41.20   	 85.51   	 -91.56		 87.83   	-101.73		
-343.63   	-43.64   	 85.15   	-106.82		 87.43   	-116.99		
-342.71   	-43.03   	 84.72   	-116.99		 86.96   	-127.16		
-344.24   	-46.69   	 84.25   	 -91.56		 86.45   	-132.25		
-343.93   	-47.61   	 83.89   	 -61.04		 85.92   	-142.42		
-346.37   	-48.83   	 83.64   	 -30.52		 85.35   	-147.51		
-347.90   	-47.91   	 83.52   	   0.00		 84.76   	-147.51		
-351.26   	-49.44   	 83.52   	  20.35		 84.17   	-142.42		
-355.83   	-50.96   	 83.60   	  10.17		 83.60   	-137.33		
-355.22   	-47.91   	 83.64   	 -15.26		 83.05   	-127.16		
-357.97   	-50.66   	 83.58   	 -50.86		 82.54   	-111.90		
-357.97   	-50.05   	 83.38   	 -86.47		 82.10   	 -91.56		
-357.67   	-46.69   	 83.03   	-116.99		 81.73   	 -71.21		
-360.41   	-48.83   	 82.56   	-137.33		 81.44   	 -55.95		
-363.77   	-49.44   	 82.01   	-137.33		 81.22   	 -45.78		
-362.24   	-47.91   	 81.46   	-116.99		 81.04   	 -35.61		
-360.72   	-47.00   	 81.00   	 -86.47		 80.89   	 -35.61		
-361.02   	-47.00   	 80.65   	 -50.86		 80.75   	 -35.61		
-356.14   	-44.86   	 80.45   	 -15.26		 80.61   	 -40.69		
-357.06   	-43.03   	 80.39   	   0.00		 80.45   	 -45.78		
-359.80   	-45.47   	 80.39   	   5.09		 80.26   	 -45.78		
-361.33   	-44.56   	 80.41   	  -5.09		 80.08   	 -45.78		
-365.30   	-45.47   	 80.39   	 -25.43		 79.90   	 -40.69		
-366.82   	-47.30   	 80.28   	 -50.86		 79.74   	 -35.61		
-365.30   	-43.95   	 80.08   	 -76.30		 79.59   	 -40.69		
-365.60   	-46.69   	 79.78   	 -96.64		 79.43   	 -35.61		
-365.60   	-43.64   	 79.39   	 -96.64		 79.29   	 -35.61		
-367.13   	-43.64   	 79.00   	 -96.64		 79.15   	 -35.61		
-368.35   	-43.64   	 78.62   	 -86.47		 79.00   	 -35.61		
-367.74   	-38.76   	 78.27   	 -66.12		 78.86   	 -40.69		
-368.35   	-38.45   	 78.01   	 -45.78		 78.70   	 -35.61		
-364.69   	-35.71   	 77.82   	 -30.52		 78.56   	 -35.61		
