  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
-18.31   	-14.65   	135.12   	  15.26		134.08   	-137.33		
-37.23   	-28.08   	135.18(S)	 -45.78		133.53   	 132.25		
-51.57   	-40.28   	134.99   	 -91.56		134.06   	 249.24		
-56.15   	-50.96   	134.63   	-137.33		135.06   	  20.35		
-55.24   	-61.65   	134.08   	-172.94		135.14   	-289.93		
-53.71   	-73.24   	133.39   	-203.46		133.98   	-335.71		
-55.54   	-83.31   	132.57   	-213.63		132.63   	-203.46		
-59.51   	-88.81   	131.72   	-218.72		131.82   	 -50.86		
-61.65   	-88.20   	130.84   	-218.72		131.62   	  10.17		
-60.42   	-84.53   	129.97   	-213.63		131.66   	 -91.56		
-58.29   	-81.48   	129.11   	-213.63		131.29   	-259.41		
-57.37   	-81.18   	128.26   	-213.63		130.25   	-335.71		
-58.90   	-83.62   	127.41   	-223.80		128.91   	-320.45		
-60.12   	-85.75   	126.51   	-239.06		127.63   	-269.58		
-57.37   	-84.23   	125.55   	-264.50		126.55   	-244.15		
-50.05   	-78.74   	124.50   	-300.10		125.57   	-279.75		
-40.89   	-70.80   	123.30   	-340.79		124.46   	-371.31		
-35.40   	-62.87   	121.93   	-381.48		122.97   	-452.69		
-38.45   	-58.59   	120.41   	-417.09		121.16   	-467.95		
-50.66   	-60.12   	118.74   	-442.52		119.29   	-422.18		
-66.22   	-65.92   	116.97   	-457.78		117.60   	-412.00		
-78.13   	-71.41   	115.14   	-457.78		115.95   	-442.52		
-81.48   	-73.85   	113.31   	-442.52		114.18   	-518.82		
-76.90   	-70.19   	111.54   	-412.00		112.11   	-549.34		
-67.75   	-59.51   	109.89   	-376.40		109.91   	-539.16		
-58.59   	-46.69   	108.38   	-335.71		107.75   	-523.90		
-52.49   	-36.62   	107.04   	-289.93		105.66   	-508.65		
-50.05   	-33.87   	105.88   	-249.24		103.62   	-513.73		
-50.66   	-38.15   	104.88   	-213.63		101.57   	-523.90		
-52.49   	-45.17   	104.03   	-188.20		 99.47   	-523.90		
-54.63   	-50.35   	103.28   	-167.85		 97.37   	-503.56		
-57.07   	-51.88   	102.60   	-157.68		 95.36   	-467.95		
-56.76   	-50.05   	101.97   	-152.59		 93.49   	-427.26		
-52.80   	-47.00   	101.36   	-162.77		 91.78   	-406.92		
-45.78   	-44.86   	100.71   	-167.85		 90.15   	-376.40		
-38.76   	-43.64   	100.04   	-172.94		 88.65   	-371.31		
-35.40   	-43.95   	 99.35   	-183.11		 87.16   	-340.79		
-37.84   	-45.17   	 98.62   	-188.20		 85.80   	-325.53		
-42.42   	-45.78   	 97.86   	-188.20		 84.50   	-300.10		
-43.64   	-44.56   	 97.11   	-188.20		 83.30   	-279.75		
-40.28   	-42.72   	 96.36   	-188.20		 82.18   	-274.67		
-34.48   	-41.81   	 95.60   	-188.20		 81.08   	-269.58		
-31.74   	-43.33   	 94.85   	-178.03		 80.00   	-254.32		
-33.26   	-46.69   	 94.14   	-172.94		 78.98   	-244.15		
-36.93   	-50.96   	 93.45   	-167.85		 78.01   	-233.98		
-38.76   	-55.54   	 92.78   	-157.68		 77.07   	-223.80		
-37.54   	-60.42   	 92.15   	-152.59		 76.17   	-208.54		
-34.18   	-63.48   	 91.54   	-137.33		 75.34   	-203.46		
-29.60   	-61.65   	 90.99   	-137.33		 74.53   	-198.37		
-24.72   	-53.41   	 90.44   	-127.16		 73.73   	-183.11		
-19.23   	-41.81   	 89.93   	-122.07		 73.00   	-178.03		
-13.73   	-32.04   	 89.44   	-116.99		 72.29   	-152.59		
-11.60   	-29.30   	 88.97   	-116.99		 71.68   	-147.51		
-14.04   	-34.48   	 88.50   	-111.90		 71.09   	-142.42		
-20.75   	-44.86   	 88.06   	-116.99		 70.52   	-142.42		
-28.38   	-56.46   	 87.59   	-111.90		 69.95   	-132.25		
-34.79   	-67.14   	 87.14   	-116.99		 69.42   	-127.16		
-37.84   	-74.16   	 86.67   	-116.99		 68.91   	-122.07		
-37.54   	-75.38   	 86.21   	-116.99		 68.42   	-106.82		
-35.40   	-72.33   	 85.74   	-122.07		 68.00   	-111.90		
-32.96   	-67.75   	 85.25   	-116.99		 67.55   	 -96.64		
-32.04   	-65.92   	 84.78   	-122.07		 67.16   	 -96.64		
-33.26   	-67.75   	 84.29   	-116.99		 66.77   	 -96.64		
-37.23   	-70.80   	 83.82   	-116.99		 66.39   	 -86.47		
-43.03   	-72.94   	 83.36   	-116.99		 66.04   	 -86.47		
-48.22   	-72.63   	 82.89   	-111.90		 65.70   	 -86.47		
-48.22   	-70.19   	 82.44   	-116.99		 65.35   	 -86.47		
