  I     	  II     	  LV     	  LV'		
218.20   	-262.15   	  9.79   	 -15.26		
209.35   	-272.22   	  9.73   	 -10.17		
167.85   	-281.98   	  9.68   	  -5.09		
 98.57   	-291.14   	  9.66   	  -5.09		
 26.86   	-300.29   	  9.64   	   0.00		
 -9.16   	-307.92   	  9.64   	   5.09		
 11.90   	-313.42   	  9.66   	  10.17		
 72.33   	-318.60   	  9.70   	  15.26		
121.46   	-324.71   	  9.77   	  15.26		
117.49   	-330.81   	  9.83   	  25.43		
 64.09   	-333.86   	  9.93   	  20.35		
  2.75   	-332.64   	 10.01   	  30.52		
-25.33   	-328.67   	 10.13   	  25.43		
-10.99   	-323.49   	 10.23   	  30.52		
 25.94   	-320.43   	 10.36   	  35.61		
 59.81   	-319.52   	 10.50   	  30.52		
 77.21   	-320.74   	 10.62   	  35.61		
 78.13   	-322.57   	 10.76   	  35.61		
 65.31   	-324.10   	 10.91   	  35.61		
 43.33   	-325.01   	 11.05   	  40.69		
 24.11   	-325.01   	 11.21   	  45.78		
 21.67   	-323.49   	 11.39   	  45.78		
 33.57   	-320.74   	 11.58   	  45.78		
 39.67   	-312.81   	 11.76   	  50.86		
 23.80   	-292.97   	 11.96   	  50.86		
-11.29   	-255.74   	 12.17   	  50.86		
-41.20   	-206.91   	 12.37   	  50.86		
-33.87   	-162.35   	 12.57   	  45.78		
 27.16   	-141.30   	 12.76   	  45.78		
130.00   	-151.67   	 12.94   	  45.78		
250.55   	-183.41   	 13.12   	  40.69		
370.79   	-225.83   	 13.29   	  35.61		
490.11   	-288.09   	 13.43   	  30.52		
614.93   	-386.05   	 13.55   	  30.52		
737.30   	-517.88   	 13.67   	  30.52		
829.16   	-648.19   	 13.79   	  30.52		
842.90(R)	-719.30   	 13.92(E)	  25.43		
743.71   	-700.99   	 14.02   	  30.52		
554.81   	-619.20   	 14.14   	  35.61		
349.73   	-528.87   	 14.28   	  35.61		
200.81   	-464.17   	 14.43   	  40.69		
136.72   	-420.23   	 14.59   	  45.78		
133.97   	-371.70   	 14.77   	  61.04		
137.94   	-311.28   	 15.02   	  71.21		
112.61   	-258.18   	 15.30   	  86.47		
 65.31   	-235.60   	 15.65   	 116.99		
 22.89   	-244.45   	 16.11   	 147.51		
  0.61   	-263.98   	 16.70   	 193.29		
  0.61   	-273.44   	 17.48   	 239.06		
 23.50   	-267.94   	 18.43   	 305.19		
 70.80   	-257.26   	 19.65   	 366.22		
130.62   	-250.24   	 21.12   	 442.52		
174.56   	-249.02   	 22.89   	 508.65		
170.90   	-249.02   	 24.92   	 579.86		
104.98   	-248.11   	 27.24   	 645.98		
  3.66   	-244.75   	 29.83   	 701.93		
-75.38   	-241.09   	 32.63   	 757.88		
-86.67   	-238.65   	 35.67   	 808.75		
-33.26   	-238.34   	 38.90   	 834.18		
 43.95   	-237.73   	 42.24   	 859.61		
 97.35   	-235.90   	 45.68   	 854.52		
107.12   	-232.85   	 49.09   	 839.26		
 86.98   	-229.19   	 52.45   	 803.66		
 65.31   	-226.14   	 55.67   	 747.71		
 60.42   	-224.00   	 58.66   	 686.67		
 68.66   	-222.17   	 61.40   	 630.72		
 79.04   	-219.42   	 63.93   	 579.86		
 83.92   	-217.29   	 66.25   	 544.25		
 85.45   	-216.67   	 68.42   	 534.08		
 86.06   	-217.90   	 70.56   	 523.90		
 78.13   	-219.73   	 72.65   	 544.25		
 57.68   	-219.42   	 74.83   	 559.51		
 37.54   	-215.76   	 77.07   	 579.86		
 32.96   	-210.27   	 79.39   	 595.11		
 49.13   	-205.08   	 81.77   	 600.20		
 76.60   	-202.64   	 84.17   	 590.03		
 98.27   	-202.64   	 86.53   	 559.51		
106.20   	-202.33   	 88.77   	 518.82		
108.34   	-200.50   	 90.84   	 452.69		
116.58   	-196.84   	 92.65   	 381.48		
127.26   	-191.96   	 94.18   	 305.19		
124.21   	-185.55   	 95.40   	 228.89		
102.23   	-177.00   	 96.32   	 162.77		
 71.11   	-166.93   	 96.97   	 106.82		
 47.00   	-158.69   	 97.40   	  71.21		
 45.47   	-154.42   	 97.68   	  55.95		
 68.36   	-154.72   	 97.90   	  50.86		
103.15   	-155.64   	 98.11   	  61.04		
133.97   	-150.15   	 98.35   	  86.47		
149.84   	-135.19   	 98.70   	 116.99		
151.98   	-114.44   	 99.17   	 142.42		
155.64   	-94.30   	 99.74   	 167.85		
177.31   	-81.79   	100.41   	 188.20		
218.81   	-78.13   	101.16   	 203.46		
258.79   	-78.74   	101.97   	 208.54		
278.32   	-76.60   	102.81   	 213.63		
279.85   	-68.36   	103.66   	 203.46		
272.22   	-54.63   	104.48   	 203.46		
263.37   	-39.37   	105.29   	 198.37		
254.82   	-25.63   	106.08   	 193.29		
236.21   	-14.65   	106.86   	 188.20		
210.27   	 -6.41   	107.61   	 188.20		
204.77   	 -0.92   	108.36   	 178.03		
240.17   	  1.53   	109.07   	 178.03		
300.60   	  0.00   	109.79   	 162.77		
344.54   	 -3.05   	110.44   	 152.59		
342.71   	 -5.80   	111.05   	 142.42		
302.73   	 -9.46   	111.62   	 116.99		
260.62   	-16.48   	112.09   	  96.64		
246.58   	-29.60   	112.47   	  81.38		
250.24   	-47.00   	112.80   	  61.04		
233.46   	-63.78   	113.04   	  45.78		
180.05   	-76.90   	113.22   	  30.52		
117.19   	-89.11   	113.35   	  20.35		
 81.79   	-104.98   	113.43   	  10.17		
 83.62   	-125.73   	113.47   	  10.17		
 97.35   	-147.09   	113.51(S)	   0.00		
 92.77   	-162.66   	113.51   	   0.00		
 70.50   	-171.81   	113.51   	   0.00		
 57.37   	-178.53   	113.51   	  -5.09		
 68.97   	-186.77   	113.49   	 -10.17		
 84.84   	-195.62   	113.45   	 -15.26		
 73.85   	-199.28   	113.39   	 -20.35		
 28.38   	-197.75   	113.31   	 -35.61		
-25.02   	-196.23   	113.16   	 -45.78		
-52.49   	-201.11   	112.98   	 -55.95		
-43.95   	-213.62   	112.76   	 -81.38		
-15.87   	-228.27   	112.43   	 -96.64		
 10.99   	-238.04   	112.04   	-122.07		
 33.87   	-240.17   	111.56   	-152.59		
 61.04   	-238.65   	110.95   	-183.11		
 83.62   	-236.21   	110.21   	-223.80		
 77.82   	-232.85   	109.32   	-254.32		
 31.43   	-226.14   	108.30   	-279.75		
-33.87   	-216.67   	107.18   	-300.10		
-72.02   	-208.74   	105.98   	-315.36		
-51.27   	-208.44   	104.72   	-345.88		
 14.04   	-217.59   	103.34   	-386.57		
 75.38   	-229.49   	101.79   	-457.78		
 96.13   	-236.82   	 99.96   	-549.34		
 77.51   	-237.12   	 97.76   	-661.24		
 46.08   	-233.46   	 95.12   	-788.40		
 25.02   	-229.80   	 91.96   	-905.39		
 12.51   	-227.36   	 88.34   	-1017.29		
 -5.80   	-223.08   	 84.27   	-1103.76		
-30.21   	-215.76   	 79.86   	-1159.71		
-43.03   	-209.05   	 75.22   	-1169.88		
-31.74   	-209.66   	 70.54   	-1154.62		
 -2.75   	-217.59   	 65.92   	-1113.93		
 23.50   	-225.83   	 61.46   	-1047.81		
 28.38   	-227.05   	 57.27   	-971.51		
 11.60   	-218.51   	 53.39   	-900.30		
 -7.32   	-206.30   	 49.79   	-829.09		
 -6.10   	-198.36   	 46.47   	-768.05		
 22.89   	-198.97   	 43.40   	-722.28		
 62.26   	-205.08   	 40.51   	-691.76		
 82.70   	-209.66   	 37.74   	-661.24		
 68.36   	-207.21   	 35.10   	-635.81		
 30.21   	-199.58   	 32.55   	-620.55		
 -1.53   	-192.57   	 30.07   	-584.94		
 -3.05   	-191.04   	 27.73   	-559.51		
 18.31   	-196.53   	 25.49   	-513.73		
 28.99   	-204.47   	 23.44   	-467.95		
  5.19   	-208.74   	 21.57   	-417.09		
-38.76   	-207.21   	 19.90   	-361.14		
-66.53   	-202.64   	 18.45   	-315.36		
-54.93   	-200.20   	 17.19   	-269.58		
-12.21   	-201.11   	 16.11   	-223.80		
 32.96   	-203.25   	 15.22   	-193.29		
 57.98   	-204.16   	 14.45   	-172.94		
 65.31   	-202.03   	 13.75   	-147.51		
 68.36   	-199.89   	 13.16   	-132.25		
 70.50   	-199.58   	 12.63   	-116.99		
 63.48   	-200.81   	 12.17   	-106.82		
 40.89   	-199.58   	 11.74   	 -96.64		
  4.88   	-195.01   	 11.35   	 -81.38		
-32.65   	-189.51   	 11.03   	 -71.21		
-56.46   	-186.77   	 10.74   	 -61.04		
-59.20   	-189.21   	 10.50   	 -50.86		
-40.89   	-194.70   	 10.29   	 -40.69		
 -5.49   	-199.28   	 10.13   	 -35.61		
 36.32   	-201.42   	  9.99   	 -30.52		
 66.83   	-201.42   	  9.87   	 -30.52		
 72.94   	-201.72   	  9.75   	 -25.43		
 53.41   	-201.11   	  9.64   	 -35.61		
 17.09   	-198.06   	  9.50   	 -35.61		
-19.53   	-191.96   	  9.36   	 -40.69		
-38.45   	-184.02   	  9.20   	 -40.69		
-33.26   	-178.53   	  9.03   	 -35.61		
 -9.46   	-177.00   	  8.89   	 -40.69		
 18.62   	-177.92   	  8.73   	 -30.52		
 35.40   	-179.14   	  8.61   	 -20.35		
 32.04   	-179.14   	  8.52   	 -15.26		
 16.48   	-179.14   	  8.46   	  -5.09		
  8.85   	-181.88   	  8.44(D)	   5.09		
 25.63   	-189.51   	  8.46   	  10.17		
 59.51   	-200.50   	  8.50   	  20.35		
 82.70   	-209.35   	  8.59   	  20.35		
 67.14   	-210.88   	  8.67   	  25.43		
 10.07   	-202.33   	  8.77   	  30.52		
-56.15   	-186.16   	  8.89   	  25.43		
-88.81   	-170.29   	  8.99   	  25.43		
-72.02   	-163.27   	  9.09   	  25.43		
-26.86   	-168.15   	  9.20   	  20.35		
  9.77   	-180.36   	  9.28   	  20.35		
 16.78   	-192.87   	  9.36   	  15.26		
  3.66   	-199.28   	  9.42   	  20.35		
 -6.10   	-197.14   	  9.50   	  15.26		
  0.92   	-188.60   	  9.56   	  25.43		
 17.40   	-177.61   	  9.66   	  25.43		
 28.69   	-169.37   	  9.77   	  30.52		
 31.74   	-167.54   	  9.89   	  35.61		
 32.96   	-173.03   	 10.03   	  40.69		
 39.67   	-182.19   	 10.19   	  40.69		
 47.00   	-188.29   	 10.36   	  35.61		
 42.72   	-184.63   	 10.50   	  35.61		
 19.84   	-168.46   	 10.64   	  25.43		
 -7.63   	-142.52   	 10.74   	  15.26		
-13.12   	-115.66   	 10.80   	   5.09		
 66.83   	-88.20   	 10.82   	 -10.17		
 99.18   	-88.20   	 10.78   	 -20.35		
 93.08   	-89.72   	 10.70   	 -25.43		
 60.12   	-87.59   	 10.60   	 -30.52		
 30.82   	-80.87   	 10.48   	 -30.52		
 27.47   	-72.63   	 10.36   	 -30.52		
 44.25   	-66.22   	 10.23   	 -30.52		
 57.07   	-62.26   	 10.11   	 -30.52		
 53.41   	-60.73   	  9.99   	 -25.43		
 45.17   	-62.56   	  9.89   	 -20.35		
 46.08   	-69.58   	  9.81   	 -20.35		
 54.32   	-82.09   	  9.73   	 -15.26		
 61.34   	-98.88   	  9.66   	 -10.17		
 60.12   	-116.88   	  9.62   	 -15.26		
 50.96   	-133.97   	  9.56   	  -5.09		
 39.98   	-149.84   	  9.54   	  -5.09		
 34.79   	-164.18   	  9.52   	  -5.09		
 34.79   	-177.31   	  9.50   	   0.00		
 35.71   	-188.60   	  9.50   	   5.09		
 35.40   	-197.14   	  9.52   	   5.09		
 27.47   	-202.03   	  9.54   	  15.26		
  6.41   	-204.47   	  9.60   	  15.26		
-20.75   	-205.38   	  9.66   	  20.35		
-37.84   	-205.69   	  9.75   	  25.43		
-37.23   	-206.30   	  9.85   	  30.52		
-23.80   	-207.52   	  9.97   	  30.52		
-10.99   	-209.35   	 10.09   	  30.52		
 -4.58   	-213.01   	 10.21   	  30.52		
  2.14   	-218.51   	 10.34   	  30.52		
 15.56   	-224.61   	 10.46   	  35.61		
 26.25   	-227.66   	 10.60   	  30.52		
 13.73   	-225.52   	 10.72   	  30.52		
-30.21   	-218.81   	 10.84   	  25.43		
-83.31   	-212.10   	 10.95   	  30.52		
