  I     	  II     	  LVp     	  LVp'		
  2.44   	161.44   	 28.00   	 193.29		
 21.06   	231.63   	 28.77   	 193.29		
 20.75   	339.97   	 29.54   	 183.11		
-10.38   	504.76   	 30.27   	 172.94		
-65.61   	695.19   	 30.97   	 162.77		
-118.71   	817.26   	 31.62   	 147.51		
-145.26   	756.23   	 32.21   	 127.16		
-145.87   	453.80   	 32.72   	 106.82		
-151.37   	-34.18   	 33.14   	  86.47		
-200.81   	-549.93   	 33.49   	  61.04		
-304.26   	-920.11   	 33.73   	  35.61		
-423.89   	-1057.43   	 33.88   	  15.26		
-496.22   	-991.82   	 33.94   	   5.09		
-476.38   	-824.28   	 33.96   	 -15.26		
-368.04   	-651.86   	 33.90   	 -20.35		
-220.34   	-516.66   	 33.81   	 -20.35		
-93.38   	-413.82   	 33.73   	 -20.35		
-23.50   	-327.45   	 33.65   	 -20.35		
 -8.54   	-255.13   	 33.57   	  -5.09		
-22.58   	-204.47   	 33.55   	   5.09		
-36.93   	-180.05   	 33.57   	  30.52		
-37.84   	-175.17   	 33.69   	  50.86		
-27.77   	-177.31   	 33.90   	  81.38		
-16.48   	-177.00   	 34.22   	 122.07		
-10.99   	-170.59   	 34.71   	 162.77		
-11.60   	-160.83   	 35.36   	 218.72		
-14.34   	-151.37   	 36.24   	 279.75		
-15.87   	-144.65   	 37.35   	 340.79		
-14.65   	-140.38   	 38.72   	 417.09		
-12.21   	-137.02   	 40.39   	 488.30		
 -9.46   	-132.75   	 42.34   	 554.42		
 -7.32   	-126.65   	 44.56   	 615.46		
 -5.80   	-119.93   	 47.02   	 651.07		
 -5.19   	-113.22   	 49.62   	 676.50		
 -4.88   	-106.81   	 52.33   	 681.58		
 -4.27   	-100.40   	 55.06   	 661.24		
 -2.75   	-93.99   	 57.70   	 630.72		
 -1.22   	-88.20   	 60.22   	 595.11		
  0.31   	-83.01   	 62.60   	 549.34		
  0.92   	-77.82   	 64.80   	 513.73		
  0.92   	-72.02   	 66.86   	 473.04		
  1.22   	-64.09   	 68.75   	 442.52		
  2.44   	-54.02   	 70.52   	 422.18		
  3.97   	-42.42   	 72.21   	 391.66		
  5.19   	-30.52   	 73.77   	 366.22		
  6.10   	-18.92   	 75.24   	 345.88		
  5.80   	 -8.24   	 76.62   	 320.45		
  5.19   	  2.14   	 77.90   	 289.93		
  4.27   	 13.43   	 79.06   	 264.50		
  3.36   	 25.63   	 80.12   	 228.89		
  2.14   	 39.37   	 81.04   	 203.46		
  0.92   	 54.32   	 81.85   	 172.94		
  0.00   	 70.50   	 82.54   	 152.59		
 -0.92   	 87.28   	 83.15   	 127.16		
 -1.53   	103.45   	 83.66   	 106.82		
 -2.14   	117.80   	 84.09   	  86.47		
 -3.05   	130.31   	 84.44   	  76.30		
 -3.36   	140.99   	 84.74   	  55.95		
 -3.97   	151.06   	 84.96   	  50.86		
 -3.66   	160.22   	 85.17   	  40.69		
 -3.36   	168.15   	 85.33   	  35.61		
 -2.44   	174.56   	 85.47   	  20.35		
 -0.92   	178.53   	 85.55   	  10.17		
  0.61   	180.36   	 85.59(S)	   0.00		
  1.53   	178.83   	 85.59   	 -15.26		
  2.14   	173.95   	 85.53   	 -25.43		
  2.75   	165.10   	 85.43   	 -45.78		
  4.27   	152.28   	 85.25   	 -55.95		
  6.41   	135.80   	 85.03   	 -71.21		
  8.85   	116.27   	 84.74   	 -86.47		
 10.99   	 95.52   	 84.39   	 -96.64		
 12.82   	 74.46   	 84.01   	-116.99		
 13.73   	 54.32   	 83.54   	-127.16		
 13.73   	 35.40   	 83.03   	-142.42		
 12.82   	 17.40   	 82.46   	-162.77		
 11.29   	  0.92   	 81.81   	-172.94		
 10.07   	-14.34   	 81.12   	-188.20		
  9.77   	-27.77   	 80.37   	-203.46		
  9.77   	-38.76   	 79.55   	-223.80		
  9.46   	-47.30   	 78.66   	-233.98		
  8.54   	-54.02   	 77.72   	-254.32		
  7.63   	-58.59   	 76.70   	-264.50		
  7.32   	-61.65   	 75.65   	-284.84		
  7.63   	-64.09   	 74.51   	-310.27		
  7.93   	-65.61   	 73.27   	-340.79		
  7.32   	-66.83   	 71.90   	-376.40		
  6.41   	-67.75   	 70.40   	-427.26		
  6.41   	-67.44   	 68.69   	-478.13		
  8.24   	-65.31   	 66.77   	-523.90		
 14.04   	-57.68   	 64.68   	-564.60		
 23.50   	-40.59   	 62.42   	-595.11		
 35.10   	-10.99   	 60.04   	-605.29		
 46.39   	 30.82   	 57.62   	-610.37		
 55.24   	 79.04   	 55.18   	-605.29		
 61.65   	126.04   	 52.76   	-600.20		
 67.44   	166.02   	 50.36   	-584.94		
 74.16   	200.81   	 48.02   	-579.86		
 82.40   	235.29   	 45.70   	-564.60		
 89.42   	273.44   	 43.44   	-549.34		
 91.86   	312.50   	 41.24   	-528.99		
 87.59   	344.24   	 39.12   	-503.56		
 77.82   	360.41   	 37.11   	-462.87		
 65.31   	361.02   	 35.26   	-432.35		
 54.63   	355.22   	 33.53   	-386.57		
 50.05   	356.75   	 31.98   	-345.88		
 52.49   	373.23   	 30.60   	-305.19		
 61.34   	401.92   	 29.38   	-264.50		
 72.02   	430.60   	 28.32   	-228.89		
 78.74   	440.98   	 27.41   	-188.20		
 77.21   	418.09   	 26.65   	-162.77		
 65.92   	354.61   	 26.00   	-127.16		
 47.30   	256.04   	 25.49   	-106.82		
 25.33   	140.99   	 25.07   	 -76.30		
  4.58   	 32.96   	 24.76   	 -61.04		
-12.82   	-48.22   	 24.52   	 -40.69		
-25.02   	-97.35   	 24.35   	 -20.35		
-31.74   	-123.29   	 24.27   	  -5.09		
-34.18   	-140.69   	 24.25(D)	  10.17		
