  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-48.83   	 35.10   	 30.48   	-366.22		 91.27   	-172.94		
-44.25   	 39.98   	 29.01   	-340.79		 90.58   	-172.94		
-43.33   	 43.95   	 27.65   	-320.45		 89.89   	-167.85		
-37.84   	 38.45   	 26.37   	-300.10		 89.22   	-167.85		
-43.03   	 38.45   	 25.17   	-279.75		 88.54   	-157.68		
-54.63   	 40.59   	 24.05   	-259.41		 87.91   	-152.59		
-50.35   	 32.65   	 23.01   	-239.06		 87.30   	-147.51		
-44.86   	 33.57   	 22.05   	-223.80		 86.71   	-147.51		
-46.69   	 34.48   	 21.16   	-203.46		 86.12   	-137.33		
-43.64   	 34.79   	 20.35   	-188.20		 85.57   	-137.33		
-53.41   	 33.26   	 19.59   	-162.77		 85.03   	-127.16		
-66.53   	 40.89   	 18.94   	-147.51		 84.52   	-127.16		
-73.24   	 35.40   	 18.35   	-127.16		 84.01   	-127.16		
-68.05   	 29.91   	 17.84   	-116.99		 83.50   	-122.07		
-70.19   	 28.69   	 17.38   	-106.82		 83.01   	-122.07		
-64.09   	 28.38   	 16.95   	 -96.64		 82.52   	-116.99		
-54.32   	 28.38   	 16.56   	 -91.56		 82.05   	-122.07		
-62.87   	 23.80   	 16.20   	 -91.56		 81.57   	-122.07		
-60.73   	 30.82   	 15.83   	 -86.47		 81.08   	-122.07		
-62.26   	 14.34   	 15.48   	 -86.47		 80.59   	-127.16		
-63.78   	 20.75   	 15.14   	 -86.47		 80.08   	-122.07		
-60.12   	 28.38   	 14.79   	 -76.30		 79.59   	-127.16		
-47.61   	 13.43   	 14.49   	 -76.30		 79.08   	-127.16		
-47.91   	 16.17   	 14.18   	 -66.12		 78.58   	-127.16		
-53.41   	  3.36   	 13.92   	 -55.95		 78.07   	-127.16		
-55.85   	 13.12   	 13.69   	 -55.95		 77.56   	-127.16		
-74.77   	 11.90   	 13.47   	 -50.86		 77.05   	-127.16		
-64.39   	 31.13   	 13.27   	 -40.69		 76.54   	-122.07		
-65.31   	 38.15   	 13.10   	 -40.69		 76.05   	-116.99		
-68.05   	 11.29   	 12.94   	 -35.61		 75.58   	-116.99		
-58.59   	 10.68   	 12.80   	 -35.61		 75.12   	-111.90		
-68.66   	  8.24   	 12.66   	 -25.43		 74.67   	-106.82		
-71.11   	  9.16   	 12.55   	 -20.35		 74.24   	-106.82		
-57.98   	 24.41   	 12.47   	 -20.35		 73.81   	-101.73		
-55.54   	 22.28   	 12.39   	 -15.26		 73.41   	 -91.56		
-63.48   	 18.31   	 12.33   	  -5.09		 73.04   	 -96.64		
-56.76   	 16.78   	 12.31   	   0.00		 72.65   	 -86.47		
-64.70   	  7.63   	 12.31   	   0.00		 72.31   	 -86.47		
-76.90   	 12.51   	 12.31   	  10.17		 71.96   	 -81.38		
-67.44   	 12.21   	 12.35   	  15.26		 71.64   	 -76.30		
-67.14   	  8.24   	 12.41   	  15.26		 71.33   	 -76.30		
-76.29   	  3.97   	 12.47   	  15.26		 71.03   	 -76.30		
-65.61   	 -2.14   	 12.53   	  20.35		 70.72   	 -76.30		
-64.70   	-23.19   	 12.61   	  25.43		 70.42   	 -71.21		
-77.51   	-47.61   	 12.72   	  20.35		 70.13   	 -76.30		
-65.61   	-59.81   	 12.80   	  20.35		 69.83   	 -71.21		
-64.39   	-82.40   	 12.88   	  20.35		 69.54   	 -71.21		
-69.89   	-99.18   	 12.96   	  15.26		 69.26   	 -76.30		
-75.07   	-122.07   	 13.02   	  20.35		 68.95   	 -71.21		
-76.60   	-136.72   	 13.10   	  15.26		 68.67   	 -76.30		
-82.40   	-144.96   	 13.16   	  10.17		 68.36   	 -76.30		
-79.65   	-149.84   	 13.20   	  15.26		 68.06   	 -76.30		
-71.11   	-142.21   	 13.27   	  15.26		 67.75   	 -81.38		
-78.74   	-152.89   	 13.33   	  15.26		 67.43   	 -76.30		
-79.65   	-149.23   	 13.39   	  15.26		 67.12   	 -81.38		
-88.50   	-144.35   	 13.45   	  15.26		 66.80   	 -81.38		
-86.67   	-139.16   	 13.51   	  20.35		 66.47   	 -81.38		
-80.57   	-120.54   	 13.59   	  20.35		 66.14   	 -81.38		
-72.33   	-100.71   	 13.67   	  20.35		 65.82   	 -76.30		
-76.60   	-95.52   	 13.75   	  20.35		 65.51   	 -76.30		
-73.55   	-65.31   	 13.84   	  25.43		 65.21   	 -76.30		
-62.87   	-26.55   	 13.94   	  25.43		 64.90   	 -71.21		
-67.44   	-16.17   	 14.04   	  25.43		 64.62   	 -66.12		
-59.51   	 16.17   	 14.14   	  25.43		 64.35   	 -66.12		
-68.66   	 26.25   	 14.24   	  30.52		 64.09   	 -61.04		
-84.53   	 24.11   	 14.36   	  30.52		 63.85   	 -55.95		
-85.14   	 27.77   	 14.49   	  30.52		 63.62   	 -50.86		
-75.99   	 25.94   	 14.61   	  35.61		 63.42   	 -50.86		
-62.56   	 34.48   	 14.75   	  40.69		 63.21   	 -50.86		
-54.02   	 30.52   	 14.91   	  40.69		 63.01   	 -45.78		
-54.93   	 27.77   	 15.08   	  45.78		 62.83   	 -40.69		
-69.27   	 33.57   	 15.26   	  50.86		 62.67   	 -45.78		
-66.22   	 30.82   	 15.46   	  55.95		 62.48   	 -40.69		
-61.34   	 32.65   	 15.69   	  61.04		 62.32   	 -45.78		
-67.75   	 39.37   	 15.93   	  61.04		 62.14   	 -40.69		
-65.61   	 36.32   	 16.17   	  66.12		 61.97   	 -40.69		
-69.89   	 32.96   	 16.44   	  71.21		 61.81   	 -45.78		
-74.77   	 41.20   	 16.72   	  76.30		 61.63   	 -40.69		
-79.96   	 71.11   	 17.03   	  81.38		 61.46   	 -45.78		
-115.36   	127.56   	 17.35   	  81.38		 61.28   	 -40.69		
-151.67   	222.47   	 17.68   	  86.47		 61.12   	 -45.78		
-146.18   	303.65   	 18.03   	  91.56		 60.94   	 -40.69		
-96.44   	408.94   	 18.39   	  96.64		 60.77   	 -40.69		
 24.72   	503.23   	 18.78   	  96.64		 60.61   	 -40.69		
213.32   	578.61   	 19.17   	 101.73		 60.45   	 -45.78		
430.60   	671.08   	 19.57   	 106.82		 60.26   	 -40.69		
667.11   	608.83   	 20.00   	 101.73		 60.10   	 -40.69		
897.52   	321.04   	 20.41   	 106.82		 59.94   	 -40.69		
1065.98   	-97.35   	 20.83   	 106.82		 59.78   	 -40.69		
1116.33   	-597.53   	 21.26   	 106.82		 59.61   	 -40.69		
1029.05   	-961.61   	 21.69   	 106.82		 59.45   	 -40.69		
879.52   	-1078.19   	 22.12   	 106.82		 59.29   	 -45.78		
708.62   	-1125.49(R)	 22.54(E)	 111.90		 59.10   	 -45.78		
557.56   	-1095.28   	 22.99   	 127.16		 58.92   	 -40.69		
474.24   	-1038.21   	 23.50   	 142.42		 58.76   	 -45.78		
393.98   	-941.16   	 24.07   	 178.03		 58.58   	 -45.78		
289.00   	-681.46   	 24.78   	 213.63		 58.39   	 -45.78		
181.27   	-386.66   	 25.64   	 279.75		 58.21   	 -45.78		
 70.19   	-166.93   	 26.75   	 350.97		 58.03   	 -40.69		
-15.26   	-27.77   	 28.16   	 447.61		 57.86   	 -35.61		
-59.20   	 13.12   	 29.95   	 559.51		 57.72   	 -25.43		
-78.74   	 18.31   	 32.19   	 686.67		 57.62   	 -15.26		
-79.04   	 44.86   	 34.93   	 818.92		 57.56   	  -5.09		
-88.20   	 40.59   	 38.21   	 956.25		 57.54   	  15.26		
-93.38   	 51.88   	 42.03   	1088.50		 57.60   	  30.52		
-101.01   	 58.90   	 46.39   	1210.58		 57.72   	  55.95		
-120.24   	 53.41   	 51.23   	1317.39		 57.94   	  81.38		
-120.85   	 74.77   	 56.50   	1398.77		 58.27   	 106.82		
-110.47   	 86.36   	 62.10   	1469.98		 58.70   	 132.25		
-110.78   	 85.14   	 67.98   	1515.76		 59.23   	 152.59		
-96.13   	 95.52   	 74.04   	1546.28		 59.84   	 178.03		
-88.50   	106.51   	 80.22   	1561.54		 60.55   	 203.46		
-96.13   	102.84   	 86.47   	1571.71		 61.36   	 223.80		
-98.27   	101.62   	 92.76   	1561.54		 62.26   	 249.24		
-102.23   	100.40   	 99.00   	1541.19		 63.26   	 269.58		
-103.15   	 96.44   	105.17   	1510.68		 64.33   	 289.93		
-110.47   	110.47   	111.21   	1475.07		 65.49   	 315.36		
-109.56   	115.05   	117.11   	1444.55		 66.75   	 335.71		
-108.64   	117.80   	122.89   	1419.12		 68.10   	 361.14		
-105.90   	130.62   	128.57   	1393.69		 69.54   	 386.57		
-99.79   	120.85   	134.14   	1378.43		 71.09   	 412.00		
-106.81   	110.17   	139.65   	1353.00		 72.74   	 432.35		
-103.15   	108.03   	145.07   	1327.56		 74.47   	 452.69		
-103.45   	122.99   	150.38   	1291.96		 76.28   	 473.04		
-107.73   	129.09   	155.54   	1230.92		 78.17   	 483.21		
-97.96   	145.26   	160.47   	1144.45		 80.10   	 488.30		
-99.49   	158.08   	165.05   	1057.98		 82.05   	 483.21		
-114.44   	140.38   	169.28   	 951.17		 83.99   	 478.13		
-109.25   	139.77   	173.08   	 869.78		 85.90   	 457.78		
-109.25   	145.57   	176.56   	 803.66		 87.73   	 442.52		
-113.53   	145.26   	179.78   	 773.14		 89.50   	 437.43		
-103.45   	150.45   	182.87   	 773.14		 91.25   	 432.35		
-106.51   	160.22   	185.96   	 788.40		 92.98   	 442.52		
-109.86   	162.66   	189.11   	 813.83		 94.75   	 457.78		
-105.90   	177.31   	192.37   	 824.00		 96.58   	 478.13		
-103.45   	189.82   	195.67   	 818.92		 98.49   	 503.56		
-104.37   	198.06   	198.94   	 783.31		100.51   	 534.08		
-103.15   	220.95   	202.07   	 732.45		102.64   	 564.60		
-110.78   	222.47   	205.00   	 671.41		104.90   	 584.94		
-107.12   	238.34   	207.69   	 610.37		107.24   	 605.29		
-98.57   	257.57   	210.13   	 554.42		109.66   	 620.55		
-102.84   	272.22   	212.35   	 518.82		112.15   	 630.72		
-98.57   	304.87   	214.42   	 488.30		114.67   	 640.89		
-101.93   	329.59   	216.38   	 467.95		117.23   	 635.81		
-107.73   	357.67   	218.25   	 442.52		119.78   	 635.81		
-94.30   	385.74   	220.02   	 427.26		122.32   	 630.72		
-86.98   	402.22   	221.73   	 406.92		124.84   	 615.46		
-79.04   	426.94   	223.36   	 386.57		127.30   	 605.29		
-77.21   	447.69   	224.90   	 376.40		129.72   	 579.86		
-76.60   	461.73   	226.41   	 356.05		132.04   	 559.51		
-68.36   	476.68   	227.83   	 325.53		134.28   	 539.16		
-62.87   	494.08   	229.13   	 305.19		136.44   	 518.82		
-60.12   	497.44   	230.36   	 284.84		138.51   	 493.39		
-51.57   	508.12   	231.49   	 279.75		140.49   	 483.21		
-44.25   	517.27   	232.61   	 279.75		142.42   	 478.13		
-35.40   	515.14   	233.73   	 279.75		144.33   	 467.95		
-28.38   	511.17   	234.85   	 274.67		146.20   	 467.95		
-26.86   	498.96   	235.95   	 259.41		148.08   	 457.78		
-33.26   	482.18   	236.99   	 239.06		149.91   	 457.78		
-32.96   	457.15   	237.94   	 203.46		151.74   	 447.61		
-22.89   	437.93   	238.76   	 157.68		153.53   	 432.35		
-24.11   	411.38   	239.39   	 106.82		155.26   	 417.09		
-18.62   	371.40   	239.82   	  55.95		156.93   	 396.74		
-23.50   	334.78   	240.04   	   5.09		158.51   	 371.31		
-38.45   	280.76   	240.06(S)	 -35.61		160.00   	 356.05		
-42.42   	237.12   	239.92   	 -66.12		161.42   	 335.71		
-39.06   	191.04   	239.65   	 -81.38		162.77   	 315.36		
-39.06   	172.73   	239.33   	 -81.38		164.03   	 295.01		
-46.08   	150.45   	239.00   	 -86.47		165.21   	 284.84		
-42.11   	118.71   	238.66   	 -91.56		166.35   	 269.58		
-52.80   	112.92   	238.29   	 -91.56		167.43   	 254.32		
-72.33   	 73.85   	237.92   	-106.82		168.44   	 239.06		
-74.46   	 43.64   	237.50   	-137.33		169.40   	 223.80		
-77.21   	 45.78   	236.95   	-162.77		170.29   	 198.37		
-85.14   	 28.99   	236.30   	-208.54		171.09   	 188.20		
-82.09   	 16.78   	235.46   	-244.15		171.84   	 162.77		
-72.94   	 12.82   	234.49   	-289.93		172.49   	 147.51		
-72.63   	  3.05   	233.33   	-330.62		173.08   	 122.07		
-70.80   	-13.12   	232.00   	-371.31		173.57   	 106.82		
-69.27   	-12.21   	230.52   	-406.92		174.00   	  81.38		
-78.13   	-16.48   	228.89   	-452.69		174.32   	  61.04		
-81.79   	-18.92   	227.08   	-488.30		174.57   	  30.52		
-77.82   	-20.45   	225.13   	-534.08		174.69   	  10.17		
-78.13   	-22.89   	222.99   	-584.94		174.73(S)	 -15.26		
-68.05   	-21.97   	220.65   	-630.72		174.67   	 -50.86		
-71.72   	-32.35   	218.13   	-691.76		174.47   	 -76.30		
-81.79   	-36.62   	215.36   	-757.88		174.16   	-106.82		
-79.04   	-44.25   	212.33   	-813.83		173.73   	-142.42		
-82.09   	-47.61   	209.07   	-885.04		173.16   	-178.03		
-82.70   	-56.15   	205.53   	-946.08		172.45   	-213.63		
-79.65   	-64.39   	201.75   	-1012.20		171.60   	-249.24		
-86.06   	-63.48   	197.70   	-1073.24		170.60   	-289.93		
-87.89   	-77.82   	193.41   	-1129.19		169.44   	-335.71		
-83.92   	-70.50   	188.89   	-1180.06		168.10   	-371.31		
-81.18   	-72.02   	184.17   	-1225.83		166.61   	-417.09		
-77.82   	-77.21   	179.27   	-1261.44		164.94   	-452.69		
-76.90   	-68.05   	174.22   	-1291.96		163.13   	-488.30		
-75.07   	-70.80   	169.05   	-1322.48		161.18   	-518.82		
-75.68   	-76.60   	163.76   	-1347.91		159.10   	-544.25		
-70.50   	-68.97   	158.37   	-1378.43		156.93   	-564.60		
-72.02   	-73.85   	152.86   	-1419.12		154.67   	-579.86		
-80.26   	-81.18   	147.18   	-1449.64		152.35   	-584.94		
-79.96   	-70.80   	141.38   	-1490.33		150.01   	-590.03		
-80.57   	-70.50   	135.42   	-1515.76		147.65   	-584.94		
-80.26   	-70.50   	129.36   	-1546.28		145.31   	-579.86		
-79.35   	-55.54   	123.17   	-1566.63		142.99   	-564.60		
-81.48   	-61.04   	116.91   	-1566.63		140.73   	-554.42		
-90.64   	-59.20   	110.64   	-1566.63		138.51   	-534.08		
-88.20   	-49.13   	104.37   	-1551.37		136.38   	-513.73		
