  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
407.41   	-1179.50   	 59.21   	  -5.09		 58.88   	 -15.26		
343.93   	-1062.01   	 59.19   	 -10.17		 58.82   	 -15.26		
288.39   	-881.04   	 59.15   	   0.00		 58.76   	 -15.26		
228.27   	-673.52   	 59.15   	  -5.09		 58.70   	 -10.17		
155.33   	-473.63   	 59.12   	   0.00		 58.66   	 -15.26		
 74.16   	-304.26   	 59.12   	  10.17		 58.60   	 -10.17		
 -0.61   	-170.90   	 59.17   	  15.26		 58.56   	 -10.17		
-54.02   	-72.94   	 59.23   	  30.52		 58.51   	 -10.17		
-78.13   	-10.38   	 59.35   	  61.04		 58.47   	  -5.09		
-76.90   	 16.48   	 59.59   	  86.47		 58.45   	  -5.09		
-64.70   	 17.70   	 59.94   	 137.33		 58.43   	  -5.09		
-55.24   	 10.07   	 60.49   	 188.20		 58.41   	  -5.09		
-55.54   	  8.24   	 61.24   	 244.15		 58.39   	   0.00		
-63.48   	 16.78   	 62.22   	 305.19		 58.39   	  10.17		
-71.72   	 32.04   	 63.44   	 361.14		 58.43   	  10.17		
-75.38   	 44.56   	 64.88   	 417.09		 58.47   	  25.43		
-74.16   	 49.74   	 66.55   	 467.95		 58.58   	  40.69		
-71.41   	 48.22   	 68.42   	 523.90		 58.74   	  61.04		
-70.50   	 45.17   	 70.52   	 579.86		 58.98   	  91.56		
-71.41   	 45.78   	 72.84   	 640.89		 59.35   	 132.25		
-72.02   	 51.57   	 75.40   	 691.76		 59.88   	 172.94		
-71.11   	 59.81   	 78.17   	 732.45		 60.57   	 228.89		
-70.19   	 66.22   	 81.10   	 773.14		 61.49   	 289.93		
-70.19   	 70.50   	 84.19   	 803.66		 62.64   	 356.05		
-70.19   	 75.38   	 87.41   	 818.92		 64.07   	 427.26		
-68.66   	 83.62   	 90.68   	 839.26		 65.78   	 493.39		
-64.70   	 93.69   	 94.04   	 839.26		 67.75   	 559.51		
-60.73   	101.32   	 97.40   	 824.00		 69.99   	 630.72		
-60.12   	103.76   	100.69   	 803.66		 72.51   	 691.76		
-64.39   	102.54   	103.91   	 778.23		 75.28   	 742.62		
-71.72   	103.76   	107.02   	 757.88		 78.25   	 798.57		
-77.82   	111.69   	110.05   	 757.88		 81.44   	 849.44		
-79.04   	124.82   	113.08   	 768.05		 84.84   	 885.04		
-75.38   	139.47   	116.15   	 778.23		 88.38   	 920.65		
-68.66   	152.89   	119.27   	 783.31		 92.06   	 956.25		
-62.87   	164.49   	122.40   	 788.40		 95.89   	 976.60		
-61.04   	175.78   	125.55   	 783.31		 99.80   	 996.94		
-63.78   	186.77   	128.69   	 773.14		103.78   	1012.20		
-68.05   	195.62   	131.78   	 762.97		107.83   	1022.38		
-71.11   	201.72   	134.83   	 757.88		111.92   	1022.38		
-70.80   	208.13   	137.86   	 732.45		116.01   	1022.38		
-68.36   	218.51   	140.79   	 717.19		120.10   	1012.20		
-66.53   	235.60   	143.66   	 686.67		124.15   	1002.03		
-67.14   	256.65   	146.41   	 656.15		128.16   	 991.86		
-68.97   	278.32   	149.03   	 625.63		132.13   	 966.43		
-69.89   	296.63   	151.54   	 590.03		135.99   	 940.99		
-69.58   	312.81   	153.90   	 554.42		139.76   	 920.65		
-69.27   	329.59   	156.11   	 523.90		143.44   	 885.04		
-70.50   	348.51   	158.21   	 493.39		146.98   	 849.44		
-73.55   	368.96   	160.18   	 462.87		150.38   	 813.83		
-75.99   	389.71   	162.03   	 437.43		153.63   	 783.31		
-75.68   	409.55   	163.78   	 412.00		156.76   	 737.54		
-73.24   	429.38   	165.43   	 386.57		159.71   	 701.93		
-71.41   	449.83   	166.98   	 371.31		162.52   	 656.15		
-72.63   	471.19   	168.46   	 345.88		165.15   	 620.55		
-75.38   	492.86   	169.85   	 325.53		167.63   	 579.86		
-77.51   	514.83   	171.15   	 305.19		169.95   	 539.16		
-77.51   	535.89   	172.37   	 274.67		172.11   	 503.56		
-75.99   	555.11   	173.47   	 254.32		174.12   	 457.78		
-76.90   	571.90   	174.49   	 223.80		175.95   	 422.18		
-82.70   	586.55   	175.38   	 198.37		177.64   	 386.57		
-91.55   	599.98   	176.17   	 162.77		179.19   	 345.88		
-98.27   	612.79   	176.83   	 127.16		180.57   	 305.19		
-99.49   	623.78   	177.33   	  96.64		181.79   	 269.58		
-94.91   	631.71   	177.72   	  55.95		182.87   	 228.89		
-87.89   	635.07   	177.94   	  20.35		183.78   	 188.20		
-82.70   	634.16   	178.03(S)	 -15.26		184.54   	 152.59		
-81.18   	628.66   	177.96   	 -55.95		185.15   	 111.90		
-82.09   	617.98   	177.74   	 -96.64		185.59   	  76.30		
-82.09   	601.20   	177.35   	-132.25		185.90   	  30.52		
-79.96   	578.61   	176.83   	-167.85		186.02(S)	  -5.09		
-74.77   	551.15   	176.15   	-198.37		186.00   	 -45.78		
-67.44   	519.41   	175.36   	-233.98		185.82   	 -86.47		
-60.42   	483.70   	174.42   	-264.50		185.47   	-127.16		
-54.32   	442.81   	173.37   	-295.01		184.96   	-162.77		
-49.13   	397.95   	172.19   	-315.36		184.31   	-198.37		
-44.56   	353.09   	170.93   	-345.88		183.52   	-239.06		
-39.98   	311.28   	169.54   	-371.31		182.56   	-274.67		
-35.10   	273.13   	168.06   	-391.66		181.46   	-305.19		
-29.91   	237.12   	166.49   	-406.92		180.24   	-340.79		
-24.72   	200.20   	164.86   	-427.26		178.88   	-366.22		
-20.75   	160.52   	163.15   	-442.52		177.42   	-401.83		
-18.01   	119.02   	161.38   	-442.52		175.81   	-422.18		
-16.78   	 80.26   	159.61   	-452.69		174.12   	-447.61		
-15.26   	 47.91   	157.80   	-447.61		172.33   	-473.04		
-13.12   	 24.72   	156.01   	-442.52		170.44   	-493.39		
-10.07   	  9.46   	154.24   	-437.43		168.46   	-508.65		
 -7.02   	 -1.83   	152.49   	-422.18		166.43   	-518.82		
 -5.19   	-13.43   	150.80   	-412.00		164.35   	-534.08		
 -4.88   	-25.94   	149.16   	-396.74		162.22   	-539.16		
 -5.80   	-37.84   	147.57   	-386.57		160.06   	-544.25		
 -6.71   	-47.00   	146.02   	-366.22		157.88   	-544.25		
 -6.71   	-52.49   	144.56   	-350.97		155.71   	-539.16		
 -4.88   	-55.85   	143.15   	-335.71		153.55   	-539.16		
 -1.83   	-58.90   	141.81   	-325.53		151.39   	-528.99		
  0.31   	-62.87   	140.51   	-310.27		149.28   	-518.82		
 -0.31   	-67.75   	139.27   	-300.10		147.20   	-503.56		
 -3.97   	-71.72   	138.07   	-289.93		145.19   	-498.47		
 -8.54   	-74.46   	136.91   	-279.75		143.19   	-478.13		
-11.60   	-75.07   	135.79   	-274.67		141.28   	-462.87		
-11.29   	-75.68   	134.69   	-264.50		139.43   	-447.61		
 -8.54   	-77.51   	133.63   	-264.50		137.64   	-432.35		
 -5.80   	-80.57   	132.57   	-259.41		135.91   	-417.09		
 -5.19   	-83.62   	131.54   	-254.32		134.24   	-401.83		
 -6.10   	-85.14   	130.52   	-249.24		132.63   	-386.57		
 -7.63   	-83.62   	129.52   	-249.24		131.09   	-366.22		
 -8.54   	-78.43   	128.52   	-249.24		129.62   	-356.05		
 -9.46   	-70.50   	127.53   	-244.15		128.20   	-345.88		
-10.38   	-60.12   	126.55   	-239.06		126.82   	-325.53		
-10.07   	-48.83   	125.59   	-233.98		125.51   	-315.36		
 -7.93   	-36.32   	124.66   	-239.06		124.25   	-305.19		
 -3.97   	-22.28   	123.70   	-228.89		123.03   	-289.93		
 -0.92   	 -7.32   	122.79   	-228.89		121.87   	-284.84		
 -1.22   	  9.16   	121.87   	-228.89		120.73   	-269.58		
 -5.80   	 25.33   	120.96   	-218.72		119.65   	-259.41		
-11.90   	 38.76   	120.08   	-223.80		118.62   	-249.24		
-14.95   	 48.22   	119.19   	-213.63		117.62   	-239.06		
-13.12   	 53.10   	118.33   	-213.63		116.66   	-228.89		
 -7.93   	 55.24   	117.48   	-213.63		115.75   	-223.80		
 -2.75   	 57.07   	116.62   	-203.46		114.85   	-213.63		
 -1.83   	 60.12   	115.81   	-396.74		114.00   	-406.92		
 -8.85   	 68.36   	114.22   	-193.29		112.37   	-193.29		
-10.38   	 69.89   	113.45   	-188.20		111.60   	-183.11		
 -7.02   	 69.89   	112.70   	-183.11		110.86   	-183.11		
  0.92   	 71.72   	111.96   	-178.03		110.13   	-172.94		
 10.68   	 78.13   	111.25   	-172.94		109.44   	-172.94		
 18.92   	 88.50   	110.56   	-167.85		108.75   	-162.77		
 23.50   	 97.96   	109.89   	-167.85		108.10   	-162.77		
 23.19   	100.10   	109.22   	-162.77		107.45   	-152.59		
 18.31   	 89.42   	108.57   	-157.68		106.84   	-152.59		
 10.07   	 63.78   	107.93   	-152.59		106.23   	-147.51		
 -0.31   	 26.55   	107.32   	-147.51		105.64   	-142.42		
-10.38   	-17.70   	106.73   	-147.51		105.07   	-137.33		
-18.01   	-61.95   	106.14   	-147.51		104.52   	-137.33		
-21.67   	-98.88   	105.55   	-137.33		103.97   	-127.16		
-21.67   	-125.73   	105.00   	-142.42		103.46   	-132.25		
-19.23   	-142.21   	104.43   	-137.33		102.93   	-122.07		
-16.78   	-150.76   	103.89   	-137.33		102.44   	-122.07		
-16.48   	-154.42   	103.34   	-132.25		101.95   	-116.99		
-18.31   	-156.25   	102.81   	-132.25		101.48   	-116.99		
-21.36   	-157.78   	102.28   	-132.25		101.02   	-111.90		
-24.41   	-159.91   	101.75   	-127.16		100.57   	-111.90		
-27.47   	-163.88   	101.24   	-127.16		100.12   	-106.82		
-30.21   	-169.07   	100.73   	-127.16		 99.69   	-101.73		
-32.04   	-174.26   	100.22   	-127.16		 99.29   	-106.82		
-30.82   	-177.00   	 99.71   	-127.16		 98.86   	-101.73		
-25.94   	-176.09   	 99.21   	-122.07		 98.45   	-101.73		
-18.31   	-173.03   	 98.72   	-116.99		 98.05   	-101.73		
-12.82   	-169.37   	 98.25   	-122.07		 97.64   	-101.73		
-12.51   	-167.24   	 97.76   	-116.99		 97.23   	 -96.64		
-17.70   	-166.93   	 97.29   	-111.90		 96.85   	 -96.64		
-24.41   	-167.24   	 96.85   	-111.90		 96.46   	 -96.64		
-28.08   	-166.93   	 96.40   	-106.82		 96.07   	 -96.64		
-27.16   	-164.79   	 95.97   	-101.73		 95.69   	 -96.64		
-23.19   	-161.74   	 95.56   	-101.73		 95.30   	 -96.64		
-19.53   	-159.30   	 95.16   	-101.73		 94.91   	 -96.64		
-17.70   	-159.00   	 94.75   	 -96.64		 94.53   	 -91.56		
-17.40   	-161.13   	 94.36   	 -91.56		 94.16   	 -91.56		
-17.70   	-164.79   	 94.00   	 -86.47		 93.79   	 -86.47		
-17.40   	-166.93   	 93.65   	 -91.56		 93.45   	 -91.56		
-17.70   	-164.18   	 93.29   	 -81.38		 93.08   	 -86.47		
-18.62   	-156.56   	 92.96   	 -86.47		 92.74   	 -86.47		
-19.53   	-146.79   	 92.61   	 -81.38		 92.39   	 -81.38		
-20.14   	-139.77   	 92.29   	 -86.47		 92.06   	 -86.47		
-20.14   	-138.55   	 91.94   	 -81.38		 91.72   	 -76.30		
-19.53   	-142.52   	 91.62   	 -86.47		 91.41   	 -81.38		
-19.53   	-147.71   	 91.27   	 -86.47		 91.09   	 -76.30		
-19.84   	-148.93   	 90.93   	 -91.56		 90.78   	 -76.30		
-20.14   	-145.57   	 90.56   	 -91.56		 90.48   	 -76.30		
-20.45   	-140.38   	 90.19   	 -91.56		 90.17   	 -76.30		
-20.75   	-137.94   	 89.83   	 -96.64		 89.87   	 -76.30		
-20.14   	-139.16   	 89.44   	 -96.64		 89.56   	 -76.30		
-18.01   	-140.69   	 89.05   	-101.73		 89.26   	 -76.30		
-14.34   	-138.55   	 88.65   	 -96.64		 88.95   	 -81.38		
-10.07   	-131.53   	 88.26   	 -96.64		 88.63   	 -76.30		
 -7.93   	-122.99   	 87.87   	 -96.64		 88.32   	 -76.30		
 -9.77   	-117.80   	 87.49   	 -96.64		 88.02   	 -81.38		
-14.34   	-117.49   	 87.10   	 -96.64		 87.69   	 -81.38		
-19.23   	-120.24   	 86.71   	 -91.56		 87.36   	 -86.47		
-21.67   	-122.38   	 86.35   	 -91.56		 87.02   	 -81.38		
-21.36   	-122.68   	 85.98   	 -86.47		 86.69   	 -86.47		
-19.84   	-122.07   	 85.64   	 -86.47		 86.35   	 -81.38		
-18.62   	-122.38   	 85.29   	 -81.38		 86.02   	 -86.47		
-18.01   	-122.99   	 84.96   	 -76.30		 85.68   	 -86.47		
-17.70   	-122.38   	 84.66   	 -76.30		 85.33   	 -86.47		
-16.78   	-120.24   	 84.35   	 -71.21		 84.98   	 -86.47		
-15.56   	-117.49   	 84.07   	 -71.21		 84.64   	 -86.47		
-14.65   	-115.66   	 83.78   	 -71.21		 84.29   	 -86.47		
-14.34   	-115.05   	 83.50   	 -66.12		 83.95   	 -86.47		
-14.34   	-114.75   	 83.23   	 -71.21		 83.60   	 -81.38		
-14.34   	-113.53   	 82.95   	 -61.04		 83.28   	 -81.38		
-15.87   	-110.47   	 82.71   	 -66.12		 82.95   	 -81.38		
-21.36   	-103.15   	 82.44   	 -61.04		 82.62   	 -81.38		
-33.57   	-89.11   	 82.20   	 -61.04		 82.30   	 -76.30		
-51.88   	-64.09   	 81.95   	-116.99		 81.99   	-152.59		
-80.26   	 58.29   	 81.48   	 -55.95		 81.38   	 -71.21		
-71.72   	181.27   	 81.26   	 -61.04		 81.10   	 -71.21		
-36.32   	355.53   	 81.02   	 -55.95		 80.81   	 -71.21		
 30.21   	567.02   	 80.79   	 -55.95		 80.53   	 -71.21		
126.65   	775.45   	 80.57   	 -55.95		 80.24   	 -66.12		
246.58   	910.95   	 80.35   	 -55.95		 79.98   	 -66.12		
376.28   	897.22   	 80.12   	 -61.04		 79.71   	 -66.12		
497.13   	693.97   	 79.88   	 -50.86		 79.45   	 -61.04		
589.60   	325.32   	 79.67   	 -55.95		 79.21   	 -61.04		
639.95   	-128.17   	 79.45   	 -55.95		 78.96   	 -55.95		
643.31   	-559.39   	 79.23   	 -55.95		 78.74   	 -55.95		
604.55   	-886.84   	 79.00   	 -50.86		 78.51   	 -55.95		
537.11   	-1085.82   	 78.80   	 -50.86		 78.29   	 -55.95		
458.37   	-1170.04(R)	 78.60   	 -50.86		 78.07   	 -55.95		
383.00   	-1158.14   	 78.39   	 -45.78		 77.84   	 -50.86		
317.99   	-1066.28   	 78.21   	 -45.78		 77.64   	 -45.78		
261.54   	-910.34   	 78.03   	 -45.78		 77.46   	 -50.86		
205.69   	-714.42   	 77.84   	 -40.69		 77.25   	 -50.86		
142.52   	-510.25   	 77.68   	 -40.69		 77.05   	 -45.78		
 71.72   	-328.06   	 77.52   	 -35.61		 76.87   	 -45.78		
  4.27   	-184.63   	 77.38   	 -40.69		 76.68   	 -50.86		
-46.69   	-83.31   	 77.21   	 -30.52		 76.48   	 -45.78		
-71.11   	-23.80   	 77.09   	 -35.61		 76.30   	 -40.69		
-70.80   	  0.31   	 76.95   	 -30.52		 76.13   	 -45.78		
-58.59   	  0.31   	 76.83   	 -25.43		 75.95   	 -45.78		
-49.13   	 -8.24   	 76.72   	 -20.35		 75.77   	 -40.69		
-50.05   	-12.21   	 76.64   	  -5.09		 75.60   	 -40.69		
-57.98   	 -7.63   	 76.62(D)	   5.09		 75.44   	 -40.69		
-66.22   	  3.05   	 76.64   	  25.43		 75.28   	 -35.61		
-70.19   	 14.65   	 76.74   	  55.95		 75.14   	 -30.52		
-69.89   	 23.80   	 76.97   	  91.56		 75.01   	 -30.52		
-68.05   	 28.99   	 77.33   	 122.07		 74.89   	 -25.43		
-65.92   	 32.35   	 77.82   	 167.85		 74.79   	 -15.26		
-64.09   	 36.01   	 78.49   	 203.46		 74.73   	 -10.17		
-61.34   	 41.50   	 79.31   	 244.15		 74.69(D)	   5.09		
-58.90   	 48.22   	 80.28   	 284.84		 74.71   	  15.26		
-57.68   	 54.93   	 81.42   	 325.53		 74.77   	  30.52		
-58.59   	 59.81   	 82.73   	 366.22		 74.89   	  55.95		
-60.73   	 63.17   	 84.19   	 406.92		 75.12   	  81.38		
-62.87   	 65.92   	 85.82   	 437.43		 75.44   	 111.90		
-63.78   	 70.50   	 87.57   	 473.04		 75.89   	 147.51		
-63.17   	 77.51   	 89.46   	 498.47		 76.48   	 188.20		
-61.95   	 86.67   	 91.45   	 518.82		 77.23   	 223.80		
-61.95   	 95.52   	 93.53   	 539.16		 78.13   	 269.58		
-63.78   	101.93   	 95.69   	 554.42		 79.21   	 310.27		
-65.61   	107.12   	 97.90   	 564.60		 80.45   	 356.05		
-65.61   	114.44   	100.16   	 569.68		 81.87   	 396.74		
-62.26   	126.34   	102.44   	 579.86		 83.46   	 442.52		
-57.07   	141.91   	104.76   	 574.77		 85.23   	 473.04		
-52.80   	157.47   	107.06   	 569.68		 87.12   	 518.82		
-53.10   	169.07   	109.34   	 569.68		 89.20   	 544.25		
-57.37   	178.53   	111.62   	 564.60		 91.37   	 579.86		
-63.17   	189.21   	113.88   	 554.42		 93.69   	 605.29		
-68.05   	204.16   	116.09   	 549.34		 96.11   	 630.72		
-70.50   	223.69   	118.29   	 544.25		 98.64   	 651.07		
-70.19   	245.36   	120.47   	 534.08		101.24   	 671.41		
-67.14   	266.72   	122.60   	 523.90		103.93   	 681.58		
-62.56   	287.17   	124.70   	 518.82		106.65   	 691.76		
-57.98   	307.31   	126.77   	 508.65		109.42   	 701.93		
-55.24   	328.98   	128.81   	 498.47		112.23   	 707.02		
-55.85   	352.48   	130.80   	 488.30		115.06   	 707.02		
-58.29   	378.42   	132.76   	 478.13		117.88   	 707.02		
-61.34   	406.49   	134.67   	 467.95		120.71   	 701.93		
-62.56   	436.40   	136.54   	 452.69		123.52   	 691.76		
-62.56   	466.31   	138.35   	 437.43		126.29   	 681.58		
-62.26   	495.00   	140.10   	 427.26		129.01   	 671.41		
-61.34   	522.46   	141.81   	 417.09		131.70   	 656.15		
-60.73   	548.71   	143.48   	 396.74		134.32   	 640.89		
-60.12   	573.43   	145.07   	 381.48		136.89   	 625.63		
-60.73   	595.70   	146.59   	 371.31		139.39   	 600.20		
-63.78   	614.93   	148.08   	 356.05		141.79   	 584.94		
-69.58   	630.80   	149.50   	 340.79		144.13   	 559.51		
-74.77   	644.53   	150.86   	 325.53		146.37   	 539.16		
-77.21   	655.82   	152.17   	 305.19		148.52   	 513.73		
-76.29   	663.15   	153.39   	 295.01		150.58   	 493.39		
-73.85   	664.37   	154.57   	 279.75		152.55   	 467.95		
-72.02   	659.48   	155.69   	 259.41		154.42   	 437.43		
-71.72   	648.50   	156.72   	 244.15		156.17   	 417.09		
-72.33   	632.02   	157.70   	 228.89		157.84   	 386.57		
-72.63   	608.83   	158.62   	 213.63		159.39   	 361.14		
-71.72   	576.17   	159.47   	 193.29		160.83   	 335.71		
-70.50   	534.06   	160.24   	 172.94		162.18   	 310.27		
-69.27   	484.31   	160.94   	 157.68		163.42   	 284.84		
-68.05   	431.21   	161.57   	 142.42		164.56   	 254.32		
-66.22   	377.81   	162.14   	 122.07		165.57   	 233.98		
-62.56   	324.40   	162.62   	 101.73		166.51   	 203.46		
-56.76   	271.30   	163.03   	  76.30		167.32   	 178.03		
-49.13   	219.42   	163.34   	  61.04		168.04   	 157.68		
-41.20   	171.20   	163.58   	  30.52		168.67   	 127.16		
-34.48   	128.48   	163.70   	  10.17		169.18   	 101.73		
-29.60   	 91.55   	163.74(S)	 -20.35		169.58   	  76.30		
-26.55   	 57.37   	163.66   	 -50.86		169.89   	  45.78		
-25.33   	 24.41   	163.46   	 -81.38		170.07   	  20.35		
-25.63   	 -6.71   	163.13   	-116.99		170.15(S)	  -5.09		
-26.25   	-33.87   	162.66   	-157.68		170.13   	 -35.61		
-25.02   	-54.63   	162.03   	-193.29		169.99   	 -66.12		
-21.97   	-69.27   	161.26   	-233.98		169.72   	 -91.56		
-18.01   	-79.65   	160.32   	-269.58		169.36   	-132.25		
-14.95   	-89.11   	159.25   	-315.36		168.83   	-157.68		
-14.04   	-99.18   	157.99   	-340.79		168.20   	-193.29		
-15.26   	-108.64   	156.62   	-371.31		167.43   	-223.80		
-16.48   	-115.97   	155.14   	-386.57		166.53   	-259.41		
-15.87   	-119.63   	153.59   	-401.83		165.49   	-295.01		
-14.04   	-120.85   	151.98   	-406.92		164.31   	-325.53		
-12.21   	-121.77   	150.36   	-406.92		163.01   	-350.97		
-11.60   	-122.99   	148.73   	-412.00		161.61   	-386.57		
-13.43   	-124.21   	147.08   	-401.83		160.06   	-401.83		
-16.17   	-124.21   	145.47   	-391.66		158.45   	-432.35		
-18.31   	-122.99   	143.91   	-376.40		156.72   	-442.52		
-18.31   	-121.15   	142.40   	-361.14		154.95   	-457.78		
-16.48   	-119.32   	140.96   	-345.88		153.12   	-473.04		
-14.34   	-117.80   	139.57   	-325.53		151.23   	-473.04		
-12.82   	-115.36   	138.27   	-315.36		149.34   	-478.13		
-13.43   	-112.30   	137.01   	-300.10		147.43   	-483.21		
-15.56   	-109.56   	135.81   	-284.84		145.49   	-473.04		
-18.62   	-107.12   	134.67   	-269.58		143.60   	-473.04		
-21.67   	-103.76   	133.59   	-264.50		141.71   	-462.87		
-23.80   	-96.44   	132.53   	-254.32		139.86   	-452.69		
-25.02   	-84.23   	131.52   	-249.24		138.05   	-442.52		
-24.41   	-67.14   	130.52   	-239.06		136.28   	-432.35		
-21.97   	-46.69   	129.56   	-239.06		134.55   	-417.09		
