  I     	  II     	  AO     	  AO'		  FA     	  FA'		
 -4.27   	  5.19   	116.66   	 259.41		126.86   	-127.16		
-13.43   	 -9.16   	117.70   	 406.92		126.35   	 -76.30		
-21.36   	-23.19   	119.33   	 457.78		126.04   	 -15.26		
-28.08   	-35.71   	121.16   	 361.14		125.98   	 -35.61		
-33.26   	-46.08   	122.60   	 249.24		125.84   	 -30.52		
-38.15   	-54.02   	123.60   	  45.78		125.72   	 -50.86		
-43.03   	-59.81   	123.78   	-178.03		125.51   	 -71.21		
-48.52   	-64.39   	123.07   	-310.27		125.23   	 -86.47		
-53.71   	-67.44   	121.83   	-437.43		124.88   	-152.59		
-57.07   	-69.27   	120.08   	-600.20		124.27   	-147.51		
-58.29   	-70.50   	117.68   	-778.23		123.68   	-193.29		
-57.98   	-71.11   	114.57   	-930.82		122.91   	-366.22		
-57.37   	-72.02   	110.84   	-1047.81		121.44   	-396.74		
-57.37   	-72.63   	106.65   	-1113.93		119.86   	-437.43		
-58.29   	-72.94   	102.20   	-986.77		118.11   	-523.90		
-59.81   	-72.63   	 98.25   	-508.65		116.01   	-493.39		
-61.04   	-72.02   	 96.22   	  40.69		114.04   	-473.04		
-61.65   	-71.41   	 96.38   	 345.88		112.15   	-518.82		
-61.65   	-71.41   	 97.76   	 564.60		110.07   	-452.69		
-61.04   	-71.11   	100.02   	 778.23		108.26   	-228.89		
-60.73   	-70.50   	103.13   	 849.44		107.34   	 -55.95		
-60.73   	-69.58   	106.53   	 742.62		107.12   	 -25.43		
-61.04   	-68.66   	109.50   	 569.68		107.02   	 -71.21		
-60.73   	-68.05   	111.78   	 386.57		106.73   	   0.00		
-59.20   	-67.75   	113.33   	 142.42		106.73   	 111.90		
-56.76   	-66.83   	113.90   	-162.77		107.18   	  35.61		
-53.71   	-64.70   	113.24   	-417.09		107.32   	 -30.52		
-51.57   	-61.65   	111.58   	-574.77		107.20   	  20.35		
-50.35   	-59.20   	109.28   	-666.32		107.28   	 -45.78		
-49.44   	-58.59   	106.61   	-666.32		107.10   	-106.82		
-48.83   	-60.12   	103.95   	-559.51		106.67   	 -76.30		
-47.91   	-63.48   	101.71   	-371.31		106.37   	 -55.95		
-46.08   	-65.92   	100.22   	-193.29		106.14   	 -45.78		
-43.33   	-66.53   	 99.45   	 -50.86		105.96   	 -40.69		
-40.28   	-64.09   	 99.25   	  76.30		105.80   	 -91.56		
-37.54   	-60.42   	 99.55   	 178.03		105.43   	-122.07		
-35.71   	-57.68   	100.26   	 239.06		104.94   	 -91.56		
-35.40   	-57.37   	101.22   	 223.80		104.58   	-111.90		
-36.32   	-59.81   	102.12   	 183.11		104.13   	-147.51		
-37.23   	-63.17   	102.85   	 142.42		103.54   	-137.33		
-38.45   	-65.61   	103.42   	  86.47		102.99   	-106.82		
