  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-48.22   	-167.54   	157.88   	 391.66		107.83   	 249.24		
-50.35   	-166.02   	159.45   	 391.66		108.83   	 259.41		
-50.96   	-166.93   	161.02   	 366.22		109.87   	 269.58		
-54.93   	-169.68   	162.48   	 305.19		110.95   	 274.67		
-57.98   	-171.81   	163.70   	 239.06		112.04   	 269.58		
-62.56   	-184.94   	164.66   	 152.59		113.12   	 269.58		
-69.89   	-206.60   	165.27   	  71.21		114.20   	 259.41		
-69.89   	-219.42   	165.55   	  15.26		115.24   	 254.32		
-70.80   	-218.20   	165.61   	 -30.52		116.26   	 244.15		
-80.87   	-218.20   	165.49   	 -45.78		117.23   	 233.98		
-81.48   	-210.57   	165.31   	 -55.95		118.17   	 223.80		
-81.18   	-214.54   	165.09   	 -45.78		119.06   	 208.54		
-90.03   	-227.36   	164.90   	 -35.61		119.90   	 203.46		
-87.28   	-220.03   	164.76   	 -25.43		120.71   	 183.11		
-92.16   	-222.47   	164.66   	 -30.52		121.44   	 172.94		
-91.55   	-208.44   	164.54   	 -45.78		122.14   	 162.77		
-90.33   	-187.07   	164.35   	 -76.30		122.79   	 147.51		
-88.20   	-174.87   	164.05   	-101.73		123.38   	 137.33		
-77.82   	-160.22   	163.64   	-142.42		123.93   	 132.25		
-75.07   	-156.25   	163.07   	-167.85		124.46   	 122.07		
-68.66   	-151.67   	162.40   	-198.37		124.94   	 127.16		
-60.12   	-141.91   	161.61   	-213.63		125.45   	 122.07		
-54.02   	-131.23   	160.75   	-233.98		125.94   	 122.07		
-53.10   	-108.34   	159.82   	-249.24		126.43   	 116.99		
-47.91   	-89.11   	158.82   	-269.58		126.90   	 116.99		
-38.76   	-90.33   	157.74   	-289.93		127.36   	 101.73		
-33.57   	-80.26   	156.58   	-315.36		127.77   	  96.64		
-28.99   	-77.82   	155.32   	-345.88		128.16   	  86.47		
-17.70   	-75.99   	153.94   	-381.48		128.50   	  71.21		
 -8.24   	-55.24   	152.41   	-422.18		128.79   	  45.78		
 -7.93   	-43.95   	150.72   	-473.04		128.97   	  30.52		
  1.22   	-39.06   	148.83   	-534.08		129.09   	   0.00		
  3.97   	-32.04   	146.69   	-590.03		129.09   	 -25.43		
  1.22   	-32.96   	144.33   	-651.07		128.99   	 -55.95		
  3.36   	-30.82   	141.73   	-707.02		128.77   	 -91.56		
  9.46   	-31.43   	138.90   	-762.97		128.40   	-127.16		
  8.85   	-40.59   	135.85   	-808.75		127.89   	-157.68		
 10.99   	-50.66   	132.61   	-844.35		127.26   	-193.29		
 10.68   	-59.51   	129.24   	-879.96		126.49   	-228.89		
 12.21   	-53.10   	125.72   	-895.22		125.57   	-264.50		
 12.82   	-43.95   	122.14   	-910.47		124.52   	-300.10		
 14.04   	-38.45   	118.49   	-925.73		123.32   	-330.62		
 16.48   	-28.38   	114.79   	-946.08		121.99   	-356.05		
 12.21   	-26.55   	111.01   	-971.51		120.57   	-366.22		
 10.99   	-20.75   	107.12   	-1022.38		119.10   	-371.31		
 11.90   	-23.50   	103.03   	-1078.33		117.62   	-366.22		
 15.56   	-32.65   	 98.72   	-1139.36		116.15   	-345.88		
 12.82   	-42.11   	 94.16   	-1215.66		114.77   	-320.45		
 11.90   	-44.86   	 89.30   	-1281.79		113.49   	-289.93		
 13.43   	-36.01   	 84.17   	-1337.74		112.33   	-259.41		
  9.16   	-27.77   	 78.82   	-1373.34		111.29   	-223.80		
 12.51   	-24.72   	 73.33   	-1388.60		110.40   	-188.20		
 12.82   	-33.57   	 67.77   	-1378.43		109.64   	-157.68		
 18.62   	-36.93   	 62.26   	-1337.74		109.01   	-137.33		
 16.48   	-33.26   	 56.91   	-1276.70		108.46   	-106.82		
 20.14   	-29.91   	 51.80   	-1195.32		108.04   	 -91.56		
 23.19   	-22.58   	 47.02   	-1093.59		107.67   	 -71.21		
 17.70   	-21.97   	 42.64   	-981.68		107.39   	 -61.04		
 15.26   	-32.96   	 38.72   	-864.70		107.14   	 -50.86		
 17.09   	-29.60   	 35.26   	-757.88		106.94   	 -45.78		
 15.56   	-28.99   	 32.23   	-656.15		106.75   	 -40.69		
 10.68   	-27.47   	 29.60   	-569.68		106.59   	 -40.69		
 14.95   	-19.84   	 27.32   	-503.56		106.43   	 -40.69		
 17.40   	-29.60   	 25.31   	-452.69		106.27   	 -40.69		
 14.34   	-33.87   	 23.50   	-417.09		106.10   	 -45.78		
 13.73   	-35.71   	 21.83   	-396.74		105.92   	 -55.95		
 18.92   	-36.62   	 20.24   	-381.48		105.70   	 -55.95		
 16.17   	-29.30   	 18.72   	-371.31		105.47   	 -61.04		
 13.73   	-25.33   	 17.23   	-361.14		105.23   	 -66.12		
 24.11   	-11.90   	 15.79   	-345.88		104.96   	 -71.21		
 24.72   	 -4.27   	 14.40   	-320.45		104.68   	 -76.30		
 27.47   	  3.66   	 13.12   	-295.01		104.37   	 -81.38		
 36.62   	 36.62   	 11.94   	-254.32		104.05   	 -81.38		
 42.72   	 49.13   	 10.93   	-213.63		103.72   	 -91.56		
 52.19   	 65.61   	 10.07   	-172.94		103.36   	 -96.64		
 59.51   	 88.50   	  9.38   	-132.25		102.97   	-101.73		
 65.00   	 90.03   	  8.85   	 -91.56		102.56   	-101.73		
 71.72   	 99.79   	  8.48   	 -61.04		102.16   	-111.90		
 70.80   	111.08   	  8.24   	 -30.52		101.71   	-111.90		
 69.58   	117.49   	  8.12   	  -5.09		101.26   	-111.90		
 76.90   	113.53   	  8.10   	   5.09		100.81   	-122.07		
 70.50   	 94.30   	  8.12   	  15.26		100.33   	-116.99		
 57.98   	 66.83   	  8.18   	  20.35		 99.86   	-122.07		
 45.17   	 25.33   	  8.26   	  25.43		 99.37   	-127.16		
 28.99   	-10.07   	  8.36   	  30.52		 98.86   	-122.07		
 16.78   	-41.20   	  8.48   	  35.61		 98.37   	-122.07		
  8.24   	-61.34   	  8.63   	  50.86		 97.88   	-116.99		
  8.54   	-63.17   	  8.83   	  55.95		 97.42   	-116.99		
  4.27   	-65.31   	  9.05   	  66.12		 96.95   	-111.90		
  0.61   	-76.29   	  9.32   	  86.47		 96.50   	-106.82		
  1.53   	-95.83   	  9.66   	  91.56		 96.07   	-101.73		
  0.61   	-122.99   	 10.03   	 106.82		 95.67   	 -96.64		
 -0.61   	-143.74   	 10.46   	 116.99		 95.28   	 -96.64		
 -2.44   	-156.86   	 10.93   	 116.99		 94.89   	 -91.56		
 -0.31   	-149.84   	 11.39   	 116.99		 94.53   	 -86.47		
  5.19   	-141.91   	 11.86   	 111.90		 94.18   	 -86.47		
  5.49   	-144.96   	 12.31   	 106.82		 93.83   	 -81.38		
 12.51   	-142.52   	 12.74   	  96.64		 93.51   	 -81.38		
 17.70   	-141.30   	 13.12   	  91.56		 93.18   	 -81.38		
 14.34   	-134.58   	 13.49   	  81.38		 92.86   	 -81.38		
 15.26   	-126.04   	 13.81   	  76.30		 92.53   	 -76.30		
 19.84   	-127.87   	 14.12   	  71.21		 92.23   	 -71.21		
 22.89   	-125.73   	 14.40   	  71.21		 91.94   	 -71.21		
 21.36   	-145.26   	 14.69   	  71.21		 91.66   	 -71.21		
 25.02   	-157.47   	 14.97   	  61.04		 91.37   	 -71.21		
 23.80   	-149.54   	 15.22   	  61.04		 91.09   	 -71.21		
 19.84   	-150.15   	 15.46   	  45.78		 90.80   	 -76.30		
 19.53   	-142.82   	 15.65   	  40.69		 90.50   	 -86.47		
 17.70   	-128.78   	 15.81   	  30.52		 90.15   	 -86.47		
 13.43   	-127.56   	 15.93   	  20.35		 89.81   	 -96.64		
  3.36   	-130.92   	 16.01   	  15.26		 89.42   	 -96.64		
  0.00   	-135.50   	 16.07   	  15.26		 89.03   	-101.73		
 -2.14   	-142.21   	 16.13   	  20.35		 88.63   	-106.82		
 -6.41   	-139.16   	 16.22   	  25.43		 88.20   	-101.73		
 -3.66   	-128.48   	 16.32   	  30.52		 87.79   	-106.82		
 -3.97   	-121.77   	 16.44   	  45.78		 87.36   	-101.73		
 -7.02   	-110.47   	 16.62   	  55.95		 86.96   	 -96.64		
-10.38   	-111.08   	 16.85   	  66.12		 86.57   	 -91.56		
 -9.77   	-115.97   	 17.11   	  66.12		 86.21   	 -91.56		
 -6.10   	-111.08   	 17.38   	  71.21		 85.84   	 -86.47		
 -5.19   	-112.61   	 17.66   	  71.21		 85.49   	 -81.38		
 -4.88   	-111.39   	 17.94   	  66.12		 85.17   	 -81.38		
 -4.88   	-113.53   	 18.21   	  55.95		 84.84   	 -76.30		
 -3.66   	-110.17   	 18.43   	  45.78		 84.54   	 -71.21		
 -5.80   	-97.96   	 18.62   	  40.69		 84.25   	 -71.21		
 -2.44   	-86.67   	 18.78   	  30.52		 83.97   	 -71.21		
 -1.22   	-56.76   	 18.90   	  20.35		 83.68   	 -71.21		
  0.31   	 -1.53   	 18.98   	  25.43		 83.40   	 -66.12		
 15.87   	 70.19   	 19.08   	  20.35		 83.13   	 -71.21		
 20.14   	215.76   	 19.17   	  25.43		 82.85   	 -66.12		
 48.22   	389.71   	 19.27   	  30.52		 82.58   	 -66.12		
 83.62   	580.75   	 19.39   	  40.69		 82.32   	 -66.12		
112.30   	817.26   	 19.55   	  50.86		 82.05   	 -61.04		
173.34   	1014.40   	 19.76   	  61.04		 81.81   	 -66.12		
246.89   	1140.14   	 20.00   	  66.12		 81.55   	 -61.04		
312.19   	1154.79(R)	 20.26(E)	  76.30		 81.30   	 -61.04		
317.08   	959.17   	 20.57   	  86.47		 81.06   	 -61.04		
233.76   	575.87   	 20.92   	  86.47		 80.81   	 -61.04		
119.63   	177.92   	 21.26   	  86.47		 80.57   	 -61.04		
 20.75   	-106.20   	 21.61   	  96.64		 80.33   	 -61.04		
 -0.31   	-283.20   	 21.99   	  96.64		 80.08   	 -61.04		
 63.48   	-225.83   	 22.38   	 106.82		 79.84   	 -61.04		
129.70   	-171.51   	 22.81   	 122.07		 79.59   	 -61.04		
135.80   	-210.88   	 23.30   	 137.33		 79.35   	 -55.95		
 85.75   	-197.75   	 23.85   	 157.68		 79.12   	 -61.04		
 42.11   	-230.41   	 24.48   	 193.29		 78.88   	 -55.95		
  2.44   	-213.62   	 25.25   	 233.98		 78.66   	 -55.95		
-24.72   	-158.08   	 26.19   	 289.93		 78.43   	 -55.95		
-26.86   	-133.67   	 27.34   	 356.05		 78.21   	 -55.95		
-20.45   	-140.69   	 28.77   	 437.43		 77.99   	 -50.86		
-21.67   	-153.20   	 30.52   	 528.99		 77.78   	 -50.86		
-21.36   	-152.89   	 32.63   	 630.72		 77.58   	 -50.86		
-18.01   	-146.79   	 35.16   	 737.54		 77.38   	 -50.86		
-17.40   	-141.91   	 38.11   	 844.35		 77.17   	 -45.78		
-25.02   	-146.18   	 41.49   	 951.17		 76.99   	 -40.69		
-26.25   	-146.79   	 45.29   	1063.07		 76.83   	 -40.69		
