  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-118.10   	 63.48   	125.66   	 279.75		 73.81   	 452.69		
-121.15   	 68.05   	126.77   	 269.58		 75.63   	 462.87		
-125.43   	 70.80   	127.85   	 249.24		 77.48   	 473.04		
-129.39   	 72.63   	128.85   	 233.98		 79.37   	 478.13		
-133.06   	 74.46   	129.79   	 218.72		 81.28   	 478.13		
-135.80   	 76.29   	130.66   	 198.37		 83.19   	 483.21		
-137.02   	 78.43   	131.45   	 183.11		 85.13   	 488.30		
-137.33   	 80.57   	132.19   	 167.85		 87.08   	 483.21		
-137.33   	 81.18   	132.86   	 152.59		 89.01   	 483.21		
-137.33   	 79.35   	133.47   	 137.33		 90.95   	 483.21		
-137.63   	 75.07   	134.02   	 127.16		 92.88   	 483.21		
-137.33   	 70.19   	134.53   	 111.90		 94.81   	 473.04		
-134.89   	 67.14   	134.97   	 101.73		 96.70   	 467.95		
-130.62   	 67.44   	135.38   	  91.56		 98.58   	 462.87		
-124.51   	 70.19   	135.75   	  86.47		100.43   	 452.69		
-116.58   	 73.55   	136.09   	  71.21		102.24   	 447.61		
-107.12   	 74.77   	136.38   	  66.12		104.03   	 432.35		
-95.83   	 73.85   	136.64   	  50.86		105.76   	 422.18		
-82.09   	 70.50   	136.85   	  45.78		107.45   	 412.00		
-67.14   	 65.31   	137.03   	  30.52		109.09   	 396.74		
-52.49   	 59.20   	137.15   	  25.43		110.68   	 386.57		
-39.67   	 51.57   	137.25   	   5.09		112.23   	 371.31		
-30.21   	 42.42   	137.27   	   0.00		113.71   	 356.05		
-23.19   	 32.35   	137.27   	 -20.35		115.14   	 340.79		
-18.31   	 23.19   	137.19   	 -30.52		116.50   	 330.62		
-14.34   	 17.09   	137.07   	 -50.86		117.82   	 310.27		
-10.07   	 14.04   	136.87   	 -61.04		119.06   	 300.10		
 -5.80   	 13.12   	136.62   	 -81.38		120.26   	 279.75		
 -1.83   	 12.51   	136.30   	 -91.56		121.38   	 269.58		
  0.92   	 10.68   	135.93   	-111.90		122.46   	 254.32		
  1.83   	  6.71   	135.48   	-127.16		123.48   	 233.98		
  0.92   	  0.92   	134.97   	-142.42		124.41   	 223.80		
 -0.31   	 -4.88   	134.40   	-162.77		125.31   	 203.46		
 -0.92   	 -9.77   	133.75   	-183.11		126.12   	 193.29		
